# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001        	(3.021236e+02 4.390258e+03 4.173762e-19)	(2.987120e+02 4.390144e+03 4.175356e-19)	(3.411588e+00 1.134776e-01 -1.593812e-22)
0.002        	(-1.028118e+02 -1.674154e+03 -1.313365e-19)	(-1.056117e+02 -1.674303e+03 -1.312311e-19)	(2.799934e+00 1.487853e-01 -1.054619e-22)
0.003        	(1.441555e+00 -3.600452e-01 -1.210036e-19)	(2.300313e-02 -4.537488e-01 -1.209782e-19)	(1.418552e+00 9.370362e-02 -2.545794e-23)
0.004        	(9.336293e-01 -2.477996e-02 -1.196907e-19)	(-1.077023e-01 -9.321929e-02 -1.197334e-19)	(1.041332e+00 6.843933e-02 4.272932e-23)
0.005        	(6.347214e-01 5.630267e-01 -1.209321e-19)	(-3.515202e-01 4.788521e-01 -1.209552e-19)	(9.862416e-01 8.417459e-02 2.314305e-23)
0.006        	(6.890855e-01 2.406330e+00 -1.240182e-19)	(-2.776409e-01 2.322132e+00 -1.240295e-19)	(9.667264e-01 8.419787e-02 1.130749e-23)
0.007        	(1.227406e+00 2.441694e+00 -1.241545e-19)	(2.372280e-01 2.354865e+00 -1.241639e-19)	(9.901778e-01 8.682855e-02 9.401286e-24)
0.008        	(1.550390e+00 2.586578e+00 -1.232831e-19)	(5.728858e-01 2.493442e+00 -1.233334e-19)	(9.775043e-01 9.313625e-02 5.024963e-23)
0.009        	(2.580548e+00 4.046150e+00 -1.170164e-19)	(1.635608e+00 3.957249e+00 -1.169675e-19)	(9.449405e-01 8.890108e-02 -4.888155e-23)
0.01         	(3.192929e+00 3.289090e+00 -1.081175e-19)	(2.242723e+00 3.206663e+00 -1.080084e-19)	(9.502056e-01 8.242687e-02 -1.090195e-22)
0.011        	(3.774356e+00 3.369955e+00 -1.084844e-19)	(2.828075e+00 3.292112e+00 -1.083961e-19)	(9.462808e-01 7.784336e-02 -8.837920e-23)
0.012        	(4.758816e+00 4.392990e+00 -1.070956e-19)	(3.802859e+00 4.313366e+00 -1.070612e-19)	(9.559564e-01 7.962369e-02 -3.439968e-23)
0.013        	(5.757202e+00 4.404870e+00 -1.029291e-19)	(4.809390e+00 4.316669e+00 -1.028912e-19)	(9.478121e-01 8.820130e-02 -3.789171e-23)
0.014        	(6.331661e+00 6.843160e+00 -9.610200e-20)	(5.372814e+00 6.773111e+00 -9.599408e-20)	(9.588464e-01 7.004957e-02 -1.079203e-22)
0.015        	(4.928136e+00 6.520266e+00 -1.066169e-19)	(3.961552e+00 6.470852e+00 -1.064764e-19)	(9.665841e-01 4.941391e-02 -1.404394e-22)
0.016        	(5.317041e+00 5.056446e+00 -1.013936e-19)	(4.329207e+00 5.002644e+00 -1.012759e-19)	(9.878342e-01 5.380258e-02 -1.176311e-22)
0.017        	(5.779025e+00 6.150043e+00 -9.716586e-20)	(4.766950e+00 6.088521e+00 -9.713793e-20)	(1.012076e+00 6.152279e-02 -2.793135e-23)
0.018        	(6.315349e+00 7.655872e+00 -9.841400e-20)	(5.290359e+00 7.593257e+00 -9.849804e-20)	(1.024989e+00 6.261472e-02 8.403623e-23)
0.019        	(6.571974e+00 7.978521e+00 -9.722874e-20)	(5.524849e+00 7.915593e+00 -9.738667e-20)	(1.047125e+00 6.292842e-02 1.579314e-22)
0.02         	(6.477884e+00 8.317986e+00 -1.047788e-19)	(5.401037e+00 8.254383e+00 -1.049103e-19)	(1.076847e+00 6.360302e-02 1.314991e-22)
0.021        	(7.321864e+00 7.670138e+00 -1.022812e-19)	(6.208338e+00 7.602198e+00 -1.023523e-19)	(1.113527e+00 6.794014e-02 7.107555e-23)
0.022        	(7.666039e+00 8.285667e+00 -9.734836e-20)	(6.532836e+00 8.216296e+00 -9.738841e-20)	(1.133203e+00 6.937078e-02 4.005221e-23)
0.023        	(7.795000e+00 8.501096e+00 -9.610199e-20)	(6.649176e+00 8.434779e+00 -9.614675e-20)	(1.145825e+00 6.631696e-02 4.476120e-23)
0.024        	(8.225289e+00 8.792177e+00 -9.195467e-20)	(7.065385e+00 8.732934e+00 -9.207914e-20)	(1.159904e+00 5.924244e-02 1.244743e-22)
0.025        	(8.419778e+00 9.326517e+00 -9.457006e-20)	(7.215948e+00 9.270741e+00 -9.477787e-20)	(1.203830e+00 5.577588e-02 2.078099e-22)
0.026        	(8.153611e+00 9.228209e+00 -1.010480e-19)	(6.925978e+00 9.174422e+00 -1.012696e-19)	(1.227633e+00 5.378751e-02 2.215186e-22)
0.027        	(7.621754e+00 8.295127e+00 -1.080196e-19)	(6.366420e+00 8.244281e+00 -1.083838e-19)	(1.255334e+00 5.084609e-02 3.641501e-22)
0.028        	(7.635643e+00 7.964045e+00 -1.046760e-19)	(6.350025e+00 7.912095e+00 -1.049636e-19)	(1.285619e+00 5.194978e-02 2.875299e-22)
0.029        	(8.165704e+00 9.427679e+00 -9.822727e-20)	(6.827121e+00 9.392026e+00 -9.834034e-20)	(1.338583e+00 3.565310e-02 1.130714e-22)
0.03         	(9.189317e+00 1.213063e+01 -9.587055e-20)	(7.831654e+00 1.210403e+01 -9.595147e-20)	(1.357663e+00 2.660110e-02 8.091228e-23)
0.031        	(9.570482e+00 1.258081e+01 -9.496841e-20)	(8.205385e+00 1.255180e+01 -9.505108e-20)	(1.365097e+00 2.901158e-02 8.266639e-23)
0.032        	(9.656744e+00 1.168992e+01 -9.377769e-20)	(8.251341e+00 1.166192e+01 -9.381228e-20)	(1.405403e+00 2.800882e-02 3.459814e-23)
0.033        	(9.224819e+00 1.219325e+01 -9.768699e-20)	(7.768477e+00 1.218395e+01 -9.785330e-20)	(1.456341e+00 9.303521e-03 1.663086e-22)
0.034        	(8.953861e+00 1.210970e+01 -9.720349e-20)	(7.459349e+00 1.212125e+01 -9.749039e-20)	(1.494512e+00 -1.154621e-02 2.869035e-22)
0.035        	(9.393150e+00 1.041622e+01 -9.361922e-20)	(7.859905e+00 1.042918e+01 -9.372899e-20)	(1.533245e+00 -1.295212e-02 1.097731e-22)
0.036        	(9.980291e+00 1.177667e+01 -9.222330e-20)	(8.428127e+00 1.178085e+01 -9.210389e-20)	(1.552163e+00 -4.180251e-03 -1.194061e-22)
0.037        	(9.452063e+00 1.107446e+01 -9.694498e-20)	(7.871722e+00 1.107859e+01 -9.691125e-20)	(1.580341e+00 -4.125703e-03 -3.373384e-23)
0.038        	(8.982843e+00 1.029516e+01 -9.790184e-20)	(7.390104e+00 1.031030e+01 -9.812069e-20)	(1.592738e+00 -1.513267e-02 2.188474e-22)
0.039        	(9.345064e+00 1.070048e+01 -9.696963e-20)	(7.730321e+00 1.071379e+01 -9.726403e-20)	(1.614743e+00 -1.330918e-02 2.943987e-22)
0.04         	(9.735638e+00 1.214451e+01 -9.016062e-20)	(8.103050e+00 1.214509e+01 -9.004920e-20)	(1.632587e+00 -5.821923e-04 -1.114196e-22)
0.041        	(9.258218e+00 1.138528e+01 -9.562489e-20)	(7.614480e+00 1.140354e+01 -9.524863e-20)	(1.643738e+00 -1.825419e-02 -3.762569e-22)
0.042        	(9.226206e+00 1.041260e+01 -9.618634e-20)	(7.578850e+00 1.043994e+01 -9.590719e-20)	(1.647357e+00 -2.734104e-02 -2.791410e-22)
0.043        	(9.503853e+00 1.023412e+01 -9.449598e-20)	(7.836511e+00 1.025682e+01 -9.440386e-20)	(1.667342e+00 -2.270224e-02 -9.211033e-23)
0.044        	(1.044527e+01 1.243593e+01 -8.793949e-20)	(8.737886e+00 1.245819e+01 -8.795647e-20)	(1.707380e+00 -2.226201e-02 1.697914e-23)
0.045        	(1.130956e+01 1.635375e+01 -8.580926e-20)	(9.582505e+00 1.637449e+01 -8.590784e-20)	(1.727059e+00 -2.074654e-02 9.857953e-23)
0.046        	(1.053057e+01 1.380997e+01 -9.016409e-20)	(8.792467e+00 1.383696e+01 -9.031835e-20)	(1.738101e+00 -2.699484e-02 1.542585e-22)
0.047        	(9.937158e+00 1.212342e+01 -9.454546e-20)	(8.174615e+00 1.215522e+01 -9.471470e-20)	(1.762543e+00 -3.179357e-02 1.692419e-22)
