# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001        	(3.588695e+02 -3.132922e+03 -1.548397e-18)	(3.553926e+02 -3.132833e+03 -1.548299e-18)	(3.476893e+00 -8.868794e-02 -9.758900e-23)
0.002        	(-1.349660e+02 1.008708e+03 2.056719e-19)	(-1.378721e+02 1.008837e+03 2.057762e-19)	(2.906089e+00 -1.288120e-01 -1.043565e-22)
0.003        	(1.697732e+00 5.867599e-01 -1.196841e-19)	(4.150956e-02 6.706683e-01 -1.195661e-19)	(1.656222e+00 -8.390841e-02 -1.180395e-22)
0.004        	(1.178876e+00 -6.809891e-01 -1.200914e-19)	(-7.187820e-02 -6.267451e-01 -1.199923e-19)	(1.250755e+00 -5.424398e-02 -9.906724e-23)
0.005        	(8.852131e-01 -1.276003e+00 -1.208828e-19)	(-2.738476e-01 -1.214830e+00 -1.207696e-19)	(1.159061e+00 -6.117331e-02 -1.131459e-22)
0.006        	(5.900923e-01 -1.683103e+00 -1.324766e-19)	(-4.915970e-01 -1.631091e+00 -1.322272e-19)	(1.081689e+00 -5.201176e-02 -2.494442e-22)
0.007        	(1.298954e+00 -1.378522e+00 -1.458057e-19)	(1.782942e-01 -1.325389e+00 -1.452912e-19)	(1.120660e+00 -5.313247e-02 -5.145321e-22)
0.008        	(2.042726e+00 -2.612171e+00 -1.553144e-19)	(9.060709e-01 -2.542944e+00 -1.545097e-19)	(1.136655e+00 -6.922665e-02 -8.047103e-22)
0.009        	(2.360386e+00 -2.218396e+00 -1.454844e-19)	(1.219689e+00 -2.156022e+00 -1.448073e-19)	(1.140698e+00 -6.237427e-02 -6.771132e-22)
0.01         	(3.501198e+00 -2.845491e+00 -1.522261e-19)	(2.390247e+00 -2.801686e+00 -1.518140e-19)	(1.110951e+00 -4.380421e-02 -4.120595e-22)
0.011        	(4.564946e+00 -2.474709e+00 -1.510195e-19)	(3.463659e+00 -2.421845e+00 -1.506798e-19)	(1.101287e+00 -5.286434e-02 -3.397507e-22)
0.012        	(4.997556e+00 -3.087959e+00 -1.529407e-19)	(3.891533e+00 -3.027652e+00 -1.526870e-19)	(1.106023e+00 -6.030689e-02 -2.537133e-22)
0.013        	(6.041317e+00 -2.805134e+00 -1.542014e-19)	(4.944826e+00 -2.753366e+00 -1.541064e-19)	(1.096491e+00 -5.176742e-02 -9.507207e-23)
0.014        	(5.234367e+00 -3.582229e+00 -1.584893e-19)	(4.131604e+00 -3.530186e+00 -1.583347e-19)	(1.102763e+00 -5.204253e-02 -1.545521e-22)
0.015        	(5.776407e+00 -3.591727e+00 -1.557746e-19)	(4.658192e+00 -3.540724e+00 -1.556810e-19)	(1.118214e+00 -5.100325e-02 -9.360010e-23)
0.016        	(6.656310e+00 -5.292944e+00 -1.628893e-19)	(5.518522e+00 -5.248117e+00 -1.629544e-19)	(1.137788e+00 -4.482711e-02 6.507342e-23)
0.017        	(7.162658e+00 -4.889084e+00 -1.695799e-19)	(6.009426e+00 -4.851084e+00 -1.697443e-19)	(1.153232e+00 -3.799935e-02 1.643705e-22)
0.018        	(6.461113e+00 -3.897262e+00 -1.602130e-19)	(5.296570e+00 -3.865127e+00 -1.603855e-19)	(1.164543e+00 -3.213556e-02 1.724423e-22)
0.019        	(6.834448e+00 -4.891231e+00 -1.622676e-19)	(5.667793e+00 -4.858211e+00 -1.624146e-19)	(1.166655e+00 -3.301937e-02 1.470514e-22)
0.02         	(8.358766e+00 -7.249786e+00 -1.602599e-19)	(7.192267e+00 -7.221870e+00 -1.604229e-19)	(1.166499e+00 -2.791632e-02 1.629196e-22)
0.021        	(7.766290e+00 -5.751270e+00 -1.671686e-19)	(6.554298e+00 -5.726441e+00 -1.673485e-19)	(1.211992e+00 -2.482960e-02 1.799323e-22)
0.022        	(8.037190e+00 -5.856725e+00 -1.707903e-19)	(6.790802e+00 -5.835673e+00 -1.708802e-19)	(1.246388e+00 -2.105187e-02 8.988376e-23)
0.023        	(8.063917e+00 -5.315204e+00 -1.676776e-19)	(6.799174e+00 -5.290752e+00 -1.676811e-19)	(1.264743e+00 -2.445164e-02 3.496948e-24)
0.024        	(7.429458e+00 -5.287261e+00 -1.584669e-19)	(6.166600e+00 -5.264637e+00 -1.584632e-19)	(1.262858e+00 -2.262407e-02 -3.670968e-24)
