# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001        	(4.450805e+02 -4.488057e+02 -3.371308e-19)	(4.415656e+02 -4.487837e+02 -3.370039e-19)	(3.514941e+00 -2.199724e-02 -1.268710e-22)
0.002        	(-1.079291e+01 1.954398e+01 -1.653977e-19)	(-1.374333e+01 1.957623e+01 -1.652656e-19)	(2.950422e+00 -3.224961e-02 -1.321266e-22)
0.003        	(5.238116e+00 -4.218412e-01 -1.307603e-19)	(3.039655e+00 -3.922246e-01 -1.305937e-19)	(2.198462e+00 -2.961654e-02 -1.666207e-22)
0.004        	(6.414787e+00 -1.087867e+00 -1.392442e-19)	(4.495067e+00 -1.072586e+00 -1.390967e-19)	(1.919720e+00 -1.528142e-02 -1.475686e-22)
0.005        	(7.356587e+00 -6.372549e-01 -1.461321e-19)	(5.635399e+00 -6.279266e-01 -1.460545e-19)	(1.721189e+00 -9.328279e-03 -7.756560e-23)
0.006        	(6.386374e+00 -6.611199e-01 -1.458552e-19)	(4.727634e+00 -6.605928e-01 -1.457594e-19)	(1.658740e+00 -5.271249e-04 -9.576396e-23)
0.007        	(6.673875e+00 4.674253e-01 -1.459405e-19)	(5.065160e+00 4.679457e-01 -1.458170e-19)	(1.608715e+00 -5.203524e-04 -1.234845e-22)
0.008        	(6.942507e+00 -6.788987e-01 -1.494105e-19)	(5.352455e+00 -6.787333e-01 -1.493251e-19)	(1.590053e+00 -1.653404e-04 -8.534906e-23)
0.009        	(7.766552e+00 -6.732681e-01 -1.497560e-19)	(6.210947e+00 -6.695362e-01 -1.497301e-19)	(1.555605e+00 -3.731907e-03 -2.585464e-23)
0.01         	(7.859529e+00 -6.814153e-01 -1.454238e-19)	(6.337626e+00 -6.806818e-01 -1.454528e-19)	(1.521904e+00 -7.335498e-04 2.907387e-23)
