# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001        	(4.482829e+02 2.185484e+02 -2.100357e-19)	(4.447687e+02 2.185451e+02 -2.099109e-19)	(3.514133e+00 3.277143e-03 -1.247996e-22)
0.002        	(-1.081760e+01 -4.446022e+00 -1.434916e-19)	(-1.376642e+01 -4.459444e+00 -1.433796e-19)	(2.948825e+00 1.342263e-02 -1.120403e-22)
0.003        	(5.046217e+00 4.280114e-01 -1.155960e-19)	(2.848732e+00 4.105734e-01 -1.154637e-19)	(2.197485e+00 1.743798e-02 -1.323239e-22)
0.004        	(6.652467e+00 2.575912e-01 -1.249062e-19)	(4.717819e+00 2.379131e-01 -1.248146e-19)	(1.934648e+00 1.967802e-02 -9.152469e-23)
0.005        	(6.934175e+00 9.520394e-01 -1.307423e-19)	(5.176778e+00 9.291855e-01 -1.306844e-19)	(1.757397e+00 2.285391e-02 -5.792092e-23)
0.006        	(6.225164e+00 5.850838e-01 -1.316142e-19)	(4.536939e+00 5.588078e-01 -1.315574e-19)	(1.688225e+00 2.627599e-02 -5.678413e-23)
0.007        	(6.815263e+00 -5.000011e-02 -1.299317e-19)	(5.172541e+00 -7.595671e-02 -1.298793e-19)	(1.642723e+00 2.595660e-02 -5.238400e-23)
0.008        	(7.306950e+00 4.644534e-01 -1.327281e-19)	(5.691317e+00 4.416876e-01 -1.326903e-19)	(1.615633e+00 2.276581e-02 -3.782796e-23)
0.009        	(7.543548e+00 1.703685e-03 -1.323602e-19)	(5.947461e+00 -1.773198e-02 -1.323520e-19)	(1.596087e+00 1.943567e-02 -8.228283e-24)
0.01         	(7.741889e+00 -2.432183e-01 -1.314597e-19)	(6.172969e+00 -2.636493e-01 -1.314997e-19)	(1.568920e+00 2.043103e-02 4.006407e-23)
0.011        	(7.901149e+00 -8.556620e-03 -1.345287e-19)	(6.354505e+00 -3.155586e-02 -1.345542e-19)	(1.546644e+00 2.299924e-02 2.544098e-23)
0.012        	(8.466328e+00 -5.383983e-01 -1.370435e-19)	(6.928823e+00 -5.565177e-01 -1.370408e-19)	(1.537505e+00 1.811940e-02 -2.714864e-24)
0.013        	(8.139504e+00 -5.183634e-01 -1.370343e-19)	(6.610864e+00 -5.349382e-01 -1.370555e-19)	(1.528641e+00 1.657481e-02 2.120043e-23)
0.014        	(8.087963e+00 -6.026080e-01 -1.358406e-19)	(6.578881e+00 -6.206417e-01 -1.358870e-19)	(1.509082e+00 1.803367e-02 4.639269e-23)
0.015        	(8.343645e+00 -3.663088e-01 -1.344899e-19)	(6.841376e+00 -3.789241e-01 -1.345118e-19)	(1.502268e+00 1.261525e-02 2.180835e-23)
0.016        	(8.604588e+00 1.655639e-01 -1.372293e-19)	(7.101713e+00 1.607755e-01 -1.372286e-19)	(1.502875e+00 4.788426e-03 -6.773186e-25)
0.017        	(8.654375e+00 8.653796e-01 -1.366721e-19)	(7.168125e+00 8.607348e-01 -1.367134e-19)	(1.486250e+00 4.644797e-03 4.133348e-23)
0.018        	(8.651162e+00 4.828784e-01 -1.304754e-19)	(7.160937e+00 4.846403e-01 -1.306041e-19)	(1.490225e+00 -1.761886e-03 1.287231e-22)
0.019        	(8.832394e+00 6.763010e-01 -1.319854e-19)	(7.349078e+00 6.847854e-01 -1.321203e-19)	(1.483316e+00 -8.484450e-03 1.349353e-22)
0.02         	(8.732176e+00 1.020450e+00 -1.362444e-19)	(7.263546e+00 1.030406e+00 -1.363323e-19)	(1.468631e+00 -9.956135e-03 8.786406e-23)
0.021        	(9.330964e+00 1.721990e+00 -1.396781e-19)	(7.872801e+00 1.740842e+00 -1.397244e-19)	(1.458163e+00 -1.885241e-02 4.630044e-23)
