# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001        	(3.930794e+02 -2.023855e+03 -1.037398e-18)	(3.895822e+02 -2.023790e+03 -1.037297e-18)	(3.497267e+00 -6.468898e-02 -1.006862e-22)
0.002        	(-1.533664e+02 7.115307e+02 7.680330e-20)	(-1.563254e+02 7.116345e+02 7.690144e-20)	(2.959017e+00 -1.037996e-01 -9.814022e-23)
0.003        	(1.518739e+00 -1.656359e+00 -1.197362e-19)	(-2.958469e-01 -1.577940e+00 -1.196148e-19)	(1.814586e+00 -7.841941e-02 -1.213996e-22)
0.004        	(1.346405e+00 -1.806760e+00 -1.222899e-19)	(-1.082250e-01 -1.744701e+00 -1.221065e-19)	(1.454630e+00 -6.205904e-02 -1.834191e-22)
0.005        	(9.279826e-01 -2.460133e+00 -1.218995e-19)	(-3.949516e-01 -2.399576e+00 -1.216163e-19)	(1.322934e+00 -6.055720e-02 -2.831382e-22)
0.006        	(9.823766e-01 -1.814352e+00 -1.273857e-19)	(-2.807873e-01 -1.760695e+00 -1.269135e-19)	(1.263164e+00 -5.365709e-02 -4.721572e-22)
0.007        	(1.437854e+00 -1.852231e+00 -1.313718e-19)	(1.509403e-01 -1.805409e+00 -1.308059e-19)	(1.286914e+00 -4.682272e-02 -5.659034e-22)
0.008        	(2.518392e+00 -2.268529e+00 -1.497411e-19)	(1.230432e+00 -2.222226e+00 -1.492048e-19)	(1.287959e+00 -4.630266e-02 -5.362981e-22)
0.009        	(2.949204e+00 -3.002261e+00 -1.520738e-19)	(1.680582e+00 -2.958377e+00 -1.517471e-19)	(1.268622e+00 -4.388364e-02 -3.266944e-22)
0.01         	(3.467400e+00 -3.397930e+00 -1.569879e-19)	(2.212332e+00 -3.371817e+00 -1.567208e-19)	(1.255068e+00 -2.611273e-02 -2.671858e-22)
0.011        	(4.875829e+00 -2.128195e+00 -1.693871e-19)	(3.618345e+00 -2.102284e+00 -1.691385e-19)	(1.257483e+00 -2.591148e-02 -2.486377e-22)
0.012        	(4.966898e+00 -2.035425e+00 -1.596619e-19)	(3.722091e+00 -2.002135e+00 -1.594424e-19)	(1.244807e+00 -3.328974e-02 -2.195115e-22)
0.013        	(5.403866e+00 -1.038194e+00 -1.408267e-19)	(4.199632e+00 -1.006546e+00 -1.406977e-19)	(1.204234e+00 -3.164788e-02 -1.289805e-22)
0.014        	(6.853997e+00 -2.735615e+00 -1.452888e-19)	(5.657714e+00 -2.715857e+00 -1.452502e-19)	(1.196282e+00 -1.975779e-02 -3.863301e-23)
0.015        	(6.035764e+00 -2.472780e+00 -1.521114e-19)	(4.814619e+00 -2.450147e+00 -1.521386e-19)	(1.221145e+00 -2.263353e-02 2.716660e-23)
0.016        	(6.329551e+00 -3.140651e+00 -1.545611e-19)	(5.114841e+00 -3.116793e+00 -1.546572e-19)	(1.214710e+00 -2.385755e-02 9.613208e-23)
0.017        	(6.951727e+00 -3.491477e+00 -1.592300e-19)	(5.700679e+00 -3.474110e+00 -1.593508e-19)	(1.251048e+00 -1.736707e-02 1.207753e-22)
0.018        	(6.936292e+00 -3.953252e+00 -1.508035e-19)	(5.658687e+00 -3.947108e+00 -1.509436e-19)	(1.277605e+00 -6.144316e-03 1.401767e-22)
0.019        	(6.927337e+00 -3.951614e+00 -1.440751e-19)	(5.637916e+00 -3.954311e+00 -1.442987e-19)	(1.289421e+00 2.696954e-03 2.235962e-22)
0.02         	(7.695362e+00 -4.088216e+00 -1.541882e-19)	(6.397551e+00 -4.091575e+00 -1.544531e-19)	(1.297811e+00 3.359016e-03 2.649662e-22)
0.021        	(7.041352e+00 -5.336162e+00 -1.518368e-19)	(5.734816e+00 -5.341503e+00 -1.520889e-19)	(1.306536e+00 5.340365e-03 2.520655e-22)
0.022        	(7.159062e+00 -5.745160e+00 -1.544202e-19)	(5.835378e+00 -5.752760e+00 -1.546970e-19)	(1.323684e+00 7.600216e-03 2.767300e-22)
0.023        	(7.676145e+00 -4.854725e+00 -1.617282e-19)	(6.323674e+00 -4.859684e+00 -1.620084e-19)	(1.352471e+00 4.959188e-03 2.801605e-22)
0.024        	(7.680090e+00 -5.040492e+00 -1.610308e-19)	(6.319238e+00 -5.051152e+00 -1.612465e-19)	(1.360852e+00 1.065940e-02 2.157214e-22)
0.025        	(7.275119e+00 -3.852882e+00 -1.525885e-19)	(5.916520e+00 -3.869317e+00 -1.527826e-19)	(1.358599e+00 1.643495e-02 1.940709e-22)
0.026        	(7.144104e+00 -3.156687e+00 -1.516313e-19)	(5.768470e+00 -3.162095e+00 -1.519326e-19)	(1.375634e+00 5.408624e-03 3.013226e-22)
0.027        	(7.283489e+00 -3.568511e+00 -1.524543e-19)	(5.874230e+00 -3.561498e+00 -1.529552e-19)	(1.409259e+00 -7.012572e-03 5.008465e-22)
0.028        	(7.787787e+00 -4.935136e+00 -1.590282e-19)	(6.374904e+00 -4.926925e+00 -1.595429e-19)	(1.412883e+00 -8.210985e-03 5.147388e-22)
0.029        	(8.384715e+00 -5.614189e+00 -1.606741e-19)	(6.968001e+00 -5.620724e+00 -1.608993e-19)	(1.416715e+00 6.534863e-03 2.252114e-22)
0.03         	(8.746598e+00 -4.913671e+00 -1.672897e-19)	(7.306415e+00 -4.919919e+00 -1.674043e-19)	(1.440183e+00 6.247857e-03 1.146278e-22)
0.031        	(8.120264e+00 -3.663646e+00 -1.644551e-19)	(6.655129e+00 -3.659743e+00 -1.646390e-19)	(1.465135e+00 -3.902538e-03 1.839055e-22)
0.032        	(8.022891e+00 -4.801676e+00 -1.598666e-19)	(6.527629e+00 -4.799100e+00 -1.599297e-19)	(1.495262e+00 -2.575711e-03 6.304270e-23)
0.033        	(7.835445e+00 -5.507378e+00 -1.617708e-19)	(6.322554e+00 -5.515994e+00 -1.616460e-19)	(1.512890e+00 8.615524e-03 -1.247994e-22)
0.034        	(7.677693e+00 -4.042751e+00 -1.606631e-19)	(6.155494e+00 -4.044862e+00 -1.605793e-19)	(1.522198e+00 2.111246e-03 -8.377833e-23)
0.035        	(7.969746e+00 -4.128231e+00 -1.518027e-19)	(6.399104e+00 -4.125019e+00 -1.517627e-19)	(1.570642e+00 -3.212576e-03 -4.004148e-23)
0.036        	(7.770077e+00 -3.361921e+00 -1.537786e-19)	(6.174674e+00 -3.361108e+00 -1.537811e-19)	(1.595403e+00 -8.132593e-04 2.568227e-24)
0.037        	(7.700507e+00 -3.917691e+00 -1.562657e-19)	(6.065755e+00 -3.920900e+00 -1.563086e-19)	(1.634751e+00 3.208308e-03 4.298399e-23)
0.038        	(8.271856e+00 -4.883775e+00 -1.615014e-19)	(6.617626e+00 -4.880656e+00 -1.615454e-19)	(1.654230e+00 -3.119574e-03 4.396136e-23)
0.039        	(8.171898e+00 -5.548312e+00 -1.623191e-19)	(6.503603e+00 -5.550224e+00 -1.623609e-19)	(1.668295e+00 1.911744e-03 4.186820e-23)
0.04         	(7.718094e+00 -5.674129e+00 -1.634658e-19)	(6.041197e+00 -5.667361e+00 -1.635103e-19)	(1.676897e+00 -6.767249e-03 4.444062e-23)
0.041        	(8.162090e+00 -5.507260e+00 -1.676822e-19)	(6.469321e+00 -5.500596e+00 -1.675074e-19)	(1.692769e+00 -6.663396e-03 -1.747970e-22)
0.042        	(8.218043e+00 -5.520898e+00 -1.627570e-19)	(6.502717e+00 -5.514214e+00 -1.624868e-19)	(1.715326e+00 -6.683731e-03 -2.702336e-22)
0.043        	(8.417898e+00 -5.832945e+00 -1.677689e-19)	(6.715540e+00 -5.845233e+00 -1.676606e-19)	(1.702358e+00 1.228860e-02 -1.082606e-22)
0.044        	(7.730651e+00 -4.167472e+00 -1.594804e-19)	(6.034433e+00 -4.183238e+00 -1.595069e-19)	(1.696218e+00 1.576641e-02 2.656809e-23)
0.045        	(8.061728e+00 -4.831506e+00 -1.649854e-19)	(6.356514e+00 -4.840890e+00 -1.647633e-19)	(1.705213e+00 9.384804e-03 -2.221162e-22)
0.046        	(7.544871e+00 -4.065830e+00 -1.723769e-19)	(5.808929e+00 -4.086407e+00 -1.720330e-19)	(1.735942e+00 2.057734e-02 -3.438066e-22)
0.047        	(7.898000e+00 -6.963531e+00 -1.682920e-19)	(6.147015e+00 -6.996496e+00 -1.684529e-19)	(1.750986e+00 3.296456e-02 1.608817e-22)
0.048        	(8.074420e+00 -6.177444e+00 -1.711831e-19)	(6.315499e+00 -6.221890e+00 -1.712968e-19)	(1.758920e+00 4.444590e-02 1.136692e-22)
0.049        	(8.578652e+00 -4.174151e+00 -1.774704e-19)	(6.839210e+00 -4.229355e+00 -1.773897e-19)	(1.739441e+00 5.520419e-02 -8.063838e-23)
0.05         	(7.830855e+00 1.489936e+00 -1.997600e-19)	(6.088106e+00 1.443571e+00 -1.994800e-19)	(1.742749e+00 4.636472e-02 -2.799595e-22)
0.051        	(8.327613e+00 -1.936729e-01 -1.987025e-19)	(6.562975e+00 -2.139756e-01 -1.986806e-19)	(1.764638e+00 2.030279e-02 -2.185946e-23)
0.052        	(6.644689e+00 -8.848905e-01 -1.839461e-19)	(4.875422e+00 -9.036110e-01 -1.839688e-19)	(1.769267e+00 1.872045e-02 2.267937e-23)
0.053        	(5.985563e+00 -5.079880e-01 -1.836461e-19)	(4.233818e+00 -5.633912e-01 -1.836570e-19)	(1.751745e+00 5.540317e-02 1.084393e-23)
0.054        	(4.894546e+00 6.313519e+00 -2.055582e-19)	(3.191962e+00 6.231028e+00 -2.056902e-19)	(1.702584e+00 8.249143e-02 1.320544e-22)
0.055        	(6.305337e+00 4.751796e+00 -2.037338e-19)	(4.584368e+00 4.636301e+00 -2.034078e-19)	(1.720969e+00 1.154954e-01 -3.259663e-22)
0.056        	(6.032468e+00 5.213514e+00 -2.034433e-19)	(4.288816e+00 5.104412e+00 -2.027931e-19)	(1.743651e+00 1.091016e-01 -6.501512e-22)
0.057        	(6.962289e+00 1.543661e-01 -1.918664e-19)	(5.219309e+00 2.125137e-02 -1.908579e-19)	(1.742980e+00 1.331148e-01 -1.008490e-21)
0.058        	(7.070368e+00 3.224208e+00 -1.996966e-19)	(5.342826e+00 3.106928e+00 -1.989962e-19)	(1.727542e+00 1.172795e-01 -7.004083e-22)
0.059        	(6.398526e+00 8.050396e+00 -2.122089e-19)	(4.690959e+00 7.932673e+00 -2.120533e-19)	(1.707567e+00 1.177223e-01 -1.555759e-22)
0.06         	(6.213212e+00 9.725187e+00 -2.244683e-19)	(4.452386e+00 9.599902e+00 -2.250162e-19)	(1.760827e+00 1.252849e-01 5.478884e-22)
0.061        	(6.287174e+00 1.066508e+01 -2.205371e-19)	(4.527103e+00 1.056862e+01 -2.212919e-19)	(1.760071e+00 9.645730e-02 7.547950e-22)
0.062        	(5.635217e+00 1.400062e+01 -2.322741e-19)	(3.895452e+00 1.394638e+01 -2.327155e-19)	(1.739765e+00 5.424155e-02 4.413828e-22)
0.063        	(4.352728e+00 1.396549e+01 -2.364664e-19)	(2.618012e+00 1.390165e+01 -2.364061e-19)	(1.734716e+00 6.384512e-02 -6.024078e-23)
0.064        	(1.315084e+00 3.663268e+01 -2.703948e-19)	(-3.869957e-01 3.657424e+01 -2.706287e-19)	(1.702080e+00 5.844789e-02 2.338417e-22)
