# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001        	(3.343873e+02 -3.401616e+03 -1.656018e-18)	(3.309242e+02 -3.401517e+03 -1.655921e-18)	(3.463044e+00 -9.964487e-02 -9.723363e-23)
0.002        	(-1.258046e+02 1.226187e+03 3.002115e-19)	(-1.286790e+02 1.226323e+03 3.003162e-19)	(2.874309e+00 -1.358457e-01 -1.046117e-22)
0.003        	(1.551645e+00 2.124857e-01 -1.196985e-19)	(-2.618479e-02 2.961330e-01 -1.195893e-19)	(1.577830e+00 -8.364726e-02 -1.091613e-22)
0.004        	(1.037372e+00 -1.209527e+00 -1.202056e-19)	(-1.252951e-01 -1.156277e+00 -1.201410e-19)	(1.162667e+00 -5.324947e-02 -6.458403e-23)
0.005        	(7.118922e-01 -1.529960e+00 -1.204853e-19)	(-3.637315e-01 -1.467745e+00 -1.204551e-19)	(1.075624e+00 -6.221510e-02 -3.019315e-23)
0.006        	(7.879853e-01 -1.894288e+00 -1.309324e-19)	(-2.183150e-01 -1.841894e+00 -1.308098e-19)	(1.006300e+00 -5.239390e-02 -1.226189e-22)
0.007        	(1.123671e+00 -1.693917e+00 -1.399201e-19)	(6.190016e-02 -1.638632e+00 -1.395573e-19)	(1.061770e+00 -5.528541e-02 -3.627712e-22)
0.008        	(1.321795e+00 -1.657655e+00 -1.424602e-19)	(2.488120e-01 -1.586117e+00 -1.417588e-19)	(1.072983e+00 -7.153888e-02 -7.013628e-22)
0.009        	(2.280439e+00 -2.432558e+00 -1.535175e-19)	(1.204212e+00 -2.363845e+00 -1.526134e-19)	(1.076227e+00 -6.871267e-02 -9.041381e-22)
0.01         	(3.572024e+00 -4.132910e+00 -1.565724e-19)	(2.501196e+00 -4.080050e+00 -1.558945e-19)	(1.070827e+00 -5.286017e-02 -6.778352e-22)
0.011        	(4.623484e+00 -2.460594e+00 -1.518713e-19)	(3.574361e+00 -2.406982e+00 -1.514210e-19)	(1.049123e+00 -5.361281e-02 -4.503264e-22)
0.012        	(4.359573e+00 -2.553588e+00 -1.525966e-19)	(3.311958e+00 -2.498954e+00 -1.522621e-19)	(1.047615e+00 -5.463448e-02 -3.344130e-22)
0.013        	(5.086169e+00 -3.087973e+00 -1.524343e-19)	(4.038016e+00 -3.041895e+00 -1.521504e-19)	(1.048153e+00 -4.607816e-02 -2.838188e-22)
0.014        	(5.645499e+00 -4.098603e+00 -1.560588e-19)	(4.589439e+00 -4.054481e+00 -1.558146e-19)	(1.056061e+00 -4.412242e-02 -2.442422e-22)
0.015        	(5.558797e+00 -5.058310e+00 -1.594203e-19)	(4.496048e+00 -5.015745e+00 -1.592844e-19)	(1.062749e+00 -4.256502e-02 -1.359051e-22)
0.016        	(5.897329e+00 -5.891780e+00 -1.674309e-19)	(4.836582e+00 -5.861433e+00 -1.674477e-19)	(1.060748e+00 -3.034653e-02 1.687903e-23)
0.017        	(6.945804e+00 -4.684484e+00 -1.790524e-19)	(5.865479e+00 -4.653300e+00 -1.791954e-19)	(1.080324e+00 -3.118469e-02 1.429957e-22)
0.018        	(6.342983e+00 -4.273716e+00 -1.709536e-19)	(5.247338e+00 -4.236341e+00 -1.711010e-19)	(1.095645e+00 -3.737533e-02 1.474044e-22)
0.019        	(6.560076e+00 -5.608335e+00 -1.600593e-19)	(5.450854e+00 -5.578466e+00 -1.602030e-19)	(1.109221e+00 -2.986919e-02 1.436653e-22)
0.02         	(7.855666e+00 -7.416887e+00 -1.676804e-19)	(6.737255e+00 -7.395983e+00 -1.678601e-19)	(1.118411e+00 -2.090415e-02 1.797763e-22)
0.021        	(8.182413e+00 -7.890137e+00 -1.729549e-19)	(7.040480e+00 -7.870281e+00 -1.731519e-19)	(1.141933e+00 -1.985680e-02 1.969951e-22)
0.022        	(7.585116e+00 -7.288456e+00 -1.728952e-19)	(6.410404e+00 -7.273276e+00 -1.729658e-19)	(1.174712e+00 -1.518019e-02 7.066443e-23)
0.023        	(7.929896e+00 -7.841385e+00 -1.745176e-19)	(6.746624e+00 -7.828764e+00 -1.744884e-19)	(1.183272e+00 -1.262090e-02 -2.918623e-23)
0.024        	(7.570459e+00 -5.215362e+00 -1.671855e-19)	(6.375998e+00 -5.206862e+00 -1.671066e-19)	(1.194461e+00 -8.500840e-03 -7.893757e-23)
0.025        	(8.138114e+00 -6.050097e+00 -1.654878e-19)	(6.918878e+00 -6.041437e+00 -1.654595e-19)	(1.219236e+00 -8.659673e-03 -2.825383e-23)
0.026        	(8.056699e+00 -6.270849e+00 -1.681340e-19)	(6.809154e+00 -6.268200e+00 -1.681819e-19)	(1.247545e+00 -2.648578e-03 4.782132e-23)
0.027        	(8.220225e+00 -5.517846e+00 -1.732049e-19)	(6.961875e+00 -5.517067e+00 -1.732907e-19)	(1.258349e+00 -7.787330e-04 8.580893e-23)
0.028        	(8.470885e+00 -7.306778e+00 -1.738654e-19)	(7.191254e+00 -7.301261e+00 -1.739723e-19)	(1.279632e+00 -5.517055e-03 1.068404e-22)
0.029        	(8.756691e+00 -9.050798e+00 -1.788688e-19)	(7.456022e+00 -9.038549e+00 -1.789464e-19)	(1.300669e+00 -1.224849e-02 7.763689e-23)
0.03         	(9.180692e+00 -8.394458e+00 -1.779942e-19)	(7.863152e+00 -8.392446e+00 -1.780651e-19)	(1.317540e+00 -2.012600e-03 7.093482e-23)
0.031        	(9.762899e+00 -8.953887e+00 -1.740228e-19)	(8.428594e+00 -8.956994e+00 -1.741227e-19)	(1.334304e+00 3.107422e-03 9.997164e-23)
0.032        	(9.361781e+00 -8.138293e+00 -1.747717e-19)	(7.996350e+00 -8.126839e+00 -1.748752e-19)	(1.365431e+00 -1.145363e-02 1.035950e-22)
0.033        	(8.803824e+00 -8.420212e+00 -1.698884e-19)	(7.419737e+00 -8.418498e+00 -1.699051e-19)	(1.384086e+00 -1.713631e-03 1.675060e-23)
0.034        	(8.808009e+00 -7.670255e+00 -1.617346e-19)	(7.400522e+00 -7.696324e+00 -1.616653e-19)	(1.407487e+00 2.606868e-02 -6.929788e-23)
0.035        	(9.148954e+00 -7.017966e+00 -1.612967e-19)	(7.726597e+00 -7.037930e+00 -1.612466e-19)	(1.422357e+00 1.996407e-02 -5.008251e-23)
0.036        	(9.428708e+00 -5.929288e+00 -1.588106e-19)	(7.978976e+00 -5.930459e+00 -1.588523e-19)	(1.449732e+00 1.171003e-03 4.173723e-23)
0.037        	(9.546124e+00 -6.035402e+00 -1.596093e-19)	(8.063988e+00 -6.047828e+00 -1.597292e-19)	(1.482136e+00 1.242542e-02 1.198985e-22)
0.038        	(9.889276e+00 -5.941401e+00 -1.629721e-19)	(8.362616e+00 -5.962265e+00 -1.630650e-19)	(1.526660e+00 2.086391e-02 9.288336e-23)
0.039        	(9.644651e+00 -6.540237e+00 -1.605578e-19)	(8.079996e+00 -6.544535e+00 -1.605721e-19)	(1.564655e+00 4.298043e-03 1.431551e-23)
0.04         	(9.922784e+00 -8.087694e+00 -1.630762e-19)	(8.303557e+00 -8.071974e+00 -1.631147e-19)	(1.619227e+00 -1.572029e-02 3.846071e-23)
0.041        	(1.043127e+01 -1.045234e+01 -1.646789e-19)	(8.756317e+00 -1.044489e+01 -1.648194e-19)	(1.674950e+00 -7.450990e-03 1.404861e-22)
0.042        	(9.630032e+00 -1.022723e+01 -1.668692e-19)	(7.929077e+00 -1.024636e+01 -1.669415e-19)	(1.700955e+00 1.913000e-02 7.229132e-23)
0.043        	(9.661795e+00 -8.725296e+00 -1.668096e-19)	(7.924724e+00 -8.752004e+00 -1.667227e-19)	(1.737070e+00 2.670789e-02 -8.688906e-23)
0.044        	(9.883707e+00 -8.753672e+00 -1.682337e-19)	(8.127313e+00 -8.777615e+00 -1.680236e-19)	(1.756394e+00 2.394255e-02 -2.100470e-22)
0.045        	(9.587933e+00 -1.068066e+01 -1.639082e-19)	(7.787770e+00 -1.072338e+01 -1.637705e-19)	(1.800163e+00 4.271456e-02 -1.377514e-22)
0.046        	(9.818135e+00 -1.073914e+01 -1.696307e-19)	(7.978946e+00 -1.083815e+01 -1.698013e-19)	(1.839189e+00 9.901061e-02 1.705847e-22)
0.047        	(9.956990e+00 -7.776667e+00 -1.699646e-19)	(8.060915e+00 -7.914792e+00 -1.703525e-19)	(1.896076e+00 1.381246e-01 3.878336e-22)
0.048        	(1.031974e+01 -6.660766e+00 -1.710039e-19)	(8.402892e+00 -6.774123e+00 -1.713633e-19)	(1.916853e+00 1.133574e-01 3.594408e-22)
0.049        	(1.142703e+01 -9.853019e+00 -1.695957e-19)	(9.537143e+00 -9.945698e+00 -1.695099e-19)	(1.889888e+00 9.267875e-02 -8.577579e-23)
0.05         	(1.063689e+01 -9.006762e+00 -1.671445e-19)	(8.739257e+00 -9.110759e+00 -1.671153e-19)	(1.897637e+00 1.039975e-01 -2.915095e-23)
0.051        	(1.069100e+01 -8.774423e+00 -1.707761e-19)	(8.791271e+00 -8.900535e+00 -1.710959e-19)	(1.899730e+00 1.261124e-01 3.197159e-22)
0.052        	(1.072385e+01 -8.395223e+00 -1.741869e-19)	(8.787365e+00 -8.510385e+00 -1.747297e-19)	(1.936484e+00 1.151621e-01 5.428218e-22)
0.053        	(1.078158e+01 -9.136668e+00 -1.667455e-19)	(8.806969e+00 -9.260277e+00 -1.674192e-19)	(1.974614e+00 1.236084e-01 6.736674e-22)
0.054        	(9.491964e+00 -9.305455e+00 -1.538655e-19)	(7.514738e+00 -9.425175e+00 -1.544101e-19)	(1.977226e+00 1.197205e-01 5.446242e-22)
0.055        	(9.096068e+00 -1.119751e+01 -1.641254e-19)	(7.192613e+00 -1.132749e+01 -1.640479e-19)	(1.903455e+00 1.299804e-01 -7.742369e-23)
0.056        	(8.013628e+00 -9.771899e+00 -1.659878e-19)	(6.071395e+00 -9.907494e+00 -1.654388e-19)	(1.942232e+00 1.355951e-01 -5.489285e-22)
0.057        	(7.332670e+00 -1.072420e+01 -1.740107e-19)	(5.388637e+00 -1.084354e+01 -1.738195e-19)	(1.944033e+00 1.193384e-01 -1.912060e-22)
0.058        	(6.919507e+00 -9.630867e+00 -1.880503e-19)	(5.016194e+00 -9.759298e+00 -1.881466e-19)	(1.903313e+00 1.284315e-01 9.627767e-23)
0.059        	(6.840544e+00 -7.691003e+00 -1.880865e-19)	(4.977910e+00 -7.834787e+00 -1.880870e-19)	(1.862634e+00 1.437842e-01 4.497424e-25)
0.06         	(6.245455e+00 -5.033889e+00 -1.974183e-19)	(4.406333e+00 -5.149874e+00 -1.971951e-19)	(1.839122e+00 1.159854e-01 -2.231895e-22)
0.061        	(7.510780e+00 -1.133914e+00 -2.326295e-19)	(5.664559e+00 -1.194582e+00 -2.317201e-19)	(1.846221e+00 6.066809e-02 -9.093972e-22)
0.062        	(8.400066e+00 -5.732736e+00 -2.155682e-19)	(6.541138e+00 -5.783312e+00 -2.144552e-19)	(1.858928e+00 5.057653e-02 -1.113014e-21)
0.063        	(7.947086e+00 -2.103894e+00 -2.227814e-19)	(6.113232e+00 -2.177786e+00 -2.221306e-19)	(1.833855e+00 7.389202e-02 -6.508100e-22)
