# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001        	(2.760787e+02 -4.095891e+03 -1.930144e-18)	(2.726632e+02 -4.095765e+03 -1.930046e-18)	(3.415548e+00 -1.257119e-01 -9.763384e-23)
0.002        	(-9.445731e+01 1.720495e+03 5.006027e-19)	(-9.724779e+01 1.720650e+03 5.006980e-19)	(2.790481e+00 -1.556006e-01 -9.530828e-23)
0.003        	(1.378201e+00 8.446465e-02 -1.200075e-19)	(-3.959730e-02 1.763964e-01 -1.199279e-19)	(1.417798e+00 -9.193170e-02 -7.963088e-23)
0.004        	(6.206409e-01 -1.614683e+00 -1.224144e-19)	(-3.653869e-01 -1.558003e+00 -1.223986e-19)	(9.860278e-01 -5.668064e-02 -1.577856e-23)
0.005        	(3.899845e-01 -2.076487e+00 -1.219194e-19)	(-5.223795e-01 -2.016596e+00 -1.219378e-19)	(9.123641e-01 -5.989156e-02 1.836535e-23)
0.006        	(3.967210e-01 -9.820368e-01 -1.228289e-19)	(-4.779993e-01 -9.220616e-01 -1.228219e-19)	(8.747203e-01 -5.997521e-02 -6.988442e-24)
0.007        	(8.609705e-01 -1.333738e+00 -1.357945e-19)	(-4.687475e-02 -1.264241e+00 -1.356614e-19)	(9.078452e-01 -6.949708e-02 -1.330903e-22)
0.008        	(1.518755e+00 -1.758219e+00 -1.486376e-19)	(5.945422e-01 -1.675105e+00 -1.482804e-19)	(9.242129e-01 -8.311452e-02 -3.572605e-22)
0.009        	(1.497501e+00 -2.317665e+00 -1.416708e-19)	(5.531337e-01 -2.227405e+00 -1.409993e-19)	(9.443670e-01 -9.026031e-02 -6.715100e-22)
0.01         	(2.675695e+00 -3.949202e+00 -1.424513e-19)	(1.718694e+00 -3.863049e+00 -1.416405e-19)	(9.570002e-01 -8.615383e-02 -8.108030e-22)
0.011        	(3.479205e+00 -3.107405e+00 -1.580492e-19)	(2.536548e+00 -3.018817e+00 -1.573502e-19)	(9.426570e-01 -8.858782e-02 -6.989493e-22)
0.012        	(5.447989e+00 -4.315286e+00 -1.568372e-19)	(4.523164e+00 -4.235615e+00 -1.564693e-19)	(9.248247e-01 -7.967094e-02 -3.678692e-22)
