# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001        	(4.193231e+02 -1.366666e+03 -6.502815e-19)	(4.158174e+02 -1.366617e+03 -6.501714e-19)	(3.505681e+00 -4.915669e-02 -1.101172e-22)
0.002        	(-1.655806e+02 5.147614e+02 -3.244595e-20)	(-1.685441e+02 5.148444e+02 -3.233677e-20)	(2.963497e+00 -8.303812e-02 -1.091719e-22)
0.003        	(1.759863e+00 -6.962312e-01 -1.211445e-19)	(-1.251144e-01 -6.305215e-01 -1.210148e-19)	(1.884977e+00 -6.570961e-02 -1.296224e-22)
0.004        	(1.574718e+00 -8.971351e-01 -1.202229e-19)	(3.398718e-02 -8.436121e-01 -1.200094e-19)	(1.540731e+00 -5.352300e-02 -2.134837e-22)
0.005        	(1.269509e+00 -1.197600e+00 -1.229329e-19)	(-1.520325e-01 -1.144762e+00 -1.225792e-19)	(1.421541e+00 -5.283795e-02 -3.537662e-22)
0.006        	(1.204091e+00 -1.885424e+00 -1.272988e-19)	(-1.660568e-01 -1.836738e+00 -1.267418e-19)	(1.370148e+00 -4.868586e-02 -5.569563e-22)
0.007        	(1.707335e+00 -1.748593e+00 -1.260381e-19)	(3.043269e-01 -1.705704e+00 -1.254276e-19)	(1.403008e+00 -4.288929e-02 -6.104351e-22)
0.008        	(2.403823e+00 -3.147728e+00 -1.404287e-19)	(9.982640e-01 -3.108087e+00 -1.399654e-19)	(1.405559e+00 -3.964061e-02 -4.633006e-22)
0.009        	(3.017657e+00 -3.413061e+00 -1.531654e-19)	(1.653895e+00 -3.378046e+00 -1.528863e-19)	(1.363762e+00 -3.501547e-02 -2.790884e-22)
0.01         	(3.592439e+00 -3.227111e+00 -1.484304e-19)	(2.246816e+00 -3.202306e+00 -1.482530e-19)	(1.345623e+00 -2.480461e-02 -1.774180e-22)
0.011        	(4.540363e+00 -2.035608e+00 -1.575154e-19)	(3.175950e+00 -2.012980e+00 -1.572701e-19)	(1.364414e+00 -2.262759e-02 -2.452736e-22)
0.012        	(4.947693e+00 -2.842478e+00 -1.618846e-19)	(3.576970e+00 -2.816739e+00 -1.615531e-19)	(1.370723e+00 -2.573890e-02 -3.315002e-22)
0.013        	(5.870719e+00 -2.463885e+00 -1.499061e-19)	(4.503282e+00 -2.441091e+00 -1.496562e-19)	(1.367437e+00 -2.279413e-02 -2.499904e-22)
0.014        	(7.191612e+00 -1.552508e+00 -1.331382e-19)	(5.837307e+00 -1.532241e+00 -1.330997e-19)	(1.354305e+00 -2.026738e-02 -3.847421e-23)
0.015        	(6.985635e+00 -1.656961e+00 -1.545802e-19)	(5.651212e+00 -1.631068e+00 -1.546149e-19)	(1.334423e+00 -2.589282e-02 3.466881e-23)
0.016        	(6.009904e+00 -2.974849e+00 -1.560508e-19)	(4.655407e+00 -2.946449e+00 -1.560273e-19)	(1.354497e+00 -2.840010e-02 -2.348084e-23)
0.017        	(5.215348e+00 -8.889170e+00 -1.453187e-19)	(3.846983e+00 -8.869355e+00 -1.453639e-19)	(1.368365e+00 -1.981479e-02 4.526907e-23)
0.018        	(6.255035e+00 -8.101884e+00 -1.460011e-19)	(4.868972e+00 -8.098549e+00 -1.461282e-19)	(1.386063e+00 -3.334376e-03 1.271605e-22)
0.019        	(6.363923e+00 -6.413005e+00 -1.446523e-19)	(4.964055e+00 -6.415361e+00 -1.448227e-19)	(1.399867e+00 2.356618e-03 1.703164e-22)
0.02         	(7.309472e+00 -6.096160e+00 -1.489067e-19)	(5.892205e+00 -6.102293e+00 -1.490806e-19)	(1.417267e+00 6.132360e-03 1.738846e-22)
