# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001        	(4.544644e+02 1.142366e+03 -1.143374e-19)	(4.509573e+02 1.142335e+03 -1.142040e-19)	(3.507103e+00 3.112855e-02 -1.334423e-22)
0.002        	(-1.258225e+00 1.825836e+01 -1.134281e-19)	(-4.221821e+00 1.819614e+01 -1.133092e-19)	(2.963596e+00 6.221629e-02 -1.189251e-22)
0.003        	(9.480854e+00 1.063459e+01 -1.119021e-19)	(7.172557e+00 1.056442e+01 -1.117823e-19)	(2.308297e+00 7.016646e-02 -1.197430e-22)
0.004        	(1.042756e+01 1.646516e+01 -1.159970e-19)	(8.382445e+00 1.640069e+01 -1.159449e-19)	(2.045120e+00 6.446841e-02 -5.212220e-23)
0.005        	(1.283998e+01 1.762852e+01 -1.239885e-19)	(1.095284e+01 1.756519e+01 -1.239419e-19)	(1.887145e+00 6.333135e-02 -4.667526e-23)
0.006        	(1.326261e+01 2.203676e+01 -1.097933e-19)	(1.144025e+01 2.196249e+01 -1.097746e-19)	(1.822359e+00 7.426844e-02 -1.865584e-23)
0.007        	(1.438235e+01 3.778633e+01 -9.263301e-20)	(1.257940e+01 3.770575e+01 -9.265157e-20)	(1.802942e+00 8.058341e-02 1.856228e-23)
0.008        	(1.487153e+01 4.808089e+01 -1.038360e-19)	(1.308348e+01 4.799860e+01 -1.038290e-19)	(1.788053e+00 8.228665e-02 -6.925172e-24)
0.009        	(1.452246e+01 5.982133e+01 -1.199283e-19)	(1.270297e+01 5.973879e+01 -1.198662e-19)	(1.819493e+00 8.254348e-02 -6.201128e-23)
0.01         	(1.068149e+01 1.140654e+02 -8.280590e-20)	(8.852462e+00 1.139782e+02 -8.273654e-20)	(1.829029e+00 8.728872e-02 -6.935827e-23)
0.011        	(1.166511e+01 1.254974e+02 -5.185050e-20)	(9.837830e+00 1.254068e+02 -5.184788e-20)	(1.827284e+00 9.056957e-02 -2.619816e-24)
0.012        	(8.116654e+00 1.739695e+02 -6.829525e-20)	(6.265527e+00 1.738641e+02 -6.828280e-20)	(1.851127e+00 1.054142e-01 -1.245009e-23)
0.013        	(8.960125e+00 1.790484e+02 -1.107683e-19)	(7.050501e+00 1.788979e+02 -1.109772e-19)	(1.909623e+00 1.504714e-01 2.088820e-22)
0.014        	(-1.590087e+01 3.799534e+02 -2.881863e-19)	(-1.785736e+01 3.797752e+02 -2.886183e-19)	(1.956496e+00 1.782093e-01 4.320163e-22)
0.015        	(5.233379e+00 3.130633e+02 -2.350666e-19)	(3.269168e+00 3.129747e+02 -2.352417e-19)	(1.964210e+00 8.859605e-02 1.751178e-22)
0.016        	(1.669402e+01 2.530940e+02 -1.863210e-19)	(1.470384e+01 2.530172e+02 -1.865814e-19)	(1.990179e+00 7.685294e-02 2.603379e-22)
0.017        	(2.314085e+01 2.897292e+02 -1.704136e-19)	(2.113748e+01 2.896648e+02 -1.705093e-19)	(2.003368e+00 6.441345e-02 9.568539e-23)
0.018        	(2.499172e+01 2.594487e+02 -1.319371e-19)	(2.294959e+01 2.593791e+02 -1.321324e-19)	(2.042127e+00 6.960459e-02 1.953412e-22)
