# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001        	(3.796890e+02 -2.599101e+03 -1.304764e-18)	(3.761996e+02 -2.599025e+03 -1.304665e-18)	(3.489427e+00 -7.613282e-02 -9.890380e-23)
0.002        	(-1.458221e+02 8.194117e+02 1.208103e-19)	(-1.487610e+02 8.195249e+02 1.209225e-19)	(2.938982e+00 -1.131830e-01 -1.122112e-22)
0.003        	(1.820712e+00 7.634284e-01 -1.199223e-19)	(7.309145e-02 8.436452e-01 -1.197904e-19)	(1.747621e+00 -8.021678e-02 -1.319031e-22)
0.004        	(1.338464e+00 -1.549582e-01 -1.211416e-19)	(-3.192235e-02 -9.682019e-02 -1.209953e-19)	(1.370386e+00 -5.813805e-02 -1.463023e-22)
0.005        	(9.984557e-01 -8.290394e-01 -1.209025e-19)	(-2.657788e-01 -7.693304e-01 -1.207010e-19)	(1.264235e+00 -5.970901e-02 -2.015515e-22)
0.006        	(7.803816e-01 -1.598083e+00 -1.295709e-19)	(-4.094621e-01 -1.545887e+00 -1.291914e-19)	(1.189844e+00 -5.219533e-02 -3.795782e-22)
0.007        	(1.632531e+00 -1.139544e+00 -1.549339e-19)	(4.207525e-01 -1.095100e+00 -1.542184e-19)	(1.211778e+00 -4.444369e-02 -7.155018e-22)
0.008        	(1.901514e+00 -1.699426e+00 -1.499356e-19)	(6.846939e-01 -1.640983e+00 -1.491996e-19)	(1.216821e+00 -5.844286e-02 -7.360105e-22)
0.009        	(2.885025e+00 -2.085430e+00 -1.523326e-19)	(1.678488e+00 -2.034768e+00 -1.518713e-19)	(1.206537e+00 -5.066226e-02 -4.612597e-22)
0.01         	(3.591468e+00 -3.248309e+00 -1.572980e-19)	(2.403485e+00 -3.214550e+00 -1.569760e-19)	(1.187983e+00 -3.375872e-02 -3.219916e-22)
0.011        	(4.872815e+00 -2.242863e+00 -1.564929e-19)	(3.716403e+00 -2.200025e+00 -1.562034e-19)	(1.156413e+00 -4.283803e-02 -2.895220e-22)
0.012        	(5.338319e+00 -3.163560e+00 -1.533555e-19)	(4.206235e+00 -3.117755e+00 -1.530877e-19)	(1.132083e+00 -4.580454e-02 -2.677723e-22)
0.013        	(5.986921e+00 -2.654311e+00 -1.485518e-19)	(4.863877e+00 -2.625525e+00 -1.483823e-19)	(1.123044e+00 -2.878563e-02 -1.694499e-22)
0.014        	(5.581082e+00 -3.290714e+00 -1.520895e-19)	(4.434780e+00 -3.263276e+00 -1.519592e-19)	(1.146303e+00 -2.743745e-02 -1.303202e-22)
