# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001        	(2.773528e+02 4.378487e+03 4.688309e-19)	(2.739593e+02 4.378366e+03 4.689908e-19)	(3.393577e+00 1.201815e-01 -1.599346e-22)
0.002        	(-9.374919e+01 -1.858756e+03 -1.458393e-19)	(-9.651765e+01 -1.858908e+03 -1.457361e-19)	(2.768463e+00 1.517885e-01 -1.032241e-22)
0.003        	(1.335670e+00 -5.244785e-02 -1.190149e-19)	(-2.790188e-02 -1.455289e-01 -1.189964e-19)	(1.363572e+00 9.308106e-02 -1.846503e-23)
0.004        	(8.375193e-01 2.369594e-01 -1.182930e-19)	(-1.372829e-01 1.708991e-01 -1.183355e-19)	(9.748022e-01 6.606033e-02 4.246692e-23)
0.005        	(5.410151e-01 1.303200e+00 -1.187581e-19)	(-3.728794e-01 1.224571e+00 -1.188102e-19)	(9.138944e-01 7.862926e-02 5.201048e-23)
0.006        	(7.046870e-01 2.166992e+00 -1.240338e-19)	(-1.801739e-01 2.091167e+00 -1.240683e-19)	(8.848608e-01 7.582416e-02 3.456837e-23)
0.007        	(1.205686e+00 1.593566e+00 -1.253274e-19)	(3.065672e-01 1.508265e+00 -1.253462e-19)	(8.991191e-01 8.530178e-02 1.878808e-23)
0.008        	(1.422892e+00 2.478525e+00 -1.223684e-19)	(5.129393e-01 2.380657e+00 -1.224342e-19)	(9.099523e-01 9.786817e-02 6.574310e-23)
0.009        	(2.209340e+00 3.592023e+00 -1.198118e-19)	(1.313161e+00 3.489903e+00 -1.197637e-19)	(8.961798e-01 1.021193e-01 -4.813715e-23)
0.01         	(3.049901e+00 3.722796e+00 -1.090160e-19)	(2.166826e+00 3.635962e+00 -1.089245e-19)	(8.830756e-01 8.683381e-02 -9.156809e-23)
0.011        	(3.590674e+00 3.150051e+00 -1.092098e-19)	(2.705353e+00 3.068472e+00 -1.090924e-19)	(8.853208e-01 8.157945e-02 -1.173191e-22)
0.012        	(4.434532e+00 4.044249e+00 -1.064071e-19)	(3.530302e+00 3.959340e+00 -1.063287e-19)	(9.042300e-01 8.490848e-02 -7.837990e-23)
0.013        	(5.681340e+00 4.840408e+00 -1.000192e-19)	(4.784551e+00 4.750464e+00 -9.997009e-20)	(8.967892e-01 8.994388e-02 -4.908011e-23)
0.014        	(6.422087e+00 7.352876e+00 -9.342669e-20)	(5.519696e+00 7.280649e+00 -9.335924e-20)	(9.023911e-01 7.222658e-02 -6.745427e-23)
0.015        	(4.934740e+00 7.043935e+00 -1.014413e-19)	(4.015999e+00 6.983578e+00 -1.013504e-19)	(9.187410e-01 6.035686e-02 -9.088290e-23)
0.016        	(5.016153e+00 5.432686e+00 -9.978420e-20)	(4.086707e+00 5.371673e+00 -9.960477e-20)	(9.294460e-01 6.101340e-02 -1.794344e-22)
0.017        	(5.741659e+00 6.191320e+00 -9.682070e-20)	(4.790159e+00 6.124326e+00 -9.665040e-20)	(9.514996e-01 6.699393e-02 -1.702989e-22)
0.018        	(6.138723e+00 7.874788e+00 -9.564863e-20)	(5.155716e+00 7.808791e+00 -9.568320e-20)	(9.830063e-01 6.599654e-02 3.457158e-23)
0.019        	(6.540855e+00 8.532115e+00 -9.728815e-20)	(5.526984e+00 8.463462e+00 -9.755574e-20)	(1.013871e+00 6.865313e-02 2.675901e-22)
0.02         	(6.582163e+00 8.982786e+00 -1.038181e-19)	(5.548659e+00 8.912616e+00 -1.040638e-19)	(1.033504e+00 7.017000e-02 2.457250e-22)
0.021        	(6.449868e+00 8.003267e+00 -1.022806e-19)	(5.383799e+00 7.938882e+00 -1.023317e-19)	(1.066069e+00 6.438517e-02 5.109096e-23)
0.022        	(7.201303e+00 8.244912e+00 -1.061690e-19)	(6.116840e+00 8.184069e+00 -1.061781e-19)	(1.084463e+00 6.084281e-02 9.113144e-24)
0.023        	(7.700612e+00 8.601748e+00 -9.875610e-20)	(6.596565e+00 8.533413e+00 -9.887401e-20)	(1.104047e+00 6.833575e-02 1.179177e-22)
0.024        	(8.124056e+00 9.247324e+00 -9.135854e-20)	(6.972763e+00 9.185725e+00 -9.143045e-20)	(1.151293e+00 6.159880e-02 7.190537e-23)
0.025        	(8.638506e+00 9.884682e+00 -9.110537e-20)	(7.458493e+00 9.825350e+00 -9.101642e-20)	(1.180012e+00 5.933179e-02 -8.894616e-23)
0.026        	(8.275354e+00 1.034592e+01 -9.791648e-20)	(7.074565e+00 1.029128e+01 -9.789811e-20)	(1.200789e+00 5.463656e-02 -1.836673e-23)
0.027        	(7.621790e+00 9.383171e+00 -1.021034e-19)	(6.407076e+00 9.335668e+00 -1.022806e-19)	(1.214715e+00 4.750345e-02 1.771299e-22)
0.028        	(7.259708e+00 7.971233e+00 -1.026632e-19)	(6.011632e+00 7.918299e+00 -1.029516e-19)	(1.248076e+00 5.293370e-02 2.883419e-22)
0.029        	(7.562024e+00 8.589502e+00 -9.632463e-20)	(6.276182e+00 8.534971e+00 -9.648595e-20)	(1.285841e+00 5.453110e-02 1.613248e-22)
0.03         	(8.691658e+00 1.134514e+01 -9.657566e-20)	(7.369154e+00 1.129877e+01 -9.671793e-20)	(1.322504e+00 4.636465e-02 1.422740e-22)
0.031        	(9.381929e+00 1.364623e+01 -9.948780e-20)	(8.036106e+00 1.361415e+01 -9.967121e-20)	(1.345823e+00 3.207646e-02 1.834107e-22)
0.032        	(9.668059e+00 1.262990e+01 -9.836156e-20)	(8.291291e+00 1.260510e+01 -9.853108e-20)	(1.376768e+00 2.479790e-02 1.695290e-22)
0.033        	(9.128184e+00 1.120189e+01 -9.295228e-20)	(7.725845e+00 1.118046e+01 -9.300187e-20)	(1.402339e+00 2.142996e-02 4.959031e-23)
0.034        	(8.752797e+00 1.101722e+01 -9.293871e-20)	(7.328310e+00 1.099806e+01 -9.306279e-20)	(1.424487e+00 1.916461e-02 1.240743e-22)
0.035        	(9.368555e+00 1.325386e+01 -8.937664e-20)	(7.923356e+00 1.324845e+01 -8.955015e-20)	(1.445198e+00 5.408933e-03 1.735151e-22)
0.036        	(9.456888e+00 1.034188e+01 -8.671797e-20)	(7.983499e+00 1.033499e+01 -8.681757e-20)	(1.473389e+00 6.892217e-03 9.959184e-23)
0.037        	(9.860116e+00 1.245670e+01 -8.937216e-20)	(8.336907e+00 1.244680e+01 -8.942573e-20)	(1.523209e+00 9.900068e-03 5.356550e-23)
0.038        	(9.111600e+00 1.062720e+01 -9.546799e-20)	(7.565446e+00 1.063323e+01 -9.558639e-20)	(1.546154e+00 -6.033906e-03 1.183996e-22)
0.039        	(9.216223e+00 1.008818e+01 -9.647964e-20)	(7.643781e+00 1.008836e+01 -9.648764e-20)	(1.572442e+00 -1.793059e-04 8.000553e-24)
0.04         	(9.230928e+00 1.117202e+01 -9.447319e-20)	(7.651453e+00 1.116603e+01 -9.440820e-20)	(1.579474e+00 5.991916e-03 -6.498862e-23)
0.041        	(9.846155e+00 1.294698e+01 -8.885059e-20)	(8.250191e+00 1.294430e+01 -8.877060e-20)	(1.595964e+00 2.679321e-03 -7.998896e-23)
0.042        	(9.303066e+00 1.200651e+01 -8.473365e-20)	(7.688759e+00 1.199458e+01 -8.472400e-20)	(1.614307e+00 1.192740e-02 -9.652775e-24)
0.043        	(9.218839e+00 1.274847e+01 -8.860036e-20)	(7.578309e+00 1.273994e+01 -8.863871e-20)	(1.640530e+00 8.526657e-03 3.834163e-23)
0.044        	(9.543224e+00 1.240420e+01 -9.148048e-20)	(7.863099e+00 1.240253e+01 -9.157388e-20)	(1.680125e+00 1.666851e-03 9.339617e-23)
0.045        	(1.034309e+01 1.426003e+01 -9.099590e-20)	(8.650449e+00 1.425663e+01 -9.115555e-20)	(1.692637e+00 3.401323e-03 1.596462e-22)
0.046        	(1.116622e+01 1.486553e+01 -8.330231e-20)	(9.439999e+00 1.485406e+01 -8.329368e-20)	(1.726219e+00 1.147543e-02 -8.633400e-24)
0.047        	(1.072738e+01 1.640062e+01 -8.340289e-20)	(8.974434e+00 1.641137e+01 -8.330387e-20)	(1.752943e+00 -1.074533e-02 -9.902237e-23)
0.048        	(9.926865e+00 1.179077e+01 -9.738622e-20)	(8.144971e+00 1.181382e+01 -9.739592e-20)	(1.781894e+00 -2.304464e-02 9.691889e-24)
0.049        	(9.609477e+00 1.090411e+01 -9.903194e-20)	(7.840429e+00 1.091520e+01 -9.902233e-20)	(1.769047e+00 -1.109279e-02 -9.602148e-24)
0.05         	(1.059447e+01 1.643035e+01 -9.474819e-20)	(8.815534e+00 1.643576e+01 -9.472498e-20)	(1.778933e+00 -5.411511e-03 -2.320953e-23)
0.051        	(1.011391e+01 1.500478e+01 -9.588620e-20)	(8.312247e+00 1.501686e+01 -9.598586e-20)	(1.801667e+00 -1.207270e-02 9.965922e-23)
0.052        	(1.033357e+01 1.353393e+01 -9.617525e-20)	(8.512070e+00 1.354837e+01 -9.645384e-20)	(1.821495e+00 -1.444467e-02 2.785954e-22)
0.053        	(1.079819e+01 1.451415e+01 -9.653447e-20)	(8.970726e+00 1.452914e+01 -9.695020e-20)	(1.827459e+00 -1.499615e-02 4.157337e-22)
0.054        	(1.095865e+01 1.201149e+01 -1.036202e-19)	(9.122528e+00 1.201529e+01 -1.038166e-19)	(1.836122e+00 -3.801298e-03 1.964532e-22)
0.055        	(1.088341e+01 1.229963e+01 -9.774950e-20)	(9.011239e+00 1.231596e+01 -9.771298e-20)	(1.872170e+00 -1.632499e-02 -3.651924e-23)
0.056        	(1.092706e+01 1.340983e+01 -8.625111e-20)	(9.014137e+00 1.345025e+01 -8.635638e-20)	(1.912924e+00 -4.041504e-02 1.052688e-22)
0.057        	(1.088831e+01 1.164805e+01 -8.383458e-20)	(8.933290e+00 1.169765e+01 -8.398647e-20)	(1.955020e+00 -4.959251e-02 1.518913e-22)
0.058        	(1.021444e+01 1.205507e+01 -8.986713e-20)	(8.236700e+00 1.211681e+01 -8.998902e-20)	(1.977738e+00 -6.173516e-02 1.218979e-22)
0.059        	(1.031665e+01 1.202245e+01 -9.556249e-20)	(8.368324e+00 1.208814e+01 -9.561852e-20)	(1.948328e+00 -6.568886e-02 5.602902e-23)
0.06         	(9.704636e+00 1.114531e+01 -1.088819e-19)	(7.779032e+00 1.119972e+01 -1.087518e-19)	(1.925604e+00 -5.441525e-02 -1.300718e-22)
0.061        	(9.823764e+00 8.281820e+00 -1.038879e-19)	(7.867471e+00 8.319175e+00 -1.040431e-19)	(1.956294e+00 -3.735422e-02 1.551868e-22)
0.062        	(1.025454e+01 1.375720e+01 -9.123229e-20)	(8.282789e+00 1.382708e+01 -9.141382e-20)	(1.971752e+00 -6.987836e-02 1.815283e-22)
0.063        	(1.001007e+01 1.328086e+01 -8.322729e-20)	(8.024429e+00 1.340269e+01 -8.313503e-20)	(1.985637e+00 -1.218320e-01 -9.226196e-23)
0.064        	(9.522104e+00 9.820398e+00 -7.703155e-20)	(7.475046e+00 9.950658e+00 -7.679216e-20)	(2.047058e+00 -1.302605e-01 -2.393828e-22)
0.065        	(9.860333e+00 1.445433e+01 -9.051643e-20)	(7.800365e+00 1.457781e+01 -9.070123e-20)	(2.059968e+00 -1.234710e-01 1.848011e-22)
0.066        	(9.409902e+00 7.188159e+00 -1.173089e-19)	(7.326162e+00 7.313542e+00 -1.177825e-19)	(2.083740e+00 -1.253836e-01 4.735644e-22)
0.067        	(8.790664e+00 5.661603e+00 -1.153618e-19)	(6.691191e+00 5.800340e+00 -1.162587e-19)	(2.099472e+00 -1.387374e-01 8.969004e-22)
0.068        	(8.603642e+00 -5.516022e-01 -6.092960e-20)	(6.537499e+00 -4.228469e-01 -6.157904e-20)	(2.066143e+00 -1.287553e-01 6.494326e-22)
0.069        	(8.314610e+00 -5.864406e-01 -7.147003e-20)	(6.208743e+00 -4.567567e-01 -7.107625e-20)	(2.105866e+00 -1.296839e-01 -3.937775e-22)
0.07         	(7.031443e+00 -7.032691e+00 -7.394811e-20)	(4.907210e+00 -6.920619e+00 -7.293509e-20)	(2.124233e+00 -1.120722e-01 -1.013027e-21)
0.071        	(7.002556e+00 -6.398064e+00 -6.437231e-20)	(4.852653e+00 -6.287153e+00 -6.331313e-20)	(2.149903e+00 -1.109118e-01 -1.059178e-21)
0.072        	(8.651438e+00 3.920450e+00 -7.207457e-20)	(6.554390e+00 4.044971e+00 -7.278962e-20)	(2.097048e+00 -1.245212e-01 7.150455e-22)
0.073        	(8.295985e+00 2.606039e+00 -7.220530e-20)	(6.247812e+00 2.741198e+00 -7.400535e-20)	(2.048173e+00 -1.351588e-01 1.800054e-21)
0.074        	(8.125895e+00 3.777717e+00 -8.999948e-20)	(6.051742e+00 3.902608e+00 -9.083963e-20)	(2.074153e+00 -1.248906e-01 8.401430e-22)
0.075        	(8.239339e+00 1.229155e+00 -9.398917e-20)	(6.127652e+00 1.362848e+00 -9.382136e-20)	(2.111687e+00 -1.336930e-01 -1.678024e-22)
0.076        	(8.235706e+00 2.597156e+00 -8.675409e-20)	(6.032623e+00 2.747574e+00 -8.625339e-20)	(2.203084e+00 -1.504173e-01 -5.007021e-22)
0.077        	(6.761682e+00 -5.193125e+00 -6.614814e-20)	(4.546695e+00 -4.905884e+00 -6.549067e-20)	(2.214988e+00 -2.872413e-01 -6.574655e-22)
0.078        	(6.204310e+00 -1.192385e+01 -7.236999e-20)	(3.784686e+00 -1.140451e+01 -7.304828e-20)	(2.419624e+00 -5.193388e-01 6.782871e-22)
0.079        	(4.118645e+00 -2.676726e+01 -7.621229e-20)	(1.308513e+00 -2.594269e+01 -7.954006e-20)	(2.810132e+00 -8.245686e-01 3.327776e-21)
0.08         	(-1.564925e+01 -1.487796e+02 -8.373985e-20)	(-1.861676e+01 -1.483396e+02 -8.581260e-20)	(2.967509e+00 -4.399666e-01 2.072752e-21)
0.081        	(-3.407927e+00 -6.689739e+01 -8.157719e-20)	(-6.198138e+00 -6.634401e+01 -8.298297e-20)	(2.790211e+00 -5.533723e-01 1.405785e-21)
0.082        	(-1.082127e+00 -5.072339e+01 -8.257676e-20)	(-3.820871e+00 -5.006606e+01 -8.240687e-20)	(2.738744e+00 -6.573256e-01 -1.698900e-22)
0.083        	(3.021424e+00 -2.909486e+01 -8.451952e-20)	(3.553982e-01 -2.857683e+01 -8.337428e-20)	(2.666026e+00 -5.180289e-01 -1.145238e-21)
0.084        	(-2.594322e+00 -5.837487e+01 -7.440165e-20)	(-5.081813e+00 -5.739277e+01 -7.496742e-20)	(2.487491e+00 -9.821001e-01 5.657715e-22)
0.085        	(-3.744549e+00 -6.811617e+01 -9.447612e-20)	(-6.510559e+00 -6.691873e+01 -9.580201e-20)	(2.766010e+00 -1.197446e+00 1.325889e-21)
0.086        	(-1.965731e+01 -1.573078e+02 -1.101657e-19)	(-2.277119e+01 -1.564742e+02 -1.147960e-19)	(3.113887e+00 -8.336706e-01 4.630261e-21)
0.087        	(7.553762e+00 -4.438959e+00 -8.765623e-20)	(4.120743e+00 -3.391223e+00 -9.097373e-20)	(3.433019e+00 -1.047736e+00 3.317506e-21)
0.088        	(1.029232e+01 1.602574e+01 -8.209278e-20)	(7.025070e+00 1.676609e+01 -8.263203e-20)	(3.267250e+00 -7.403495e-01 5.392495e-22)
0.089        	(-7.806720e+00 -9.326253e+01 -9.704554e-20)	(-1.049886e+01 -9.131064e+01 -9.208951e-20)	(2.692144e+00 -1.951887e+00 -4.956033e-21)
0.09         	(-4.603734e+01 -3.310996e+02 -7.434996e-20)	(-4.742277e+01 -3.254190e+02 -9.543668e-20)	(1.385423e+00 -5.680600e+00 2.108671e-20)
0.091        	(1.237068e+02 7.405131e+02 -6.175432e-20)	(1.231091e+02 7.436454e+02 -6.556925e-20)	(5.976557e-01 -3.132363e+00 3.814932e-21)
0.092        	(1.217404e+02 8.301846e+02 4.294352e-19)	(1.263111e+02 8.297629e+02 3.314496e-19)	(-4.570653e+00 4.216896e-01 9.798558e-20)
0.093        	(1.191464e+02 2.568474e+02 2.930512e-19)	(-3.943283e+00 2.051693e+02 5.075599e-19)	(1.230897e+02 5.167809e+01 -2.145087e-19)
0.094        	(-6.498064e+03 -3.625041e+04 8.815376e-18)	(-6.522561e+03 -3.618237e+04 9.177969e-18)	(2.449738e+01 -6.803437e+01 -3.625930e-19)
0.095        	(-4.624398e+04 -2.332396e+05 1.445869e-16)	(-4.647361e+04 -2.332744e+05 1.446827e-16)	(2.296211e+02 3.476364e+01 -9.578563e-20)
0.096        	(-1.134255e+07 -5.424525e+07 2.717527e-14)	(-1.132642e+07 -5.420500e+07 2.687330e-14)	(-1.613631e+04 -4.024217e+04 3.019683e-16)
0.097        	(-1.284191e+09 -7.385229e+09 -1.759552e-12)	(-1.284178e+09 -7.385217e+09 -1.759671e-12)	(-1.336004e+04 -1.152977e+04 1.183234e-16)
0.098        	(-7.419756e+08 -4.344224e+09 1.489598e-13)	(-7.419377e+08 -4.344190e+09 1.484958e-13)	(-3.794883e+04 -3.412820e+04 4.640068e-16)
0.099        	(-1.627751e+09 -9.357799e+09 -4.518980e-13)	(-1.628404e+09 -9.357518e+09 -4.623552e-13)	(6.534183e+05 -2.809967e+05 1.045723e-14)
