# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001        	(3.287427e+02 3.080234e+03 3.241929e-19)	(3.252900e+02 3.080150e+03 3.243429e-19)	(3.452704e+00 8.460167e-02 -1.500139e-22)
0.002        	(-1.254123e+02 -1.299588e+03 -1.660617e-19)	(-1.282754e+02 -1.299707e+03 -1.659544e-19)	(2.863060e+00 1.191173e-01 -1.073074e-22)
0.003        	(1.521309e+00 3.592949e-02 -1.199878e-19)	(-2.885111e-02 -4.535688e-02 -1.199339e-19)	(1.550160e+00 8.128637e-02 -5.392858e-23)
0.004        	(1.130982e+00 -1.672380e-01 -1.194284e-19)	(-6.114933e-02 -2.313786e-01 -1.194192e-19)	(1.192131e+00 6.414063e-02 -9.204337e-24)
0.005        	(8.199756e-01 9.253102e-02 -1.237531e-19)	(-2.905774e-01 1.650840e-02 -1.236797e-19)	(1.110553e+00 7.602262e-02 -7.338644e-23)
0.006        	(8.237481e-01 1.302340e+00 -1.202234e-19)	(-2.482514e-01 1.229261e+00 -1.200524e-19)	(1.071999e+00 7.307947e-02 -1.710249e-22)
0.007        	(1.558074e+00 8.960126e-01 -1.126474e-19)	(4.804427e-01 8.190024e-01 -1.124329e-19)	(1.077631e+00 7.701021e-02 -2.144818e-22)
0.008        	(2.444171e+00 4.162059e-01 -1.153364e-19)	(1.366439e+00 3.384191e-01 -1.150629e-19)	(1.077732e+00 7.778677e-02 -2.735049e-22)
0.009        	(3.161549e+00 2.216735e+00 -1.148994e-19)	(2.108390e+00 2.138759e+00 -1.147671e-19)	(1.053159e+00 7.797670e-02 -1.322654e-22)
0.01         	(3.144275e+00 2.226205e+00 -1.114220e-19)	(2.080166e+00 2.137738e+00 -1.113110e-19)	(1.064109e+00 8.846684e-02 -1.109750e-22)
0.011        	(4.577808e+00 2.349584e+00 -1.126095e-19)	(3.500430e+00 2.264605e+00 -1.125606e-19)	(1.077377e+00 8.497881e-02 -4.889506e-23)
0.012        	(5.668596e+00 2.684229e+00 -1.210417e-19)	(4.570715e+00 2.602600e+00 -1.210323e-19)	(1.097880e+00 8.162864e-02 -9.458289e-24)
0.013        	(5.913355e+00 4.225729e+00 -1.102204e-19)	(4.812834e+00 4.138998e+00 -1.101743e-19)	(1.100521e+00 8.673118e-02 -4.617714e-23)
0.014        	(5.636759e+00 5.151101e+00 -1.077859e-19)	(4.557034e+00 5.076594e+00 -1.076918e-19)	(1.079726e+00 7.450713e-02 -9.410660e-23)
0.015        	(5.131716e+00 4.463631e+00 -1.072647e-19)	(4.045091e+00 4.407388e+00 -1.072273e-19)	(1.086626e+00 5.624372e-02 -3.735413e-23)
0.016        	(5.800490e+00 3.364507e+00 -1.087044e-19)	(4.701576e+00 3.312991e+00 -1.087291e-19)	(1.098913e+00 5.151648e-02 2.474919e-23)
0.017        	(6.159180e+00 3.874066e+00 -1.071181e-19)	(5.049065e+00 3.815516e+00 -1.071653e-19)	(1.110115e+00 5.854966e-02 4.723796e-23)
0.018        	(6.297273e+00 3.028509e+00 -1.087305e-19)	(5.159329e+00 2.958348e+00 -1.088666e-19)	(1.137944e+00 7.016022e-02 1.361373e-22)
0.019        	(6.531938e+00 3.654546e+00 -1.082307e-19)	(5.354219e+00 3.584523e+00 -1.084678e-19)	(1.177719e+00 7.002263e-02 2.371496e-22)
0.02         	(6.804183e+00 5.101558e+00 -1.033221e-19)	(5.600038e+00 5.026666e+00 -1.035742e-19)	(1.204145e+00 7.489205e-02 2.520701e-22)
0.021        	(7.196274e+00 4.597399e+00 -1.078548e-19)	(5.965578e+00 4.514756e+00 -1.080369e-19)	(1.230696e+00 8.264257e-02 1.820976e-22)
0.022        	(7.669774e+00 6.232532e+00 -1.137046e-19)	(6.403724e+00 6.162614e+00 -1.138715e-19)	(1.266049e+00 6.991781e-02 1.669112e-22)
0.023        	(7.611968e+00 5.288463e+00 -1.136675e-19)	(6.308522e+00 5.221538e+00 -1.138796e-19)	(1.303446e+00 6.692483e-02 2.121276e-22)
0.024        	(7.720491e+00 6.089635e+00 -1.122629e-19)	(6.371775e+00 6.025390e+00 -1.123813e-19)	(1.348716e+00 6.424566e-02 1.183977e-22)
0.025        	(7.952923e+00 5.389991e+00 -1.158986e-19)	(6.573922e+00 5.324615e+00 -1.159502e-19)	(1.379000e+00 6.537639e-02 5.166039e-23)
0.026        	(8.464653e+00 6.148782e+00 -1.135067e-19)	(7.048234e+00 6.082845e+00 -1.137434e-19)	(1.416420e+00 6.593651e-02 2.367062e-22)
0.027        	(8.129172e+00 5.819509e+00 -1.135471e-19)	(6.677336e+00 5.756159e+00 -1.139151e-19)	(1.451837e+00 6.334988e-02 3.680137e-22)
0.028        	(8.022850e+00 7.182663e+00 -1.145914e-19)	(6.542556e+00 7.133506e+00 -1.147809e-19)	(1.480295e+00 4.915683e-02 1.894865e-22)
0.029        	(8.208120e+00 5.082377e+00 -1.135226e-19)	(6.681446e+00 5.036288e+00 -1.135228e-19)	(1.526674e+00 4.608817e-02 1.443666e-25)
0.03         	(8.671766e+00 7.429540e+00 -1.138882e-19)	(7.099987e+00 7.388227e+00 -1.139293e-19)	(1.571779e+00 4.131328e-02 4.103770e-23)
0.031        	(9.119938e+00 9.230426e+00 -1.177353e-19)	(7.518178e+00 9.205747e+00 -1.179225e-19)	(1.601760e+00 2.467844e-02 1.871725e-22)
0.032        	(9.316156e+00 8.875876e+00 -1.127808e-19)	(7.701733e+00 8.869543e+00 -1.128344e-19)	(1.614422e+00 6.332880e-03 5.364534e-23)
0.033        	(9.808893e+00 6.812536e+00 -1.053256e-19)	(8.181477e+00 6.812058e+00 -1.052525e-19)	(1.627416e+00 4.778332e-04 -7.305576e-23)
0.034        	(9.852899e+00 6.942365e+00 -1.059388e-19)	(8.174418e+00 6.946651e+00 -1.059167e-19)	(1.678481e+00 -4.285589e-03 -2.214875e-23)
0.035        	(9.304809e+00 6.367286e+00 -1.071760e-19)	(7.603103e+00 6.369909e+00 -1.072460e-19)	(1.701706e+00 -2.623809e-03 7.006553e-23)
0.036        	(9.014757e+00 8.093846e+00 -1.062036e-19)	(7.282777e+00 8.111162e+00 -1.064339e-19)	(1.731981e+00 -1.731566e-02 2.303324e-22)
0.037        	(9.559600e+00 7.940849e+00 -1.029853e-19)	(7.796728e+00 7.962851e+00 -1.032309e-19)	(1.762872e+00 -2.200183e-02 2.455590e-22)
0.038        	(9.577680e+00 7.035153e+00 -1.166922e-19)	(7.793744e+00 7.058895e+00 -1.168770e-19)	(1.783936e+00 -2.374213e-02 1.847934e-22)
0.039        	(9.356406e+00 7.544732e+00 -1.209813e-19)	(7.575642e+00 7.579001e+00 -1.210436e-19)	(1.780764e+00 -3.426868e-02 6.230197e-23)
0.04         	(9.739604e+00 6.790386e+00 -1.027324e-19)	(7.945943e+00 6.824826e+00 -1.027669e-19)	(1.793662e+00 -3.443984e-02 3.448301e-23)
0.041        	(9.642428e+00 7.196067e+00 -1.027544e-19)	(7.859423e+00 7.236969e+00 -1.029703e-19)	(1.783005e+00 -4.090235e-02 2.159526e-22)
0.042        	(9.888600e+00 7.973784e+00 -1.093467e-19)	(8.099820e+00 8.017420e+00 -1.097587e-19)	(1.788780e+00 -4.363632e-02 4.119629e-22)
0.043        	(9.570484e+00 6.137460e+00 -1.118295e-19)	(7.796855e+00 6.172324e+00 -1.123298e-19)	(1.773629e+00 -3.486427e-02 5.003029e-22)
0.044        	(9.788664e+00 7.136178e+00 -1.100523e-19)	(7.996723e+00 7.168990e+00 -1.103108e-19)	(1.791940e+00 -3.281235e-02 2.584706e-22)
0.045        	(1.000621e+01 9.028829e+00 -1.070941e-19)	(8.202680e+00 9.061467e+00 -1.072452e-19)	(1.803531e+00 -3.263823e-02 1.510604e-22)
0.046        	(9.475270e+00 1.068227e+01 -1.080381e-19)	(7.655751e+00 1.072290e+01 -1.084338e-19)	(1.819519e+00 -4.062231e-02 3.956897e-22)
0.047        	(1.046792e+01 1.063137e+01 -1.003596e-19)	(8.652098e+00 1.065727e+01 -1.008517e-19)	(1.815823e+00 -2.590496e-02 4.920962e-22)
0.048        	(9.508206e+00 7.422218e+00 -1.103368e-19)	(7.683426e+00 7.437838e+00 -1.105191e-19)	(1.824780e+00 -1.562024e-02 1.823696e-22)
0.049        	(9.545201e+00 6.871469e+00 -1.118233e-19)	(7.716877e+00 6.906105e+00 -1.122149e-19)	(1.828324e+00 -3.463541e-02 3.915807e-22)
0.05         	(9.668518e+00 6.011741e+00 -1.130412e-19)	(7.814194e+00 6.083783e+00 -1.138208e-19)	(1.854324e+00 -7.204163e-02 7.796178e-22)
0.051        	(9.953289e+00 1.077172e+01 -1.053442e-19)	(8.058098e+00 1.084458e+01 -1.057376e-19)	(1.895191e+00 -7.285200e-02 3.933719e-22)
0.052        	(1.006740e+01 1.058888e+01 -9.844162e-20)	(8.138195e+00 1.063764e+01 -9.815925e-20)	(1.929207e+00 -4.876468e-02 -2.823737e-22)
0.053        	(1.006784e+01 1.024714e+01 -1.075133e-19)	(8.107836e+00 1.031661e+01 -1.071956e-19)	(1.960006e+00 -6.946926e-02 -3.177372e-22)
0.054        	(1.079392e+01 1.027099e+01 -1.185592e-19)	(8.827217e+00 1.036415e+01 -1.186911e-19)	(1.966705e+00 -9.316316e-02 1.319304e-22)
0.055        	(1.106998e+01 1.039381e+01 -1.146579e-19)	(9.075863e+00 1.051790e+01 -1.149840e-19)	(1.994116e+00 -1.240897e-01 3.261591e-22)
0.056        	(9.486468e+00 4.518151e+00 -1.100612e-19)	(7.445637e+00 4.582754e+00 -1.101801e-19)	(2.040832e+00 -6.460350e-02 1.188785e-22)
0.057        	(9.049938e+00 6.453609e+00 -9.538178e-20)	(6.998532e+00 6.486744e+00 -9.541008e-20)	(2.051406e+00 -3.313487e-02 2.829494e-23)
0.058        	(9.183905e+00 9.593594e+00 -1.089211e-19)	(7.114020e+00 9.665843e+00 -1.094033e-19)	(2.069885e+00 -7.224958e-02 4.822086e-22)
0.059        	(8.858102e+00 9.418688e+00 -1.203752e-19)	(6.854311e+00 9.492583e+00 -1.203979e-19)	(2.003790e+00 -7.389504e-02 2.275476e-23)
0.06         	(9.689908e+00 9.337706e+00 -1.085440e-19)	(7.735648e+00 9.369219e+00 -1.081446e-19)	(1.954260e+00 -3.151259e-02 -3.993921e-22)
0.061        	(1.010570e+01 1.103072e+01 -9.981927e-20)	(8.104143e+00 1.112557e+01 -9.988919e-20)	(2.001554e+00 -9.484118e-02 6.991647e-23)
0.062        	(9.064537e+00 5.449445e+00 -1.026916e-19)	(7.010468e+00 5.584870e+00 -1.032417e-19)	(2.054068e+00 -1.354252e-01 5.501120e-22)
0.063        	(8.008473e+00 7.850548e+00 -1.215135e-19)	(5.980725e+00 7.924975e+00 -1.217382e-19)	(2.027747e+00 -7.442696e-02 2.246441e-22)
0.064        	(8.609622e+00 8.085246e+00 -1.238146e-19)	(6.568985e+00 8.130872e+00 -1.236453e-19)	(2.040637e+00 -4.562541e-02 -1.693318e-22)
0.065        	(8.246152e+00 9.205123e+00 -1.049754e-19)	(6.258764e+00 9.263196e+00 -1.048779e-19)	(1.987388e+00 -5.807279e-02 -9.754005e-23)
0.066        	(9.731719e+00 8.471973e+00 -1.034436e-19)	(7.720818e+00 8.502888e+00 -1.033566e-19)	(2.010900e+00 -3.091485e-02 -8.704898e-23)
