# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001        	(3.745084e+02 2.309414e+03 2.315884e-19)	(3.710286e+02 2.309351e+03 2.317346e-19)	(3.479873e+00 6.261837e-02 -1.461839e-22)
0.002        	(-1.509890e+02 -8.927627e+02 -1.649172e-19)	(-1.539133e+02 -8.928623e+02 -1.648182e-19)	(2.924326e+00 9.960949e-02 -9.900603e-23)
0.003        	(1.711521e+00 -3.071987e-01 -1.217242e-19)	(-9.443388e-03 -3.858958e-01 -1.216471e-19)	(1.720964e+00 7.869706e-02 -7.703474e-23)
0.004        	(1.437627e+00 4.656552e-01 -1.198968e-19)	(6.861944e-02 3.970439e-01 -1.198487e-19)	(1.369008e+00 6.861131e-02 -4.808520e-23)
0.005        	(1.091602e+00 2.490856e-01 -1.229803e-19)	(-1.717971e-01 1.739555e-01 -1.228542e-19)	(1.263399e+00 7.513002e-02 -1.261275e-22)
0.006        	(1.166753e+00 -1.015340e-01 -1.168954e-19)	(-5.605358e-02 -1.735172e-01 -1.166041e-19)	(1.222807e+00 7.198322e-02 -2.912879e-22)
0.007        	(1.765748e+00 1.930173e+00 -1.081023e-19)	(5.501430e-01 1.865155e+00 -1.077268e-19)	(1.215605e+00 6.501809e-02 -3.754556e-22)
0.008        	(2.922969e+00 2.659424e+00 -1.145596e-19)	(1.734830e+00 2.601695e+00 -1.144902e-19)	(1.188139e+00 5.772867e-02 -6.943775e-23)
0.009        	(2.809728e+00 2.281603e+00 -1.131258e-19)	(1.658131e+00 2.222412e+00 -1.131208e-19)	(1.151597e+00 5.919077e-02 -4.956537e-24)
0.01         	(4.434354e+00 1.972872e+00 -1.170538e-19)	(3.307754e+00 1.907569e+00 -1.170316e-19)	(1.126599e+00 6.530336e-02 -2.220132e-23)
0.011        	(6.039335e+00 2.534563e+00 -1.248383e-19)	(4.891201e+00 2.477286e+00 -1.248970e-19)	(1.148134e+00 5.727742e-02 5.876188e-23)
0.012        	(5.367721e+00 2.780455e+00 -1.223463e-19)	(4.219335e+00 2.731177e+00 -1.224219e-19)	(1.148385e+00 4.927846e-02 7.558385e-23)
0.013        	(4.798912e+00 1.821039e+00 -1.175263e-19)	(3.640077e+00 1.767404e+00 -1.175718e-19)	(1.158835e+00 5.363502e-02 4.546054e-23)
