# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001        	(4.520495e+02 8.150498e+01 -2.397025e-19)	(4.485347e+02 8.150703e+01 -2.395711e-19)	(3.514829e+00 -2.045698e-03 -1.314104e-22)
0.002        	(-9.531268e+00 2.029063e+00 -1.487401e-19)	(-1.248415e+01 2.024993e+00 -1.486271e-19)	(2.952883e+00 4.070250e-03 -1.129791e-22)
0.003        	(5.929525e+00 2.952711e-01 -1.241448e-19)	(3.720883e+00 2.870184e-01 -1.240248e-19)	(2.208642e+00 8.252779e-03 -1.199730e-22)
0.004        	(7.328180e+00 1.184174e-01 -1.313668e-19)	(5.382990e+00 1.065957e-01 -1.312786e-19)	(1.945190e+00 1.182170e-02 -8.821872e-23)
0.005        	(7.639759e+00 -1.719525e-01 -1.368257e-19)	(5.868670e+00 -1.862866e-01 -1.367689e-19)	(1.771089e+00 1.433411e-02 -5.684428e-23)
0.006        	(7.042478e+00 -8.584530e-03 -1.360999e-19)	(5.333330e+00 -3.001323e-02 -1.360240e-19)	(1.709147e+00 2.142870e-02 -7.593472e-23)
0.007        	(8.136824e+00 1.265911e-02 -1.364414e-19)	(6.472460e+00 -9.409176e-03 -1.363831e-19)	(1.664364e+00 2.206828e-02 -5.831223e-23)
0.008        	(8.693898e+00 1.421227e-01 -1.396697e-19)	(7.051512e+00 1.220562e-01 -1.396501e-19)	(1.642386e+00 2.006655e-02 -1.959356e-23)
0.009        	(8.384791e+00 1.090113e-01 -1.355098e-19)	(6.773991e+00 9.546973e-02 -1.355137e-19)	(1.610801e+00 1.354160e-02 3.844356e-24)
0.01         	(8.675599e+00 -4.983842e-01 -1.374886e-19)	(7.098395e+00 -5.152340e-01 -1.375253e-19)	(1.577204e+00 1.684978e-02 3.678150e-23)
0.011        	(8.702599e+00 -5.772575e-01 -1.390630e-19)	(7.162203e+00 -5.968129e-01 -1.390771e-19)	(1.540396e+00 1.955547e-02 1.412669e-23)
0.012        	(9.811310e+00 -1.341852e-01 -1.440333e-19)	(8.270419e+00 -1.471001e-01 -1.440361e-19)	(1.540891e+00 1.291488e-02 2.821928e-24)
0.013        	(1.184559e+01 -1.021371e-01 -1.537314e-19)	(1.030721e+01 -1.130396e-01 -1.537680e-19)	(1.538379e+00 1.090250e-02 3.656102e-23)
0.014        	(1.156475e+01 2.191439e-01 -1.446570e-19)	(1.001067e+01 2.089883e-01 -1.447136e-19)	(1.554081e+00 1.015561e-02 5.662562e-23)
0.015        	(1.440883e+01 4.060779e-01 -1.441702e-19)	(1.283359e+01 3.969587e-01 -1.442369e-19)	(1.575244e+00 9.119226e-03 6.670847e-23)
0.016        	(1.539303e+01 1.636225e-01 -1.411624e-19)	(1.379337e+01 1.517271e-01 -1.411994e-19)	(1.599667e+00 1.189531e-02 3.698583e-23)
0.017        	(1.933371e+01 3.023663e+00 -1.127814e-19)	(1.770285e+01 3.014174e+00 -1.128328e-19)	(1.630864e+00 9.488989e-03 5.139692e-23)
0.018        	(2.277105e+01 5.945569e+00 -1.062494e-19)	(2.110836e+01 5.938651e+00 -1.063328e-19)	(1.662695e+00 6.917897e-03 8.341276e-23)
0.019        	(3.015138e+01 6.168828e+00 -9.543821e-20)	(2.846293e+01 6.162119e+00 -9.550920e-20)	(1.688448e+00 6.709014e-03 7.099085e-23)
0.02         	(4.769907e+01 2.607675e+00 -1.203072e-19)	(4.600230e+01 2.602491e+00 -1.203842e-19)	(1.696768e+00 5.183843e-03 7.697604e-23)
