# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001        	(3.834047e+02 -2.220610e+03 -1.129693e-18)	(3.799114e+02 -2.220541e+03 -1.129595e-18)	(3.493300e+00 -6.966144e-02 -9.856864e-23)
0.002        	(-1.512773e+02 7.584413e+02 9.879520e-20)	(-1.542269e+02 7.585479e+02 9.890297e-20)	(2.949633e+00 -1.065778e-01 -1.077685e-22)
0.003        	(2.091758e+00 2.177356e+00 -1.204609e-19)	(2.983630e-01 2.256985e+00 -1.203452e-19)	(1.793395e+00 -7.962899e-02 -1.157190e-22)
0.004        	(1.364529e+00 -4.647110e-01 -1.220879e-19)	(-5.220321e-02 -4.056838e-01 -1.219387e-19)	(1.416733e+00 -5.902712e-02 -1.492230e-22)
0.005        	(1.031048e+00 -7.857308e-01 -1.222949e-19)	(-2.703870e-01 -7.241348e-01 -1.220602e-19)	(1.301435e+00 -6.159602e-02 -2.347173e-22)
0.006        	(8.461190e-01 -1.421502e+00 -1.256858e-19)	(-3.902226e-01 -1.362691e+00 -1.252409e-19)	(1.236342e+00 -5.881102e-02 -4.449000e-22)
0.007        	(1.520225e+00 -1.494244e+00 -1.470348e-19)	(2.597797e-01 -1.447686e+00 -1.462968e-19)	(1.260445e+00 -4.655748e-02 -7.379962e-22)
0.008        	(2.172898e+00 -2.454960e+00 -1.453105e-19)	(9.173642e-01 -2.403568e+00 -1.446760e-19)	(1.255534e+00 -5.139233e-02 -6.344955e-22)
0.009        	(2.732876e+00 -3.338047e+00 -1.511863e-19)	(1.498547e+00 -3.292479e+00 -1.507979e-19)	(1.234328e+00 -4.556837e-02 -3.883839e-22)
0.01         	(3.205221e+00 -3.597246e+00 -1.579424e-19)	(1.974802e+00 -3.570616e+00 -1.576724e-19)	(1.230420e+00 -2.663036e-02 -2.699902e-22)
0.011        	(5.191153e+00 -2.855697e+00 -1.661100e-19)	(3.968160e+00 -2.822172e+00 -1.658214e-19)	(1.222993e+00 -3.352489e-02 -2.886391e-22)
0.012        	(5.306577e+00 -2.119429e+00 -1.573348e-19)	(4.100861e+00 -2.074413e+00 -1.570994e-19)	(1.205716e+00 -4.501569e-02 -2.354461e-22)
0.013        	(5.749699e+00 -2.183430e+00 -1.451153e-19)	(4.549399e+00 -2.153797e+00 -1.449408e-19)	(1.200301e+00 -2.963324e-02 -1.744779e-22)
0.014        	(5.885589e+00 -3.351301e+00 -1.506607e-19)	(4.683017e+00 -3.328840e+00 -1.505691e-19)	(1.202572e+00 -2.246132e-02 -9.150891e-23)
0.015        	(5.984966e+00 -3.067542e+00 -1.592094e-19)	(4.782504e+00 -3.045502e+00 -1.591935e-19)	(1.202462e+00 -2.204015e-02 -1.584222e-23)
0.016        	(6.461840e+00 -3.444244e+00 -1.569029e-19)	(5.240194e+00 -3.428629e+00 -1.569502e-19)	(1.221646e+00 -1.561539e-02 4.728087e-23)
0.017        	(6.616379e+00 -3.284754e+00 -1.607299e-19)	(5.383355e+00 -3.263458e+00 -1.607915e-19)	(1.233024e+00 -2.129592e-02 6.158746e-23)
