# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001        	(2.693551e+02 -4.092371e+03 -1.923914e-18)	(2.659429e+02 -4.092244e+03 -1.923815e-18)	(3.412227e+00 -1.272180e-01 -9.920196e-23)
0.002        	(-9.257895e+01 1.764847e+03 5.194619e-19)	(-9.536194e+01 1.765004e+03 5.195566e-19)	(2.782991e+00 -1.567720e-01 -9.468571e-23)
0.003        	(1.361467e+00 8.463659e-02 -1.200011e-19)	(-3.990424e-02 1.762232e-01 -1.199260e-19)	(1.401371e+00 -9.158663e-02 -7.506988e-23)
0.004        	(5.900212e-01 -1.536726e+00 -1.214772e-19)	(-3.746325e-01 -1.480888e+00 -1.214618e-19)	(9.646537e-01 -5.583812e-02 -1.543893e-23)
0.005        	(4.270413e-01 -1.592441e+00 -1.221647e-19)	(-4.632362e-01 -1.533574e+00 -1.221837e-19)	(8.902774e-01 -5.886680e-02 1.900347e-23)
0.006        	(3.437228e-01 -1.340528e+00 -1.226832e-19)	(-5.101690e-01 -1.282709e+00 -1.226801e-19)	(8.538919e-01 -5.781930e-02 -3.092310e-24)
0.007        	(8.130495e-01 -1.308724e+00 -1.349585e-19)	(-7.317886e-02 -1.241616e+00 -1.348569e-19)	(8.862283e-01 -6.710787e-02 -1.015903e-22)
0.008        	(1.493103e+00 -1.780410e+00 -1.500850e-19)	(5.916995e-01 -1.700460e+00 -1.497358e-19)	(9.014032e-01 -7.995006e-02 -3.491177e-22)
0.009        	(1.503790e+00 -2.396652e+00 -1.407053e-19)	(5.822541e-01 -2.306868e+00 -1.400312e-19)	(9.215361e-01 -8.978448e-02 -6.740747e-22)
0.01         	(2.533462e+00 -3.832088e+00 -1.383797e-19)	(1.604133e+00 -3.748035e+00 -1.375783e-19)	(9.293287e-01 -8.405373e-02 -8.014584e-22)
0.011        	(3.333616e+00 -3.628945e+00 -1.562532e-19)	(2.407885e+00 -3.543433e+00 -1.555793e-19)	(9.257312e-01 -8.551140e-02 -6.739781e-22)
0.012        	(5.647789e+00 -4.638649e+00 -1.593735e-19)	(4.736918e+00 -4.557674e+00 -1.590409e-19)	(9.108715e-01 -8.097559e-02 -3.325339e-22)
0.013        	(4.683195e+00 -4.093150e+00 -1.451877e-19)	(3.777740e+00 -4.021681e+00 -1.449604e-19)	(9.054551e-01 -7.146896e-02 -2.272656e-22)
0.014        	(5.038429e+00 -4.286803e+00 -1.508437e-19)	(4.123173e+00 -4.225702e+00 -1.506043e-19)	(9.152566e-01 -6.110061e-02 -2.393838e-22)
