# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001        	(4.940554e+02 7.690867e+02 -1.717702e-19)	(4.905406e+02 7.690678e+02 -1.716394e-19)	(3.514807e+00 1.884977e-02 -1.307955e-22)
0.002        	(1.326320e+01 3.743233e+01 -1.327843e-19)	(1.028585e+01 3.738944e+01 -1.326498e-19)	(2.977346e+00 4.289256e-02 -1.345070e-22)
0.003        	(2.655856e+01 9.554560e+01 -1.409357e-19)	(2.409197e+01 9.548566e+01 -1.407773e-19)	(2.466588e+00 5.994494e-02 -1.583861e-22)
0.004        	(3.111582e+01 1.402707e+02 -1.219095e-19)	(2.885214e+01 1.401981e+02 -1.218035e-19)	(2.263683e+00 7.259811e-02 -1.060078e-22)
0.005        	(4.991565e+01 2.948030e+02 -9.133879e-20)	(4.775589e+01 2.947263e+02 -9.129195e-20)	(2.159755e+00 7.671558e-02 -4.684440e-23)
0.006        	(4.849056e+01 2.395082e+02 -1.241153e-19)	(4.635631e+01 2.394162e+02 -1.241014e-19)	(2.134251e+00 9.203645e-02 -1.391893e-23)
0.007        	(4.802634e+01 2.631803e+02 -1.218361e-19)	(4.586173e+01 2.630722e+02 -1.218040e-19)	(2.164609e+00 1.081680e-01 -3.213105e-23)
0.008        	(4.825785e+01 3.536438e+02 -7.282427e-20)	(4.604884e+01 3.535273e+02 -7.272898e-20)	(2.209007e+00 1.165137e-01 -9.528985e-23)
0.009        	(5.249147e+01 4.095123e+02 4.708645e-20)	(5.022619e+01 4.093889e+02 4.700322e-20)	(2.265278e+00 1.234029e-01 8.322292e-23)
0.01         	(5.270010e+01 4.508431e+02 4.053934e-20)	(5.033436e+01 4.506682e+02 4.032257e-20)	(2.365738e+00 1.748349e-01 2.167699e-22)
0.011        	(5.927737e+01 5.062746e+02 -3.233443e-21)	(5.676505e+01 5.060187e+02 -3.394597e-21)	(2.512317e+00 2.559169e-01 1.611547e-22)
0.012        	(3.885845e+01 8.646561e+02 -5.757346e-20)	(3.623258e+01 8.643198e+02 -5.699758e-20)	(2.625863e+00 3.362453e-01 -5.758781e-22)
0.013        	(2.782300e+01 1.156445e+03 7.240406e-20)	(2.514034e+01 1.156208e+03 7.209903e-20)	(2.682652e+00 2.364518e-01 3.050294e-22)
0.014        	(3.510238e+01 1.060761e+03 -1.808274e-19)	(3.231730e+01 1.060420e+03 -1.814715e-19)	(2.785079e+00 3.411857e-01 6.441271e-22)
