# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001        	(5.036311e+02 -5.538448e+02 -3.201378e-19)	(5.001108e+02 -5.538225e+02 -3.200079e-19)	(3.520330e+00 -2.231184e-02 -1.299462e-22)
0.002        	(1.817687e+01 -2.615162e+01 -1.715297e-19)	(1.518688e+01 -2.611391e+01 -1.713850e-19)	(2.989993e+00 -3.771251e-02 -1.447314e-22)
0.003        	(3.474054e+01 -1.116095e+02 -1.977102e-19)	(3.221217e+01 -1.115620e+02 -1.976333e-19)	(2.528366e+00 -4.742812e-02 -7.690911e-23)
0.004        	(5.428748e+01 -1.770772e+02 -1.952472e-19)	(5.195546e+01 -1.770268e+02 -1.951998e-19)	(2.332017e+00 -5.040579e-02 -4.744065e-23)
0.005        	(5.039489e+01 -1.977299e+02 -2.140873e-19)	(4.814910e+01 -1.976713e+02 -2.140052e-19)	(2.245795e+00 -5.862456e-02 -8.212047e-23)
0.006        	(5.632503e+01 -2.004463e+02 -2.217993e-19)	(5.407981e+01 -2.003664e+02 -2.217333e-19)	(2.245216e+00 -7.995597e-02 -6.599103e-23)
0.007        	(6.603749e+01 -2.415176e+02 -2.672115e-19)	(6.372457e+01 -2.414238e+02 -2.673180e-19)	(2.312928e+00 -9.383815e-02 1.064479e-22)
0.008        	(6.763879e+01 -3.642933e+02 -3.352617e-19)	(6.523340e+01 -3.641951e+02 -3.354282e-19)	(2.405389e+00 -9.817050e-02 1.665029e-22)
0.009        	(7.525181e+01 -3.441375e+02 -3.615253e-19)	(7.273699e+01 -3.440130e+02 -3.618626e-19)	(2.514816e+00 -1.245690e-01 3.373748e-22)
0.01         	(9.036863e+01 -4.928443e+02 -5.591206e-19)	(8.770073e+01 -4.927679e+02 -5.593440e-19)	(2.667899e+00 -7.642550e-02 2.233893e-22)
0.011        	(1.276948e+02 -3.414640e+02 -5.517366e-19)	(1.248574e+02 -3.413191e+02 -5.524770e-19)	(2.837408e+00 -1.449178e-01 7.404257e-22)
0.012        	(1.416930e+02 -4.394622e+02 -6.488700e-19)	(1.387128e+02 -4.391066e+02 -6.499271e-19)	(2.980253e+00 -3.555439e-01 1.057135e-21)
0.013        	(7.575864e+01 -8.229127e+02 -9.549251e-19)	(7.267348e+01 -8.223921e+02 -9.571882e-19)	(3.085159e+00 -5.205885e-01 2.263147e-21)
0.014        	(4.968744e+01 -1.185319e+03 -7.467765e-19)	(4.646430e+01 -1.184722e+03 -7.484136e-19)	(3.223139e+00 -5.971713e-01 1.637082e-21)
0.015        	(9.446557e-01 -1.939538e+03 -1.232431e-18)	(-2.281265e+00 -1.938996e+03 -1.232463e-18)	(3.225921e+00 -5.415114e-01 3.168712e-23)
0.016        	(6.667196e+01 -1.404374e+03 -1.112447e-18)	(6.348145e+01 -1.404361e+03 -1.112134e-18)	(3.190510e+00 -1.309132e-02 -3.126389e-22)
0.017        	(9.436674e+01 -7.776387e+02 -9.545827e-19)	(9.122326e+01 -7.776942e+02 -9.535607e-19)	(3.143480e+00 5.550027e-02 -1.022014e-21)
0.018        	(9.321406e+01 -7.064451e+02 -9.750639e-19)	(9.003775e+01 -7.065330e+02 -9.740271e-19)	(3.176310e+00 8.791340e-02 -1.036805e-21)
0.019        	(9.586232e+01 -6.035303e+02 -9.138140e-19)	(9.261127e+01 -6.037739e+02 -9.146282e-19)	(3.251046e+00 2.436145e-01 8.142243e-22)
0.02         	(9.766189e+01 -5.852268e+02 -9.127854e-19)	(9.434400e+01 -5.856146e+02 -9.145317e-19)	(3.317883e+00 3.877984e-01 1.746308e-21)
0.021        	(7.955275e+01 -2.163976e+02 -7.204737e-19)	(7.621389e+01 -2.168100e+02 -7.208983e-19)	(3.338860e+00 4.124528e-01 4.245841e-22)
0.022        	(7.132548e+01 -3.261595e+02 -2.530309e-19)	(6.786849e+01 -3.266476e+02 -2.547675e-19)	(3.456989e+00 4.880998e-01 1.736675e-21)
0.023        	(5.656905e+01 -1.668554e+02 -4.211731e-19)	(5.273843e+01 -1.679371e+02 -4.231867e-19)	(3.830618e+00 1.081719e+00 2.013600e-21)
0.024        	(2.588352e+01 1.291528e+02 -9.680270e-19)	(2.204373e+01 1.277257e+02 -9.680978e-19)	(3.839788e+00 1.427051e+00 7.085082e-23)
0.025        	(-1.796911e+01 1.631525e+02 -1.736304e-18)	(-2.214920e+01 1.606402e+02 -1.737627e-18)	(4.180092e+00 2.512274e+00 1.323330e-21)
0.026        	(-1.639397e+02 1.236370e+03 -3.702698e-18)	(-1.678754e+02 1.233196e+03 -3.687739e-18)	(3.935729e+00 3.174496e+00 -1.495942e-20)
0.027        	(-4.612026e+02 3.731121e+03 -4.212553e-18)	(-4.655406e+02 3.728669e+03 -4.198107e-18)	(4.337989e+00 2.451403e+00 -1.444617e-20)
0.028        	(-1.332243e+02 1.236899e+03 -1.744994e-18)	(-1.367122e+02 1.236718e+03 -1.744166e-18)	(3.487918e+00 1.811164e-01 -8.277103e-22)
0.029        	(8.886296e+00 -1.377404e+01 -9.476904e-19)	(5.795137e+00 -1.390617e+01 -9.469933e-19)	(3.091158e+00 1.321241e-01 -6.970728e-22)
0.03         	(3.365433e+00 -1.769286e+01 -9.401441e-19)	(5.342104e-01 -1.781051e+01 -9.400202e-19)	(2.831223e+00 1.176577e-01 -1.238722e-22)
0.031        	(5.332562e+00 -2.872292e+01 -9.305102e-19)	(2.646074e+00 -2.880079e+01 -9.308476e-19)	(2.686488e+00 7.786937e-02 3.374231e-22)
0.032        	(5.837357e+00 -3.834543e+00 -9.327766e-19)	(3.260569e+00 -3.888975e+00 -9.328870e-19)	(2.576789e+00 5.443117e-02 1.104269e-22)
0.033        	(4.949557e+00 -3.011289e+01 -9.312723e-19)	(2.458014e+00 -3.016816e+01 -9.310591e-19)	(2.491543e+00 5.526587e-02 -2.132214e-22)
0.034        	(4.614530e+00 -2.951423e+01 -9.441069e-19)	(2.191085e+00 -2.957329e+01 -9.440560e-19)	(2.423445e+00 5.905707e-02 -5.096177e-23)
0.035        	(4.510871e+00 -1.920894e+01 -9.524902e-19)	(2.149085e+00 -1.926011e+01 -9.525274e-19)	(2.361786e+00 5.116985e-02 3.724038e-23)
0.036        	(5.198365e+00 -3.229020e+01 -9.386019e-19)	(2.892293e+00 -3.232562e+01 -9.384057e-19)	(2.306072e+00 3.542406e-02 -1.962517e-22)
