# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001        	(3.693980e+02 2.823344e+03 2.530427e-19)	(3.659248e+02 2.823272e+03 2.531927e-19)	(3.473178e+00 7.167858e-02 -1.499160e-22)
0.002        	(-1.421079e+02 -9.985127e+02 -1.522821e-19)	(-1.450142e+02 -9.986229e+02 -1.521744e-19)	(2.906279e+00 1.101973e-01 -1.076930e-22)
0.003        	(1.633257e+00 -8.144380e-02 -1.192914e-19)	(-1.502192e-02 -1.609681e-01 -1.192276e-19)	(1.648278e+00 7.952428e-02 -6.381675e-23)
0.004        	(1.298478e+00 3.559059e-01 -1.204102e-19)	(6.087985e-03 2.929233e-01 -1.203796e-19)	(1.292390e+00 6.298262e-02 -3.058632e-23)
0.005        	(9.775580e-01 1.109719e-01 -1.226871e-19)	(-2.255717e-01 4.313836e-02 -1.225744e-19)	(1.203130e+00 6.783352e-02 -1.127695e-22)
0.006        	(1.018328e+00 5.149776e-01 -1.195261e-19)	(-1.564149e-01 4.478972e-01 -1.192868e-19)	(1.174743e+00 6.708040e-02 -2.392556e-22)
0.007        	(1.746467e+00 1.539806e+00 -1.072127e-19)	(5.618709e-01 1.471099e+00 -1.069459e-19)	(1.184596e+00 6.870693e-02 -2.668552e-22)
0.008        	(2.873239e+00 1.740436e+00 -1.102435e-19)	(1.705788e+00 1.676757e+00 -1.100074e-19)	(1.167451e+00 6.367986e-02 -2.361168e-22)
0.009        	(3.049304e+00 2.775583e+00 -1.078406e-19)	(1.898954e+00 2.708637e+00 -1.076932e-19)	(1.150349e+00 6.694551e-02 -1.474395e-22)
0.01         	(3.592314e+00 1.500504e+00 -1.118023e-19)	(2.471117e+00 1.430639e+00 -1.116449e-19)	(1.121197e+00 6.986474e-02 -1.574617e-22)
0.011        	(4.973954e+00 1.965489e+00 -1.184751e-19)	(3.828521e+00 1.898584e+00 -1.183837e-19)	(1.145433e+00 6.690580e-02 -9.138379e-23)
0.012        	(6.830391e+00 2.593989e+00 -1.226690e-19)	(5.656558e+00 2.523919e+00 -1.226855e-19)	(1.173834e+00 7.007036e-02 1.647785e-23)
0.013        	(5.798549e+00 1.779802e+00 -1.165699e-19)	(4.625313e+00 1.703211e+00 -1.165484e-19)	(1.173236e+00 7.659120e-02 -2.151478e-23)
0.014        	(5.482083e+00 3.111045e+00 -1.122660e-19)	(4.323825e+00 3.042487e+00 -1.122236e-19)	(1.158259e+00 6.855770e-02 -4.238387e-23)
0.015        	(5.439020e+00 4.418156e+00 -1.163569e-19)	(4.275448e+00 4.365194e+00 -1.163526e-19)	(1.163572e+00 5.296214e-02 -4.256539e-24)
0.016        	(6.055796e+00 4.283887e+00 -1.201122e-19)	(4.878480e+00 4.234044e+00 -1.201586e-19)	(1.177316e+00 4.984314e-02 4.645545e-23)
0.017        	(6.778834e+00 4.181093e+00 -1.128912e-19)	(5.576071e+00 4.125199e+00 -1.129631e-19)	(1.202763e+00 5.589480e-02 7.183811e-23)
0.018        	(6.754072e+00 4.320410e+00 -1.126465e-19)	(5.517741e+00 4.262838e+00 -1.128129e-19)	(1.236331e+00 5.757259e-02 1.664206e-22)
0.019        	(6.758690e+00 4.550955e+00 -1.069245e-19)	(5.502294e+00 4.501365e+00 -1.071927e-19)	(1.256396e+00 4.958963e-02 2.681747e-22)
