# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.824055e+03 1.712786e+04 2.275473e-18)	(2.820439e+03 1.712752e+04 2.275866e-18)	(3.616016e+00 3.415693e-01 -3.936122e-22)
0.0002       	(-3.790903e+02 -2.542877e+03 -2.511376e-19)	(-3.824326e+02 -2.543185e+03 -2.507925e-19)	(3.342305e+00 3.078077e-01 -3.451085e-22)
0.0003       	(3.034767e+00 8.860511e-01 -1.275293e-19)	(8.925732e-02 6.159941e-01 -1.272300e-19)	(2.945510e+00 2.700569e-01 -2.993353e-22)
0.0004       	(2.728096e+00 5.461683e-01 -1.290963e-19)	(-6.644834e-02 2.918894e-01 -1.288244e-19)	(2.794544e+00 2.542789e-01 -2.718782e-22)
0.0005       	(2.794281e+00 2.847485e-01 -1.224267e-19)	(1.067880e-01 3.999261e-02 -1.221724e-19)	(2.687493e+00 2.447559e-01 -2.542654e-22)
0.0006       	(2.773488e+00 -3.005991e-01 -1.220795e-19)	(1.972454e-01 -5.354415e-01 -1.218384e-19)	(2.576242e+00 2.348423e-01 -2.411432e-22)
0.0007       	(2.781398e+00 -4.827270e-01 -1.223856e-19)	(3.014670e-01 -7.088697e-01 -1.221577e-19)	(2.479931e+00 2.261426e-01 -2.278722e-22)
0.0008       	(3.025649e+00 -1.147892e+00 -1.198452e-19)	(6.186518e-01 -1.365637e+00 -1.196306e-19)	(2.406997e+00 2.177452e-01 -2.145626e-22)
0.0009       	(3.517038e+00 8.894759e-01 -1.146556e-19)	(1.172966e+00 6.812872e-01 -1.144655e-19)	(2.344071e+00 2.081887e-01 -1.901525e-22)
0.001        	(3.675600e+00 2.169418e+00 -1.105231e-19)	(1.393916e+00 1.971705e+00 -1.103583e-19)	(2.281684e+00 1.977129e-01 -1.648557e-22)
0.0011       	(3.616636e+00 2.304305e+00 -1.113653e-19)	(1.395151e+00 2.116681e+00 -1.112136e-19)	(2.221486e+00 1.876241e-01 -1.517097e-22)
0.0012       	(3.817929e+00 1.101313e+00 -1.117915e-19)	(1.648253e+00 9.232166e-01 -1.116453e-19)	(2.169676e+00 1.780961e-01 -1.461798e-22)
0.0013       	(3.920195e+00 2.155610e-01 -1.147935e-19)	(1.798497e+00 4.650181e-02 -1.146502e-19)	(2.121698e+00 1.690592e-01 -1.432772e-22)
0.0014       	(4.371654e+00 1.316487e+00 -1.193309e-19)	(2.295590e+00 1.156386e+00 -1.191976e-19)	(2.076064e+00 1.601001e-01 -1.332950e-22)
0.0015       	(5.251283e+00 2.246141e+00 -1.107636e-19)	(3.219085e+00 2.094553e+00 -1.106387e-19)	(2.032198e+00 1.515879e-01 -1.248557e-22)
0.0016       	(9.206604e+00 4.511497e+00 -9.031318e-20)	(7.214724e+00 4.367721e+00 -9.019608e-20)	(1.991880e+00 1.437767e-01 -1.170971e-22)
0.0017       	(6.399074e+00 2.402512e+00 -1.047064e-19)	(4.446072e+00 2.265888e+00 -1.045921e-19)	(1.953003e+00 1.366244e-01 -1.142313e-22)
0.0018       	(5.245712e+00 2.592040e+00 -1.070400e-19)	(3.329462e+00 2.462217e+00 -1.069378e-19)	(1.916250e+00 1.298223e-01 -1.021237e-22)
0.0019       	(6.028469e+00 3.214323e+00 -1.045462e-19)	(4.146850e+00 3.090119e+00 -1.044587e-19)	(1.881619e+00 1.242040e-01 -8.747692e-23)
0.002        	(6.249030e+00 3.149210e+00 -1.050398e-19)	(4.399748e+00 3.029681e+00 -1.049694e-19)	(1.849282e+00 1.195285e-01 -7.045956e-23)
0.0021       	(5.963328e+00 2.917827e+00 -1.050191e-19)	(4.144024e+00 2.802324e+00 -1.049558e-19)	(1.819303e+00 1.155030e-01 -6.330498e-23)
0.0022       	(7.556700e+00 3.651476e+00 -9.704384e-20)	(5.764768e+00 3.540338e+00 -9.698458e-20)	(1.791932e+00 1.111388e-01 -5.926198e-23)
