# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001        	(4.201379e+02 -1.283811e+03 -6.052491e-19)	(4.166310e+02 -1.283763e+03 -6.051370e-19)	(3.506910e+00 -4.780730e-02 -1.120690e-22)
0.002        	(-1.673703e+02 4.919196e+02 -4.539986e-20)	(-1.703329e+02 4.919978e+02 -4.528859e-20)	(2.962610e+00 -7.823945e-02 -1.112744e-22)
0.003        	(1.832401e+00 -3.679016e-01 -1.205661e-19)	(-6.202151e-02 -3.026530e-01 -1.204335e-19)	(1.894423e+00 -6.524860e-02 -1.326526e-22)
0.004        	(1.521877e+00 -1.388478e+00 -1.228930e-19)	(-3.407783e-02 -1.336334e+00 -1.226829e-19)	(1.555955e+00 -5.214394e-02 -2.100693e-22)
0.005        	(1.348215e+00 -9.722764e-01 -1.222848e-19)	(-9.059645e-02 -9.198065e-01 -1.219337e-19)	(1.438811e+00 -5.246987e-02 -3.511679e-22)
0.006        	(1.255390e+00 -1.767154e+00 -1.276114e-19)	(-1.263179e-01 -1.719297e+00 -1.270381e-19)	(1.381708e+00 -4.785723e-02 -5.733048e-22)
0.007        	(1.766032e+00 -1.940909e+00 -1.259118e-19)	(3.660491e-01 -1.900947e+00 -1.252906e-19)	(1.399983e+00 -3.996215e-02 -6.211874e-22)
0.008        	(2.552639e+00 -1.995168e+00 -1.370142e-19)	(1.144480e+00 -1.957175e+00 -1.365623e-19)	(1.408159e+00 -3.799358e-02 -4.518807e-22)
0.009        	(3.111909e+00 -2.858512e+00 -1.513181e-19)	(1.737974e+00 -2.824715e+00 -1.510425e-19)	(1.373934e+00 -3.379695e-02 -2.755807e-22)
0.01         	(3.722501e+00 -1.953973e+00 -1.490821e-19)	(2.354797e+00 -1.923707e+00 -1.488762e-19)	(1.367704e+00 -3.026592e-02 -2.058960e-22)
0.011        	(4.323959e+00 -1.966611e+00 -1.602524e-19)	(2.941772e+00 -1.940257e+00 -1.599920e-19)	(1.382188e+00 -2.635360e-02 -2.603228e-22)
0.012        	(5.146946e+00 -3.775796e+00 -1.681866e-19)	(3.776021e+00 -3.750459e+00 -1.678681e-19)	(1.370925e+00 -2.533678e-02 -3.185521e-22)
0.013        	(5.908778e+00 -3.459082e+00 -1.515276e-19)	(4.544486e+00 -3.442510e+00 -1.512902e-19)	(1.364292e+00 -1.657114e-02 -2.373917e-22)
0.014        	(6.963262e+00 -5.893347e-01 -1.311145e-19)	(5.604321e+00 -5.743286e-01 -1.310417e-19)	(1.358940e+00 -1.500606e-02 -7.276850e-23)
0.015        	(6.571101e+00 -1.694939e+00 -1.480289e-19)	(5.213710e+00 -1.678270e+00 -1.480205e-19)	(1.357390e+00 -1.666846e-02 -8.397890e-24)
0.016        	(6.138999e+00 -2.372101e+00 -1.555732e-19)	(4.782468e+00 -2.352792e+00 -1.555780e-19)	(1.356531e+00 -1.930909e-02 4.814744e-24)
0.017        	(6.830633e+00 -4.230967e+00 -1.539799e-19)	(5.461214e+00 -4.211433e+00 -1.540268e-19)	(1.369419e+00 -1.953422e-02 4.695868e-23)
0.018        	(5.563091e+00 -7.913074e+00 -1.399649e-19)	(4.166302e+00 -7.906239e+00 -1.400844e-19)	(1.396789e+00 -6.835038e-03 1.195205e-22)
0.019        	(6.240704e+00 -8.216242e+00 -1.478554e-19)	(4.818877e+00 -8.212922e+00 -1.480582e-19)	(1.421828e+00 -3.319934e-03 2.028027e-22)
0.02         	(6.217343e+00 -9.935763e+00 -1.515302e-19)	(4.793086e+00 -9.931036e+00 -1.518096e-19)	(1.424257e+00 -4.726963e-03 2.794063e-22)
0.021        	(7.083938e+00 -6.530946e+00 -1.496813e-19)	(5.663463e+00 -6.532410e+00 -1.498831e-19)	(1.420475e+00 1.464593e-03 2.018188e-22)
0.022        	(6.748720e+00 -7.062532e+00 -1.493627e-19)	(5.328520e+00 -7.072044e+00 -1.494064e-19)	(1.420199e+00 9.512017e-03 4.367980e-23)
0.023        	(6.893233e+00 -6.707075e+00 -1.489537e-19)	(5.445712e+00 -6.716361e+00 -1.489380e-19)	(1.447521e+00 9.286285e-03 -1.563356e-23)
0.024        	(7.302937e+00 -7.057739e+00 -1.528772e-19)	(5.842914e+00 -7.066193e+00 -1.529532e-19)	(1.460023e+00 8.454789e-03 7.599883e-23)
0.025        	(7.264909e+00 -7.172186e+00 -1.586957e-19)	(5.799727e+00 -7.186098e+00 -1.588322e-19)	(1.465182e+00 1.391147e-02 1.365452e-22)
0.026        	(6.915657e+00 -6.961572e+00 -1.486830e-19)	(5.435858e+00 -6.982689e+00 -1.488341e-19)	(1.479799e+00 2.111674e-02 1.510248e-22)
0.027        	(6.786798e+00 -7.367791e+00 -1.492417e-19)	(5.287277e+00 -7.388741e+00 -1.494086e-19)	(1.499521e+00 2.095068e-02 1.669396e-22)
0.028        	(7.259789e+00 -7.158605e+00 -1.494556e-19)	(5.741595e+00 -7.179178e+00 -1.497092e-19)	(1.518194e+00 2.057236e-02 2.535650e-22)
0.029        	(7.496517e+00 -6.925931e+00 -1.493350e-19)	(5.957427e+00 -6.946935e+00 -1.495938e-19)	(1.539090e+00 2.100346e-02 2.588199e-22)
0.03         	(8.001784e+00 -6.277812e+00 -1.533550e-19)	(6.463071e+00 -6.294760e+00 -1.536046e-19)	(1.538713e+00 1.694818e-02 2.495757e-22)
