# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001        	(3.161427e+02 -3.913137e+03 -1.868335e-18)	(3.126979e+02 -3.913026e+03 -1.868236e-18)	(3.444741e+00 -1.110808e-01 -9.928097e-23)
0.002        	(-1.118431e+02 1.418733e+03 3.628303e-19)	(-1.146862e+02 1.418880e+03 3.629258e-19)	(2.843028e+00 -1.463028e-01 -9.555991e-23)
0.003        	(1.495409e+00 2.675601e-01 -1.200215e-19)	(-1.080826e-02 3.561187e-01 -1.199209e-19)	(1.506217e+00 -8.855853e-02 -1.005714e-22)
0.004        	(7.052984e-01 -1.338143e+00 -1.188909e-19)	(-3.743704e-01 -1.279869e+00 -1.188580e-19)	(1.079669e+00 -5.827471e-02 -3.290401e-23)
0.005        	(4.986664e-01 -2.264852e+00 -1.198881e-19)	(-5.195107e-01 -2.199589e+00 -1.198990e-19)	(1.018177e+00 -6.526307e-02 1.090431e-23)
0.006        	(5.280591e-01 -1.762586e+00 -1.264743e-19)	(-4.528198e-01 -1.705119e+00 -1.264506e-19)	(9.808789e-01 -5.746656e-02 -2.368126e-23)
0.007        	(1.092440e+00 -2.334318e+00 -1.403508e-19)	(8.274468e-02 -2.274604e+00 -1.401788e-19)	(1.009696e+00 -5.971404e-02 -1.720197e-22)
0.008        	(1.320429e+00 -2.063415e+00 -1.427058e-19)	(2.853871e-01 -1.981006e+00 -1.422187e-19)	(1.035042e+00 -8.240844e-02 -4.871050e-22)
0.009        	(2.077295e+00 -2.554692e+00 -1.596136e-19)	(1.047092e+00 -2.468763e+00 -1.586572e-19)	(1.030203e+00 -8.592877e-02 -9.563897e-22)
0.01         	(3.290935e+00 -3.552893e+00 -1.512729e-19)	(2.283750e+00 -3.476784e+00 -1.504499e-19)	(1.007185e+00 -7.610884e-02 -8.230457e-22)
