# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.557221e+03 2.222961e+04 3.258178e-18)	(2.553627e+03 2.222918e+04 3.258593e-18)	(3.594020e+00 4.324204e-01 -4.155481e-22)
0.0002       	(-3.069048e+02 -3.399674e+03 -4.712783e-19)	(-3.102229e+02 -3.400056e+03 -4.709216e-19)	(3.318141e+00 3.825012e-01 -3.566909e-22)
0.0003       	(3.707194e+00 -3.940167e+00 -9.751593e-20)	(8.172470e-01 -4.271601e+00 -9.719984e-20)	(2.889947e+00 3.314337e-01 -3.160899e-22)
0.0004       	(3.055156e+00 -7.552471e-01 -1.181831e-19)	(3.204605e-01 -1.065758e+00 -1.178982e-19)	(2.734696e+00 3.105110e-01 -2.848342e-22)
0.0005       	(3.349639e+00 -3.677311e+00 -1.176946e-19)	(7.253501e-01 -3.972828e+00 -1.174219e-19)	(2.624288e+00 2.955171e-01 -2.726507e-22)
0.0006       	(3.155211e+00 -2.552031e+00 -1.213977e-19)	(6.527604e-01 -2.831712e+00 -1.211328e-19)	(2.502451e+00 2.796812e-01 -2.648570e-22)
0.0007       	(3.080738e+00 -3.357849e+00 -1.189362e-19)	(6.789501e-01 -3.625235e+00 -1.186969e-19)	(2.401788e+00 2.673867e-01 -2.392911e-22)
0.0008       	(3.660796e+00 -7.568810e+00 -1.149720e-19)	(1.332152e+00 -7.824775e+00 -1.147504e-19)	(2.328644e+00 2.559654e-01 -2.216357e-22)
0.0009       	(3.478821e+00 -3.513277e+00 -1.142518e-19)	(1.213891e+00 -3.757813e+00 -1.140425e-19)	(2.264930e+00 2.445370e-01 -2.093587e-22)
0.001        	(3.686770e+00 1.473731e+00 -1.173045e-19)	(1.485303e+00 1.241813e+00 -1.171155e-19)	(2.201467e+00 2.319179e-01 -1.889874e-22)
0.0011       	(4.013395e+00 1.763834e+00 -1.161349e-19)	(1.871662e+00 1.545241e+00 -1.159708e-19)	(2.141733e+00 2.185930e-01 -1.641278e-22)
0.0012       	(3.884581e+00 2.910034e+00 -1.179237e-19)	(1.795285e+00 2.704193e+00 -1.177739e-19)	(2.089296e+00 2.058409e-01 -1.498532e-22)
0.0013       	(4.021210e+00 2.719520e+00 -1.211811e-19)	(1.979461e+00 2.525271e+00 -1.210439e-19)	(2.041749e+00 1.942491e-01 -1.372220e-22)
0.0014       	(4.398373e+00 2.477761e+00 -1.242419e-19)	(2.401445e+00 2.293552e+00 -1.241192e-19)	(1.996927e+00 1.842086e-01 -1.226881e-22)
0.0015       	(5.666452e+00 2.408888e+00 -1.169417e-19)	(3.710699e+00 2.234667e+00 -1.168317e-19)	(1.955752e+00 1.742214e-01 -1.100027e-22)
0.0016       	(7.681193e+00 4.394445e+00 -1.028432e-19)	(5.764185e+00 4.229567e+00 -1.027432e-19)	(1.917008e+00 1.648786e-01 -1.000104e-22)
0.0017       	(6.378213e+00 4.129891e+00 -1.108026e-19)	(4.499461e+00 3.974061e+00 -1.107030e-19)	(1.878752e+00 1.558295e-01 -9.960947e-23)
0.0018       	(5.522610e+00 3.085639e+00 -1.098598e-19)	(3.680011e+00 2.938224e+00 -1.097706e-19)	(1.842599e+00 1.474154e-01 -8.922016e-23)
0.0019       	(6.939730e+00 4.011630e+00 -1.042838e-19)	(5.129523e+00 3.871284e+00 -1.042049e-19)	(1.810207e+00 1.403453e-01 -7.881660e-23)
0.002        	(6.359734e+00 3.737274e+00 -1.083261e-19)	(4.580791e+00 3.602542e+00 -1.082515e-19)	(1.778943e+00 1.347324e-01 -7.460320e-23)
0.0021       	(5.708306e+00 2.444468e+00 -1.098250e-19)	(3.958700e+00 2.314746e+00 -1.097436e-19)	(1.749606e+00 1.297222e-01 -8.142328e-23)
0.0022       	(7.031843e+00 3.884230e+00 -1.021009e-19)	(5.309347e+00 3.758670e+00 -1.020229e-19)	(1.722496e+00 1.255601e-01 -7.796413e-23)
0.0023       	(9.312476e+00 6.455644e+00 -9.431407e-20)	(7.615545e+00 6.333023e+00 -9.424008e-20)	(1.696930e+00 1.226214e-01 -7.399408e-23)
0.0024       	(7.653629e+00 5.607963e+00 -9.758212e-20)	(5.981141e+00 5.487247e+00 -9.751719e-20)	(1.672488e+00 1.207157e-01 -6.493174e-23)
0.0025       	(7.569252e+00 4.643154e+00 -9.353039e-20)	(5.919146e+00 4.523274e+00 -9.347115e-20)	(1.650106e+00 1.198799e-01 -5.924030e-23)
0.0026       	(8.648608e+00 5.283139e+00 -9.275038e-20)	(7.017925e+00 5.163675e+00 -9.269396e-20)	(1.630683e+00 1.194637e-01 -5.641270e-23)
0.0027       	(7.676650e+00 5.448680e+00 -9.684412e-20)	(6.064304e+00 5.329584e+00 -9.679034e-20)	(1.612347e+00 1.190966e-01 -5.377338e-23)
0.0028       	(8.440622e+00 7.013251e+00 -8.933293e-20)	(6.848747e+00 6.894811e+00 -8.927612e-20)	(1.591874e+00 1.184397e-01 -5.681378e-23)
0.0029       	(1.094491e+01 9.809054e+00 -6.958702e-20)	(9.372286e+00 9.692430e+00 -6.953035e-20)	(1.572625e+00 1.166243e-01 -5.667146e-23)
0.003        	(6.733300e+00 5.079765e+00 -9.646204e-20)	(5.180386e+00 4.965234e+00 -9.640121e-20)	(1.552914e+00 1.145312e-01 -6.082800e-23)
0.0031       	(9.206863e+00 6.751362e+00 -8.272394e-20)	(7.671637e+00 6.638825e+00 -8.265690e-20)	(1.535226e+00 1.125364e-01 -6.704442e-23)
0.0032       	(1.388030e+01 1.140970e+01 -5.366758e-20)	(1.235853e+01 1.129679e+01 -5.359775e-20)	(1.521774e+00 1.129129e-01 -6.983099e-23)
0.0033       	(9.985083e+00 8.270285e+00 -8.449156e-20)	(8.477324e+00 8.157035e+00 -8.442334e-20)	(1.507759e+00 1.132499e-01 -6.821641e-23)
0.0034       	(8.355521e+00 6.827322e+00 -9.219511e-20)	(6.862875e+00 6.713915e+00 -9.212802e-20)	(1.492646e+00 1.134072e-01 -6.709039e-23)
0.0035       	(6.392873e+00 4.486152e+00 -1.036558e-19)	(4.917689e+00 4.372908e+00 -1.035859e-19)	(1.475184e+00 1.132444e-01 -6.982626e-23)
0.0036       	(7.461327e+00 5.920442e+00 -8.818833e-20)	(6.003309e+00 5.807521e+00 -8.811482e-20)	(1.458018e+00 1.129207e-01 -7.350962e-23)
0.0037       	(8.583074e+00 6.597687e+00 -9.001431e-20)	(7.138134e+00 6.484886e+00 -8.993337e-20)	(1.444941e+00 1.128008e-01 -8.094359e-23)
0.0038       	(9.157135e+00 6.945020e+00 -8.757082e-20)	(7.723090e+00 6.832304e+00 -8.747559e-20)	(1.434045e+00 1.127155e-01 -9.523032e-23)
0.0039       	(1.058582e+01 8.052822e+00 -8.194856e-20)	(9.162891e+00 7.940056e+00 -8.183818e-20)	(1.422931e+00 1.127661e-01 -1.103776e-22)
0.004        	(1.332782e+01 8.386332e+00 -1.088386e-19)	(1.191621e+01 8.274118e+00 -1.087132e-19)	(1.411609e+00 1.122143e-01 -1.253511e-22)
0.0041       	(1.041678e+01 6.422671e+00 -1.041490e-19)	(9.017228e+00 6.311115e+00 -1.040134e-19)	(1.399548e+00 1.115561e-01 -1.356378e-22)
0.0042       	(1.169727e+01 8.949218e+00 -8.672083e-20)	(1.030927e+01 8.838199e+00 -8.658059e-20)	(1.388008e+00 1.110186e-01 -1.402408e-22)
0.0043       	(1.071464e+01 9.557911e+00 -7.461695e-20)	(9.338220e+00 9.446990e+00 -7.448173e-20)	(1.376416e+00 1.109210e-01 -1.352110e-22)
0.0044       	(9.708589e+00 8.034757e+00 -7.912599e-20)	(8.343310e+00 7.924850e+00 -7.900697e-20)	(1.365278e+00 1.099064e-01 -1.190206e-22)
0.0045       	(8.427627e+00 5.753572e+00 -9.074608e-20)	(7.073020e+00 5.644777e+00 -9.063536e-20)	(1.354607e+00 1.087950e-01 -1.107228e-22)
0.0046       	(8.427650e+00 5.429291e+00 -9.625728e-20)	(7.083087e+00 5.321507e+00 -9.615109e-20)	(1.344564e+00 1.077832e-01 -1.061974e-22)
0.0047       	(1.008659e+01 6.823882e+00 -8.974833e-20)	(8.752118e+00 6.717096e+00 -8.964297e-20)	(1.334469e+00 1.067861e-01 -1.053564e-22)
0.0048       	(1.153190e+01 8.002985e+00 -8.664898e-20)	(1.020636e+01 7.897116e+00 -8.653892e-20)	(1.325536e+00 1.058688e-01 -1.100591e-22)
0.0049       	(1.461888e+01 9.599103e+00 -8.813478e-20)	(1.330120e+01 9.493708e+00 -8.801594e-20)	(1.317675e+00 1.053951e-01 -1.188356e-22)
0.005        	(1.106573e+01 7.631707e+00 -1.035217e-19)	(9.756290e+00 7.526759e+00 -1.034063e-19)	(1.309439e+00 1.049480e-01 -1.153316e-22)
0.0051       	(1.119977e+01 8.309819e+00 -1.017007e-19)	(9.897086e+00 8.204504e+00 -1.015872e-19)	(1.302679e+00 1.053148e-01 -1.135141e-22)
0.0052       	(1.287761e+01 1.179817e+01 -8.783784e-20)	(1.158159e+01 1.169281e+01 -8.773171e-20)	(1.296026e+00 1.053634e-01 -1.061280e-22)
0.0053       	(1.060072e+01 9.050960e+00 -9.752847e-20)	(9.311776e+00 8.946706e+00 -9.743253e-20)	(1.288944e+00 1.042543e-01 -9.593589e-23)
0.0054       	(9.746982e+00 7.192306e+00 -9.310040e-20)	(8.466313e+00 7.089013e+00 -9.300656e-20)	(1.280669e+00 1.032927e-01 -9.384320e-23)
0.0055       	(1.236647e+01 1.091350e+01 -7.973405e-20)	(1.109425e+01 1.081053e+01 -7.964141e-20)	(1.272220e+00 1.029678e-01 -9.264206e-23)
0.0056       	(1.026360e+01 7.770294e+00 -9.070579e-20)	(9.000598e+00 7.667357e+00 -9.061568e-20)	(1.263000e+00 1.029367e-01 -9.010972e-23)
0.0057       	(1.059085e+01 7.473610e+00 -9.403801e-20)	(9.337321e+00 7.370552e+00 -9.394972e-20)	(1.253532e+00 1.030581e-01 -8.828863e-23)
0.0058       	(1.425319e+01 1.034834e+01 -9.070912e-20)	(1.300621e+01 1.024518e+01 -9.062351e-20)	(1.246985e+00 1.031642e-01 -8.560765e-23)
0.0059       	(1.500150e+01 1.163069e+01 -8.454489e-20)	(1.375982e+01 1.152712e+01 -8.446261e-20)	(1.241672e+00 1.035700e-01 -8.227881e-23)
0.006        	(1.554036e+01 1.525063e+01 -7.206275e-20)	(1.430349e+01 1.514657e+01 -7.198373e-20)	(1.236879e+00 1.040672e-01 -7.902693e-23)
0.0061       	(1.129288e+01 1.091587e+01 -8.719766e-20)	(1.006062e+01 1.081182e+01 -8.712365e-20)	(1.232260e+00 1.040560e-01 -7.401431e-23)
0.0062       	(9.702815e+00 8.700130e+00 -9.368561e-20)	(8.476749e+00 8.596311e+00 -9.361556e-20)	(1.226065e+00 1.038186e-01 -7.004315e-23)
0.0063       	(9.514493e+00 7.910894e+00 -9.486653e-20)	(8.295372e+00 7.807949e+00 -9.479990e-20)	(1.219121e+00 1.029445e-01 -6.663074e-23)
0.0064       	(1.092977e+01 1.054611e+01 -9.708208e-20)	(9.720972e+00 1.044414e+01 -9.701800e-20)	(1.208800e+00 1.019640e-01 -6.407937e-23)
0.0065       	(1.369518e+01 1.615376e+01 -9.593774e-20)	(1.249787e+01 1.605270e+01 -9.587503e-20)	(1.197304e+00 1.010658e-01 -6.270656e-23)
0.0066       	(1.299999e+01 1.112092e+01 -9.086035e-20)	(1.181097e+01 1.102043e+01 -9.079715e-20)	(1.189015e+00 1.004867e-01 -6.319918e-23)
0.0067       	(1.572526e+01 1.238574e+01 -8.876908e-20)	(1.454084e+01 1.228576e+01 -8.870462e-20)	(1.184421e+00 9.997461e-02 -6.446055e-23)
0.0068       	(1.386165e+01 1.378440e+01 -8.516898e-20)	(1.268196e+01 1.368487e+01 -8.510270e-20)	(1.179689e+00 9.953045e-02 -6.627656e-23)
0.0069       	(1.336710e+01 1.398067e+01 -9.214514e-20)	(1.218988e+01 1.388115e+01 -9.207576e-20)	(1.177221e+00 9.952425e-02 -6.938617e-23)
0.007        	(1.165008e+01 1.158725e+01 -9.598205e-20)	(1.047247e+01 1.148751e+01 -9.591068e-20)	(1.177608e+00 9.973296e-02 -7.137319e-23)
0.0071       	(9.639712e+00 7.486131e+00 -9.453746e-20)	(8.462808e+00 7.386784e+00 -9.446595e-20)	(1.176903e+00 9.934771e-02 -7.151209e-23)
0.0072       	(1.111614e+01 1.036399e+01 -9.039704e-20)	(9.940258e+00 1.026465e+01 -9.032623e-20)	(1.175881e+00 9.933996e-02 -7.080326e-23)
0.0073       	(1.080458e+01 8.960482e+00 -9.203515e-20)	(9.630113e+00 8.861394e+00 -9.196336e-20)	(1.174468e+00 9.908752e-02 -7.179059e-23)
0.0074       	(1.036922e+01 8.317299e+00 -9.468860e-20)	(9.196239e+00 8.218692e+00 -9.461560e-20)	(1.172981e+00 9.860639e-02 -7.299183e-23)
0.0075       	(1.112737e+01 9.648378e+00 -9.297199e-20)	(9.957295e+00 9.550390e+00 -9.289519e-20)	(1.170072e+00 9.798726e-02 -7.679729e-23)
0.0076       	(1.241737e+01 9.827292e+00 -9.537521e-20)	(1.125175e+01 9.729721e+00 -9.529422e-20)	(1.165625e+00 9.757074e-02 -8.098888e-23)
0.0077       	(1.369913e+01 1.107459e+01 -9.481427e-20)	(1.253589e+01 1.097692e+01 -9.473110e-20)	(1.163247e+00 9.767214e-02 -8.316236e-23)
0.0078       	(1.574981e+01 1.292733e+01 -9.363280e-20)	(1.458675e+01 1.282948e+01 -9.354792e-20)	(1.163056e+00 9.784122e-02 -8.488363e-23)
0.0079       	(1.555001e+01 1.404095e+01 -8.968621e-20)	(1.438562e+01 1.394316e+01 -8.959422e-20)	(1.164388e+00 9.778848e-02 -9.199588e-23)
