# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001        	(3.562763e+02 -3.093668e+03 -1.530685e-18)	(3.528006e+02 -3.093579e+03 -1.530587e-18)	(3.475688e+00 -8.867072e-02 -9.798530e-23)
0.002        	(-1.344104e+02 1.035144e+03 2.181240e-19)	(-1.373133e+02 1.035272e+03 2.182278e-19)	(2.902896e+00 -1.280014e-01 -1.038353e-22)
0.003        	(1.612392e+00 1.936546e-01 -1.197011e-19)	(-3.280287e-02 2.766714e-01 -1.195809e-19)	(1.645195e+00 -8.301687e-02 -1.202143e-22)
0.004        	(1.176728e+00 -9.744149e-01 -1.207591e-19)	(-6.350800e-02 -9.214025e-01 -1.206538e-19)	(1.240236e+00 -5.301238e-02 -1.052751e-22)
0.005        	(9.118664e-01 -1.175994e+00 -1.227200e-19)	(-2.259814e-01 -1.117216e+00 -1.226105e-19)	(1.137848e+00 -5.877883e-02 -1.094284e-22)
0.006        	(6.573821e-01 -1.466510e+00 -1.333750e-19)	(-4.208976e-01 -1.415585e+00 -1.331353e-19)	(1.078280e+00 -5.092529e-02 -2.397723e-22)
0.007        	(1.338106e+00 -1.350738e+00 -1.463155e-19)	(2.136047e-01 -1.298828e+00 -1.458101e-19)	(1.124501e+00 -5.191004e-02 -5.054049e-22)
0.008        	(2.049543e+00 -2.366027e+00 -1.564907e-19)	(9.032180e-01 -2.295681e+00 -1.556919e-19)	(1.146325e+00 -7.034668e-02 -7.988152e-22)
0.009        	(2.412452e+00 -1.825260e+00 -1.456394e-19)	(1.266113e+00 -1.760900e+00 -1.449563e-19)	(1.146339e+00 -6.435972e-02 -6.831765e-22)
0.01         	(3.561134e+00 -2.773974e+00 -1.533739e-19)	(2.444154e+00 -2.728593e+00 -1.529488e-19)	(1.116981e+00 -4.538140e-02 -4.250475e-22)
0.011        	(4.572943e+00 -2.983721e+00 -1.536495e-19)	(3.450791e+00 -2.931971e+00 -1.533003e-19)	(1.122152e+00 -5.175046e-02 -3.491623e-22)
0.012        	(4.832523e+00 -3.773112e+00 -1.525454e-19)	(3.712958e+00 -3.716734e+00 -1.522881e-19)	(1.119565e+00 -5.637740e-02 -2.573095e-22)
0.013        	(5.657331e+00 -3.305302e+00 -1.610607e-19)	(4.550877e+00 -3.256794e+00 -1.609256e-19)	(1.106454e+00 -4.850868e-02 -1.351610e-22)
0.014        	(5.462160e+00 -3.806345e+00 -1.535013e-19)	(4.353107e+00 -3.763595e+00 -1.533445e-19)	(1.109053e+00 -4.275041e-02 -1.567941e-22)
0.015        	(5.708727e+00 -3.046169e+00 -1.556471e-19)	(4.568723e+00 -2.999763e+00 -1.554960e-19)	(1.140003e+00 -4.640623e-02 -1.511003e-22)
0.016        	(6.566774e+00 -3.952787e+00 -1.637605e-19)	(5.414117e+00 -3.906339e+00 -1.637588e-19)	(1.152657e+00 -4.644791e-02 -1.640257e-24)
0.017        	(7.123663e+00 -3.957236e+00 -1.685946e-19)	(5.956703e+00 -3.915796e+00 -1.687393e-19)	(1.166960e+00 -4.143924e-02 1.446197e-22)
