# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001        	(3.974096e+02 2.085289e+03 1.980288e-19)	(3.939208e+02 2.085234e+03 1.981734e-19)	(3.488824e+00 5.506452e-02 -1.446081e-22)
0.002        	(-1.564092e+02 -7.408900e+02 -1.419220e-19)	(-1.593561e+02 -7.409825e+02 -1.418244e-19)	(2.946883e+00 9.255517e-02 -9.753873e-23)
0.003        	(1.721319e+00 1.315317e-01 -1.176030e-19)	(-6.730639e-02 5.378708e-02 -1.175479e-19)	(1.788625e+00 7.774459e-02 -5.511789e-23)
0.004        	(1.402144e+00 1.401506e+00 -1.212501e-19)	(-3.181491e-02 1.334845e+00 -1.212136e-19)	(1.433959e+00 6.666173e-02 -3.647446e-23)
0.005        	(1.142087e+00 4.731675e-01 -1.232221e-19)	(-1.712298e-01 4.014008e-01 -1.230468e-19)	(1.313317e+00 7.176671e-02 -1.753317e-22)
0.006        	(1.176745e+00 -6.021338e-03 -1.189120e-19)	(-9.337555e-02 -7.597099e-02 -1.185589e-19)	(1.270121e+00 6.994965e-02 -3.530947e-22)
0.007        	(1.879723e+00 1.021609e+00 -1.149578e-19)	(6.179724e-01 9.578635e-01 -1.145104e-19)	(1.261751e+00 6.374581e-02 -4.473812e-22)
0.008        	(2.979381e+00 9.304002e-01 -1.184669e-19)	(1.730856e+00 8.651526e-01 -1.182949e-19)	(1.248525e+00 6.524759e-02 -1.719532e-22)
0.009        	(2.826676e+00 9.791654e-01 -1.168440e-19)	(1.598029e+00 9.113600e-01 -1.167409e-19)	(1.228648e+00 6.780537e-02 -1.031410e-22)
0.01         	(4.341668e+00 1.936668e+00 -1.199991e-19)	(3.130332e+00 1.867352e+00 -1.198183e-19)	(1.211337e+00 6.931569e-02 -1.807778e-22)
0.011        	(5.796979e+00 2.775721e+00 -1.141771e-19)	(4.580716e+00 2.713194e+00 -1.141151e-19)	(1.216264e+00 6.252659e-02 -6.197885e-23)
0.012        	(6.262473e+00 1.576039e+00 -1.369824e-19)	(5.031743e+00 1.518266e+00 -1.370216e-19)	(1.230731e+00 5.777247e-02 3.920478e-23)
0.013        	(5.625175e+00 2.185501e+00 -1.255130e-19)	(4.401195e+00 2.133370e+00 -1.254982e-19)	(1.223979e+00 5.213084e-02 -1.479426e-23)
0.014        	(5.483432e+00 3.196176e+00 -1.135240e-19)	(4.267678e+00 3.155369e+00 -1.134496e-19)	(1.215753e+00 4.080750e-02 -7.437153e-23)
0.015        	(5.746996e+00 3.317548e+00 -1.184099e-19)	(4.526704e+00 3.287813e+00 -1.183688e-19)	(1.220291e+00 2.973476e-02 -4.118294e-23)
0.016        	(5.916527e+00 2.290001e+00 -1.182119e-19)	(4.678395e+00 2.262214e+00 -1.181886e-19)	(1.238132e+00 2.778713e-02 -2.327652e-23)
0.017        	(6.665460e+00 3.006697e+00 -1.189250e-19)	(5.409021e+00 2.970670e+00 -1.189626e-19)	(1.256439e+00 3.602684e-02 3.760648e-23)
0.018        	(7.201184e+00 3.420436e+00 -1.241460e-19)	(5.929852e+00 3.390508e+00 -1.242648e-19)	(1.271332e+00 2.992872e-02 1.188419e-22)
0.019        	(6.947061e+00 1.833786e+00 -1.231327e-19)	(5.647104e+00 1.807677e+00 -1.232872e-19)	(1.299956e+00 2.610890e-02 1.545593e-22)
0.02         	(6.896088e+00 2.713536e+00 -1.173448e-19)	(5.565609e+00 2.687219e+00 -1.174699e-19)	(1.330478e+00 2.631629e-02 1.251750e-22)
0.021        	(7.393109e+00 3.976920e+00 -1.169217e-19)	(6.024492e+00 3.951330e+00 -1.170295e-19)	(1.368617e+00 2.559006e-02 1.077806e-22)
0.022        	(7.456399e+00 3.413374e+00 -1.227288e-19)	(6.074627e+00 3.400708e+00 -1.228349e-19)	(1.381772e+00 1.266582e-02 1.060864e-22)
0.023        	(8.023478e+00 3.126057e+00 -1.163873e-19)	(6.613293e+00 3.120620e+00 -1.164878e-19)	(1.410185e+00 5.436475e-03 1.005631e-22)
0.024        	(8.141008e+00 5.578502e+00 -1.149734e-19)	(6.692800e+00 5.579473e+00 -1.150544e-19)	(1.448208e+00 -9.706701e-04 8.106366e-23)
0.025        	(7.845795e+00 5.690585e+00 -1.101117e-19)	(6.360028e+00 5.695657e+00 -1.100995e-19)	(1.485766e+00 -5.071697e-03 -1.220736e-23)
0.026        	(8.164045e+00 4.110551e+00 -1.152527e-19)	(6.665216e+00 4.123095e+00 -1.151988e-19)	(1.498829e+00 -1.254382e-02 -5.387716e-23)
0.027        	(7.903689e+00 3.119793e+00 -1.166289e-19)	(6.384797e+00 3.135967e+00 -1.167371e-19)	(1.518892e+00 -1.617340e-02 1.082822e-22)
0.028        	(7.787693e+00 1.947212e+00 -1.203245e-19)	(6.242449e+00 1.956766e+00 -1.205854e-19)	(1.545244e+00 -9.554285e-03 2.608075e-22)
0.029        	(8.093305e+00 2.663086e+00 -1.168764e-19)	(6.530973e+00 2.676325e+00 -1.171380e-19)	(1.562332e+00 -1.323850e-02 2.616243e-22)
0.03         	(8.038081e+00 3.265251e+00 -1.112223e-19)	(6.451733e+00 3.277432e+00 -1.113087e-19)	(1.586349e+00 -1.218140e-02 8.644159e-23)
0.031        	(7.380466e+00 3.187654e+00 -1.066224e-19)	(5.758994e+00 3.206700e+00 -1.065733e-19)	(1.621473e+00 -1.904581e-02 -4.907256e-23)
0.032        	(7.561227e+00 1.635252e+00 -1.081363e-19)	(5.915716e+00 1.643154e+00 -1.080852e-19)	(1.645511e+00 -7.901369e-03 -5.105269e-23)
0.033        	(8.132085e+00 2.851586e+00 -1.017607e-19)	(6.462313e+00 2.856249e+00 -1.017543e-19)	(1.669772e+00 -4.663564e-03 -6.437805e-24)
0.034        	(8.738099e+00 3.085818e+00 -1.042430e-19)	(7.053050e+00 3.090061e+00 -1.042639e-19)	(1.685049e+00 -4.242792e-03 2.089366e-23)
0.035        	(9.094058e+00 3.966286e+00 -1.021118e-19)	(7.366741e+00 3.979588e+00 -1.020961e-19)	(1.727316e+00 -1.330204e-02 -1.565189e-23)
0.036        	(8.674452e+00 4.079595e+00 -1.108383e-19)	(6.933216e+00 4.084221e+00 -1.109316e-19)	(1.741236e+00 -4.625649e-03 9.335979e-23)
0.037        	(8.200240e+00 5.279359e+00 -1.124773e-19)	(6.475105e+00 5.261044e+00 -1.126324e-19)	(1.725135e+00 1.831489e-02 1.551113e-22)
0.038        	(8.198960e+00 6.028204e+00 -1.163416e-19)	(6.467944e+00 6.028676e+00 -1.162545e-19)	(1.731016e+00 -4.722045e-04 -8.710886e-23)
0.039        	(8.492638e+00 4.350726e+00 -1.233155e-19)	(6.713735e+00 4.388070e+00 -1.231054e-19)	(1.778903e+00 -3.734415e-02 -2.101189e-22)
0.04         	(8.456834e+00 1.587731e+00 -1.188157e-19)	(6.653463e+00 1.617303e+00 -1.187879e-19)	(1.803371e+00 -2.957214e-02 -2.777645e-23)
0.041        	(8.877792e+00 3.610822e+00 -1.185645e-19)	(7.065783e+00 3.614437e+00 -1.186108e-19)	(1.812009e+00 -3.614798e-03 4.625468e-23)
0.042        	(8.337586e+00 5.305954e+00 -1.239885e-19)	(6.511519e+00 5.305039e+00 -1.238783e-19)	(1.826067e+00 9.152060e-04 -1.101422e-22)
0.043        	(8.481375e+00 7.726086e+00 -1.224222e-19)	(6.653638e+00 7.740614e+00 -1.222167e-19)	(1.827737e+00 -1.452757e-02 -2.054990e-22)
0.044        	(8.020860e+00 5.694517e+00 -1.269580e-19)	(6.186225e+00 5.711923e+00 -1.270481e-19)	(1.834635e+00 -1.740655e-02 9.013625e-23)
0.045        	(7.885681e+00 6.434039e+00 -1.255354e-19)	(6.070858e+00 6.442512e+00 -1.259502e-19)	(1.814822e+00 -8.472940e-03 4.148061e-22)
0.046        	(8.426298e+00 6.669756e+00 -1.249343e-19)	(6.606090e+00 6.683824e+00 -1.251796e-19)	(1.820208e+00 -1.406822e-02 2.453092e-22)
0.047        	(8.399925e+00 6.975078e+00 -1.276835e-19)	(6.572548e+00 6.989082e+00 -1.276253e-19)	(1.827377e+00 -1.400453e-02 -5.817397e-23)
0.048        	(8.313147e+00 6.859794e+00 -1.267867e-19)	(6.514742e+00 6.874471e+00 -1.267135e-19)	(1.798405e+00 -1.467692e-02 -7.327617e-23)
0.049        	(7.814552e+00 3.274058e+00 -1.217633e-19)	(6.005615e+00 3.283472e+00 -1.218011e-19)	(1.808936e+00 -9.413935e-03 3.789028e-23)
