# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001        	(2.797780e+02 -3.755527e+03 -1.782396e-18)	(2.763519e+02 -3.755408e+03 -1.782298e-18)	(3.426064e+00 -1.191258e-01 -9.758344e-23)
0.002        	(-9.981570e+01 1.652179e+03 4.863250e-19)	(-1.026170e+02 1.652327e+03 4.864201e-19)	(2.801352e+00 -1.478747e-01 -9.511310e-23)
0.003        	(1.404593e+00 8.597508e-02 -1.201124e-19)	(-3.638723e-02 1.750651e-01 -1.200234e-19)	(1.440980e+00 -8.908999e-02 -8.904491e-23)
0.004        	(6.086443e-01 -1.470069e+00 -1.196326e-19)	(-4.082204e-01 -1.413908e+00 -1.196155e-19)	(1.016865e+00 -5.616105e-02 -1.706685e-23)
0.005        	(4.175608e-01 -1.806585e+00 -1.212256e-19)	(-5.248067e-01 -1.747102e+00 -1.212485e-19)	(9.423674e-01 -5.948279e-02 2.282630e-23)
0.006        	(3.945731e-01 -1.385689e+00 -1.248033e-19)	(-5.025041e-01 -1.329073e+00 -1.248036e-19)	(8.970772e-01 -5.661654e-02 2.462612e-25)
0.007        	(8.868089e-01 -1.538300e+00 -1.360181e-19)	(-3.435086e-02 -1.475852e+00 -1.358896e-19)	(9.211597e-01 -6.244834e-02 -1.285124e-22)
0.008        	(1.425439e+00 -1.951355e+00 -1.494802e-19)	(4.829507e-01 -1.873894e+00 -1.490915e-19)	(9.424883e-01 -7.746107e-02 -3.886983e-22)
0.009        	(1.476281e+00 -2.016756e+00 -1.436436e-19)	(5.133628e-01 -1.930824e+00 -1.428536e-19)	(9.629184e-01 -8.593228e-02 -7.900023e-22)
0.01         	(2.559883e+00 -2.963672e+00 -1.453605e-19)	(1.599288e+00 -2.883504e+00 -1.444113e-19)	(9.605949e-01 -8.016757e-02 -9.492309e-22)
0.011        	(4.340094e+00 -3.098626e+00 -1.584220e-19)	(3.392450e+00 -3.016601e+00 -1.577322e-19)	(9.476443e-01 -8.202466e-02 -6.898185e-22)
0.012        	(5.088369e+00 -3.544630e+00 -1.609590e-19)	(4.166271e+00 -3.470871e+00 -1.605654e-19)	(9.220976e-01 -7.375895e-02 -3.936598e-22)
0.013        	(4.714601e+00 -3.377939e+00 -1.461181e-19)	(3.792430e+00 -3.314747e+00 -1.457970e-19)	(9.221713e-01 -6.319209e-02 -3.211070e-22)
0.014        	(5.227738e+00 -3.502029e+00 -1.521262e-19)	(4.303230e+00 -3.441752e+00 -1.518579e-19)	(9.245083e-01 -6.027702e-02 -2.682820e-22)
0.015        	(5.752922e+00 -5.531685e+00 -1.550870e-19)	(4.828600e+00 -5.480199e+00 -1.549070e-19)	(9.243221e-01 -5.148548e-02 -1.799299e-22)
0.016        	(6.091823e+00 -6.708304e+00 -1.601314e-19)	(5.164498e+00 -6.667469e+00 -1.600527e-19)	(9.273246e-01 -4.083506e-02 -7.869183e-23)
0.017        	(6.369562e+00 -6.989678e+00 -1.741041e-19)	(5.433458e+00 -6.950425e+00 -1.741423e-19)	(9.361044e-01 -3.925367e-02 3.825077e-23)
0.018        	(6.316229e+00 -6.816548e+00 -1.741756e-19)	(5.362787e+00 -6.775225e+00 -1.743622e-19)	(9.534416e-01 -4.132240e-02 1.865757e-22)
0.019        	(5.947537e+00 -7.887086e+00 -1.610352e-19)	(4.990243e+00 -7.848914e+00 -1.612676e-19)	(9.572937e-01 -3.817232e-02 2.323643e-22)
0.02         	(6.981666e+00 -7.522482e+00 -1.666282e-19)	(6.001489e+00 -7.483152e+00 -1.668188e-19)	(9.801775e-01 -3.932931e-02 1.905210e-22)
0.021        	(8.085548e+00 -8.871132e+00 -1.665799e-19)	(7.093372e+00 -8.837075e+00 -1.667489e-19)	(9.921759e-01 -3.405692e-02 1.689841e-22)
0.022        	(8.138536e+00 -8.739326e+00 -1.682125e-19)	(7.124679e+00 -8.713360e+00 -1.683689e-19)	(1.013856e+00 -2.596574e-02 1.563558e-22)
0.023        	(8.423728e+00 -9.816116e+00 -1.756328e-19)	(7.384237e+00 -9.799016e+00 -1.757136e-19)	(1.039491e+00 -1.709972e-02 8.078399e-23)
0.024        	(7.213928e+00 -8.372887e+00 -1.692884e-19)	(6.159689e+00 -8.362161e+00 -1.692633e-19)	(1.054239e+00 -1.072617e-02 -2.510984e-23)
0.025        	(7.561617e+00 -8.906906e+00 -1.642758e-19)	(6.484674e+00 -8.898362e+00 -1.641955e-19)	(1.076943e+00 -8.543996e-03 -8.026022e-23)
0.026        	(7.198486e+00 -7.114364e+00 -1.607268e-19)	(6.093389e+00 -7.110720e+00 -1.607397e-19)	(1.105097e+00 -3.643914e-03 1.290069e-23)
0.027        	(7.264232e+00 -6.797358e+00 -1.625896e-19)	(6.131048e+00 -6.786916e+00 -1.627181e-19)	(1.133184e+00 -1.044234e-02 1.285067e-22)
0.028        	(8.195659e+00 -9.682950e+00 -1.689451e-19)	(7.044724e+00 -9.664943e+00 -1.691160e-19)	(1.150935e+00 -1.800752e-02 1.709371e-22)
0.029        	(8.813071e+00 -1.029723e+01 -1.720057e-19)	(7.645156e+00 -1.029200e+01 -1.721456e-19)	(1.167915e+00 -5.228105e-03 1.398788e-22)
0.03         	(9.030669e+00 -9.414951e+00 -1.769624e-19)	(7.841768e+00 -9.416265e+00 -1.771156e-19)	(1.188901e+00 1.314481e-03 1.531723e-22)
0.031        	(9.378778e+00 -1.036708e+01 -1.764042e-19)	(8.168167e+00 -1.035125e+01 -1.765666e-19)	(1.210611e+00 -1.583369e-02 1.623757e-22)
0.032        	(9.541146e+00 -1.108617e+01 -1.715977e-19)	(8.305142e+00 -1.107620e+01 -1.717084e-19)	(1.236005e+00 -9.971246e-03 1.107088e-22)
0.033        	(9.485212e+00 -1.001220e+01 -1.773060e-19)	(8.217290e+00 -1.001996e+01 -1.773780e-19)	(1.267922e+00 7.768848e-03 7.193711e-23)
0.034        	(8.788002e+00 -7.990593e+00 -1.699983e-19)	(7.497270e+00 -7.996039e+00 -1.701003e-19)	(1.290732e+00 5.445497e-03 1.020130e-22)
0.035        	(8.465683e+00 -8.580281e+00 -1.685994e-19)	(7.132441e+00 -8.571345e+00 -1.686841e-19)	(1.333242e+00 -8.936245e-03 8.473474e-23)
0.036        	(8.655929e+00 -1.097974e+01 -1.690207e-19)	(7.320001e+00 -1.097721e+01 -1.690288e-19)	(1.335928e+00 -2.530113e-03 8.023229e-24)
0.037        	(9.446246e+00 -1.211476e+01 -1.714301e-19)	(8.072584e+00 -1.213414e+01 -1.714298e-19)	(1.373663e+00 1.938215e-02 -2.994107e-25)
0.038        	(9.454745e+00 -1.199055e+01 -1.672684e-19)	(8.019726e+00 -1.201338e+01 -1.673675e-19)	(1.435019e+00 2.282800e-02 9.912807e-23)
0.039        	(9.198584e+00 -1.102553e+01 -1.664409e-19)	(7.721653e+00 -1.104334e+01 -1.666435e-19)	(1.476931e+00 1.780684e-02 2.025926e-22)
0.04         	(9.797009e+00 -1.057423e+01 -1.646105e-19)	(8.297837e+00 -1.059593e+01 -1.646393e-19)	(1.499171e+00 2.170128e-02 2.876555e-23)
0.041        	(9.376100e+00 -8.801894e+00 -1.721687e-19)	(7.856978e+00 -8.816159e+00 -1.720549e-19)	(1.519122e+00 1.426501e-02 -1.138062e-22)
0.042        	(9.789864e+00 -1.106709e+01 -1.729117e-19)	(8.235661e+00 -1.107512e+01 -1.729806e-19)	(1.554203e+00 8.033227e-03 6.890388e-23)
0.043        	(1.070463e+01 -1.423656e+01 -1.692453e-19)	(9.114648e+00 -1.424368e+01 -1.694702e-19)	(1.589986e+00 7.112355e-03 2.248593e-22)
0.044        	(1.034708e+01 -1.296118e+01 -1.730311e-19)	(8.699483e+00 -1.297060e+01 -1.730265e-19)	(1.647599e+00 9.423036e-03 -4.573823e-24)
0.045        	(1.007868e+01 -1.129912e+01 -1.777369e-19)	(8.382512e+00 -1.132717e+01 -1.775301e-19)	(1.696163e+00 2.805008e-02 -2.068322e-22)
0.046        	(9.944495e+00 -1.326534e+01 -1.743396e-19)	(8.193312e+00 -1.331489e+01 -1.743008e-19)	(1.751183e+00 4.955061e-02 -3.875881e-23)
0.047        	(9.308339e+00 -1.249576e+01 -1.702563e-19)	(7.540137e+00 -1.254408e+01 -1.705554e-19)	(1.768201e+00 4.831325e-02 2.991123e-22)
0.048        	(9.519928e+00 -1.252855e+01 -1.680659e-19)	(7.733471e+00 -1.258410e+01 -1.684646e-19)	(1.786457e+00 5.554666e-02 3.986749e-22)
0.049        	(1.018665e+01 -1.072069e+01 -1.661794e-19)	(8.387971e+00 -1.079021e+01 -1.665311e-19)	(1.798675e+00 6.951457e-02 3.517213e-22)
0.05         	(1.044873e+01 -9.477863e+00 -1.682299e-19)	(8.655068e+00 -9.557683e+00 -1.686268e-19)	(1.793660e+00 7.981987e-02 3.968646e-22)
0.051        	(1.135086e+01 -1.524109e+01 -1.735188e-19)	(9.571007e+00 -1.532261e+01 -1.740471e-19)	(1.779849e+00 8.151775e-02 5.283405e-22)
0.052        	(1.130673e+01 -1.541221e+01 -1.793573e-19)	(9.509729e+00 -1.549227e+01 -1.798947e-19)	(1.797005e+00 8.005895e-02 5.373267e-22)
0.053        	(1.105334e+01 -1.356348e+01 -1.825206e-19)	(9.262505e+00 -1.364177e+01 -1.829416e-19)	(1.790832e+00 7.828417e-02 4.209804e-22)
0.054        	(1.057509e+01 -1.310559e+01 -1.795676e-19)	(8.802871e+00 -1.318306e+01 -1.799168e-19)	(1.772220e+00 7.746728e-02 3.491677e-22)
0.055        	(1.108899e+01 -1.347060e+01 -1.770803e-19)	(9.309820e+00 -1.356937e+01 -1.774190e-19)	(1.779167e+00 9.877109e-02 3.386742e-22)
0.056        	(1.049749e+01 -1.355380e+01 -1.780856e-19)	(8.722636e+00 -1.365356e+01 -1.784873e-19)	(1.774856e+00 9.976478e-02 4.016847e-22)
0.057        	(1.001286e+01 -1.312682e+01 -1.780050e-19)	(8.271544e+00 -1.321085e+01 -1.782701e-19)	(1.741316e+00 8.403117e-02 2.651374e-22)
0.058        	(1.061226e+01 -1.366068e+01 -1.806898e-19)	(8.897654e+00 -1.373100e+01 -1.806073e-19)	(1.714604e+00 7.031310e-02 -8.247185e-23)
0.059        	(1.085889e+01 -1.305765e+01 -1.715870e-19)	(9.092086e+00 -1.313551e+01 -1.715352e-19)	(1.766805e+00 7.785694e-02 -5.177301e-23)
0.06         	(1.109944e+01 -1.307347e+01 -1.686098e-19)	(9.291832e+00 -1.315963e+01 -1.690266e-19)	(1.807605e+00 8.615476e-02 4.167976e-22)
0.061        	(1.091834e+01 -1.384856e+01 -1.754155e-19)	(9.137331e+00 -1.393611e+01 -1.761274e-19)	(1.781006e+00 8.754563e-02 7.119272e-22)
0.062        	(1.107386e+01 -1.496295e+01 -1.806111e-19)	(9.319583e+00 -1.506140e+01 -1.812162e-19)	(1.754272e+00 9.844878e-02 6.051706e-22)
0.063        	(1.020189e+01 -1.290468e+01 -1.749993e-19)	(8.412820e+00 -1.302622e+01 -1.753762e-19)	(1.789073e+00 1.215451e-01 3.768504e-22)
0.064        	(1.058402e+01 -1.466517e+01 -1.677659e-19)	(8.757046e+00 -1.478792e+01 -1.679826e-19)	(1.826969e+00 1.227423e-01 2.166334e-22)
0.065        	(1.057957e+01 -1.536523e+01 -1.575784e-19)	(8.731663e+00 -1.547430e+01 -1.578409e-19)	(1.847904e+00 1.090773e-01 2.625720e-22)
0.066        	(1.015930e+01 -1.746417e+01 -1.618872e-19)	(8.336701e+00 -1.758636e+01 -1.622690e-19)	(1.822599e+00 1.221958e-01 3.817549e-22)
0.067        	(1.068531e+01 -1.379104e+01 -1.577582e-19)	(8.860163e+00 -1.391984e+01 -1.579672e-19)	(1.825144e+00 1.287997e-01 2.090135e-22)
0.068        	(1.074723e+01 -1.379274e+01 -1.754097e-19)	(8.909197e+00 -1.391878e+01 -1.752076e-19)	(1.838030e+00 1.260430e-01 -2.021824e-22)
0.069        	(1.017958e+01 -1.329418e+01 -1.835162e-19)	(8.311075e+00 -1.341536e+01 -1.834995e-19)	(1.868504e+00 1.211786e-01 -1.664261e-23)
0.07         	(9.721347e+00 -1.876714e+01 -1.801758e-19)	(7.809520e+00 -1.886362e+01 -1.808874e-19)	(1.911827e+00 9.647800e-02 7.116350e-22)
0.071        	(9.249737e+00 -1.824789e+01 -1.673279e-19)	(7.318995e+00 -1.829526e+01 -1.683607e-19)	(1.930742e+00 4.737125e-02 1.032797e-21)
0.072        	(9.996172e+00 -2.232877e+01 -1.774288e-19)	(8.104154e+00 -2.240434e+01 -1.769946e-19)	(1.892018e+00 7.556982e-02 -4.342174e-22)
0.073        	(1.032275e+01 -1.927333e+01 -1.772458e-19)	(8.421273e+00 -1.935038e+01 -1.764491e-19)	(1.901473e+00 7.704460e-02 -7.966805e-22)
0.074        	(9.699390e+00 -2.287418e+01 -1.928428e-19)	(7.776572e+00 -2.293779e+01 -1.935869e-19)	(1.922818e+00 6.360965e-02 7.440933e-22)
0.075        	(9.405435e+00 -2.849247e+01 -1.990478e-19)	(7.494856e+00 -2.856730e+01 -2.008960e-19)	(1.910578e+00 7.483790e-02 1.848165e-21)
0.076        	(9.608258e+00 -2.171242e+01 -1.750088e-19)	(7.709546e+00 -2.178455e+01 -1.764329e-19)	(1.898712e+00 7.213618e-02 1.424162e-21)
0.077        	(9.734607e+00 -2.234361e+01 -1.683393e-19)	(7.840278e+00 -2.239869e+01 -1.683566e-19)	(1.894330e+00 5.508162e-02 1.724858e-23)
0.078        	(9.360011e+00 -2.230949e+01 -1.693259e-19)	(7.498019e+00 -2.234903e+01 -1.693581e-19)	(1.861992e+00 3.954694e-02 3.221035e-23)
0.079        	(1.031764e+01 -2.261441e+01 -1.741473e-19)	(8.474307e+00 -2.263511e+01 -1.749562e-19)	(1.843335e+00 2.069227e-02 8.089223e-22)
0.08         	(9.002512e+00 -2.058100e+01 -1.816633e-19)	(7.114025e+00 -2.060043e+01 -1.826427e-19)	(1.888487e+00 1.943754e-02 9.794254e-22)
0.081        	(9.446185e+00 -2.395729e+01 -1.907199e-19)	(7.508551e+00 -2.395774e+01 -1.918217e-19)	(1.937634e+00 4.566616e-04 1.101867e-21)
0.082        	(8.571674e+00 -2.450936e+01 -1.898659e-19)	(6.645900e+00 -2.446081e+01 -1.908978e-19)	(1.925774e+00 -4.854716e-02 1.031818e-21)
0.083        	(9.052382e+00 -2.711384e+01 -1.919584e-19)	(7.097564e+00 -2.699975e+01 -1.923242e-19)	(1.954817e+00 -1.140913e-01 3.658446e-22)
0.084        	(8.481747e+00 -3.438823e+01 -1.968204e-19)	(6.478777e+00 -3.427440e+01 -1.964734e-19)	(2.002970e+00 -1.138342e-01 -3.470406e-22)
0.085        	(8.178030e+00 -3.856336e+01 -1.944912e-19)	(6.149420e+00 -3.845048e+01 -1.942373e-19)	(2.028610e+00 -1.128830e-01 -2.539077e-22)
0.086        	(8.456551e+00 -2.935203e+01 -1.829104e-19)	(6.426528e+00 -2.921546e+01 -1.842345e-19)	(2.030023e+00 -1.365651e-01 1.324153e-21)
0.087        	(9.010959e+00 -2.851924e+01 -2.002940e-19)	(7.002215e+00 -2.835818e+01 -2.036186e-19)	(2.008744e+00 -1.610685e-01 3.324671e-21)
0.088        	(8.434875e+00 -1.548977e+01 -2.299436e-19)	(6.373057e+00 -1.526655e+01 -2.340215e-19)	(2.061819e+00 -2.232157e-01 4.077953e-21)
0.089        	(6.144083e+00 -3.423267e+01 -2.231181e-19)	(4.036589e+00 -3.408403e+01 -2.235447e-19)	(2.107494e+00 -1.486438e-01 4.265689e-22)
0.09         	(5.624327e+00 -3.711240e+01 -2.106813e-19)	(3.601360e+00 -3.688077e+01 -2.075543e-19)	(2.022968e+00 -2.316301e-01 -3.127025e-21)
0.091        	(4.674195e+00 -4.939229e+01 -2.035307e-19)	(2.668562e+00 -4.924538e+01 -2.009553e-19)	(2.005633e+00 -1.469123e-01 -2.575325e-21)
0.092        	(3.389120e+00 -6.630761e+01 -2.084367e-19)	(1.287881e+00 -6.589057e+01 -2.079222e-19)	(2.101239e+00 -4.170433e-01 -5.144403e-22)
0.093        	(1.300660e+00 -8.362852e+01 -1.936298e-19)	(-7.688111e-01 -8.326925e+01 -1.957578e-19)	(2.069471e+00 -3.592676e-01 2.127973e-21)
0.094        	(-7.461152e+00 -1.602660e+02 -2.469929e-19)	(-9.747575e+00 -1.598552e+02 -2.477251e-19)	(2.286423e+00 -4.108352e-01 7.321749e-22)
0.095        	(-6.889583e-01 -1.282882e+02 -2.094512e-19)	(-3.072456e+00 -1.279225e+02 -2.055289e-19)	(2.383497e+00 -3.656845e-01 -3.922355e-21)
0.096        	(-3.520241e+00 -1.312095e+02 -4.035617e-19)	(-5.556676e+00 -1.302722e+02 -4.013530e-19)	(2.036435e+00 -9.372305e-01 -2.208723e-21)
0.097        	(-1.942233e+00 -1.298346e+02 -4.851301e-19)	(-3.761386e+00 -1.284988e+02 -4.881119e-19)	(1.819152e+00 -1.335875e+00 2.981841e-21)
