# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001        	(3.115527e+02 -4.005078e+03 -1.909344e-18)	(3.081118e+02 -4.004964e+03 -1.909245e-18)	(3.440874e+00 -1.140173e-01 -9.938625e-23)
0.002        	(-1.086060e+02 1.457545e+03 3.794455e-19)	(-1.114426e+02 1.457693e+03 3.795294e-19)	(2.836574e+00 -1.477119e-01 -8.384250e-23)
0.003        	(1.520149e+00 5.143587e-01 -1.200360e-19)	(2.687704e-02 6.035146e-01 -1.199434e-19)	(1.493272e+00 -8.915593e-02 -9.259319e-23)
0.004        	(7.384021e-01 -1.450060e+00 -1.208766e-19)	(-3.264949e-01 -1.392439e+00 -1.208574e-19)	(1.064897e+00 -5.762120e-02 -1.918490e-23)
0.005        	(4.223345e-01 -1.986041e+00 -1.217231e-19)	(-5.787818e-01 -1.922422e+00 -1.217522e-19)	(1.001116e+00 -6.361885e-02 2.906491e-23)
0.006        	(5.578831e-01 -1.410996e+00 -1.264148e-19)	(-4.110867e-01 -1.353215e+00 -1.264085e-19)	(9.689698e-01 -5.778101e-02 -6.256740e-24)
0.007        	(1.109706e+00 -2.023218e+00 -1.405036e-19)	(1.083932e-01 -1.961774e+00 -1.403542e-19)	(1.001313e+00 -6.144411e-02 -1.494667e-22)
0.008        	(1.284476e+00 -2.164262e+00 -1.428410e-19)	(2.592121e-01 -2.081235e+00 -1.424161e-19)	(1.025264e+00 -8.302716e-02 -4.248827e-22)
0.009        	(1.928854e+00 -2.196491e+00 -1.587354e-19)	(8.982631e-01 -2.106857e+00 -1.578016e-19)	(1.030591e+00 -8.963452e-02 -9.338545e-22)
0.01         	(3.134972e+00 -2.851687e+00 -1.515959e-19)	(2.131754e+00 -2.769840e+00 -1.505733e-19)	(1.003218e+00 -8.184727e-02 -1.022534e-21)
0.011        	(4.353591e+00 -3.490557e+00 -1.546789e-19)	(3.369357e+00 -3.419656e+00 -1.540970e-19)	(9.842344e-01 -7.090105e-02 -5.819580e-22)
0.012        	(4.394263e+00 -4.055999e+00 -1.526617e-19)	(3.423235e+00 -3.991050e+00 -1.522578e-19)	(9.710280e-01 -6.494927e-02 -4.038948e-22)
0.013        	(4.660222e+00 -4.039212e+00 -1.484477e-19)	(3.686075e+00 -3.982400e+00 -1.480785e-19)	(9.741469e-01 -5.681224e-02 -3.692206e-22)
