# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001        	(4.543941e+02 1.152346e+03 -1.126770e-19)	(4.508871e+02 1.152314e+03 -1.125441e-19)	(3.507052e+00 3.154644e-02 -1.329139e-22)
0.002        	(-1.268780e+00 1.886564e+01 -1.127595e-19)	(-4.233616e+00 1.880183e+01 -1.126400e-19)	(2.964835e+00 6.380682e-02 -1.195446e-22)
0.003        	(9.601725e+00 1.071605e+01 -1.110135e-19)	(7.289670e+00 1.064415e+01 -1.108945e-19)	(2.312055e+00 7.190422e-02 -1.190018e-22)
0.004        	(1.067900e+01 1.657980e+01 -1.141837e-19)	(8.631635e+00 1.651459e+01 -1.141367e-19)	(2.047363e+00 6.520854e-02 -4.698620e-23)
0.005        	(1.294157e+01 1.869217e+01 -1.199685e-19)	(1.105301e+01 1.862882e+01 -1.199289e-19)	(1.888556e+00 6.335053e-02 -3.965822e-23)
0.006        	(1.253593e+01 2.467217e+01 -1.073863e-19)	(1.071348e+01 2.459649e+01 -1.073680e-19)	(1.822447e+00 7.567665e-02 -1.824721e-23)
0.007        	(1.452337e+01 3.611018e+01 -9.454082e-20)	(1.272338e+01 3.602895e+01 -9.454738e-20)	(1.799987e+00 8.123149e-02 6.561656e-24)
0.008        	(1.450809e+01 5.083485e+01 -1.088205e-19)	(1.272863e+01 5.075213e+01 -1.087892e-19)	(1.779466e+00 8.272146e-02 -3.135689e-23)
0.009        	(1.425544e+01 6.050303e+01 -1.157366e-19)	(1.244435e+01 6.041817e+01 -1.156627e-19)	(1.811088e+00 8.485641e-02 -7.387570e-23)
0.01         	(1.155700e+01 1.209449e+02 -7.905427e-20)	(9.736894e+00 1.208570e+02 -7.897576e-20)	(1.820105e+00 8.797590e-02 -7.851168e-23)
0.011        	(1.039328e+01 1.293711e+02 -4.593424e-20)	(8.570159e+00 1.292780e+02 -4.592468e-20)	(1.823121e+00 9.305860e-02 -9.561432e-24)
0.012        	(8.791255e+00 1.657755e+02 -6.896303e-20)	(6.945631e+00 1.656683e+02 -6.905131e-20)	(1.845624e+00 1.072073e-01 8.828336e-23)
0.013        	(4.791838e+00 2.110006e+02 -1.197101e-19)	(2.886230e+00 2.108165e+02 -1.200010e-19)	(1.905608e+00 1.841085e-01 2.908875e-22)
0.014        	(-2.883527e+01 4.636524e+02 -3.915654e-19)	(-3.078005e+01 4.634954e+02 -3.918255e-19)	(1.944771e+00 1.570098e-01 2.601421e-22)
0.015        	(1.407933e+01 2.696632e+02 -1.892167e-19)	(1.212607e+01 2.695725e+02 -1.893984e-19)	(1.953256e+00 9.069365e-02 1.816528e-22)
0.016        	(1.760697e+01 2.550494e+02 -1.853154e-19)	(1.562662e+01 2.549666e+02 -1.855762e-19)	(1.980347e+00 8.287211e-02 2.607871e-22)
0.017        	(2.088720e+01 2.881732e+02 -1.673011e-19)	(1.888779e+01 2.881037e+02 -1.673302e-19)	(1.999415e+00 6.951956e-02 2.906022e-23)
0.018        	(2.604012e+01 2.591726e+02 -1.154008e-19)	(2.400164e+01 2.590889e+02 -1.155000e-19)	(2.038481e+00 8.367252e-02 9.919732e-23)
0.019        	(3.063733e+01 2.765125e+02 -1.237308e-19)	(2.857060e+01 2.764406e+02 -1.237956e-19)	(2.066736e+00 7.196777e-02 6.477152e-23)
0.02         	(3.482117e+01 3.432361e+02 -8.904395e-20)	(3.269022e+01 3.432230e+02 -8.883760e-20)	(2.130951e+00 1.311095e-02 -2.063522e-22)
0.021        	(3.009071e+01 3.685284e+02 -1.240802e-19)	(2.784366e+01 3.685058e+02 -1.238233e-19)	(2.247049e+00 2.259869e-02 -2.568381e-22)
0.022        	(3.892876e+01 3.729297e+02 -1.452634e-19)	(3.661599e+01 3.728374e+02 -1.453451e-19)	(2.312766e+00 9.235071e-02 8.177096e-23)
0.023        	(4.076416e+01 4.297919e+02 -1.481773e-19)	(3.834338e+01 4.297560e+02 -1.492270e-19)	(2.420778e+00 3.592906e-02 1.049702e-21)
0.024        	(4.198637e+01 5.171258e+02 -1.099078e-19)	(3.944462e+01 5.171065e+02 -1.112448e-19)	(2.541751e+00 1.935193e-02 1.336930e-21)
0.025        	(4.248742e+01 5.861382e+02 -9.424481e-20)	(3.985949e+01 5.861409e+02 -9.541671e-20)	(2.627934e+00 -2.769057e-03 1.171903e-21)
0.026        	(5.350800e+01 6.337246e+02 -9.704686e-20)	(5.067761e+01 6.335606e+02 -9.845719e-20)	(2.830386e+00 1.639988e-01 1.410337e-21)
0.027        	(5.366618e+01 7.805496e+02 -1.008990e-19)	(5.060478e+01 7.803684e+02 -1.021323e-19)	(3.061395e+00 1.811707e-01 1.233314e-21)
0.028        	(5.174194e+01 1.020714e+03 -7.935364e-20)	(4.847217e+01 1.020517e+03 -8.087406e-20)	(3.269778e+00 1.967358e-01 1.520425e-21)
0.029        	(6.221510e+01 1.635789e+03 -1.666791e-20)	(5.882893e+01 1.635420e+03 -2.397516e-20)	(3.386168e+00 3.686388e-01 7.307259e-21)
0.03         	(6.377696e+01 1.989739e+03 -2.474073e-19)	(6.000281e+01 1.988863e+03 -2.551240e-19)	(3.774141e+00 8.766923e-01 7.716696e-21)
0.031        	(4.729870e+01 3.501158e+03 -6.530263e-19)	(4.338128e+01 3.500853e+03 -6.572265e-19)	(3.917418e+00 3.057429e-01 4.200237e-21)
