# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.205451e+03 9.738545e+03 4.925296e-19)	(3.201814e+03 9.738335e+03 4.928742e-19)	(3.636813e+00 2.101851e-01 -3.446282e-22)
0.0002       	(-2.369940e+01 -2.620534e+02 -9.567826e-20)	(-2.705267e+01 -2.622466e+02 -9.539015e-20)	(3.353272e+00 1.931798e-01 -2.881160e-22)
0.0003       	(3.645142e+00 4.230691e+00 -1.087050e-19)	(5.581774e-01 4.052460e+00 -1.084340e-19)	(3.086965e+00 1.782320e-01 -2.710582e-22)
0.0004       	(3.582243e+00 1.773065e+00 -1.177275e-19)	(6.323560e-01 1.603729e+00 -1.174686e-19)	(2.949887e+00 1.693363e-01 -2.588997e-22)
0.0005       	(3.685047e+00 -1.562330e-02 -1.266698e-19)	(8.527843e-01 -1.771079e-01 -1.264090e-19)	(2.832262e+00 1.614846e-01 -2.608092e-22)
0.0006       	(4.486799e+00 4.165102e-01 -1.255194e-19)	(1.757590e+00 2.613898e-01 -1.252673e-19)	(2.729209e+00 1.551204e-01 -2.520652e-22)
0.0007       	(5.122333e+00 -2.708038e+00 -1.264977e-19)	(2.477613e+00 -2.858400e+00 -1.262666e-19)	(2.644720e+00 1.503621e-01 -2.311434e-22)
0.0008       	(5.116170e+00 -6.638304e-01 -1.226129e-19)	(2.543043e+00 -8.091787e-01 -1.223925e-19)	(2.573128e+00 1.453482e-01 -2.203810e-22)
0.0009       	(6.715499e+00 7.774203e+00 -1.063642e-19)	(4.205935e+00 7.634022e+00 -1.061366e-19)	(2.509563e+00 1.401815e-01 -2.275643e-22)
0.001        	(5.951803e+00 7.768036e+00 -1.012140e-19)	(3.501905e+00 7.634790e+00 -1.009875e-19)	(2.449898e+00 1.332463e-01 -2.264838e-22)
0.0011       	(5.831719e+00 4.260556e+00 -1.093723e-19)	(3.439541e+00 4.133562e+00 -1.091577e-19)	(2.392178e+00 1.269935e-01 -2.146050e-22)
0.0012       	(6.435987e+00 3.155676e+00 -1.098226e-19)	(4.095047e+00 3.034299e+00 -1.096183e-19)	(2.340940e+00 1.213777e-01 -2.043395e-22)
0.0013       	(7.956259e+00 3.015686e+00 -1.103583e-19)	(5.662398e+00 2.899046e+00 -1.101688e-19)	(2.293861e+00 1.166399e-01 -1.895170e-22)
0.0014       	(7.995500e+00 2.999716e+00 -1.113800e-19)	(5.745224e+00 2.887557e+00 -1.112051e-19)	(2.250276e+00 1.121586e-01 -1.749685e-22)
0.0015       	(1.371526e+01 1.726713e+00 -1.588759e-19)	(1.150595e+01 1.619632e+00 -1.587105e-19)	(2.209316e+00 1.070808e-01 -1.654292e-22)
0.0016       	(1.045727e+01 2.971133e+00 -1.262824e-19)	(8.287005e+00 2.868444e+00 -1.261232e-19)	(2.170265e+00 1.026890e-01 -1.591723e-22)
0.0017       	(8.574879e+00 3.010360e+00 -1.145414e-19)	(6.443181e+00 2.911421e+00 -1.143884e-19)	(2.131699e+00 9.893870e-02 -1.530217e-22)
0.0018       	(8.246821e+00 2.682519e+00 -1.136457e-19)	(6.152676e+00 2.586980e+00 -1.134986e-19)	(2.094145e+00 9.553916e-02 -1.471115e-22)
0.0019       	(8.530090e+00 1.593141e+00 -1.310262e-19)	(6.472192e+00 1.501706e+00 -1.308854e-19)	(2.057898e+00 9.143441e-02 -1.407854e-22)
0.002        	(9.273434e+00 2.023077e+00 -1.294026e-19)	(7.249565e+00 1.935416e+00 -1.292646e-19)	(2.023868e+00 8.766124e-02 -1.380065e-22)
0.0021       	(9.331901e+00 2.558264e+00 -1.188014e-19)	(7.340848e+00 2.473861e+00 -1.186654e-19)	(1.991053e+00 8.440334e-02 -1.360715e-22)
0.0022       	(1.005941e+01 3.351111e+00 -1.165495e-19)	(8.100636e+00 3.269788e+00 -1.164161e-19)	(1.958773e+00 8.132311e-02 -1.333999e-22)
0.0023       	(9.045814e+00 3.292275e+00 -1.165332e-19)	(7.118650e+00 3.214009e+00 -1.164035e-19)	(1.927164e+00 7.826601e-02 -1.297393e-22)
0.0024       	(9.632334e+00 3.963525e+00 -1.145256e-19)	(7.736036e+00 3.888398e+00 -1.144076e-19)	(1.896298e+00 7.512733e-02 -1.180138e-22)
0.0025       	(1.037361e+01 3.265646e+00 -1.221262e-19)	(8.508825e+00 3.193397e+00 -1.220209e-19)	(1.864786e+00 7.224957e-02 -1.052791e-22)
0.0026       	(1.056716e+01 2.162513e+00 -1.109755e-19)	(8.734000e+00 2.092100e+00 -1.108741e-19)	(1.833156e+00 7.041360e-02 -1.013693e-22)
0.0027       	(1.054568e+01 3.173629e+00 -1.215569e-19)	(8.743017e+00 3.104595e+00 -1.214562e-19)	(1.802666e+00 6.903417e-02 -1.007753e-22)
0.0028       	(1.253081e+01 5.593835e+00 -1.148057e-19)	(1.075791e+01 5.526508e+00 -1.147038e-19)	(1.772902e+00 6.732634e-02 -1.019687e-22)
0.0029       	(1.518836e+01 9.085649e+00 -1.021323e-19)	(1.344499e+01 9.020376e+00 -1.020177e-19)	(1.743377e+00 6.527301e-02 -1.146041e-22)
0.003        	(1.039831e+01 5.686413e+00 -1.133083e-19)	(8.683551e+00 5.622673e+00 -1.131902e-19)	(1.714758e+00 6.374027e-02 -1.180933e-22)
0.0031       	(1.279062e+01 9.094349e+00 -1.125164e-19)	(1.110309e+01 9.032385e+00 -1.123980e-19)	(1.687529e+00 6.196379e-02 -1.183778e-22)
0.0032       	(8.965672e+00 9.168452e+00 -1.127947e-19)	(7.303942e+00 9.107894e+00 -1.126798e-19)	(1.661730e+00 6.055734e-02 -1.148624e-22)
0.0033       	(9.428560e+00 8.188235e+00 -1.206206e-19)	(7.790005e+00 8.128955e+00 -1.205020e-19)	(1.638555e+00 5.928069e-02 -1.185842e-22)
0.0034       	(1.107351e+01 9.659429e+00 -1.148073e-19)	(9.455282e+00 9.601912e+00 -1.146878e-19)	(1.618227e+00 5.751759e-02 -1.194589e-22)
0.0035       	(1.150856e+01 8.605080e+00 -1.110198e-19)	(9.909221e+00 8.548423e+00 -1.109005e-19)	(1.599338e+00 5.665687e-02 -1.192093e-22)
0.0036       	(9.749323e+00 7.118081e+00 -1.196377e-19)	(8.168812e+00 7.062719e+00 -1.195226e-19)	(1.580511e+00 5.536187e-02 -1.151493e-22)
0.0037       	(1.071114e+01 5.711813e+00 -1.134261e-19)	(9.149267e+00 5.657172e+00 -1.133174e-19)	(1.561869e+00 5.464095e-02 -1.086032e-22)
0.0038       	(1.112448e+01 6.557410e+00 -1.074160e-19)	(9.578127e+00 6.502555e+00 -1.073151e-19)	(1.546356e+00 5.485458e-02 -1.008490e-22)
0.0039       	(1.130377e+01 6.655265e+00 -1.078087e-19)	(9.771427e+00 6.600572e+00 -1.077164e-19)	(1.532343e+00 5.469276e-02 -9.221923e-23)
0.004        	(1.295327e+01 8.021744e+00 -1.074271e-19)	(1.143539e+01 7.966917e+00 -1.073447e-19)	(1.517879e+00 5.482780e-02 -8.235295e-23)
0.0041       	(1.049861e+01 5.807323e+00 -1.134890e-19)	(8.996035e+00 5.752185e+00 -1.134143e-19)	(1.502575e+00 5.513823e-02 -7.474158e-23)
0.0042       	(9.850425e+00 5.188635e+00 -1.144785e-19)	(8.365568e+00 5.132689e+00 -1.144106e-19)	(1.484857e+00 5.594660e-02 -6.781400e-23)
0.0043       	(1.145206e+01 6.943854e+00 -1.144940e-19)	(9.979915e+00 6.887180e+00 -1.144312e-19)	(1.472142e+00 5.667357e-02 -6.277175e-23)
0.0044       	(1.278644e+01 7.754201e+00 -1.143651e-19)	(1.132395e+01 7.696659e+00 -1.143044e-19)	(1.462487e+00 5.754217e-02 -6.064429e-23)
0.0045       	(1.284669e+01 7.378454e+00 -1.187895e-19)	(1.139432e+01 7.319859e+00 -1.187287e-19)	(1.452368e+00 5.859491e-02 -6.079849e-23)
0.0046       	(1.173682e+01 7.326567e+00 -1.220109e-19)	(1.029470e+01 7.266617e+00 -1.219467e-19)	(1.442120e+00 5.995035e-02 -6.422397e-23)
0.0047       	(1.025512e+01 1.110571e+01 -1.214416e-19)	(8.823175e+00 1.104464e+01 -1.213784e-19)	(1.431948e+00 6.107268e-02 -6.319779e-23)
0.0048       	(1.055084e+01 1.364078e+01 -1.138043e-19)	(9.131259e+00 1.357907e+01 -1.137494e-19)	(1.419579e+00 6.170284e-02 -5.489795e-23)
