# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001        	(5.025941e+02 8.545714e+02 -1.731587e-19)	(4.990790e+02 8.545505e+02 -1.730184e-19)	(3.515055e+00 2.084008e-02 -1.403413e-22)
0.002        	(1.885517e+01 5.300986e+01 -1.337971e-19)	(1.586987e+01 5.296161e+01 -1.336580e-19)	(2.985297e+00 4.824310e-02 -1.391169e-22)
0.003        	(4.187637e+01 1.917558e+02 -1.377194e-19)	(3.937129e+01 1.916853e+02 -1.375684e-19)	(2.505079e+00 7.049290e-02 -1.510262e-22)
0.004        	(4.461491e+01 2.323066e+02 -1.241040e-19)	(4.230499e+01 2.322263e+02 -1.240489e-19)	(2.309920e+00 8.028784e-02 -5.512002e-23)
0.005        	(4.874987e+01 2.468153e+02 -1.306259e-19)	(4.653351e+01 2.467215e+02 -1.306241e-19)	(2.216354e+00 9.380860e-02 -1.879496e-24)
0.006        	(5.415129e+01 2.988746e+02 -9.570274e-20)	(5.193444e+01 2.987692e+02 -9.562056e-20)	(2.216851e+00 1.053570e-01 -8.218903e-23)
0.007        	(5.501719e+01 3.875646e+02 -1.921720e-20)	(5.272555e+01 3.874510e+02 -1.919617e-20)	(2.291649e+00 1.136519e-01 -2.103804e-23)
0.008        	(6.063375e+01 3.937656e+02 -2.892812e-20)	(5.823409e+01 3.936217e+02 -2.907981e-20)	(2.399656e+00 1.438909e-01 1.516903e-22)
0.009        	(9.233145e+01 4.507387e+02 -5.644135e-20)	(8.977460e+01 4.505471e+02 -5.671135e-20)	(2.556847e+00 1.916660e-01 2.700085e-22)
0.01         	(6.808008e+01 6.633076e+02 -4.705726e-20)	(6.533625e+01 6.630668e+02 -4.654641e-20)	(2.743829e+00 2.408023e-01 -5.108573e-22)
0.011        	(8.572684e+01 7.894289e+02 1.937083e-21)	(8.284845e+01 7.891480e+02 2.192415e-21)	(2.878384e+00 2.809497e-01 -2.553317e-22)
0.012        	(7.561570e+01 1.027608e+03 -9.481970e-20)	(7.273868e+01 1.027351e+03 -9.541357e-20)	(2.877019e+00 2.568326e-01 5.938714e-22)
0.013        	(6.195621e+01 1.425273e+03 -5.728347e-19)	(5.895834e+01 1.424957e+03 -5.740511e-19)	(2.997878e+00 3.161169e-01 1.216453e-21)
0.014        	(6.080767e+01 1.110999e+03 -3.940838e-19)	(5.781190e+01 1.110993e+03 -3.940289e-19)	(2.995767e+00 5.484492e-03 -5.484757e-23)
0.015        	(8.741231e+01 7.635836e+02 -1.804628e-19)	(8.451503e+01 7.637226e+02 -1.811016e-19)	(2.897282e+00 -1.389278e-01 6.387845e-22)
0.016        	(9.721456e+01 8.101825e+02 -2.131270e-19)	(9.429592e+01 8.103765e+02 -2.152603e-19)	(2.918647e+00 -1.940423e-01 2.133329e-21)
0.017        	(1.008068e+02 7.486591e+02 -2.399826e-19)	(9.782840e+01 7.488390e+02 -2.414058e-19)	(2.978435e+00 -1.799836e-01 1.423246e-21)
0.018        	(9.787978e+01 5.784272e+02 -3.493537e-19)	(9.494891e+01 5.787135e+02 -3.510260e-19)	(2.930870e+00 -2.863247e-01 1.672301e-21)
0.019        	(1.018072e+02 6.407818e+02 -4.052343e-19)	(9.872138e+01 6.410452e+02 -4.067184e-19)	(3.085821e+00 -2.633527e-01 1.484104e-21)
0.02         	(1.066582e+02 5.545896e+02 -6.871028e-19)	(1.034474e+02 5.548368e+02 -6.887488e-19)	(3.210803e+00 -2.472684e-01 1.645970e-21)
0.021        	(7.915725e+01 4.178294e+02 -9.489555e-19)	(7.590240e+01 4.183245e+02 -9.512216e-19)	(3.254847e+00 -4.950111e-01 2.266099e-21)
0.022        	(4.683117e+01 1.623874e+01 -1.482428e-18)	(4.342042e+01 1.712956e+01 -1.484287e-18)	(3.410743e+00 -8.908287e-01 1.859456e-21)
