# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.507963e+03 2.259411e+04 3.455496e-18)	(2.504374e+03 2.259366e+04 3.455910e-18)	(3.588307e+00 4.435994e-01 -4.145060e-22)
0.0002       	(-2.866670e+02 -3.474373e+03 -5.238009e-19)	(-2.899782e+02 -3.474766e+03 -5.234398e-19)	(3.311254e+00 3.926473e-01 -3.610481e-22)
0.0003       	(2.841642e+00 1.438956e+00 -1.014176e-19)	(-4.153636e-02 1.098369e+00 -1.011033e-19)	(2.883178e+00 3.405875e-01 -3.143047e-22)
0.0004       	(2.952421e+00 -2.544188e-01 -1.106518e-19)	(2.267140e-01 -5.730245e-01 -1.103737e-19)	(2.725707e+00 3.186057e-01 -2.781180e-22)
0.0005       	(2.692336e+00 8.845344e-01 -1.172346e-19)	(7.852643e-02 5.810167e-01 -1.169761e-19)	(2.613810e+00 3.035177e-01 -2.584692e-22)
0.0006       	(2.643592e+00 1.068261e+00 -1.179106e-19)	(1.531330e-01 7.817820e-01 -1.176549e-19)	(2.490459e+00 2.864793e-01 -2.556512e-22)
0.0007       	(2.665458e+00 -4.870330e-03 -1.187469e-19)	(2.776881e-01 -2.779487e-01 -1.185015e-19)	(2.387770e+00 2.730783e-01 -2.454358e-22)
0.0008       	(2.755024e+00 -4.135733e-01 -1.196564e-19)	(4.413809e-01 -6.743576e-01 -1.194257e-19)	(2.313644e+00 2.607844e-01 -2.306854e-22)
0.0009       	(3.125729e+00 -6.771037e-01 -1.182802e-19)	(8.772297e-01 -9.259572e-01 -1.180692e-19)	(2.248499e+00 2.488536e-01 -2.109876e-22)
0.001        	(4.033602e+00 -4.588456e-01 -1.181677e-19)	(1.848205e+00 -6.941702e-01 -1.179871e-19)	(2.185397e+00 2.353246e-01 -1.805602e-22)
0.0011       	(4.235145e+00 -1.982495e+00 -1.085063e-19)	(2.108681e+00 -2.204932e+00 -1.083463e-19)	(2.126464e+00 2.224373e-01 -1.599424e-22)
0.0012       	(4.030716e+00 1.664424e+00 -1.132202e-19)	(1.959342e+00 1.454986e+00 -1.130751e-19)	(2.071374e+00 2.094378e-01 -1.450908e-22)
0.0013       	(3.950194e+00 1.913595e+00 -1.159599e-19)	(1.927827e+00 1.716379e+00 -1.158318e-19)	(2.022367e+00 1.972157e-01 -1.280831e-22)
0.0014       	(4.193958e+00 2.004530e+00 -1.220798e-19)	(2.216064e+00 1.818463e+00 -1.219643e-19)	(1.977893e+00 1.860662e-01 -1.154590e-22)
0.0015       	(5.598037e+00 2.515297e+00 -1.111856e-19)	(3.660245e+00 2.339307e+00 -1.110802e-19)	(1.937792e+00 1.759896e-01 -1.053258e-22)
0.0016       	(8.777074e+00 3.788407e+00 -9.622042e-20)	(6.877678e+00 3.621773e+00 -9.612380e-20)	(1.899396e+00 1.666337e-01 -9.662567e-23)
0.0017       	(6.016006e+00 3.249334e+00 -1.110871e-19)	(4.154318e+00 3.091860e+00 -1.109935e-19)	(1.861688e+00 1.574742e-01 -9.359356e-23)
0.0018       	(5.479965e+00 3.199091e+00 -1.089262e-19)	(3.653555e+00 3.049895e+00 -1.088420e-19)	(1.826410e+00 1.491960e-01 -8.417889e-23)
0.0019       	(7.018386e+00 4.313502e+00 -1.034167e-19)	(5.222555e+00 4.170842e+00 -1.033426e-19)	(1.795830e+00 1.426602e-01 -7.414259e-23)
0.002        	(6.348621e+00 3.966666e+00 -1.089341e-19)	(4.581871e+00 3.829251e+00 -1.088646e-19)	(1.766750e+00 1.374151e-01 -6.946902e-23)
0.0021       	(5.816185e+00 3.434824e+00 -1.103735e-19)	(4.076056e+00 3.302120e+00 -1.103006e-19)	(1.740129e+00 1.327037e-01 -7.289699e-23)
0.0022       	(7.496782e+00 4.682726e+00 -1.033222e-19)	(5.781722e+00 4.554237e+00 -1.032521e-19)	(1.715060e+00 1.284892e-01 -7.013404e-23)
0.0023       	(8.913581e+00 5.670468e+00 -9.726627e-20)	(7.221824e+00 5.544748e+00 -9.719802e-20)	(1.691757e+00 1.257195e-01 -6.825429e-23)
0.0024       	(7.529839e+00 5.291371e+00 -9.740266e-20)	(5.860510e+00 5.167646e+00 -9.733933e-20)	(1.669329e+00 1.237252e-01 -6.333793e-23)
0.0025       	(8.020031e+00 5.211663e+00 -9.273704e-20)	(6.370408e+00 5.088854e+00 -9.267519e-20)	(1.649623e+00 1.228086e-01 -6.185804e-23)
0.0026       	(8.487795e+00 5.759166e+00 -9.429579e-20)	(6.855879e+00 5.636368e+00 -9.423622e-20)	(1.631916e+00 1.227974e-01 -5.956804e-23)
0.0027       	(7.530915e+00 5.566840e+00 -9.722749e-20)	(5.915962e+00 5.444001e+00 -9.716783e-20)	(1.614953e+00 1.228393e-01 -5.966219e-23)
0.0028       	(9.304439e+00 7.687487e+00 -8.488439e-20)	(7.708785e+00 7.565021e+00 -8.482297e-20)	(1.595654e+00 1.224658e-01 -6.142299e-23)
