# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001        	(4.142933e+02 2.390729e+03 1.974909e-19)	(4.108015e+02 2.390672e+03 1.976328e-19)	(3.491790e+00 5.686574e-02 -1.419435e-22)
0.002        	(-1.523651e+02 -6.396187e+02 -1.326531e-19)	(-1.553272e+02 -6.397168e+02 -1.325587e-19)	(2.962142e+00 9.811802e-02 -9.446565e-23)
0.003        	(1.002511e+00 4.587584e+00 -1.355143e-19)	(-8.266448e-01 4.504522e+00 -1.354347e-19)	(1.829156e+00 8.306204e-02 -7.953622e-23)
0.004        	(1.196603e+00 2.733512e+00 -1.263182e-19)	(-2.962628e-01 2.658666e+00 -1.262548e-19)	(1.492866e+00 7.484626e-02 -6.339991e-23)
0.005        	(7.891738e-01 2.880614e+00 -1.310961e-19)	(-5.765451e-01 2.803941e+00 -1.309281e-19)	(1.365719e+00 7.667317e-02 -1.679985e-22)
0.006        	(1.019615e+00 1.986427e+00 -1.244647e-19)	(-2.986157e-01 1.912291e+00 -1.241326e-19)	(1.318230e+00 7.413591e-02 -3.320859e-22)
0.007        	(1.723862e+00 2.888555e+00 -1.223538e-19)	(4.125875e-01 2.820394e+00 -1.219185e-19)	(1.311275e+00 6.816038e-02 -4.353508e-22)
0.008        	(2.582316e+00 4.163488e+00 -1.232896e-19)	(1.292476e+00 4.102320e+00 -1.231323e-19)	(1.289840e+00 6.116747e-02 -1.573363e-22)
0.009        	(2.416731e+00 4.880487e+00 -1.232545e-19)	(1.151573e+00 4.817412e+00 -1.231534e-19)	(1.265158e+00 6.307501e-02 -1.010685e-22)
0.01         	(3.796557e+00 8.161246e+00 -1.350811e-19)	(2.536904e+00 8.096124e+00 -1.349466e-19)	(1.259653e+00 6.512249e-02 -1.344686e-22)
0.011        	(5.327769e+00 5.806488e+00 -1.275562e-19)	(4.054939e+00 5.742456e+00 -1.275835e-19)	(1.272830e+00 6.403194e-02 2.730618e-23)
0.012        	(5.087231e+00 6.524963e+00 -1.469875e-19)	(3.803497e+00 6.470015e+00 -1.471042e-19)	(1.283734e+00 5.494723e-02 1.166619e-22)
0.013        	(5.018318e+00 6.559474e+00 -1.444580e-19)	(3.726982e+00 6.508358e+00 -1.445370e-19)	(1.291336e+00 5.111618e-02 7.906254e-23)
0.014        	(4.855939e+00 8.496312e+00 -1.276241e-19)	(3.576253e+00 8.455201e+00 -1.276262e-19)	(1.279686e+00 4.111123e-02 2.047347e-24)
0.015        	(4.528492e+00 9.137239e+00 -1.352886e-19)	(3.279665e+00 9.109058e+00 -1.352829e-19)	(1.248827e+00 2.818075e-02 -5.750149e-24)
0.016        	(4.541703e+00 1.168051e+01 -1.283889e-19)	(3.280469e+00 1.166085e+01 -1.284389e-19)	(1.261234e+00 1.965428e-02 4.991977e-23)
0.017        	(4.860894e+00 1.339212e+01 -1.317515e-19)	(3.582314e+00 1.337354e+01 -1.318956e-19)	(1.278580e+00 1.857682e-02 1.441136e-22)
0.018        	(4.812064e+00 1.217138e+01 -1.323117e-19)	(3.513537e+00 1.215715e+01 -1.325406e-19)	(1.298526e+00 1.423097e-02 2.288820e-22)
0.019        	(4.403507e+00 1.185921e+01 -1.329296e-19)	(3.087619e+00 1.185574e+01 -1.331365e-19)	(1.315888e+00 3.469103e-03 2.068981e-22)
0.02         	(4.879848e+00 1.281887e+01 -1.390846e-19)	(3.567192e+00 1.281724e+01 -1.391145e-19)	(1.312657e+00 1.624361e-03 2.992116e-23)
0.021        	(5.067475e+00 1.445342e+01 -1.437206e-19)	(3.749524e+00 1.446690e+01 -1.436699e-19)	(1.317951e+00 -1.348497e-02 -5.068155e-23)
0.022        	(4.899140e+00 1.404167e+01 -1.461485e-19)	(3.545400e+00 1.404970e+01 -1.463130e-19)	(1.353740e+00 -8.033046e-03 1.645649e-22)
0.023        	(4.898335e+00 1.367384e+01 -1.431257e-19)	(3.515693e+00 1.369630e+01 -1.433486e-19)	(1.382642e+00 -2.245865e-02 2.229293e-22)
0.024        	(4.993255e+00 1.415161e+01 -1.358342e-19)	(3.559686e+00 1.418374e+01 -1.359875e-19)	(1.433569e+00 -3.213408e-02 1.533302e-22)
0.025        	(4.507363e+00 1.430810e+01 -1.378748e-19)	(3.060938e+00 1.434128e+01 -1.378803e-19)	(1.446425e+00 -3.318530e-02 5.517973e-24)
0.026        	(4.299190e+00 1.409022e+01 -1.476811e-19)	(2.856592e+00 1.412778e+01 -1.478333e-19)	(1.442597e+00 -3.755479e-02 1.522464e-22)
0.027        	(4.159473e+00 1.468113e+01 -1.496771e-19)	(2.729776e+00 1.474089e+01 -1.502561e-19)	(1.429698e+00 -5.975954e-02 5.789984e-22)
0.028        	(3.435382e+00 1.108095e+01 -1.383871e-19)	(1.958039e+00 1.111561e+01 -1.385578e-19)	(1.477343e+00 -3.466623e-02 1.706719e-22)
0.029        	(3.002318e+00 1.220426e+01 -1.381861e-19)	(1.476998e+00 1.223723e+01 -1.382086e-19)	(1.525320e+00 -3.297250e-02 2.250941e-23)
0.03         	(3.663187e+00 1.332664e+01 -1.390218e-19)	(2.118655e+00 1.337574e+01 -1.390120e-19)	(1.544531e+00 -4.910480e-02 -9.779393e-24)
0.031        	(3.661569e+00 1.421514e+01 -1.419405e-19)	(2.103929e+00 1.426545e+01 -1.421723e-19)	(1.557640e+00 -5.031282e-02 2.317882e-22)
0.032        	(2.684440e+00 9.212581e+00 -1.420075e-19)	(1.124745e+00 9.242354e+00 -1.422732e-19)	(1.559695e+00 -2.977304e-02 2.657071e-22)
