# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001        	(4.500588e+02 -1.488107e+03 -7.264843e-19)	(4.465481e+02 -1.488058e+03 -7.263791e-19)	(3.510689e+00 -4.858475e-02 -1.052060e-22)
0.002        	(3.067779e+00 -7.309264e+01 -2.347773e-19)	(7.961942e-02 -7.300618e+01 -2.346541e-19)	(2.988160e+00 -8.646850e-02 -1.232162e-22)
0.003        	(1.489321e+01 -1.286440e+02 -2.843257e-19)	(1.244088e+01 -1.285503e+02 -2.841673e-19)	(2.452330e+00 -9.365939e-02 -1.583633e-22)
0.004        	(1.368991e+01 -1.400002e+02 -3.010815e-19)	(1.147430e+01 -1.399073e+02 -3.009745e-19)	(2.215609e+00 -9.291033e-02 -1.069638e-22)
0.005        	(9.719116e+00 -1.931857e+02 -3.507667e-19)	(7.618323e+00 -1.930916e+02 -3.507769e-19)	(2.100793e+00 -9.410054e-02 1.019970e-23)
0.006        	(1.389910e+01 -2.454261e+02 -3.892093e-19)	(1.183778e+01 -2.453158e+02 -3.893523e-19)	(2.061326e+00 -1.102559e-01 1.429950e-22)
0.007        	(1.501365e+01 -2.858856e+02 -3.995080e-19)	(1.291000e+01 -2.857386e+02 -3.996670e-19)	(2.103650e+00 -1.470334e-01 1.589755e-22)
0.008        	(5.924739e+00 -4.937831e+02 -4.868502e-19)	(3.773508e+00 -4.936073e+02 -4.868971e-19)	(2.151231e+00 -1.757718e-01 4.692537e-23)
0.009        	(-3.151237e+00 -7.602496e+02 -5.870226e-19)	(-5.328547e+00 -7.600756e+02 -5.870214e-19)	(2.177310e+00 -1.740257e-01 -1.237600e-24)
0.01         	(4.137456e+01 -1.381934e+03 -7.038863e-19)	(3.919820e+01 -1.381797e+03 -7.037714e-19)	(2.176361e+00 -1.375596e-01 -1.148654e-22)
0.011        	(2.100072e+01 -7.333942e+02 -5.665992e-19)	(1.885835e+01 -7.332559e+02 -5.664385e-19)	(2.142366e+00 -1.383010e-01 -1.607516e-22)
0.012        	(2.690167e+01 -7.555697e+02 -5.467578e-19)	(2.473890e+01 -7.554400e+02 -5.466074e-19)	(2.162770e+00 -1.297321e-01 -1.504346e-22)
0.013        	(3.673479e+01 -6.677155e+02 -4.981330e-19)	(3.452706e+01 -6.676152e+02 -4.978517e-19)	(2.207723e+00 -1.003632e-01 -2.812338e-22)
0.014        	(3.695658e+01 -7.128440e+02 -5.932437e-19)	(3.473808e+01 -7.127548e+02 -5.930326e-19)	(2.218493e+00 -8.919863e-02 -2.111186e-22)
0.015        	(4.084811e+01 -7.603289e+02 -6.089268e-19)	(3.861575e+01 -7.602262e+02 -6.088782e-19)	(2.232361e+00 -1.026991e-01 -4.866766e-23)
0.016        	(4.564070e+01 -8.405061e+02 -6.577382e-19)	(4.335709e+01 -8.404151e+02 -6.575770e-19)	(2.283610e+00 -9.098194e-02 -1.612748e-22)
0.017        	(4.594951e+01 -8.149969e+02 -6.549521e-19)	(4.356747e+01 -8.149276e+02 -6.551356e-19)	(2.382031e+00 -6.927340e-02 1.835454e-22)
0.018        	(4.821244e+01 -8.016446e+02 -6.717956e-19)	(4.572911e+01 -8.016209e+02 -6.725849e-19)	(2.483333e+00 -2.372172e-02 7.892986e-22)
0.019        	(5.354679e+01 -8.056042e+02 -7.097890e-19)	(5.096999e+01 -8.055827e+02 -7.104409e-19)	(2.576804e+00 -2.147865e-02 6.519223e-22)
0.02         	(5.677294e+01 -8.099127e+02 -6.579922e-19)	(5.407920e+01 -8.099339e+02 -6.585783e-19)	(2.693736e+00 2.117963e-02 5.861051e-22)
0.021        	(5.761813e+01 -8.324439e+02 -6.906137e-19)	(5.483737e+01 -8.325004e+02 -6.908490e-19)	(2.780761e+00 5.649099e-02 2.353038e-22)
0.022        	(6.699157e+01 -8.065413e+02 -7.552935e-19)	(6.417854e+01 -8.065203e+02 -7.558655e-19)	(2.813034e+00 -2.097605e-02 5.720291e-22)
0.023        	(9.353471e+01 -7.742749e+02 -8.399972e-19)	(9.060503e+01 -7.743864e+02 -8.400155e-19)	(2.929681e+00 1.115137e-01 1.827589e-23)
0.024        	(8.167108e+01 -8.232638e+02 -8.773061e-19)	(7.853127e+01 -8.237495e+02 -8.774386e-19)	(3.139819e+00 4.857190e-01 1.324356e-22)
0.025        	(1.274514e+02 -5.090849e+02 -9.533781e-19)	(1.242417e+02 -5.097588e+02 -9.543061e-19)	(3.209670e+00 6.738629e-01 9.279450e-22)
0.026        	(1.828449e+02 -3.787637e+02 -1.118496e-18)	(1.795595e+02 -3.789760e+02 -1.117722e-18)	(3.285369e+00 2.122817e-01 -7.735523e-22)
0.027        	(7.753269e+01 -5.394717e+02 -9.662247e-19)	(7.420876e+01 -5.397287e+02 -9.659546e-19)	(3.323924e+00 2.570010e-01 -2.701273e-22)
0.028        	(7.474760e+01 -4.371473e+02 -1.105066e-18)	(7.134984e+01 -4.373810e+02 -1.104247e-18)	(3.397758e+00 2.336408e-01 -8.193685e-22)
0.029        	(9.032255e+01 -6.500717e+02 -1.113561e-18)	(8.689947e+01 -6.502762e+02 -1.114021e-18)	(3.423076e+00 2.045321e-01 4.600720e-22)
0.03         	(8.193826e+01 -5.767506e+02 -1.044077e-18)	(7.829874e+01 -5.774035e+02 -1.046174e-18)	(3.639523e+00 6.528907e-01 2.096619e-21)
0.031        	(7.565081e+01 -4.526553e+02 -1.038454e-18)	(7.208998e+01 -4.532809e+02 -1.038195e-18)	(3.560836e+00 6.255651e-01 -2.589987e-22)
0.032        	(5.132316e+01 -3.089996e+02 -9.770406e-19)	(4.760259e+01 -3.098706e+02 -9.777992e-19)	(3.720567e+00 8.709911e-01 7.585272e-22)
0.033        	(3.632112e+01 -1.666148e+02 -4.920146e-19)	(3.246866e+01 -1.681547e+02 -4.936417e-19)	(3.852459e+00 1.539924e+00 1.627017e-21)
0.034        	(-2.258729e+01 3.240956e+02 -1.351513e-18)	(-2.648565e+01 3.233852e+02 -1.351340e-18)	(3.898360e+00 7.103660e-01 -1.724153e-22)
0.035        	(-6.212049e+01 6.383611e+02 -2.106123e-18)	(-6.633540e+01 6.376697e+02 -2.108624e-18)	(4.214905e+00 6.913778e-01 2.501228e-21)
0.036        	(-1.672849e+02 1.265016e+03 -3.508803e-18)	(-1.705274e+02 1.263592e+03 -3.502391e-18)	(3.242480e+00 1.423980e+00 -6.411874e-21)
0.037        	(-4.993978e+02 4.019656e+03 -4.125906e-18)	(-5.043627e+02 4.016049e+03 -4.102852e-18)	(4.964907e+00 3.606925e+00 -2.305364e-20)
