# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001        	(3.969965e+02 -1.914296e+03 -9.865339e-19)	(3.934977e+02 -1.914234e+03 -9.864276e-19)	(3.498817e+00 -6.215343e-02 -1.062496e-22)
0.002        	(-1.558595e+02 6.825906e+02 6.387295e-20)	(-1.588193e+02 6.826923e+02 6.396063e-20)	(2.959780e+00 -1.017024e-01 -8.767718e-23)
0.003        	(1.599634e+00 -1.125616e+00 -1.194147e-19)	(-2.265494e-01 -1.049442e+00 -1.192811e-19)	(1.826183e+00 -7.617432e-02 -1.335095e-22)
0.004        	(1.592607e+00 -7.697417e-01 -1.208341e-19)	(1.171627e-01 -7.076020e-01 -1.206490e-19)	(1.475445e+00 -6.213974e-02 -1.851531e-22)
0.005        	(1.119152e+00 -1.728730e+00 -1.207549e-19)	(-2.298666e-01 -1.665807e+00 -1.204568e-19)	(1.349019e+00 -6.292238e-02 -2.980950e-22)
0.006        	(1.010430e+00 -2.022804e+00 -1.259930e-19)	(-2.923974e-01 -1.965873e+00 -1.255036e-19)	(1.302828e+00 -5.693132e-02 -4.894545e-22)
0.007        	(1.479465e+00 -2.390449e+00 -1.288516e-19)	(1.637976e-01 -2.342646e+00 -1.282966e-19)	(1.315667e+00 -4.780283e-02 -5.550023e-22)
0.008        	(2.534542e+00 -3.089802e+00 -1.476735e-19)	(1.214223e+00 -3.041051e+00 -1.471984e-19)	(1.320319e+00 -4.875032e-02 -4.751221e-22)
0.009        	(2.904106e+00 -3.803192e+00 -1.521701e-19)	(1.617715e+00 -3.762043e+00 -1.518970e-19)	(1.286391e+00 -4.114925e-02 -2.731702e-22)
0.01         	(3.665026e+00 -3.234860e+00 -1.556438e-19)	(2.380223e+00 -3.208591e+00 -1.554666e-19)	(1.284803e+00 -2.626835e-02 -1.771143e-22)
0.011        	(4.739634e+00 -2.060177e+00 -1.716697e-19)	(3.458794e+00 -2.033916e+00 -1.714797e-19)	(1.280840e+00 -2.626057e-02 -1.900092e-22)
0.012        	(5.138680e+00 -2.952089e+00 -1.594298e-19)	(3.861891e+00 -2.925781e+00 -1.592650e-19)	(1.276789e+00 -2.630868e-02 -1.648164e-22)
