# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001        	(3.609704e+02 -2.917970e+03 -1.452022e-18)	(3.574908e+02 -2.917885e+03 -1.451929e-18)	(3.479665e+00 -8.524631e-02 -9.301963e-23)
0.002        	(-1.370770e+02 9.766185e+02 1.926996e-19)	(-1.399893e+02 9.767417e+02 1.928065e-19)	(2.912367e+00 -1.232177e-01 -1.069149e-22)
0.003        	(1.623187e+00 1.537842e-01 -1.195807e-19)	(-4.326675e-02 2.355561e-01 -1.194583e-19)	(1.666453e+00 -8.177190e-02 -1.223181e-22)
0.004        	(1.188105e+00 -7.245348e-01 -1.200496e-19)	(-8.208143e-02 -6.703851e-01 -1.199352e-19)	(1.270186e+00 -5.414971e-02 -1.143636e-22)
0.005        	(9.263533e-01 -6.883847e-01 -1.221871e-19)	(-2.366158e-01 -6.298652e-01 -1.220472e-19)	(1.162969e+00 -5.851956e-02 -1.398748e-22)
0.006        	(7.049673e-01 -1.012432e+00 -1.329565e-19)	(-4.003415e-01 -9.577695e-01 -1.326744e-19)	(1.105309e+00 -5.466283e-02 -2.821049e-22)
0.007        	(1.332516e+00 -1.314295e+00 -1.483856e-19)	(1.877616e-01 -1.266665e+00 -1.478279e-19)	(1.144755e+00 -4.763068e-02 -5.576347e-22)
0.008        	(2.043386e+00 -2.565337e+00 -1.552074e-19)	(8.812141e-01 -2.503441e+00 -1.544062e-19)	(1.162171e+00 -6.189554e-02 -8.012364e-22)
0.009        	(2.500080e+00 -2.042203e+00 -1.437049e-19)	(1.351562e+00 -1.985813e+00 -1.430457e-19)	(1.148518e+00 -5.638909e-02 -6.591921e-22)
0.01         	(3.533784e+00 -2.868391e+00 -1.517396e-19)	(2.411768e+00 -2.826829e+00 -1.513112e-19)	(1.122016e+00 -4.156181e-02 -4.284124e-22)
0.011        	(4.159147e+00 -1.998286e+00 -1.524650e-19)	(3.034043e+00 -1.949408e+00 -1.521534e-19)	(1.125104e+00 -4.887808e-02 -3.116584e-22)
0.012        	(4.905324e+00 -2.805562e+00 -1.526772e-19)	(3.764926e+00 -2.751925e+00 -1.524510e-19)	(1.140398e+00 -5.363672e-02 -2.262262e-22)
