# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001        	(2.836883e+02 -3.873746e+03 -1.832510e-18)	(2.802621e+02 -3.873627e+03 -1.832411e-18)	(3.426227e+00 -1.192713e-01 -9.886866e-23)
0.002        	(-9.951915e+01 1.644441e+03 4.655136e-19)	(-1.023262e+02 1.644591e+03 4.656071e-19)	(2.807012e+00 -1.498779e-01 -9.341149e-23)
0.003        	(1.406933e+00 8.063137e-02 -1.200446e-19)	(-3.927369e-02 1.700865e-01 -1.199610e-19)	(1.446206e+00 -8.945513e-02 -8.359909e-23)
0.004        	(6.909481e-01 -1.328416e+00 -1.221333e-19)	(-3.307557e-01 -1.271929e+00 -1.221192e-19)	(1.021704e+00 -5.648694e-02 -1.400218e-23)
0.005        	(4.615746e-01 -1.785279e+00 -1.209265e-19)	(-4.983820e-01 -1.724618e+00 -1.209582e-19)	(9.599567e-01 -6.066108e-02 3.169843e-23)
0.006        	(4.178440e-01 -1.535888e+00 -1.233883e-19)	(-5.013022e-01 -1.476727e+00 -1.233896e-19)	(9.191462e-01 -5.916044e-02 1.246910e-24)
0.007        	(9.353701e-01 -1.347682e+00 -1.363622e-19)	(-1.025629e-02 -1.280635e+00 -1.362224e-19)	(9.456264e-01 -6.704705e-02 -1.397612e-22)
0.008        	(1.505778e+00 -1.533915e+00 -1.495901e-19)	(5.481638e-01 -1.454351e+00 -1.491915e-19)	(9.576144e-01 -7.956357e-02 -3.985879e-22)
0.009        	(1.432076e+00 -2.471011e+00 -1.415886e-19)	(4.702813e-01 -2.387524e+00 -1.407899e-19)	(9.617951e-01 -8.348730e-02 -7.986528e-22)
0.01         	(2.443592e+00 -3.102091e+00 -1.438588e-19)	(1.490940e+00 -3.025502e+00 -1.429002e-19)	(9.526519e-01 -7.658896e-02 -9.585838e-22)
0.011        	(4.454187e+00 -2.983762e+00 -1.513216e-19)	(3.510017e+00 -2.905798e+00 -1.506561e-19)	(9.441696e-01 -7.796390e-02 -6.654982e-22)
