# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.163964e+03 1.130130e+04 8.681160e-19)	(3.160328e+03 1.130106e+04 8.684777e-19)	(3.636531e+00 2.371567e-01 -3.616381e-22)
0.0002       	(-4.599814e+02 -1.720529e+03 -3.648875e-20)	(-4.633495e+02 -1.720746e+03 -3.616681e-20)	(3.368102e+00 2.163825e-01 -3.219306e-22)
0.0003       	(2.943472e+00 1.735755e+00 -1.112843e-19)	(-5.455383e-02 1.542456e+00 -1.109877e-19)	(2.998026e+00 1.932996e-01 -2.965611e-22)
0.0004       	(2.406563e+00 3.367933e+00 -1.061887e-19)	(-4.478497e-01 3.185302e+00 -1.059097e-19)	(2.854412e+00 1.826315e-01 -2.789297e-22)
0.0005       	(2.710910e+00 3.308632e-02 -1.152334e-19)	(-4.180445e-02 -1.444674e-01 -1.149479e-19)	(2.752715e+00 1.775537e-01 -2.854940e-22)
0.0006       	(2.292799e+00 2.984716e+00 -1.153619e-19)	(-3.536436e-01 2.812393e+00 -1.150722e-19)	(2.646443e+00 1.723237e-01 -2.896195e-22)
0.0007       	(2.247794e+00 3.850596e+00 -1.138624e-19)	(-3.071765e-01 3.684372e+00 -1.135846e-19)	(2.554971e+00 1.662242e-01 -2.777441e-22)
0.0008       	(2.583047e+00 5.325942e+00 -1.091814e-19)	(9.662768e-02 5.167614e+00 -1.089239e-19)	(2.486419e+00 1.583278e-01 -2.574937e-22)
0.0009       	(3.499158e+00 1.146661e+00 -1.096573e-19)	(1.071706e+00 9.949010e-01 -1.094294e-19)	(2.427452e+00 1.517600e-01 -2.278874e-22)
0.001        	(3.259229e+00 3.644875e-01 -1.120029e-19)	(8.898367e-01 2.188375e-01 -1.117916e-19)	(2.369392e+00 1.456501e-01 -2.112875e-22)
0.0011       	(3.339577e+00 -4.042647e+00 -1.145668e-19)	(1.028058e+00 -4.182710e+00 -1.143663e-19)	(2.311519e+00 1.400628e-01 -2.005817e-22)
0.0012       	(3.293882e+00 -3.055137e+00 -1.150438e-19)	(1.032060e+00 -3.189593e+00 -1.148466e-19)	(2.261822e+00 1.344557e-01 -1.972225e-22)
0.0013       	(3.055899e+00 2.821681e+00 -1.191243e-19)	(8.405460e-01 2.693273e+00 -1.189255e-19)	(2.215353e+00 1.284083e-01 -1.988579e-22)
0.0014       	(4.043796e+00 4.184559e+00 -1.199329e-19)	(1.872508e+00 4.061414e+00 -1.197396e-19)	(2.171288e+00 1.231442e-01 -1.933273e-22)
0.0015       	(5.488938e+00 3.704489e+00 -1.099332e-19)	(3.358340e+00 3.586542e+00 -1.097575e-19)	(2.130598e+00 1.179473e-01 -1.757789e-22)
0.0016       	(6.327064e+00 4.527564e+00 -1.020120e-19)	(4.233860e+00 4.413652e+00 -1.018443e-19)	(2.093204e+00 1.139118e-01 -1.676503e-22)
0.0017       	(8.108014e+00 5.044496e+00 -9.229150e-20)	(6.050731e+00 4.934047e+00 -9.214048e-20)	(2.057283e+00 1.104496e-01 -1.510141e-22)
0.0018       	(6.014635e+00 4.639805e+00 -1.017963e-19)	(3.990970e+00 4.533227e+00 -1.016587e-19)	(2.023666e+00 1.065775e-01 -1.375414e-22)
0.0019       	(5.471012e+00 3.895382e+00 -1.051055e-19)	(3.482045e+00 3.792493e+00 -1.049826e-19)	(1.988967e+00 1.028896e-01 -1.229251e-22)
0.002        	(5.971960e+00 3.386941e+00 -1.054499e-19)	(4.015995e+00 3.287261e+00 -1.053447e-19)	(1.955965e+00 9.967926e-02 -1.051897e-22)
0.0021       	(7.403015e+00 2.636583e+00 -1.219703e-19)	(5.476078e+00 2.538618e+00 -1.218749e-19)	(1.926937e+00 9.796505e-02 -9.532834e-23)
0.0022       	(7.613084e+00 2.974180e+00 -1.133731e-19)	(5.714011e+00 2.879077e+00 -1.132775e-19)	(1.899072e+00 9.510346e-02 -9.564018e-23)
0.0023       	(8.531197e+00 3.374777e+00 -1.210331e-19)	(6.658549e+00 3.282170e+00 -1.209362e-19)	(1.872648e+00 9.260739e-02 -9.684214e-23)
0.0024       	(1.055834e+01 2.331425e+00 -1.739001e-19)	(8.710776e+00 2.240725e+00 -1.738028e-19)	(1.847568e+00 9.069989e-02 -9.732436e-23)
0.0025       	(7.424367e+00 3.061168e+00 -1.283498e-19)	(5.602093e+00 2.972211e+00 -1.282493e-19)	(1.822274e+00 8.895727e-02 -1.004434e-22)
0.0026       	(7.531747e+00 3.520591e+00 -1.135436e-19)	(5.735249e+00 3.433040e+00 -1.134387e-19)	(1.796498e+00 8.755143e-02 -1.049630e-22)
0.0027       	(9.153312e+00 4.093872e+00 -1.121785e-19)	(7.380973e+00 4.007023e+00 -1.120721e-19)	(1.772339e+00 8.684965e-02 -1.064153e-22)
