# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001        	(3.043568e+02 -4.025548e+03 -1.915542e-18)	(3.009204e+02 -4.025432e+03 -1.915442e-18)	(3.436352e+00 -1.162922e-01 -9.920611e-23)
0.002        	(-1.066330e+02 1.517471e+03 4.062125e-19)	(-1.094621e+02 1.517620e+03 4.062962e-19)	(2.829065e+00 -1.492813e-01 -8.365153e-23)
0.003        	(1.533396e+00 6.834503e-01 -1.200689e-19)	(5.414788e-02 7.740780e-01 -1.199813e-19)	(1.479248e+00 -9.062773e-02 -8.757582e-23)
0.004        	(7.338402e-01 -1.452337e+00 -1.215319e-19)	(-3.217245e-01 -1.393753e+00 -1.215133e-19)	(1.055565e+00 -5.858363e-02 -1.865044e-23)
0.005        	(4.563248e-01 -1.852339e+00 -1.208635e-19)	(-5.289563e-01 -1.786996e+00 -1.208745e-19)	(9.852811e-01 -6.534360e-02 1.097138e-23)
0.006        	(4.616449e-01 -1.448035e+00 -1.228862e-19)	(-4.957674e-01 -1.387598e+00 -1.228671e-19)	(9.574123e-01 -6.043719e-02 -1.912409e-23)
0.007        	(1.008411e+00 -1.931200e+00 -1.363677e-19)	(2.221634e-02 -1.866430e+00 -1.362280e-19)	(9.861950e-01 -6.476989e-02 -1.396264e-22)
0.008        	(1.547304e+00 -2.157711e+00 -1.513547e-19)	(5.499264e-01 -2.076198e+00 -1.509327e-19)	(9.973772e-01 -8.151315e-02 -4.220090e-22)
0.009        	(1.670451e+00 -2.367884e+00 -1.490941e-19)	(6.764065e-01 -2.282820e+00 -1.482438e-19)	(9.940442e-01 -8.506408e-02 -8.503211e-22)
0.01         	(2.502185e+00 -2.674159e+00 -1.546191e-19)	(1.525542e+00 -2.593883e+00 -1.535797e-19)	(9.766425e-01 -8.027598e-02 -1.039478e-21)
0.011        	(4.726146e+00 -3.278054e+00 -1.607431e-19)	(3.765362e+00 -3.202043e+00 -1.600775e-19)	(9.607844e-01 -7.601115e-02 -6.656294e-22)
0.012        	(4.710341e+00 -3.496900e+00 -1.607366e-19)	(3.764631e+00 -3.425819e+00 -1.603555e-19)	(9.457099e-01 -7.108184e-02 -3.811632e-22)
0.013        	(4.708582e+00 -3.445762e+00 -1.468105e-19)	(3.773639e+00 -3.381082e+00 -1.464819e-19)	(9.349426e-01 -6.467912e-02 -3.285437e-22)
0.014        	(5.287663e+00 -5.103540e+00 -1.514942e-19)	(4.355454e+00 -5.046945e+00 -1.511641e-19)	(9.322091e-01 -5.659501e-02 -3.301717e-22)
0.015        	(5.578812e+00 -5.664274e+00 -1.568641e-19)	(4.643791e+00 -5.617865e+00 -1.566685e-19)	(9.350211e-01 -4.640857e-02 -1.955894e-22)
0.016        	(6.373510e+00 -6.576316e+00 -1.654023e-19)	(5.422870e+00 -6.540091e+00 -1.653987e-19)	(9.506394e-01 -3.622454e-02 -3.564910e-24)
0.017        	(6.392376e+00 -6.813111e+00 -1.778724e-19)	(5.431711e+00 -6.775973e+00 -1.779485e-19)	(9.606645e-01 -3.713782e-02 7.605207e-23)
0.018        	(6.025683e+00 -6.496601e+00 -1.725499e-19)	(5.050348e+00 -6.455237e+00 -1.726878e-19)	(9.753352e-01 -4.136438e-02 1.378542e-22)
0.019        	(5.952003e+00 -7.287677e+00 -1.603584e-19)	(4.945869e+00 -7.253797e+00 -1.604872e-19)	(1.006134e+00 -3.387991e-02 1.287580e-22)
