# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001        	(4.438521e+02 9.582649e+02 -1.343253e-19)	(4.403454e+02 9.582372e+02 -1.341847e-19)	(3.506683e+00 2.767109e-02 -1.405592e-22)
0.002        	(-7.420738e+00 -2.003974e+01 -1.158569e-19)	(-1.037355e+01 -2.009602e+01 -1.157345e-19)	(2.952809e+00 5.628564e-02 -1.223831e-22)
0.003        	(6.228232e+00 1.902355e+00 -1.097904e-19)	(4.033867e+00 1.841776e+00 -1.096629e-19)	(2.194365e+00 6.057928e-02 -1.275611e-22)
0.004        	(7.370482e+00 2.236379e+00 -1.153897e-19)	(5.454459e+00 2.184772e+00 -1.153138e-19)	(1.916022e+00 5.160758e-02 -7.588164e-23)
0.005        	(7.793604e+00 1.115632e+00 -1.286866e-19)	(6.053753e+00 1.059930e+00 -1.286366e-19)	(1.739851e+00 5.570200e-02 -4.999465e-23)
0.006        	(7.609407e+00 1.162817e+00 -1.227530e-19)	(5.946323e+00 1.099562e+00 -1.227084e-19)	(1.663084e+00 6.325471e-02 -4.466731e-23)
0.007        	(7.942118e+00 3.030097e+00 -1.198870e-19)	(6.309395e+00 2.975752e+00 -1.198708e-19)	(1.632723e+00 5.434470e-02 -1.617818e-23)
0.008        	(8.508730e+00 3.492733e+00 -1.166281e-19)	(6.904990e+00 3.444525e+00 -1.166227e-19)	(1.603740e+00 4.820871e-02 -5.463830e-24)
0.009        	(8.889402e+00 2.270551e+00 -1.149951e-19)	(7.295388e+00 2.229957e+00 -1.149787e-19)	(1.594014e+00 4.059414e-02 -1.645977e-23)
0.01         	(9.856026e+00 4.384759e+00 -1.091196e-19)	(8.257477e+00 4.345533e+00 -1.091316e-19)	(1.598549e+00 3.922595e-02 1.206361e-23)
0.011        	(1.249565e+01 7.873411e+00 -1.051765e-19)	(1.090492e+01 7.832153e+00 -1.052081e-19)	(1.590729e+00 4.125829e-02 3.168066e-23)
0.012        	(1.295879e+01 9.731570e+00 -1.130096e-19)	(1.136139e+01 9.688966e+00 -1.130623e-19)	(1.597396e+00 4.260406e-02 5.272246e-23)
0.013        	(1.359674e+01 1.599494e+01 -1.137378e-19)	(1.197842e+01 1.595585e+01 -1.138203e-19)	(1.618324e+00 3.908598e-02 8.252498e-23)
0.014        	(1.365744e+01 3.080687e+01 -1.261328e-19)	(1.203654e+01 3.076372e+01 -1.261535e-19)	(1.620901e+00 4.314975e-02 2.078058e-23)
0.015        	(1.371459e+01 5.143986e+01 -1.096116e-19)	(1.207044e+01 5.139447e+01 -1.095080e-19)	(1.644150e+00 4.539612e-02 -1.035667e-22)
0.016        	(1.242464e+01 7.385530e+01 -9.287453e-20)	(1.076758e+01 7.382344e+01 -9.284172e-20)	(1.657062e+00 3.185927e-02 -3.280724e-23)
0.017        	(1.616930e+01 5.151141e+01 -9.938960e-20)	(1.450881e+01 5.146542e+01 -9.940798e-20)	(1.660489e+00 4.599119e-02 1.837635e-23)
0.018        	(1.252422e+01 9.291996e+01 -1.521303e-19)	(1.082215e+01 9.281437e+01 -1.523547e-19)	(1.702069e+00 1.055916e-01 2.243238e-22)
0.019        	(-2.653401e-01 2.107721e+02 -3.332084e-19)	(-2.019179e+00 2.106513e+02 -3.333591e-19)	(1.753839e+00 1.208186e-01 1.506717e-22)
0.02         	(1.116633e+01 1.447140e+02 -2.079177e-19)	(9.451278e+00 1.446836e+02 -2.081219e-19)	(1.715055e+00 3.035644e-02 2.041556e-22)
0.021        	(2.018037e+01 1.039660e+02 -1.517398e-19)	(1.844538e+01 1.039519e+02 -1.519420e-19)	(1.734989e+00 1.406231e-02 2.022102e-22)
0.022        	(2.646640e+01 1.085532e+02 -1.361660e-19)	(2.476068e+01 1.085584e+02 -1.362611e-19)	(1.705719e+00 -5.294195e-03 9.514558e-23)
0.023        	(2.450710e+01 1.080592e+02 -1.052172e-19)	(2.277126e+01 1.081013e+02 -1.051774e-19)	(1.735843e+00 -4.208482e-02 -3.981741e-23)
0.024        	(3.750987e+01 9.409319e+01 -1.352800e-19)	(3.572228e+01 9.411837e+01 -1.353525e-19)	(1.787589e+00 -2.518624e-02 7.248340e-23)
0.025        	(2.856454e+01 1.216829e+02 -1.333139e-19)	(2.672294e+01 1.216910e+02 -1.334686e-19)	(1.841600e+00 -8.125830e-03 1.547071e-22)
0.026        	(2.706453e+01 1.279403e+02 -1.439862e-19)	(2.521597e+01 1.279310e+02 -1.440441e-19)	(1.848568e+00 9.329628e-03 5.789810e-23)
0.027        	(3.723467e+01 1.590634e+02 -1.501370e-19)	(3.539916e+01 1.590413e+02 -1.501565e-19)	(1.835516e+00 2.218066e-02 1.954503e-23)
0.028        	(3.135951e+01 1.514257e+02 -1.615414e-19)	(2.949790e+01 1.514116e+02 -1.614824e-19)	(1.861609e+00 1.409366e-02 -5.899559e-23)
0.029        	(3.791452e+01 1.804474e+02 -1.717664e-19)	(3.601590e+01 1.804372e+02 -1.717469e-19)	(1.898613e+00 1.028262e-02 -1.950096e-23)
0.03         	(3.776036e+01 1.830655e+02 -1.694650e-19)	(3.580608e+01 1.830211e+02 -1.694493e-19)	(1.954281e+00 4.436876e-02 -1.578139e-23)
0.031        	(4.056232e+01 2.032966e+02 -1.865069e-19)	(3.858740e+01 2.032456e+02 -1.866076e-19)	(1.974920e+00 5.099889e-02 1.006304e-22)
0.032        	(4.490386e+01 2.372924e+02 -1.818554e-19)	(4.289973e+01 2.372564e+02 -1.820801e-19)	(2.004128e+00 3.593541e-02 2.246464e-22)
0.033        	(4.245123e+01 2.510868e+02 -1.968876e-19)	(4.041775e+01 2.510694e+02 -1.970990e-19)	(2.033476e+00 1.744553e-02 2.114137e-22)
0.034        	(4.763435e+01 3.256508e+02 -1.972537e-19)	(4.558691e+01 3.256459e+02 -1.974878e-19)	(2.047442e+00 4.822858e-03 2.341460e-22)
0.035        	(4.991430e+01 2.685165e+02 -1.710381e-19)	(4.774861e+01 2.685370e+02 -1.714162e-19)	(2.165694e+00 -2.042238e-02 3.780439e-22)
0.036        	(4.734685e+01 2.870805e+02 -2.091875e-19)	(4.498803e+01 2.870783e+02 -2.096238e-19)	(2.358818e+00 2.220542e-03 4.363435e-22)
0.037        	(5.291894e+01 2.857563e+02 -2.372740e-19)	(5.033131e+01 2.859097e+02 -2.383343e-19)	(2.587623e+00 -1.534174e-01 1.060325e-21)
0.038        	(4.267198e+01 1.757363e+02 -4.772322e-19)	(3.988889e+01 1.760656e+02 -4.786987e-19)	(2.783089e+00 -3.293707e-01 1.466560e-21)
0.039        	(6.049897e+00 1.432939e+02 -6.805047e-19)	(3.248006e+00 1.438249e+02 -6.825555e-19)	(2.801891e+00 -5.310500e-01 2.050781e-21)
