# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001        	(4.382792e+02 1.003452e+03 -1.242338e-19)	(4.347733e+02 1.003422e+03 -1.240961e-19)	(3.505862e+00 2.962239e-02 -1.376866e-22)
0.002        	(-5.944377e+01 -1.598406e+02 -9.996896e-20)	(-6.239506e+01 -1.598994e+02 -9.985469e-20)	(2.951296e+00 5.876057e-02 -1.142769e-22)
0.003        	(1.986256e+00 -2.397428e-02 -1.177633e-19)	(-3.742344e-02 -8.329762e-02 -1.176440e-19)	(2.023679e+00 5.932333e-02 -1.192824e-22)
0.004        	(1.770047e+00 6.932589e-01 -1.183255e-19)	(-1.331054e-03 6.390277e-01 -1.181769e-19)	(1.771378e+00 5.423123e-02 -1.485811e-22)
0.005        	(2.215587e+00 4.408593e-01 -1.171217e-19)	(6.323894e-01 3.889302e-01 -1.169730e-19)	(1.583197e+00 5.192902e-02 -1.487412e-22)
0.006        	(2.639464e+00 4.717179e-01 -1.112593e-19)	(1.110183e+00 4.159415e-01 -1.111619e-19)	(1.529282e+00 5.577644e-02 -9.746346e-23)
0.007        	(4.018488e+00 1.875264e+00 -1.123688e-19)	(2.526126e+00 1.820630e+00 -1.123779e-19)	(1.492362e+00 5.463353e-02 9.111858e-24)
0.008        	(4.481120e+00 1.250868e-01 -1.251177e-19)	(3.004226e+00 7.057408e-02 -1.251691e-19)	(1.476894e+00 5.451270e-02 5.142847e-23)
0.009        	(5.124856e+00 6.998736e-01 -1.356264e-19)	(3.674843e+00 6.526110e-01 -1.356661e-19)	(1.450013e+00 4.726259e-02 3.966548e-23)
0.01         	(6.148727e+00 9.671815e-01 -1.307674e-19)	(4.718310e+00 9.256772e-01 -1.307929e-19)	(1.430417e+00 4.150432e-02 2.551281e-23)
0.011        	(5.871671e+00 1.265796e+00 -1.226314e-19)	(4.448501e+00 1.224759e+00 -1.226779e-19)	(1.423170e+00 4.103773e-02 4.653147e-23)
0.012        	(5.393036e+00 1.722895e+00 -1.260271e-19)	(3.982918e+00 1.695029e+00 -1.260602e-19)	(1.410118e+00 2.786606e-02 3.311349e-23)
0.013        	(5.925806e+00 1.452001e+00 -1.276834e-19)	(4.489512e+00 1.428566e+00 -1.277008e-19)	(1.436294e+00 2.343514e-02 1.743814e-23)
0.014        	(7.262914e+00 1.614737e+00 -1.286141e-19)	(5.821357e+00 1.586973e+00 -1.286905e-19)	(1.441557e+00 2.776336e-02 7.635578e-23)
0.015        	(7.524007e+00 1.989406e+00 -1.277969e-19)	(6.063498e+00 1.966193e+00 -1.278607e-19)	(1.460509e+00 2.321213e-02 6.388736e-23)
0.016        	(7.301072e+00 2.189227e+00 -1.224314e-19)	(5.838864e+00 2.175497e+00 -1.224567e-19)	(1.462208e+00 1.372978e-02 2.535377e-23)
0.017        	(7.358836e+00 2.369434e+00 -1.267562e-19)	(5.900577e+00 2.361056e+00 -1.267742e-19)	(1.458260e+00 8.377256e-03 1.797637e-23)
0.018        	(7.504050e+00 3.002956e+00 -1.285432e-19)	(6.032440e+00 3.000221e+00 -1.286276e-19)	(1.471610e+00 2.735595e-03 8.436182e-23)
0.019        	(7.797013e+00 3.519332e+00 -1.267233e-19)	(6.315224e+00 3.518331e+00 -1.268582e-19)	(1.481789e+00 1.000169e-03 1.348281e-22)
0.02         	(7.183987e+00 7.535190e+00 -1.242260e-19)	(5.684439e+00 7.531821e+00 -1.243439e-19)	(1.499548e+00 3.369843e-03 1.178845e-22)
0.021        	(6.338599e+00 1.432483e+01 -1.356113e-19)	(4.823761e+00 1.430911e+01 -1.356948e-19)	(1.514838e+00 1.571447e-02 8.354901e-23)
0.022        	(3.277593e+00 3.111686e+01 -1.605240e-19)	(1.749554e+00 3.109656e+01 -1.605760e-19)	(1.528038e+00 2.029997e-02 5.193681e-23)
0.023        	(2.482739e-01 4.978043e+01 -2.013341e-19)	(-1.286846e+00 4.980034e+01 -2.015043e-19)	(1.535120e+00 -1.990537e-02 1.701694e-22)
0.024        	(6.820859e+00 1.226606e+01 -1.392075e-19)	(5.278136e+00 1.229050e+01 -1.394675e-19)	(1.542723e+00 -2.443915e-02 2.600555e-22)
0.025        	(5.462424e+00 1.513107e+01 -1.551018e-19)	(3.934847e+00 1.516542e+01 -1.552828e-19)	(1.527577e+00 -3.434869e-02 1.809837e-22)
0.026        	(5.670631e+00 1.559223e+01 -1.483453e-19)	(4.140652e+00 1.563516e+01 -1.483599e-19)	(1.529979e+00 -4.292899e-02 1.459740e-23)
0.027        	(5.445149e+00 1.842813e+01 -1.447672e-19)	(3.927941e+00 1.847404e+01 -1.446811e-19)	(1.517208e+00 -4.591496e-02 -8.614335e-23)
0.028        	(5.150961e+00 1.873193e+01 -1.404563e-19)	(3.623492e+00 1.879231e+01 -1.403418e-19)	(1.527470e+00 -6.037855e-02 -1.144915e-22)
0.029        	(4.181986e+00 1.933130e+01 -1.501934e-19)	(2.604706e+00 1.936733e+01 -1.501731e-19)	(1.577280e+00 -3.603027e-02 -2.033327e-23)
0.03         	(4.379410e+00 1.842406e+01 -1.527802e-19)	(2.808866e+00 1.845176e+01 -1.527125e-19)	(1.570544e+00 -2.770391e-02 -6.768435e-23)
0.031        	(4.842345e+00 1.848636e+01 -1.564679e-19)	(3.274453e+00 1.851398e+01 -1.562590e-19)	(1.567892e+00 -2.762828e-02 -2.089186e-22)
0.032        	(5.880398e+00 1.856726e+01 -1.515104e-19)	(4.303596e+00 1.858475e+01 -1.514174e-19)	(1.576802e+00 -1.748480e-02 -9.300745e-23)
0.033        	(4.411506e+00 1.938817e+01 -1.534121e-19)	(2.819004e+00 1.940039e+01 -1.534243e-19)	(1.592501e+00 -1.221178e-02 1.215957e-23)
0.034        	(2.664731e+00 2.155722e+01 -1.559993e-19)	(1.093127e+00 2.156957e+01 -1.560167e-19)	(1.571604e+00 -1.235218e-02 1.737214e-23)
0.035        	(2.181276e+00 2.185014e+01 -1.570307e-19)	(6.079085e-01 2.186773e+01 -1.570810e-19)	(1.573368e+00 -1.759247e-02 5.035737e-23)
0.036        	(2.246520e+00 2.304644e+01 -1.620187e-19)	(6.477979e-01 2.307113e+01 -1.620713e-19)	(1.598722e+00 -2.469046e-02 5.258166e-23)
0.037        	(2.248298e+00 2.334178e+01 -1.619732e-19)	(6.344535e-01 2.337427e+01 -1.619507e-19)	(1.613844e+00 -3.248397e-02 -2.247579e-23)
