# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.211318e+03 2.814314e+04 4.338706e-18)	(2.207760e+03 2.814259e+04 4.339155e-18)	(3.557816e+00 5.458358e-01 -4.492133e-22)
0.0002       	(-2.186226e+02 -4.251235e+03 -5.130621e-19)	(-2.218913e+02 -4.251712e+03 -5.126720e-19)	(3.268674e+00 4.766091e-01 -3.900942e-22)
0.0003       	(3.171028e+00 -2.388310e-01 -1.024891e-19)	(3.548942e-01 -6.473473e-01 -1.021583e-19)	(2.816134e+00 4.085163e-01 -3.307922e-22)
0.0004       	(2.844012e+00 3.449791e-01 -1.184431e-19)	(1.922013e-01 -3.283745e-02 -1.181736e-19)	(2.651811e+00 3.778166e-01 -2.694872e-22)
0.0005       	(2.822755e+00 -1.775829e-01 -1.183704e-19)	(2.872780e-01 -5.337488e-01 -1.181456e-19)	(2.535477e+00 3.561659e-01 -2.247918e-22)
0.0006       	(2.783699e+00 -2.428593e-01 -1.190046e-19)	(3.784455e-01 -5.752026e-01 -1.188102e-19)	(2.405254e+00 3.323433e-01 -1.943609e-22)
0.0007       	(3.225890e+00 -3.013043e+00 -1.312071e-19)	(9.323732e-01 -3.325350e+00 -1.310223e-19)	(2.293516e+00 3.123069e-01 -1.848027e-22)
0.0008       	(3.091278e+00 -2.151757e+00 -1.301534e-19)	(8.737660e-01 -2.448243e+00 -1.299792e-19)	(2.217512e+00 2.964860e-01 -1.742807e-22)
0.0009       	(3.310015e+00 -1.407879e+00 -1.215875e-19)	(1.157464e+00 -1.688276e+00 -1.214322e-19)	(2.152552e+00 2.803970e-01 -1.552038e-22)
0.001        	(3.864320e+00 8.562896e-01 -1.168023e-19)	(1.773152e+00 5.921533e-01 -1.166767e-19)	(2.091168e+00 2.641362e-01 -1.255448e-22)
0.0011       	(3.618638e+00 2.960115e+00 -1.130970e-19)	(1.586992e+00 2.712650e+00 -1.129960e-19)	(2.031646e+00 2.474649e-01 -1.010468e-22)
0.0012       	(3.780105e+00 2.557191e+00 -1.153808e-19)	(1.802983e+00 2.325668e+00 -1.152990e-19)	(1.977122e+00 2.315228e-01 -8.186396e-23)
0.0013       	(3.596280e+00 2.682612e+00 -1.179684e-19)	(1.667189e+00 2.465340e+00 -1.179013e-19)	(1.929091e+00 2.172720e-01 -6.710502e-23)
0.0014       	(3.822500e+00 2.238679e+00 -1.184501e-19)	(1.937006e+00 2.034316e+00 -1.183841e-19)	(1.885494e+00 2.043631e-01 -6.600255e-23)
0.0015       	(5.385829e+00 1.727108e+00 -1.141105e-19)	(3.540564e+00 1.533107e+00 -1.140444e-19)	(1.845265e+00 1.940016e-01 -6.610112e-23)
0.0016       	(6.372057e+00 3.696812e+00 -1.117685e-19)	(4.563052e+00 3.511659e+00 -1.117078e-19)	(1.809004e+00 1.851528e-01 -6.071041e-23)
0.0017       	(8.347161e+00 4.773417e+00 -9.476477e-20)	(6.572569e+00 4.596838e+00 -9.472125e-20)	(1.774592e+00 1.765794e-01 -4.352472e-23)
0.0018       	(6.011689e+00 3.534894e+00 -1.066354e-19)	(4.269833e+00 3.365864e+00 -1.066017e-19)	(1.741856e+00 1.690305e-01 -3.370492e-23)
0.0019       	(7.694617e+00 4.325717e+00 -9.964132e-20)	(5.980752e+00 4.164284e+00 -9.961752e-20)	(1.713866e+00 1.614337e-01 -2.379747e-23)
0.002        	(8.179459e+00 4.896571e+00 -9.925948e-20)	(6.490802e+00 4.739948e+00 -9.923415e-20)	(1.688656e+00 1.566232e-01 -2.532435e-23)
0.0021       	(7.112864e+00 3.954588e+00 -1.006385e-19)	(5.447265e+00 3.803223e+00 -1.006144e-19)	(1.665599e+00 1.513652e-01 -2.416314e-23)
0.0022       	(6.195978e+00 3.442713e+00 -1.023611e-19)	(4.553625e+00 3.296362e+00 -1.023395e-19)	(1.642353e+00 1.463515e-01 -2.165135e-23)
0.0023       	(6.074558e+00 3.754851e+00 -1.016253e-19)	(4.454924e+00 3.612768e+00 -1.016043e-19)	(1.619634e+00 1.420839e-01 -2.092765e-23)
0.0024       	(9.045626e+00 5.930538e+00 -8.849655e-20)	(7.447534e+00 5.792184e+00 -8.847243e-20)	(1.598093e+00 1.383542e-01 -2.411875e-23)
0.0025       	(8.307164e+00 5.683516e+00 -9.039299e-20)	(6.729477e+00 5.547690e+00 -9.036674e-20)	(1.577687e+00 1.358270e-01 -2.625128e-23)
0.0026       	(7.125031e+00 5.449349e+00 -9.485670e-20)	(5.566804e+00 5.315269e+00 -9.482661e-20)	(1.558227e+00 1.340806e-01 -3.008677e-23)
0.0027       	(8.365649e+00 8.359990e+00 -8.526957e-20)	(6.825220e+00 8.227513e+00 -8.523578e-20)	(1.540429e+00 1.324773e-01 -3.379017e-23)
0.0028       	(9.919311e+00 9.756098e+00 -7.052077e-20)	(8.395702e+00 9.624817e+00 -7.048223e-20)	(1.523609e+00 1.312806e-01 -3.853590e-23)
0.0029       	(9.127166e+00 7.819267e+00 -8.664114e-20)	(7.619233e+00 7.688965e+00 -8.660158e-20)	(1.507933e+00 1.303021e-01 -3.955822e-23)
0.003        	(9.176551e+00 6.912102e+00 -8.665783e-20)	(7.682252e+00 6.782616e+00 -8.661628e-20)	(1.494300e+00 1.294854e-01 -4.154494e-23)
0.0031       	(1.103387e+01 9.029490e+00 -7.100672e-20)	(9.551159e+00 8.900594e+00 -7.096746e-20)	(1.482707e+00 1.288952e-01 -3.925508e-23)
0.0032       	(7.709045e+00 6.477368e+00 -9.299664e-20)	(6.239251e+00 6.348571e+00 -9.296007e-20)	(1.469794e+00 1.287972e-01 -3.656996e-23)
0.0033       	(7.662534e+00 7.888084e+00 -7.542058e-20)	(6.206747e+00 7.759923e+00 -7.539896e-20)	(1.455788e+00 1.281610e-01 -2.162252e-23)
0.0034       	(1.040903e+01 1.175658e+01 -5.724135e-20)	(8.965298e+00 1.162992e+01 -5.722805e-20)	(1.443727e+00 1.266581e-01 -1.329877e-23)
0.0035       	(7.303324e+00 7.092746e+00 -8.756106e-20)	(5.870765e+00 6.967768e+00 -8.755370e-20)	(1.432559e+00 1.249784e-01 -7.369502e-24)
0.0036       	(8.064141e+00 7.798769e+00 -8.390150e-20)	(6.643456e+00 7.675680e+00 -8.389881e-20)	(1.420685e+00 1.230892e-01 -2.691448e-24)
0.0037       	(9.911205e+00 9.550351e+00 -7.043534e-20)	(8.500857e+00 9.428794e+00 -7.043248e-20)	(1.410347e+00 1.215577e-01 -2.859739e-24)
0.0038       	(1.156179e+01 1.103761e+01 -6.196818e-20)	(1.016025e+01 1.091717e+01 -6.196375e-20)	(1.401540e+00 1.204401e-01 -4.428617e-24)
0.0039       	(9.261084e+00 8.554458e+00 -7.718752e-20)	(7.867325e+00 8.434027e+00 -7.718364e-20)	(1.393760e+00 1.204309e-01 -3.877385e-24)
0.004        	(7.986021e+00 6.995679e+00 -8.643391e-20)	(6.600071e+00 6.875007e+00 -8.642801e-20)	(1.385951e+00 1.206729e-01 -5.898733e-24)
0.0041       	(1.162439e+01 1.201625e+01 -5.982335e-20)	(1.024664e+01 1.189510e+01 -5.981229e-20)	(1.377750e+00 1.211514e-01 -1.105687e-23)
0.0042       	(1.290633e+01 1.388418e+01 -4.695385e-20)	(1.153673e+01 1.376263e+01 -4.693613e-20)	(1.369600e+00 1.215483e-01 -1.772845e-23)
