# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001        	(3.426277e+02 -3.349853e+03 -1.637541e-18)	(3.391600e+02 -3.349756e+03 -1.637442e-18)	(3.467675e+00 -9.646762e-02 -9.901502e-23)
0.002        	(-1.273305e+02 1.148224e+03 2.657169e-19)	(-1.302149e+02 1.148357e+03 2.658221e-19)	(2.884356e+00 -1.335940e-01 -1.051937e-22)
0.003        	(1.560130e+00 1.188604e-01 -1.200792e-19)	(-3.794529e-02 2.014160e-01 -1.199667e-19)	(1.598075e+00 -8.255562e-02 -1.124809e-22)
0.004        	(1.094059e+00 -1.078932e+00 -1.204748e-19)	(-8.004438e-02 -1.027290e+00 -1.203992e-19)	(1.174104e+00 -5.164175e-02 -7.558365e-23)
0.005        	(7.535920e-01 -1.311784e+00 -1.218587e-19)	(-3.287916e-01 -1.251371e+00 -1.218034e-19)	(1.082384e+00 -6.041286e-02 -5.532901e-23)
0.006        	(8.132795e-01 -2.328737e+00 -1.320625e-19)	(-2.265952e-01 -2.279446e+00 -1.318995e-19)	(1.039875e+00 -4.929101e-02 -1.629515e-22)
0.007        	(1.177073e+00 -1.509821e+00 -1.399036e-19)	(8.782273e-02 -1.457117e+00 -1.395152e-19)	(1.089250e+00 -5.270457e-02 -3.883276e-22)
0.008        	(1.438326e+00 -2.057679e+00 -1.444194e-19)	(3.270127e-01 -1.984680e+00 -1.437119e-19)	(1.111314e+00 -7.299868e-02 -7.075396e-22)
0.009        	(2.339016e+00 -2.293111e+00 -1.526135e-19)	(1.228254e+00 -2.223718e+00 -1.517664e-19)	(1.110762e+00 -6.939280e-02 -8.470682e-22)
0.01         	(3.815362e+00 -2.795478e+00 -1.551428e-19)	(2.724795e+00 -2.742062e+00 -1.545522e-19)	(1.090567e+00 -5.341652e-02 -5.906420e-22)
0.011        	(4.868717e+00 -2.368522e+00 -1.495290e-19)	(3.794537e+00 -2.312436e+00 -1.491198e-19)	(1.074180e+00 -5.608670e-02 -4.092156e-22)
0.012        	(4.579627e+00 -2.989107e+00 -1.489145e-19)	(3.514821e+00 -2.928562e+00 -1.486254e-19)	(1.064806e+00 -6.054482e-02 -2.890522e-22)
0.013        	(6.010632e+00 -3.265329e+00 -1.620385e-19)	(4.948662e+00 -3.211382e+00 -1.618921e-19)	(1.061970e+00 -5.394728e-02 -1.463711e-22)
0.014        	(5.519514e+00 -3.007897e+00 -1.550121e-19)	(4.451974e+00 -2.958153e+00 -1.549270e-19)	(1.067541e+00 -4.974389e-02 -8.515848e-23)
0.015        	(5.361112e+00 -4.905618e+00 -1.570396e-19)	(4.272232e+00 -4.857390e+00 -1.569690e-19)	(1.088881e+00 -4.822851e-02 -7.055931e-23)
0.016        	(6.698364e+00 -6.769769e+00 -1.665164e-19)	(5.598490e+00 -6.725279e+00 -1.665549e-19)	(1.099874e+00 -4.449016e-02 3.848554e-23)
0.017        	(6.752087e+00 -5.888947e+00 -1.708049e-19)	(5.641572e+00 -5.850402e+00 -1.709574e-19)	(1.110515e+00 -3.854546e-02 1.524472e-22)
0.018        	(6.286465e+00 -4.415045e+00 -1.659905e-19)	(5.169978e+00 -4.387079e+00 -1.661422e-19)	(1.116488e+00 -2.796518e-02 1.516902e-22)
0.019        	(7.058686e+00 -5.782149e+00 -1.590980e-19)	(5.925369e+00 -5.760913e+00 -1.591855e-19)	(1.133316e+00 -2.123633e-02 8.747754e-23)
0.02         	(7.987506e+00 -7.699530e+00 -1.675838e-19)	(6.846839e+00 -7.684240e+00 -1.676706e-19)	(1.140667e+00 -1.529059e-02 8.678006e-23)
0.021        	(8.065750e+00 -8.274474e+00 -1.724118e-19)	(6.911536e+00 -8.258411e+00 -1.725458e-19)	(1.154214e+00 -1.606300e-02 1.339899e-22)
0.022        	(8.299237e+00 -7.364293e+00 -1.755667e-19)	(7.120716e+00 -7.357127e+00 -1.756736e-19)	(1.178520e+00 -7.166112e-03 1.069008e-22)
0.023        	(7.671538e+00 -6.967766e+00 -1.723365e-19)	(6.482158e+00 -6.968508e+00 -1.723325e-19)	(1.189381e+00 7.418762e-04 -3.969037e-24)
0.024        	(7.583689e+00 -5.669769e+00 -1.617991e-19)	(6.370596e+00 -5.663956e+00 -1.617346e-19)	(1.213093e+00 -5.813052e-03 -6.447389e-23)
0.025        	(7.761048e+00 -5.486827e+00 -1.661905e-19)	(6.531650e+00 -5.478432e+00 -1.661823e-19)	(1.229398e+00 -8.394702e-03 -8.217321e-24)
0.026        	(7.877129e+00 -5.644643e+00 -1.695421e-19)	(6.626940e+00 -5.641099e+00 -1.696075e-19)	(1.250189e+00 -3.543944e-03 6.538064e-23)
0.027        	(8.544770e+00 -5.465758e+00 -1.736967e-19)	(7.265610e+00 -5.456690e+00 -1.738265e-19)	(1.279161e+00 -9.068174e-03 1.297633e-22)
0.028        	(9.105272e+00 -7.082303e+00 -1.755956e-19)	(7.814384e+00 -7.071504e+00 -1.757709e-19)	(1.290889e+00 -1.079836e-02 1.753453e-22)
0.029        	(9.194616e+00 -6.577026e+00 -1.765164e-19)	(7.884948e+00 -6.573212e+00 -1.766348e-19)	(1.309668e+00 -3.813831e-03 1.183017e-22)
0.03         	(9.773992e+00 -8.459435e+00 -1.746616e-19)	(8.424274e+00 -8.476974e+00 -1.746429e-19)	(1.349718e+00 1.753909e-02 -1.872347e-23)
0.031        	(9.260909e+00 -6.310326e+00 -1.732373e-19)	(7.899294e+00 -6.329821e+00 -1.732105e-19)	(1.361615e+00 1.949486e-02 -2.682174e-23)
0.032        	(8.368214e+00 -5.755418e+00 -1.723000e-19)	(6.970647e+00 -5.760422e+00 -1.723931e-19)	(1.397566e+00 5.003729e-03 9.310794e-23)
0.033        	(8.895869e+00 -7.538069e+00 -1.595303e-19)	(7.471727e+00 -7.544791e+00 -1.596312e-19)	(1.424142e+00 6.722558e-03 1.008205e-22)
0.034        	(8.418758e+00 -5.686260e+00 -1.676837e-19)	(6.977868e+00 -5.704669e+00 -1.676930e-19)	(1.440890e+00 1.840882e-02 9.309170e-24)
0.035        	(8.851150e+00 -5.504141e+00 -1.717977e-19)	(7.402247e+00 -5.517824e+00 -1.718281e-19)	(1.448903e+00 1.368211e-02 3.040214e-23)
0.036        	(9.326456e+00 -7.554971e+00 -1.595386e-19)	(7.834306e+00 -7.560756e+00 -1.596812e-19)	(1.492150e+00 5.785561e-03 1.426024e-22)
0.037        	(9.319687e+00 -8.795729e+00 -1.626135e-19)	(7.790124e+00 -8.813922e+00 -1.627273e-19)	(1.529563e+00 1.819312e-02 1.137468e-22)
0.038        	(9.523639e+00 -8.146708e+00 -1.675077e-19)	(7.979426e+00 -8.165279e+00 -1.675358e-19)	(1.544213e+00 1.857041e-02 2.810108e-23)
0.039        	(9.918804e+00 -9.537179e+00 -1.661468e-19)	(8.336522e+00 -9.558348e+00 -1.662512e-19)	(1.582283e+00 2.116881e-02 1.043654e-22)
0.04         	(9.388834e+00 -8.408080e+00 -1.623922e-19)	(7.784269e+00 -8.429279e+00 -1.624358e-19)	(1.604565e+00 2.119891e-02 4.363621e-23)
0.041        	(9.616371e+00 -9.885045e+00 -1.610577e-19)	(7.979485e+00 -9.907644e+00 -1.609356e-19)	(1.636886e+00 2.259987e-02 -1.221349e-22)
0.042        	(9.592296e+00 -8.321200e+00 -1.682119e-19)	(7.913262e+00 -8.343116e+00 -1.682191e-19)	(1.679035e+00 2.191648e-02 7.219785e-24)
0.043        	(9.637973e+00 -8.522260e+00 -1.686407e-19)	(7.934677e+00 -8.566579e+00 -1.690057e-19)	(1.703296e+00 4.431863e-02 3.649795e-22)
0.044        	(9.276809e+00 -8.182597e+00 -1.678368e-19)	(7.538668e+00 -8.222492e+00 -1.682178e-19)	(1.738141e+00 3.989433e-02 3.810185e-22)
0.045        	(9.035618e+00 -1.131913e+01 -1.646589e-19)	(7.307834e+00 -1.136103e+01 -1.644489e-19)	(1.727784e+00 4.190185e-02 -2.099560e-22)
0.046        	(8.979409e+00 -1.044172e+01 -1.728070e-19)	(7.252077e+00 -1.050009e+01 -1.726672e-19)	(1.727332e+00 5.836838e-02 -1.398018e-22)
0.047        	(9.180905e+00 -8.621007e+00 -1.860793e-19)	(7.431904e+00 -8.674857e+00 -1.864336e-19)	(1.749001e+00 5.385039e-02 3.542423e-22)
0.048        	(8.874339e+00 -6.979479e+00 -1.757504e-19)	(7.121552e+00 -7.023356e+00 -1.761845e-19)	(1.752788e+00 4.387750e-02 4.341348e-22)
0.049        	(9.482671e+00 -1.001805e+01 -1.735249e-19)	(7.718513e+00 -1.005423e+01 -1.739115e-19)	(1.764157e+00 3.618052e-02 3.865992e-22)
0.05         	(9.960133e+00 -9.887794e+00 -1.805247e-19)	(8.206837e+00 -9.957777e+00 -1.806490e-19)	(1.753296e+00 6.998288e-02 1.243182e-22)
0.051        	(9.476392e+00 -1.011168e+01 -1.820286e-19)	(7.710043e+00 -1.020947e+01 -1.817314e-19)	(1.766348e+00 9.779299e-02 -2.972458e-22)
0.052        	(8.611688e+00 -4.719490e+00 -2.053937e-19)	(6.803453e+00 -4.814483e+00 -2.052165e-19)	(1.808236e+00 9.499214e-02 -1.771537e-22)
0.053        	(6.249914e+00 5.759603e+00 -2.386972e-19)	(4.425891e+00 5.708277e+00 -2.388695e-19)	(1.824024e+00 5.132622e-02 1.723696e-22)
0.054        	(8.427995e+00 -3.201649e+00 -2.025262e-19)	(6.584595e+00 -3.253620e+00 -2.023216e-19)	(1.843399e+00 5.197071e-02 -2.046477e-22)
0.055        	(6.022093e+00 7.993648e+00 -2.345987e-19)	(4.198920e+00 7.907582e+00 -2.337493e-19)	(1.823173e+00 8.606580e-02 -8.494675e-22)
0.056        	(6.547613e+00 6.614411e+00 -2.392348e-19)	(4.746603e+00 6.513895e+00 -2.388513e-19)	(1.801010e+00 1.005157e-01 -3.835744e-22)
0.057        	(6.461957e+00 1.147893e+01 -2.400242e-19)	(4.643814e+00 1.138015e+01 -2.402485e-19)	(1.818143e+00 9.877998e-02 2.243202e-22)
0.058        	(5.277372e+00 1.969907e+01 -2.537889e-19)	(3.445702e+00 1.961189e+01 -2.539512e-19)	(1.831670e+00 8.718192e-02 1.622732e-22)
0.059        	(4.198397e+00 2.302285e+01 -2.653149e-19)	(2.369960e+00 2.299735e+01 -2.652975e-19)	(1.828437e+00 2.550512e-02 -1.737301e-23)
0.06         	(5.478609e+00 1.555906e+01 -2.449993e-19)	(3.657236e+00 1.551722e+01 -2.453547e-19)	(1.821372e+00 4.183326e-02 3.553409e-22)
0.061        	(4.262576e+00 1.918761e+01 -2.566957e-19)	(2.461678e+00 1.911262e+01 -2.573005e-19)	(1.800898e+00 7.499047e-02 6.048018e-22)
0.062        	(3.445402e+00 2.281294e+01 -2.722995e-19)	(1.606969e+00 2.275063e+01 -2.724754e-19)	(1.838433e+00 6.230189e-02 1.758686e-22)
0.063        	(4.047830e-02 4.162122e+01 -3.257283e-19)	(-1.819151e+00 4.156775e+01 -3.254845e-19)	(1.859629e+00 5.347663e-02 -2.437589e-22)
0.064        	(1.724535e+00 3.016285e+01 -2.822175e-19)	(-1.873187e-01 3.012059e+01 -2.823725e-19)	(1.911854e+00 4.226235e-02 1.550694e-22)
0.065        	(-5.413182e-01 3.971277e+01 -3.137802e-19)	(-2.384216e+00 3.973156e+01 -3.143020e-19)	(1.842898e+00 -1.879246e-02 5.218328e-22)
0.066        	(-8.047603e-01 4.521445e+01 -3.490006e-19)	(-2.570956e+00 4.521240e+01 -3.488379e-19)	(1.766196e+00 2.052326e-03 -1.626592e-22)
0.067        	(-5.167282e+00 7.395206e+01 -4.320504e-19)	(-7.032305e+00 7.400131e+01 -4.316230e-19)	(1.865023e+00 -4.925371e-02 -4.274849e-22)
0.068        	(4.863654e-01 3.710433e+01 -3.509072e-19)	(-1.359012e+00 3.720400e+01 -3.507910e-19)	(1.845377e+00 -9.967073e-02 -1.161694e-22)
0.069        	(-2.041040e+00 5.054002e+01 -3.776791e-19)	(-3.832604e+00 5.066573e+01 -3.779142e-19)	(1.791564e+00 -1.257081e-01 2.351520e-22)
0.07         	(-4.018149e+00 5.890432e+01 -3.778749e-19)	(-5.825864e+00 5.909755e+01 -3.792521e-19)	(1.807715e+00 -1.932354e-01 1.377211e-21)
0.071        	(-3.612641e+00 4.614591e+01 -3.532361e-19)	(-5.381309e+00 4.638620e+01 -3.548440e-19)	(1.768668e+00 -2.402873e-01 1.607889e-21)
0.072        	(-5.886690e+00 5.375296e+01 -3.957511e-19)	(-7.654733e+00 5.394809e+01 -3.960096e-19)	(1.768043e+00 -1.951318e-01 2.584993e-22)
