# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001        	(4.263624e+02 1.404224e+03 1.008925e-20)	(4.228625e+02 1.404184e+03 1.022533e-20)	(3.499828e+00 3.975935e-02 -1.360823e-22)
0.002        	(-1.687145e+02 -5.154847e+02 -9.358497e-20)	(-1.716704e+02 -5.155539e+02 -9.348777e-20)	(2.955894e+00 6.920086e-02 -9.719767e-23)
0.003        	(1.804990e+00 1.549824e-01 -1.163297e-19)	(-7.466016e-02 8.881497e-02 -1.162472e-19)	(1.879650e+00 6.616745e-02 -8.251773e-23)
0.004        	(1.501593e+00 1.436327e+00 -1.167968e-19)	(-5.154290e-02 1.370451e+00 -1.167025e-19)	(1.553135e+00 6.587554e-02 -9.427070e-23)
0.005        	(1.233111e+00 1.417445e+00 -1.236559e-19)	(-1.884039e-01 1.350421e+00 -1.234663e-19)	(1.421514e+00 6.702450e-02 -1.896395e-22)
0.006        	(1.515095e+00 2.311484e+00 -1.200929e-19)	(1.350836e-01 2.250671e+00 -1.197338e-19)	(1.380012e+00 6.081310e-02 -3.591664e-22)
0.007        	(2.477965e+00 1.306191e+00 -1.169649e-19)	(1.115819e+00 1.252036e+00 -1.166803e-19)	(1.362146e+00 5.415568e-02 -2.845793e-22)
0.008        	(2.569003e+00 1.796544e+00 -1.148051e-19)	(1.211113e+00 1.742486e+00 -1.146323e-19)	(1.357889e+00 5.405825e-02 -1.728266e-22)
0.009        	(2.872647e+00 2.085639e+00 -1.209329e-19)	(1.523952e+00 2.026074e+00 -1.207939e-19)	(1.348695e+00 5.956544e-02 -1.389446e-22)
0.01         	(4.599710e+00 3.460287e+00 -1.172514e-19)	(3.261976e+00 3.401327e+00 -1.170571e-19)	(1.337735e+00 5.895979e-02 -1.943602e-22)
0.011        	(5.487966e+00 3.077846e+00 -1.183660e-19)	(4.151232e+00 3.022948e+00 -1.181796e-19)	(1.336735e+00 5.489761e-02 -1.863252e-22)
0.012        	(6.052011e+00 1.947689e+00 -1.364733e-19)	(4.713509e+00 1.900850e+00 -1.363916e-19)	(1.338501e+00 4.683926e-02 -8.173269e-23)
0.013        	(5.616280e+00 1.716010e+00 -1.298855e-19)	(4.269769e+00 1.673646e+00 -1.298735e-19)	(1.346511e+00 4.236405e-02 -1.206714e-23)
0.014        	(5.562106e+00 3.023118e+00 -1.244542e-19)	(4.220494e+00 2.989351e+00 -1.244115e-19)	(1.341612e+00 3.376740e-02 -4.270976e-23)
0.015        	(5.414264e+00 5.127565e+00 -1.270936e-19)	(4.065391e+00 5.108708e+00 -1.270424e-19)	(1.348872e+00 1.885741e-02 -5.122591e-23)
0.016        	(5.540459e+00 4.258499e+00 -1.326122e-19)	(4.181244e+00 4.241607e+00 -1.326146e-19)	(1.359215e+00 1.689255e-02 2.362939e-24)
0.017        	(6.638944e+00 5.059503e+00 -1.246091e-19)	(5.258188e+00 5.040438e+00 -1.247330e-19)	(1.380757e+00 1.906578e-02 1.238476e-22)
0.018        	(6.357386e+00 7.097184e+00 -1.338566e-19)	(4.961765e+00 7.090584e+00 -1.340955e-19)	(1.395621e+00 6.599213e-03 2.389384e-22)
0.019        	(6.457448e+00 4.942085e+00 -1.267927e-19)	(5.042473e+00 4.944844e+00 -1.269718e-19)	(1.414975e+00 -2.759181e-03 1.791132e-22)
0.02         	(6.284194e+00 5.354868e+00 -1.343936e-19)	(4.865771e+00 5.363269e+00 -1.344003e-19)	(1.418423e+00 -8.401044e-03 6.725757e-24)
0.021        	(6.451281e+00 5.796557e+00 -1.335598e-19)	(5.000002e+00 5.802779e+00 -1.335495e-19)	(1.451279e+00 -6.222364e-03 -1.023006e-23)
0.022        	(6.897155e+00 6.696808e+00 -1.369128e-19)	(5.420920e+00 6.709111e+00 -1.369977e-19)	(1.476234e+00 -1.230379e-02 8.489076e-23)
0.023        	(7.548108e+00 8.817197e+00 -1.293136e-19)	(6.049513e+00 8.840439e+00 -1.294094e-19)	(1.498595e+00 -2.324219e-02 9.586024e-23)
0.024        	(7.571742e+00 8.381655e+00 -1.306887e-19)	(6.038451e+00 8.413850e+00 -1.307361e-19)	(1.533290e+00 -3.219511e-02 4.739439e-23)
0.025        	(7.162624e+00 8.571803e+00 -1.433587e-19)	(5.620614e+00 8.611198e+00 -1.434082e-19)	(1.542010e+00 -3.939470e-02 4.956263e-23)
0.026        	(6.315013e+00 6.669581e+00 -1.384828e-19)	(4.757315e+00 6.721472e+00 -1.386302e-19)	(1.557698e+00 -5.189147e-02 1.473647e-22)
0.027        	(5.529203e+00 1.001521e+01 -1.303046e-19)	(3.943176e+00 1.005273e+01 -1.304733e-19)	(1.586027e+00 -3.751371e-02 1.687069e-22)
0.028        	(6.595106e+00 1.011635e+01 -1.340626e-19)	(4.986190e+00 1.014769e+01 -1.341074e-19)	(1.608915e+00 -3.134490e-02 4.474854e-23)
0.029        	(6.588317e+00 9.614721e+00 -1.357411e-19)	(4.970835e+00 9.660044e+00 -1.358245e-19)	(1.617482e+00 -4.532296e-02 8.338660e-23)
0.03         	(6.477951e+00 9.743465e+00 -1.372822e-19)	(4.857015e+00 9.800460e+00 -1.374730e-19)	(1.620936e+00 -5.699491e-02 1.907991e-22)
0.031        	(6.643559e+00 9.147778e+00 -1.405138e-19)	(4.997831e+00 9.206082e+00 -1.406228e-19)	(1.645728e+00 -5.830350e-02 1.090710e-22)
0.032        	(6.381249e+00 9.168125e+00 -1.379217e-19)	(4.712740e+00 9.229107e+00 -1.379557e-19)	(1.668509e+00 -6.098246e-02 3.405262e-23)
0.033        	(7.033142e+00 9.663240e+00 -1.356522e-19)	(5.343578e+00 9.721691e+00 -1.357332e-19)	(1.689565e+00 -5.845091e-02 8.101708e-23)
0.034        	(7.152117e+00 1.133110e+01 -1.352391e-19)	(5.455623e+00 1.138636e+01 -1.353270e-19)	(1.696494e+00 -5.526286e-02 8.799283e-23)
0.035        	(5.512304e+00 1.073655e+01 -1.386647e-19)	(3.804972e+00 1.077012e+01 -1.386842e-19)	(1.707333e+00 -3.357085e-02 1.947977e-23)
0.036        	(5.454460e+00 8.274870e+00 -1.427674e-19)	(3.726807e+00 8.301047e+00 -1.427309e-19)	(1.727653e+00 -2.617691e-02 -3.643891e-23)
0.037        	(6.083726e+00 9.432212e+00 -1.477978e-19)	(4.365189e+00 9.471405e+00 -1.477861e-19)	(1.718537e+00 -3.919353e-02 -1.167890e-23)
0.038        	(6.126261e+00 9.744416e+00 -1.494264e-19)	(4.404002e+00 9.786943e+00 -1.495280e-19)	(1.722259e+00 -4.252677e-02 1.015813e-22)
0.039        	(5.607061e+00 8.690132e+00 -1.522632e-19)	(3.889457e+00 8.722297e+00 -1.523524e-19)	(1.717604e+00 -3.216463e-02 8.913481e-23)
0.04         	(6.279327e+00 7.804921e+00 -1.484490e-19)	(4.564928e+00 7.839355e+00 -1.484364e-19)	(1.714399e+00 -3.443410e-02 -1.258767e-23)
0.041        	(5.632841e+00 1.067096e+01 -1.460944e-19)	(3.923966e+00 1.071301e+01 -1.460177e-19)	(1.708875e+00 -4.205100e-02 -7.667104e-23)
0.042        	(5.173259e+00 8.661653e+00 -1.519822e-19)	(3.481763e+00 8.703847e+00 -1.519485e-19)	(1.691496e+00 -4.219392e-02 -3.368213e-23)
0.043        	(5.421686e+00 9.205252e+00 -1.522880e-19)	(3.725045e+00 9.233836e+00 -1.522012e-19)	(1.696641e+00 -2.858421e-02 -8.683397e-23)
0.044        	(4.914417e+00 9.360185e+00 -1.445125e-19)	(3.218187e+00 9.391588e+00 -1.444244e-19)	(1.696230e+00 -3.140288e-02 -8.815879e-23)
