# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001        	(4.339723e+02 -1.058139e+03 -4.674503e-19)	(4.304624e+02 -1.058098e+03 -4.673320e-19)	(3.509850e+00 -4.136251e-02 -1.182100e-22)
0.002        	(-5.628347e+01 1.814081e+02 -1.465400e-19)	(-5.924767e+01 1.814768e+02 -1.464218e-19)	(2.964204e+00 -6.863553e-02 -1.182231e-22)
0.003        	(2.003694e+00 -2.392136e-01 -1.193585e-19)	(-3.380029e-02 -1.767062e-01 -1.191987e-19)	(2.037494e+00 -6.250735e-02 -1.597893e-22)
0.004        	(1.780238e+00 -1.310372e+00 -1.220481e-19)	(1.792565e-02 -1.264531e+00 -1.217824e-19)	(1.762312e+00 -4.584127e-02 -2.657452e-22)
0.005        	(1.669641e+00 -7.033069e-01 -1.221940e-19)	(7.502940e-02 -6.587518e-01 -1.218232e-19)	(1.594611e+00 -4.455510e-02 -3.708428e-22)
0.006        	(2.571161e+00 -4.331611e-01 -1.351173e-19)	(1.047442e+00 -3.944715e-01 -1.348702e-19)	(1.523719e+00 -3.868961e-02 -2.471027e-22)
0.007        	(3.807990e+00 -2.315782e+00 -1.537742e-19)	(2.313002e+00 -2.287056e+00 -1.536029e-19)	(1.494989e+00 -2.872545e-02 -1.713110e-22)
0.008        	(4.163074e+00 -2.689033e+00 -1.492436e-19)	(2.665333e+00 -2.661910e+00 -1.491290e-19)	(1.497742e+00 -2.712306e-02 -1.146060e-22)
0.009        	(5.215703e+00 -1.668925e+00 -1.456008e-19)	(3.727065e+00 -1.639770e+00 -1.455845e-19)	(1.488638e+00 -2.915496e-02 -1.631197e-23)
0.01         	(5.476022e+00 -2.097517e+00 -1.454992e-19)	(4.018904e+00 -2.076286e+00 -1.455898e-19)	(1.457119e+00 -2.123166e-02 9.055925e-23)
0.011        	(6.313821e+00 -2.451731e+00 -1.455636e-19)	(4.869552e+00 -2.428748e+00 -1.456722e-19)	(1.444270e+00 -2.298376e-02 1.085391e-22)
0.012        	(6.770109e+00 -2.653509e+00 -1.414552e-19)	(5.336513e+00 -2.630792e+00 -1.415261e-19)	(1.433596e+00 -2.271681e-02 7.081711e-23)
0.013        	(7.770942e+00 -3.588247e+00 -1.436162e-19)	(6.325601e+00 -3.569635e+00 -1.436894e-19)	(1.445341e+00 -1.861188e-02 7.317868e-23)
0.014        	(7.662801e+00 -2.697821e+00 -1.444306e-19)	(6.195203e+00 -2.683642e+00 -1.445947e-19)	(1.467599e+00 -1.417902e-02 1.640912e-22)
0.015        	(7.082076e+00 -2.330944e+00 -1.427355e-19)	(5.616998e+00 -2.317037e+00 -1.429169e-19)	(1.465078e+00 -1.390704e-02 1.813440e-22)
0.016        	(6.754445e+00 -4.203827e+00 -1.460707e-19)	(5.277443e+00 -4.179025e+00 -1.462647e-19)	(1.477002e+00 -2.480226e-02 1.940498e-22)
0.017        	(6.623770e+00 -8.372820e+00 -1.431055e-19)	(5.146836e+00 -8.332382e+00 -1.433277e-19)	(1.476934e+00 -4.043781e-02 2.222266e-22)
0.018        	(5.179963e+00 -2.288631e+01 -1.393860e-19)	(3.658167e+00 -2.285565e+01 -1.395367e-19)	(1.521796e+00 -3.066615e-02 1.507220e-22)
0.019        	(-1.191646e-01 -5.518755e+01 -1.469225e-19)	(-1.668335e+00 -5.518118e+01 -1.470282e-19)	(1.549171e+00 -6.365518e-03 1.057213e-22)
0.02         	(5.172235e+00 -1.901646e+01 -1.604089e-19)	(3.618915e+00 -1.901705e+01 -1.605257e-19)	(1.553320e+00 5.841367e-04 1.167718e-22)
0.021        	(5.770312e+00 -1.394577e+01 -1.553243e-19)	(4.227725e+00 -1.394224e+01 -1.554073e-19)	(1.542588e+00 -3.524012e-03 8.301546e-23)
0.022        	(5.642493e+00 -1.558557e+01 -1.523102e-19)	(4.112535e+00 -1.558591e+01 -1.522390e-19)	(1.529959e+00 3.381834e-04 -7.125192e-23)
0.023        	(4.965663e+00 -1.816257e+01 -1.452395e-19)	(3.442982e+00 -1.815984e+01 -1.452360e-19)	(1.522680e+00 -2.732016e-03 -3.468025e-24)
0.024        	(5.572745e+00 -1.783242e+01 -1.479476e-19)	(4.043522e+00 -1.783828e+01 -1.481659e-19)	(1.529223e+00 5.863158e-03 2.183545e-22)
0.025        	(5.798168e+00 -1.625147e+01 -1.545176e-19)	(4.268491e+00 -1.627311e+01 -1.547029e-19)	(1.529677e+00 2.163457e-02 1.853426e-22)
0.026        	(5.632383e+00 -1.685609e+01 -1.552811e-19)	(4.093868e+00 -1.687421e+01 -1.552122e-19)	(1.538514e+00 1.812301e-02 -6.893535e-23)
0.027        	(5.086097e+00 -1.892551e+01 -1.525498e-19)	(3.549082e+00 -1.894056e+01 -1.524713e-19)	(1.537015e+00 1.505050e-02 -7.848768e-23)
0.028        	(4.467324e+00 -2.047913e+01 -1.500279e-19)	(2.938682e+00 -2.049991e+01 -1.501638e-19)	(1.528643e+00 2.077544e-02 1.358434e-22)
