# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.420179e+03 1.570746e+03 -1.110865e-18)	(3.416528e+03 1.570709e+03 -1.110566e-18)	(3.650218e+00 3.705259e-02 -2.989742e-22)
0.0002       	(1.496187e+01 5.072067e+00 -1.621733e-19)	(1.160191e+01 5.039930e+00 -1.619375e-19)	(3.359959e+00 3.213775e-02 -2.358617e-22)
0.0003       	(1.672717e+01 -7.413907e+00 -1.564461e-19)	(1.357866e+01 -7.444223e+00 -1.562351e-19)	(3.148510e+00 3.031529e-02 -2.110581e-22)
0.0004       	(1.603334e+01 -7.006732e+00 -1.557930e-19)	(1.302929e+01 -7.036349e+00 -1.555868e-19)	(3.004050e+00 2.961738e-02 -2.062551e-22)
0.0005       	(1.614920e+01 -6.677117e+00 -1.610875e-19)	(1.325951e+01 -6.706973e+00 -1.608788e-19)	(2.889696e+00 2.985594e-02 -2.086732e-22)
0.0006       	(1.631724e+01 -6.336173e+00 -1.637787e-19)	(1.352109e+01 -6.365985e+00 -1.635721e-19)	(2.796159e+00 2.981220e-02 -2.066156e-22)
0.0007       	(1.581955e+01 -4.353859e+00 -1.654723e-19)	(1.310428e+01 -4.381883e+00 -1.652615e-19)	(2.715268e+00 2.802421e-02 -2.107546e-22)
0.0008       	(1.612112e+01 -6.188767e+00 -1.668258e-19)	(1.347747e+01 -6.215547e+00 -1.666059e-19)	(2.643650e+00 2.677920e-02 -2.199166e-22)
0.0009       	(1.639006e+01 -4.446414e-01 -1.644509e-19)	(1.381026e+01 -4.694687e-01 -1.642216e-19)	(2.579806e+00 2.482729e-02 -2.292582e-22)
0.001        	(1.603303e+01 1.213341e+00 -1.677209e-19)	(1.351026e+01 1.189647e+00 -1.674799e-19)	(2.522764e+00 2.369404e-02 -2.409983e-22)
0.0011       	(1.661930e+01 -5.547654e-01 -1.627924e-19)	(1.414850e+01 -5.787655e-01 -1.625455e-19)	(2.470794e+00 2.400009e-02 -2.469209e-22)
0.0012       	(1.971010e+01 -3.446412e+00 -1.379515e-19)	(1.728680e+01 -3.469241e+00 -1.376942e-19)	(2.423300e+00 2.282949e-02 -2.573616e-22)
0.0013       	(2.008420e+01 -6.263801e+00 -1.365985e-19)	(1.770292e+01 -6.285819e+00 -1.363343e-19)	(2.381285e+00 2.201807e-02 -2.642177e-22)
0.0014       	(1.854278e+01 -7.230350e-03 -1.476952e-19)	(1.619982e+01 -2.816063e-02 -1.474409e-19)	(2.342963e+00 2.093028e-02 -2.543182e-22)
0.0015       	(1.962033e+01 4.700946e-01 -1.414458e-19)	(1.731349e+01 4.500573e-01 -1.412015e-19)	(2.306842e+00 2.003724e-02 -2.442772e-22)
0.0016       	(1.831173e+01 -1.786737e+00 -1.418581e-19)	(1.603886e+01 -1.805571e+00 -1.416282e-19)	(2.272864e+00 1.883340e-02 -2.298812e-22)
