# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001        	(4.565067e+02 9.426733e+01 -2.380394e-19)	(4.529917e+02 9.426897e+01 -2.379094e-19)	(3.515038e+00 -1.644856e-03 -1.299642e-22)
0.002        	(-7.551644e+00 5.492953e+00 -1.484702e-19)	(-1.050681e+01 5.488334e+00 -1.483554e-19)	(2.955163e+00 4.618538e-03 -1.147634e-22)
0.003        	(7.142078e+00 3.321497e-01 -1.239609e-19)	(4.912444e+00 3.229466e-01 -1.238380e-19)	(2.229634e+00 9.203071e-03 -1.229190e-22)
0.004        	(8.400874e+00 1.058990e-01 -1.356143e-19)	(6.433668e+00 9.239585e-02 -1.355236e-19)	(1.967206e+00 1.350313e-02 -9.069697e-23)
0.005        	(8.968327e+00 -3.078040e-02 -1.410159e-19)	(7.176547e+00 -4.606637e-02 -1.409631e-19)	(1.791780e+00 1.528597e-02 -5.273112e-23)
0.006        	(9.353414e+00 2.039273e-01 -1.429050e-19)	(7.624756e+00 1.842385e-01 -1.428360e-19)	(1.728658e+00 1.968884e-02 -6.902213e-23)
0.007        	(1.063022e+01 2.676498e-01 -1.437636e-19)	(8.953440e+00 2.452757e-01 -1.437018e-19)	(1.676778e+00 2.237400e-02 -6.172806e-23)
0.008        	(1.112688e+01 5.899407e-01 -1.491745e-19)	(9.472472e+00 5.712724e-01 -1.491323e-19)	(1.654403e+00 1.866827e-02 -4.216617e-23)
0.009        	(1.237327e+01 7.178221e-01 -1.494246e-19)	(1.073720e+01 7.070774e-01 -1.494137e-19)	(1.636065e+00 1.074467e-02 -1.097471e-23)
0.01         	(1.352187e+01 -5.437052e-01 -1.523125e-19)	(1.190189e+01 -5.614722e-01 -1.523481e-19)	(1.619974e+00 1.776695e-02 3.558979e-23)
0.011        	(1.459597e+01 -2.862150e-01 -1.418241e-19)	(1.297929e+01 -3.048069e-01 -1.418389e-19)	(1.616688e+00 1.859187e-02 1.477367e-23)
0.012        	(1.806991e+01 8.980913e-01 -1.390544e-19)	(1.641684e+01 8.841388e-01 -1.390689e-19)	(1.653066e+00 1.395259e-02 1.443987e-23)
0.013        	(1.883847e+01 3.942856e-01 -1.368027e-19)	(1.714836e+01 3.838464e-01 -1.368337e-19)	(1.690109e+00 1.043913e-02 3.100096e-23)
0.014        	(2.412324e+01 -1.733800e+00 -1.406455e-19)	(2.239907e+01 -1.741471e+00 -1.406812e-19)	(1.724173e+00 7.671471e-03 3.573714e-23)
0.015        	(3.522963e+01 8.512833e+00 -1.239979e-19)	(3.347661e+01 8.510805e+00 -1.240640e-19)	(1.753019e+00 2.028724e-03 6.609014e-23)
0.016        	(2.836625e+01 1.887396e+00 -1.638547e-19)	(2.659943e+01 1.880020e+00 -1.638901e-19)	(1.766818e+00 7.376383e-03 3.540528e-23)
0.017        	(2.830417e+01 2.548733e+00 -1.585519e-19)	(2.650029e+01 2.541113e+00 -1.585467e-19)	(1.803880e+00 7.620343e-03 -5.178544e-24)
0.018        	(3.169035e+01 7.222576e+00 -1.725862e-19)	(2.986110e+01 7.218567e+00 -1.725838e-19)	(1.829251e+00 4.009480e-03 -2.397594e-24)
0.019        	(3.776649e+01 4.114373e-03 -1.689485e-19)	(3.592423e+01 -7.902549e-03 -1.689501e-19)	(1.842259e+00 1.201692e-02 1.642268e-24)
0.02         	(3.588170e+01 1.366091e+01 -1.503619e-19)	(3.397805e+01 1.366648e+01 -1.505067e-19)	(1.903653e+00 -5.568862e-03 1.448098e-22)
0.021        	(3.706547e+01 3.642669e+01 -1.497263e-19)	(3.510042e+01 3.643725e+01 -1.501008e-19)	(1.965050e+00 -1.055615e-02 3.744982e-22)
0.022        	(3.418322e+01 4.757201e+01 -1.460669e-19)	(3.214790e+01 4.757917e+01 -1.463170e-19)	(2.035322e+00 -7.161346e-03 2.500825e-22)
0.023        	(3.409110e+01 9.365733e+01 -7.854445e-20)	(3.201564e+01 9.372750e+01 -7.876307e-20)	(2.075466e+00 -7.016687e-02 2.186191e-22)
0.024        	(3.167808e+01 1.645790e+01 -1.846648e-19)	(2.951769e+01 1.648731e+01 -1.853220e-19)	(2.160391e+00 -2.940643e-02 6.571344e-22)
0.025        	(2.438521e+01 -2.673594e+01 -3.446762e-19)	(2.209341e+01 -2.665642e+01 -3.453033e-19)	(2.291796e+00 -7.952322e-02 6.271000e-22)
0.026        	(3.016239e+00 -6.147548e+01 -5.422888e-19)	(5.717618e-01 -6.133855e+01 -5.420838e-19)	(2.444477e+00 -1.369299e-01 -2.049801e-22)
0.027        	(-8.245536e-01 -8.310149e+01 -5.730476e-19)	(-3.419289e+00 -8.313356e+01 -5.732563e-19)	(2.594735e+00 3.207757e-02 2.087765e-22)
0.028        	(-1.691538e+01 5.859767e+01 -4.697557e-19)	(-1.956143e+01 5.813679e+01 -4.710127e-19)	(2.646054e+00 4.608843e-01 1.257024e-21)
0.029        	(-1.439573e+02 4.086163e+02 -1.017800e-18)	(-1.467615e+02 4.083348e+02 -1.017988e-18)	(2.804176e+00 2.815436e-01 1.882209e-22)
0.03         	(-2.652201e+02 3.073846e+02 -1.769255e-18)	(-2.680048e+02 3.078712e+02 -1.768695e-18)	(2.784787e+00 -4.866193e-01 -5.596451e-22)
0.031        	(-7.431496e+01 -2.793586e+02 -8.794982e-19)	(-7.702965e+01 -2.793933e+02 -8.790238e-19)	(2.714690e+00 3.473946e-02 -4.744396e-22)
