# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001        	(3.268257e+02 -3.491390e+03 -1.687996e-18)	(3.233686e+02 -3.491288e+03 -1.687897e-18)	(3.457087e+00 -1.019563e-01 -9.844099e-23)
0.002        	(-1.218952e+02 1.290205e+03 3.253945e-19)	(-1.247568e+02 1.290341e+03 3.254937e-19)	(2.861647e+00 -1.367136e-01 -9.921553e-23)
0.003        	(1.560586e+00 3.319874e-01 -1.199540e-19)	(4.854231e-04 4.168983e-01 -1.198451e-19)	(1.560101e+00 -8.491090e-02 -1.088738e-22)
0.004        	(8.321931e-01 -1.655717e+00 -1.196915e-19)	(-3.159835e-01 -1.598858e+00 -1.196360e-19)	(1.148177e+00 -5.685891e-02 -5.546320e-23)
0.005        	(5.311225e-01 -2.404225e+00 -1.200264e-19)	(-5.389789e-01 -2.339707e+00 -1.199911e-19)	(1.070101e+00 -6.451835e-02 -3.531699e-23)
0.006        	(6.493040e-01 -1.516764e+00 -1.292907e-19)	(-3.724745e-01 -1.459546e+00 -1.291910e-19)	(1.021779e+00 -5.721763e-02 -9.968233e-23)
0.007        	(1.114719e+00 -2.692709e+00 -1.396022e-19)	(5.722983e-02 -2.634821e+00 -1.393047e-19)	(1.057490e+00 -5.788826e-02 -2.974584e-22)
0.008        	(1.465066e+00 -2.253299e+00 -1.444375e-19)	(3.917667e-01 -2.177535e+00 -1.437974e-19)	(1.073299e+00 -7.576378e-02 -6.401248e-22)
0.009        	(2.256456e+00 -2.698531e+00 -1.563308e-19)	(1.190898e+00 -2.625657e+00 -1.553944e-19)	(1.065558e+00 -7.287388e-02 -9.364557e-22)
0.01         	(3.295959e+00 -2.981373e+00 -1.570470e-19)	(2.243945e+00 -2.919162e+00 -1.562681e-19)	(1.052014e+00 -6.221142e-02 -7.789907e-22)
0.011        	(4.496920e+00 -2.466548e+00 -1.527367e-19)	(3.454174e+00 -2.404948e+00 -1.522986e-19)	(1.042746e+00 -6.159999e-02 -4.381104e-22)
0.012        	(4.673630e+00 -3.119177e+00 -1.581481e-19)	(3.631791e+00 -3.054529e+00 -1.578507e-19)	(1.041839e+00 -6.464750e-02 -2.974110e-22)
0.013        	(4.860793e+00 -3.782015e+00 -1.549522e-19)	(3.819628e+00 -3.725896e+00 -1.546693e-19)	(1.041165e+00 -5.611820e-02 -2.829068e-22)
0.014        	(5.422641e+00 -4.148226e+00 -1.549502e-19)	(4.376152e+00 -4.091408e+00 -1.546961e-19)	(1.046490e+00 -5.681888e-02 -2.540649e-22)
0.015        	(5.736958e+00 -5.367488e+00 -1.589060e-19)	(4.683521e+00 -5.316904e+00 -1.587493e-19)	(1.053437e+00 -5.058410e-02 -1.566646e-22)
0.016        	(6.203123e+00 -5.320541e+00 -1.617595e-19)	(5.134759e+00 -5.288502e+00 -1.617643e-19)	(1.068363e+00 -3.203861e-02 4.815538e-24)
0.017        	(6.743767e+00 -5.170283e+00 -1.750896e-19)	(5.668975e+00 -5.145056e+00 -1.751689e-19)	(1.074793e+00 -2.522704e-02 7.936802e-23)
0.018        	(6.727926e+00 -4.985138e+00 -1.736562e-19)	(5.644391e+00 -4.953864e+00 -1.737756e-19)	(1.083536e+00 -3.127395e-02 1.193252e-22)
0.019        	(6.692880e+00 -5.817797e+00 -1.610206e-19)	(5.597285e+00 -5.784829e+00 -1.611722e-19)	(1.095595e+00 -3.296785e-02 1.515162e-22)
0.02         	(7.806290e+00 -7.052507e+00 -1.574886e-19)	(6.690033e+00 -7.028655e+00 -1.576826e-19)	(1.116257e+00 -2.385216e-02 1.939980e-22)
0.021        	(7.834596e+00 -7.460741e+00 -1.729303e-19)	(6.697224e+00 -7.439582e+00 -1.731512e-19)	(1.137372e+00 -2.115929e-02 2.209079e-22)
0.022        	(7.977992e+00 -8.248830e+00 -1.710835e-19)	(6.817786e+00 -8.233314e+00 -1.712461e-19)	(1.160206e+00 -1.551565e-02 1.626069e-22)
0.023        	(8.159874e+00 -8.119691e+00 -1.743802e-19)	(6.983935e+00 -8.108161e+00 -1.743996e-19)	(1.175940e+00 -1.153058e-02 1.934186e-23)
0.024        	(7.113668e+00 -6.564556e+00 -1.713172e-19)	(5.921526e+00 -6.552909e+00 -1.712082e-19)	(1.192143e+00 -1.164619e-02 -1.089753e-22)
0.025        	(7.571081e+00 -6.580243e+00 -1.652008e-19)	(6.371848e+00 -6.574157e+00 -1.651205e-19)	(1.199233e+00 -6.085947e-03 -8.029818e-23)
0.026        	(8.235419e+00 -6.983031e+00 -1.634972e-19)	(6.996934e+00 -6.984678e+00 -1.635920e-19)	(1.238485e+00 1.647202e-03 9.484646e-23)
0.027        	(8.187396e+00 -5.560940e+00 -1.645462e-19)	(6.927613e+00 -5.558049e+00 -1.647767e-19)	(1.259783e+00 -2.891166e-03 2.305370e-22)
0.028        	(8.542381e+00 -6.240985e+00 -1.711948e-19)	(7.273050e+00 -6.227383e+00 -1.712915e-19)	(1.269331e+00 -1.360152e-02 9.668673e-23)
