# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001        	(2.863182e+02 -4.313894e+03 -2.035389e-18)	(2.828987e+02 -4.313768e+03 -2.035291e-18)	(3.419520e+00 -1.260216e-01 -9.827356e-23)
0.002        	(-9.801661e+01 1.686617e+03 4.819673e-19)	(-1.008152e+02 1.686775e+03 4.820586e-19)	(2.798591e+00 -1.579458e-01 -9.128423e-23)
0.003        	(1.384586e+00 6.541986e-02 -1.200857e-19)	(-4.209698e-02 1.579332e-01 -1.200118e-19)	(1.426683e+00 -9.251331e-02 -7.391057e-23)
0.004        	(6.553119e-01 -1.402679e+00 -1.222541e-19)	(-3.383821e-01 -1.345307e+00 -1.222453e-19)	(9.936940e-01 -5.737257e-02 -8.841374e-24)
0.005        	(4.216840e-01 -1.934001e+00 -1.212374e-19)	(-5.083577e-01 -1.872219e+00 -1.212601e-19)	(9.300417e-01 -6.178274e-02 2.267636e-23)
0.006        	(3.996353e-01 -1.132912e+00 -1.218065e-19)	(-4.896193e-01 -1.074174e+00 -1.218141e-19)	(8.892545e-01 -5.873824e-02 7.630317e-24)
0.007        	(8.582495e-01 -1.258642e+00 -1.351597e-19)	(-5.785872e-02 -1.190238e+00 -1.350514e-19)	(9.161083e-01 -6.840382e-02 -1.082827e-22)
0.008        	(1.376110e+00 -1.281348e+00 -1.459663e-19)	(4.444712e-01 -1.197936e+00 -1.456118e-19)	(9.316393e-01 -8.341219e-02 -3.544749e-22)
0.009        	(1.602463e+00 -2.002863e+00 -1.409405e-19)	(6.386315e-01 -1.910885e+00 -1.402945e-19)	(9.638311e-01 -9.197713e-02 -6.460142e-22)
0.01         	(2.361140e+00 -3.149668e+00 -1.400017e-19)	(1.397946e+00 -3.061534e+00 -1.392412e-19)	(9.631938e-01 -8.813423e-02 -7.605338e-22)
0.011        	(3.762892e+00 -2.416607e+00 -1.584655e-19)	(2.818044e+00 -2.325675e+00 -1.579021e-19)	(9.448472e-01 -9.093201e-02 -5.633944e-22)
0.012        	(5.777295e+00 -4.007178e+00 -1.686375e-19)	(4.838622e+00 -3.924739e+00 -1.683052e-19)	(9.386733e-01 -8.243822e-02 -3.322968e-22)
0.013        	(4.784957e+00 -4.308144e+00 -1.482876e-19)	(3.848638e+00 -4.233686e+00 -1.480060e-19)	(9.363187e-01 -7.445782e-02 -2.815885e-22)
0.014        	(4.938630e+00 -4.668345e+00 -1.514674e-19)	(3.999916e+00 -4.602060e+00 -1.511709e-19)	(9.387138e-01 -6.628493e-02 -2.964830e-22)
0.015        	(6.248608e+00 -5.175341e+00 -1.578347e-19)	(5.303784e+00 -5.126152e+00 -1.576465e-19)	(9.448240e-01 -4.918972e-02 -1.882290e-22)
0.016        	(6.195545e+00 -6.321781e+00 -1.583024e-19)	(5.247955e+00 -6.280155e+00 -1.582400e-19)	(9.475895e-01 -4.162586e-02 -6.237943e-23)
0.017        	(6.316423e+00 -7.339901e+00 -1.707341e-19)	(5.361224e+00 -7.292492e+00 -1.708383e-19)	(9.551990e-01 -4.740907e-02 1.041848e-22)
0.018        	(6.058867e+00 -7.132069e+00 -1.690966e-19)	(5.100430e+00 -7.085066e+00 -1.692566e-19)	(9.584363e-01 -4.700293e-02 1.600436e-22)
0.019        	(6.175481e+00 -7.284394e+00 -1.609002e-19)	(5.196486e+00 -7.244143e+00 -1.610916e-19)	(9.789943e-01 -4.025086e-02 1.913736e-22)
0.02         	(6.587159e+00 -7.986518e+00 -1.635833e-19)	(5.586136e+00 -7.943849e+00 -1.637134e-19)	(1.001023e+00 -4.266903e-02 1.301372e-22)
0.021        	(8.037120e+00 -9.980295e+00 -1.652823e-19)	(7.023923e+00 -9.933883e+00 -1.653422e-19)	(1.013196e+00 -4.641178e-02 5.989209e-23)
0.022        	(7.937854e+00 -1.029603e+01 -1.710224e-19)	(6.902197e+00 -1.025705e+01 -1.711285e-19)	(1.035657e+00 -3.897963e-02 1.061194e-22)
0.023        	(8.065824e+00 -9.711506e+00 -1.729769e-19)	(7.004192e+00 -9.680774e+00 -1.730666e-19)	(1.061632e+00 -3.073219e-02 8.969015e-23)
0.024        	(7.730922e+00 -9.487444e+00 -1.735802e-19)	(6.651713e+00 -9.458860e+00 -1.735489e-19)	(1.079209e+00 -2.858447e-02 -3.131215e-23)
0.025        	(8.149281e+00 -1.016017e+01 -1.728883e-19)	(7.053801e+00 -1.014130e+01 -1.728286e-19)	(1.095480e+00 -1.886443e-02 -5.975989e-23)
0.026        	(7.654522e+00 -7.667702e+00 -1.642087e-19)	(6.549426e+00 -7.654157e+00 -1.642833e-19)	(1.105096e+00 -1.354535e-02 7.460170e-23)
0.027        	(7.595168e+00 -7.668139e+00 -1.622954e-19)	(6.474371e+00 -7.656427e+00 -1.624072e-19)	(1.120797e+00 -1.171120e-02 1.117825e-22)
