# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001        	(4.901924e+02 -1.012921e+02 -2.797626e-19)	(4.866732e+02 -1.012840e+02 -2.796313e-19)	(3.519137e+00 -8.037174e-03 -1.313229e-22)
0.002        	(8.021012e+00 1.063515e+01 -1.566464e-19)	(5.048399e+00 1.064170e+01 -1.565286e-19)	(2.972613e+00 -6.554221e-03 -1.178007e-22)
0.003        	(1.651364e+01 9.670190e-02 -1.753990e-19)	(1.415688e+01 1.003788e-01 -1.752893e-19)	(2.356760e+00 -3.676907e-03 -1.096952e-22)
0.004        	(1.719474e+01 -1.991800e+00 -1.794648e-19)	(1.509106e+01 -1.992101e+00 -1.794053e-19)	(2.103676e+00 3.011651e-04 -5.951345e-23)
0.005        	(2.048613e+01 -4.274628e+00 -1.836066e-19)	(1.852583e+01 -4.277336e+00 -1.835749e-19)	(1.960301e+00 2.708840e-03 -3.171226e-23)
0.006        	(2.176670e+01 -6.270582e-01 -1.885183e-19)	(1.985336e+01 -6.333560e-01 -1.884910e-19)	(1.913336e+00 6.297841e-03 -2.731256e-23)
0.007        	(2.416322e+01 -2.084440e+00 -1.960081e-19)	(2.224395e+01 -2.094796e+00 -1.959641e-19)	(1.919271e+00 1.035524e-02 -4.402213e-23)
0.008        	(2.670706e+01 6.467372e+00 -1.914384e-19)	(2.478386e+01 6.466879e+00 -1.914056e-19)	(1.923197e+00 4.927854e-04 -3.283776e-23)
0.009        	(4.369854e+01 2.206952e+01 -1.434814e-19)	(4.176932e+01 2.207694e+01 -1.434436e-19)	(1.929220e+00 -7.421987e-03 -3.781502e-23)
0.01         	(3.661406e+01 1.182381e+01 -1.805827e-19)	(3.462326e+01 1.182756e+01 -1.804803e-19)	(1.990794e+00 -3.743046e-03 -1.024083e-22)
0.011        	(3.862821e+01 5.506238e+00 -1.982403e-19)	(3.655795e+01 5.504808e+00 -1.980391e-19)	(2.070261e+00 1.430004e-03 -2.011459e-22)
0.012        	(4.568218e+01 1.003356e+00 -2.361465e-19)	(4.349840e+01 1.007219e+00 -2.360875e-19)	(2.183774e+00 -3.863155e-03 -5.900205e-23)
0.013        	(4.999884e+01 1.615985e+01 -2.332429e-19)	(4.772133e+01 1.617409e+01 -2.333436e-19)	(2.277518e+00 -1.423951e-02 1.007329e-22)
0.014        	(5.392115e+01 -2.617497e+00 -3.022008e-19)	(5.154437e+01 -2.560306e+00 -3.023184e-19)	(2.376780e+00 -5.719131e-02 1.175352e-22)
0.015        	(5.432444e+01 -1.894509e+01 -3.537334e-19)	(5.178166e+01 -1.882711e+01 -3.540269e-19)	(2.542774e+00 -1.179857e-01 2.934573e-22)
0.016        	(3.603390e+01 -1.881835e+02 -6.399901e-19)	(3.331489e+01 -1.880758e+02 -6.404315e-19)	(2.719003e+00 -1.077562e-01 4.413831e-22)
0.017        	(5.990635e+01 -4.171489e+01 -4.700466e-19)	(5.702913e+01 -4.158904e+01 -4.704949e-19)	(2.877223e+00 -1.258567e-01 4.482684e-22)
0.018        	(6.107590e+01 3.155998e-02 -4.620149e-19)	(5.797255e+01 1.857003e-01 -4.633266e-19)	(3.103352e+00 -1.541403e-01 1.311717e-21)
