# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.389943e+03 7.129533e+03 -3.920738e-19)	(3.386295e+03 7.129378e+03 -3.917467e-19)	(3.647135e+00 1.548914e-01 -3.271026e-22)
0.0002       	(2.935132e+01 1.795002e+01 -1.038879e-19)	(2.598915e+01 1.780914e+01 -1.036105e-19)	(3.362166e+00 1.408716e-01 -2.773898e-22)
0.0003       	(2.326447e+01 3.265901e+01 -1.020372e-19)	(2.010540e+01 3.252727e+01 -1.017921e-19)	(3.159076e+00 1.317474e-01 -2.451200e-22)
0.0004       	(2.655403e+01 4.713321e+01 -1.009189e-19)	(2.353429e+01 4.700749e+01 -1.006779e-19)	(3.019735e+00 1.257180e-01 -2.409179e-22)
0.0005       	(2.696906e+01 4.869108e+01 -9.539215e-20)	(2.405968e+01 4.856918e+01 -9.514761e-20)	(2.909382e+00 1.218969e-01 -2.445362e-22)
0.0006       	(2.804802e+01 4.023004e+01 -1.101314e-19)	(2.522764e+01 4.011080e+01 -1.098928e-19)	(2.820380e+00 1.192384e-01 -2.386434e-22)
0.0007       	(2.803634e+01 4.651438e+01 -1.110476e-19)	(2.529095e+01 4.639728e+01 -1.108146e-19)	(2.745386e+00 1.170973e-01 -2.330404e-22)
0.0008       	(2.725399e+01 6.654833e+01 -8.118695e-20)	(2.457278e+01 6.643359e+01 -8.096714e-20)	(2.681211e+00 1.147435e-01 -2.198165e-22)
0.0009       	(2.753377e+01 6.015226e+01 -8.807140e-20)	(2.490797e+01 6.003973e+01 -8.787071e-20)	(2.625792e+00 1.125214e-01 -2.006928e-22)
0.001        	(2.863976e+01 5.243882e+01 -1.026896e-19)	(2.606265e+01 5.232808e+01 -1.025080e-19)	(2.577109e+00 1.107412e-01 -1.816869e-22)
0.0011       	(2.797633e+01 4.856471e+01 -9.746899e-20)	(2.544283e+01 4.845514e+01 -9.730068e-20)	(2.533496e+00 1.095721e-01 -1.683109e-22)
0.0012       	(2.773831e+01 8.682317e+01 -5.237984e-20)	(2.524359e+01 8.671418e+01 -5.222620e-20)	(2.494716e+00 1.089887e-01 -1.536333e-22)
0.0013       	(2.902051e+01 7.702599e+01 -9.709601e-20)	(2.655998e+01 7.691780e+01 -9.695427e-20)	(2.460531e+00 1.081915e-01 -1.417456e-22)
0.0014       	(2.833083e+01 7.997743e+01 -9.650703e-20)	(2.589835e+01 7.986904e+01 -9.637495e-20)	(2.432477e+00 1.083863e-01 -1.320814e-22)
0.0015       	(2.861502e+01 9.730295e+01 -9.221065e-20)	(2.620368e+01 9.719303e+01 -9.208751e-20)	(2.411332e+00 1.099226e-01 -1.231439e-22)
0.0016       	(2.932793e+01 1.600202e+02 -8.769189e-20)	(2.693466e+01 1.599108e+02 -8.755502e-20)	(2.393267e+00 1.094689e-01 -1.368739e-22)
0.0017       	(4.139829e+01 2.151146e+02 -8.544358e-20)	(3.902022e+01 2.150044e+02 -8.530322e-20)	(2.378076e+00 1.102105e-01 -1.403577e-22)
0.0018       	(4.236301e+01 2.850425e+02 -6.352096e-20)	(3.999675e+01 2.849318e+02 -6.338523e-20)	(2.366258e+00 1.106606e-01 -1.357385e-22)
0.0019       	(3.402015e+01 3.002680e+02 -9.186360e-20)	(3.166354e+01 3.001541e+02 -9.171728e-20)	(2.356615e+00 1.138171e-01 -1.463202e-22)
0.002        	(4.181987e+01 4.335558e+02 -7.574463e-20)	(3.946955e+01 4.334373e+02 -7.559638e-20)	(2.350312e+00 1.185314e-01 -1.482491e-22)
0.0021       	(5.061183e+01 7.725333e+02 -3.515694e-20)	(4.826518e+01 7.724146e+02 -3.501163e-20)	(2.346650e+00 1.186738e-01 -1.453137e-22)
0.0022       	(3.646471e+01 2.210251e+02 -7.208942e-20)	(3.412527e+01 2.209060e+02 -7.193735e-20)	(2.339438e+00 1.191756e-01 -1.520722e-22)
0.0023       	(3.517435e+01 3.116723e+02 -7.296329e-20)	(3.284206e+01 3.115560e+02 -7.280619e-20)	(2.332289e+00 1.163197e-01 -1.571015e-22)
0.0024       	(4.849631e+01 3.472884e+02 -2.631535e-20)	(4.616947e+01 3.471755e+02 -2.615645e-20)	(2.326836e+00 1.129129e-01 -1.589027e-22)
0.0025       	(5.576655e+01 1.833424e+02 -4.807380e-20)	(5.344436e+01 1.832278e+02 -4.791571e-20)	(2.322189e+00 1.145924e-01 -1.580846e-22)
0.0026       	(5.598667e+01 2.176557e+02 -7.210585e-20)	(5.366602e+01 2.175367e+02 -7.193220e-20)	(2.320656e+00 1.190771e-01 -1.736495e-22)
0.0027       	(7.102667e+01 2.338185e+02 -7.544010e-20)	(6.870505e+01 2.336954e+02 -7.523887e-20)	(2.321622e+00 1.231131e-01 -2.012310e-22)
0.0028       	(9.348771e+01 2.180522e+02 -9.919134e-20)	(9.116602e+01 2.179244e+02 -9.898827e-20)	(2.321693e+00 1.278499e-01 -2.030764e-22)
0.0029       	(9.099306e+01 2.988888e+02 -8.088302e-20)	(8.867569e+01 2.987573e+02 -8.069340e-20)	(2.317367e+00 1.315216e-01 -1.896253e-22)
0.003        	(5.299323e+01 4.004261e+02 -3.043793e-20)	(5.068389e+01 4.002987e+02 -3.026235e-20)	(2.309338e+00 1.274597e-01 -1.755725e-22)
0.0031       	(5.175746e+01 3.076296e+02 -4.419049e-20)	(4.945607e+01 3.075010e+02 -4.401007e-20)	(2.301398e+00 1.286283e-01 -1.804219e-22)
