# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001        	(3.780810e+02 3.029064e+03 2.431238e-19)	(3.746058e+02 3.028990e+03 2.432726e-19)	(3.475248e+00 7.381687e-02 -1.488249e-22)
0.002        	(-1.398250e+02 -9.522998e+02 -1.346713e-19)	(-1.427361e+02 -9.524129e+02 -1.345629e-19)	(2.911077e+00 1.131681e-01 -1.083972e-22)
0.003        	(1.658570e+00 -3.381806e-01 -1.196130e-19)	(4.413770e-03 -4.182546e-01 -1.195493e-19)	(1.654156e+00 8.007405e-02 -6.372394e-23)
0.004        	(1.335622e+00 -2.200969e-01 -1.198646e-19)	(3.718671e-02 -2.832198e-01 -1.198384e-19)	(1.298435e+00 6.312285e-02 -2.619611e-23)
0.005        	(1.005211e+00 -1.618239e-01 -1.224585e-19)	(-2.052809e-01 -2.332229e-01 -1.223461e-19)	(1.210492e+00 7.139902e-02 -1.123340e-22)
0.006        	(1.017233e+00 7.457560e-01 -1.174460e-19)	(-1.431522e-01 6.796145e-01 -1.172161e-19)	(1.160385e+00 6.614149e-02 -2.299166e-22)
0.007        	(1.722684e+00 1.875742e+00 -1.077858e-19)	(5.276476e-01 1.805812e+00 -1.075296e-19)	(1.195036e+00 6.993065e-02 -2.562464e-22)
0.008        	(2.578050e+00 2.679573e+00 -1.099791e-19)	(1.406295e+00 2.617232e+00 -1.096649e-19)	(1.171755e+00 6.234085e-02 -3.142583e-22)
0.009        	(3.163247e+00 3.588841e+00 -1.082533e-19)	(2.011317e+00 3.525665e+00 -1.080936e-19)	(1.151929e+00 6.317593e-02 -1.597185e-22)
0.01         	(3.878241e+00 1.767839e+00 -1.131028e-19)	(2.754348e+00 1.698609e+00 -1.129815e-19)	(1.123893e+00 6.922925e-02 -1.213358e-22)
0.011        	(4.930658e+00 2.368117e+00 -1.221500e-19)	(3.777202e+00 2.305646e+00 -1.221090e-19)	(1.153455e+00 6.247025e-02 -4.096669e-23)
0.012        	(6.476977e+00 3.444135e+00 -1.290869e-19)	(5.321109e+00 3.383822e+00 -1.291355e-19)	(1.155869e+00 6.031288e-02 4.858562e-23)
