# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001        	(3.873022e+02 -2.442868e+03 -1.232390e-18)	(3.838091e+02 -2.442796e+03 -1.232290e-18)	(3.493113e+00 -7.210386e-02 -9.931889e-23)
0.002        	(-1.482008e+02 7.622387e+02 9.556096e-20)	(-1.511517e+02 7.623513e+02 9.564849e-20)	(2.950919e+00 -1.126177e-01 -8.752801e-23)
0.003        	(1.595209e+00 -7.407414e-01 -1.207076e-19)	(-1.883089e-01 -6.601952e-01 -1.205878e-19)	(1.783518e+00 -8.054615e-02 -1.198414e-22)
0.004        	(1.315013e+00 -4.885588e-01 -1.210955e-19)	(-1.011682e-01 -4.269816e-01 -1.209389e-19)	(1.416181e+00 -6.157723e-02 -1.565981e-22)
0.005        	(1.043012e+00 -4.526734e-01 -1.213455e-19)	(-2.506111e-01 -3.895264e-01 -1.211272e-19)	(1.293623e+00 -6.314703e-02 -2.182951e-22)
0.006        	(8.040504e-01 -1.896756e+00 -1.255940e-19)	(-4.223592e-01 -1.840016e+00 -1.251858e-19)	(1.226410e+00 -5.673969e-02 -4.081623e-22)
0.007        	(1.504148e+00 -1.284743e+00 -1.513850e-19)	(2.599715e-01 -1.241555e+00 -1.506427e-19)	(1.244176e+00 -4.318713e-02 -7.423266e-22)
0.008        	(2.024716e+00 -2.140403e+00 -1.454913e-19)	(7.837847e-01 -2.087343e+00 -1.447869e-19)	(1.240931e+00 -5.306043e-02 -7.043936e-22)
0.009        	(2.600251e+00 -2.121868e+00 -1.470384e-19)	(1.377097e+00 -2.073998e+00 -1.466129e-19)	(1.223154e+00 -4.786978e-02 -4.255323e-22)
0.01         	(3.306708e+00 -3.702387e+00 -1.578633e-19)	(2.089814e+00 -3.674559e+00 -1.575658e-19)	(1.216894e+00 -2.782773e-02 -2.975008e-22)
0.011        	(5.170219e+00 -3.030356e+00 -1.646663e-19)	(3.938380e+00 -2.995785e+00 -1.643666e-19)	(1.231839e+00 -3.457155e-02 -2.997025e-22)
0.012        	(5.589473e+00 -2.688532e+00 -1.539848e-19)	(4.378490e+00 -2.647860e+00 -1.537284e-19)	(1.210983e+00 -4.067256e-02 -2.563787e-22)
0.013        	(5.695162e+00 -1.837817e+00 -1.490928e-19)	(4.513408e+00 -1.809501e+00 -1.489024e-19)	(1.181754e+00 -2.831549e-02 -1.904127e-22)
0.014        	(5.868066e+00 -2.607891e+00 -1.510945e-19)	(4.668383e+00 -2.576518e+00 -1.510063e-19)	(1.199683e+00 -3.137226e-02 -8.814696e-23)
0.015        	(5.265125e+00 -3.021931e+00 -1.519046e-19)	(4.066087e+00 -2.977672e+00 -1.518819e-19)	(1.199039e+00 -4.425896e-02 -2.269418e-23)
0.016        	(5.971744e+00 -3.731606e+00 -1.529134e-19)	(4.763475e+00 -3.693228e+00 -1.529195e-19)	(1.208268e+00 -3.837772e-02 6.132433e-24)
0.017        	(6.410028e+00 -5.112539e+00 -1.582458e-19)	(5.180087e+00 -5.079208e+00 -1.583407e-19)	(1.229941e+00 -3.333045e-02 9.490162e-23)
0.018        	(6.744115e+00 -3.372234e+00 -1.553189e-19)	(5.493546e+00 -3.336979e+00 -1.554892e-19)	(1.250568e+00 -3.525483e-02 1.702838e-22)
0.019        	(6.999139e+00 -4.220726e+00 -1.535046e-19)	(5.744188e+00 -4.187317e+00 -1.536936e-19)	(1.254951e+00 -3.340813e-02 1.889492e-22)
0.02         	(7.626029e+00 -5.818887e+00 -1.450154e-19)	(6.376235e+00 -5.800025e+00 -1.453101e-19)	(1.249794e+00 -1.886171e-02 2.947430e-22)
0.021        	(7.420946e+00 -5.720630e+00 -1.552856e-19)	(6.150238e+00 -5.719607e+00 -1.555461e-19)	(1.270709e+00 -1.023466e-03 2.604510e-22)
0.022        	(7.260152e+00 -4.964073e+00 -1.538009e-19)	(5.962151e+00 -4.972579e+00 -1.538963e-19)	(1.298000e+00 8.505923e-03 9.535712e-23)
0.023        	(7.337412e+00 -4.510616e+00 -1.624781e-19)	(6.011741e+00 -4.512951e+00 -1.625564e-19)	(1.325671e+00 2.334806e-03 7.831815e-23)
0.024        	(7.561348e+00 -4.684965e+00 -1.617226e-19)	(6.221219e+00 -4.680455e+00 -1.618196e-19)	(1.340129e+00 -4.510035e-03 9.700536e-23)
0.025        	(6.927990e+00 -3.904107e+00 -1.639908e-19)	(5.575718e+00 -3.901117e+00 -1.641034e-19)	(1.352272e+00 -2.989498e-03 1.126242e-22)
