# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.368110e+03 7.551856e+03 -2.855820e-19)	(3.364465e+03 7.551692e+03 -2.852420e-19)	(3.645486e+00 1.641362e-01 -3.400287e-22)
0.0002       	(-3.017203e+01 -2.087714e+02 -7.559991e-20)	(-3.353524e+01 -2.089208e+02 -7.532378e-20)	(3.363219e+00 1.494342e-01 -2.761306e-22)
0.0003       	(3.986124e+00 4.434302e+00 -1.160237e-19)	(8.808651e-01 4.295429e+00 -1.157780e-19)	(3.105259e+00 1.388731e-01 -2.456601e-22)
0.0004       	(3.729125e+00 6.898454e-01 -1.179422e-19)	(7.626855e-01 5.568702e-01 -1.177070e-19)	(2.966439e+00 1.329752e-01 -2.352006e-22)
0.0005       	(3.688721e+00 1.395333e+00 -1.265723e-19)	(8.411218e-01 1.267547e+00 -1.263256e-19)	(2.847599e+00 1.277861e-01 -2.466494e-22)
0.0006       	(4.560449e+00 1.208905e+00 -1.289114e-19)	(1.817087e+00 1.085557e+00 -1.286644e-19)	(2.743361e+00 1.233485e-01 -2.470707e-22)
0.0007       	(5.116215e+00 1.586932e+00 -1.271452e-19)	(2.458156e+00 1.468020e+00 -1.269046e-19)	(2.658058e+00 1.189127e-01 -2.405318e-22)
0.0008       	(4.801980e+00 1.394214e+00 -1.206342e-19)	(2.216458e+00 1.279212e+00 -1.204020e-19)	(2.585522e+00 1.150021e-01 -2.321283e-22)
0.0009       	(7.281651e+00 3.535692e+00 -1.060821e-19)	(4.760009e+00 3.424330e+00 -1.058562e-19)	(2.521642e+00 1.113615e-01 -2.259017e-22)
0.001        	(7.354733e+00 3.962915e+00 -1.058190e-19)	(4.891681e+00 3.855119e+00 -1.055886e-19)	(2.463052e+00 1.077960e-01 -2.304280e-22)
0.0011       	(6.269188e+00 2.862059e+00 -1.155709e-19)	(3.863520e+00 2.758691e+00 -1.153481e-19)	(2.405667e+00 1.033678e-01 -2.227690e-22)
0.0012       	(6.876155e+00 2.174866e+00 -1.192960e-19)	(4.524400e+00 2.075624e+00 -1.190839e-19)	(2.351755e+00 9.924168e-02 -2.120856e-22)
0.0013       	(7.637549e+00 8.437848e-01 -1.157527e-19)	(5.336224e+00 7.471519e-01 -1.155493e-19)	(2.301326e+00 9.663297e-02 -2.033451e-22)
0.0014       	(1.099522e+01 -8.128618e-01 -1.501479e-19)	(8.739946e+00 -9.067651e-01 -1.499598e-19)	(2.255273e+00 9.390329e-02 -1.880368e-22)
0.0015       	(1.022715e+01 2.338075e+00 -1.477318e-19)	(8.014061e+00 2.247820e+00 -1.475523e-19)	(2.213091e+00 9.025546e-02 -1.794721e-22)
0.0016       	(1.064976e+01 4.735475e+00 -1.280444e-19)	(8.478989e+00 4.649267e+00 -1.278674e-19)	(2.170770e+00 8.620829e-02 -1.769993e-22)
0.0017       	(9.678281e+00 2.444050e+00 -1.210030e-19)	(7.549267e+00 2.361199e+00 -1.208341e-19)	(2.129014e+00 8.285110e-02 -1.689268e-22)
0.0018       	(8.875190e+00 2.070576e+00 -1.271757e-19)	(6.786131e+00 1.991144e+00 -1.270169e-19)	(2.089059e+00 7.943192e-02 -1.587150e-22)
0.0019       	(8.626183e+00 1.720603e+00 -1.358188e-19)	(6.574812e+00 1.644515e+00 -1.356682e-19)	(2.051371e+00 7.608830e-02 -1.505854e-22)
0.002        	(8.683928e+00 1.828061e+00 -1.299999e-19)	(6.669786e+00 1.754846e+00 -1.298544e-19)	(2.014141e+00 7.321483e-02 -1.454965e-22)
0.0021       	(8.748186e+00 2.141640e+00 -1.220403e-19)	(6.770439e+00 2.071175e+00 -1.218992e-19)	(1.977747e+00 7.046494e-02 -1.411332e-22)
0.0022       	(1.012179e+01 2.080943e+00 -1.299614e-19)	(8.179235e+00 2.013290e+00 -1.298224e-19)	(1.942558e+00 6.765378e-02 -1.389545e-22)
0.0023       	(1.015570e+01 2.349347e+00 -1.321449e-19)	(8.247239e+00 2.284582e+00 -1.320060e-19)	(1.908465e+00 6.476477e-02 -1.388795e-22)
0.0024       	(8.533584e+00 2.751884e+00 -1.300811e-19)	(6.658994e+00 2.689894e+00 -1.299426e-19)	(1.874590e+00 6.199010e-02 -1.384989e-22)
0.0025       	(9.487774e+00 3.061682e+00 -1.315307e-19)	(7.647067e+00 3.002031e+00 -1.313932e-19)	(1.840707e+00 5.965045e-02 -1.374851e-22)
0.0026       	(9.707876e+00 3.191497e+00 -1.300875e-19)	(7.901637e+00 3.133803e+00 -1.299510e-19)	(1.806239e+00 5.769400e-02 -1.365265e-22)
0.0027       	(1.083203e+01 4.776308e+00 -1.355847e-19)	(9.060361e+00 4.720319e+00 -1.354494e-19)	(1.771666e+00 5.598941e-02 -1.353383e-22)
0.0028       	(1.043524e+01 3.893286e+00 -1.260858e-19)	(8.694618e+00 3.838510e+00 -1.259531e-19)	(1.740621e+00 5.477553e-02 -1.327024e-22)
0.0029       	(9.102945e+00 3.847186e+00 -1.229554e-19)	(7.390318e+00 3.793565e+00 -1.228214e-19)	(1.712627e+00 5.362069e-02 -1.340326e-22)
0.003        	(1.068421e+01 5.654413e+00 -1.243494e-19)	(8.996510e+00 5.601752e+00 -1.242146e-19)	(1.687695e+00 5.266128e-02 -1.348505e-22)
0.0031       	(1.006494e+01 9.591036e+00 -1.190936e-19)	(8.402477e+00 9.539115e+00 -1.189530e-19)	(1.662460e+00 5.192100e-02 -1.405670e-22)
0.0032       	(1.111815e+01 7.919989e+00 -1.022650e-19)	(9.479078e+00 7.867971e+00 -1.021262e-19)	(1.639070e+00 5.201823e-02 -1.388151e-22)
0.0033       	(1.098273e+01 6.186049e+00 -1.174515e-19)	(9.364838e+00 6.134581e+00 -1.173185e-19)	(1.617892e+00 5.146724e-02 -1.330390e-22)
0.0034       	(9.523442e+00 3.898572e+00 -1.195408e-19)	(7.925855e+00 3.847980e+00 -1.194163e-19)	(1.597587e+00 5.059174e-02 -1.244383e-22)
0.0035       	(1.040476e+01 6.176019e+00 -1.151804e-19)	(8.828376e+00 6.126326e+00 -1.150619e-19)	(1.576384e+00 4.969334e-02 -1.185121e-22)
0.0036       	(1.510725e+01 1.226764e+01 -1.029816e-19)	(1.355055e+01 1.221824e+01 -1.028575e-19)	(1.556702e+00 4.940285e-02 -1.240954e-22)
0.0037       	(1.053614e+01 1.341653e+01 -1.098761e-19)	(8.997008e+00 1.336690e+01 -1.097452e-19)	(1.539129e+00 4.962673e-02 -1.308290e-22)
0.0038       	(9.147831e+00 9.399690e+00 -1.095037e-19)	(7.625921e+00 9.350107e+00 -1.093750e-19)	(1.521910e+00 4.958272e-02 -1.286996e-22)
0.0039       	(8.688571e+00 2.090612e+01 -1.067801e-19)	(7.181761e+00 2.085728e+01 -1.066581e-19)	(1.506810e+00 4.883948e-02 -1.220150e-22)
0.004        	(7.592810e+00 3.811505e+01 -9.850358e-20)	(6.100320e+00 3.806824e+01 -9.839455e-20)	(1.492490e+00 4.681179e-02 -1.090271e-22)
0.0041       	(8.890359e+00 2.068263e+01 -1.032937e-19)	(7.409675e+00 2.063516e+01 -1.031874e-19)	(1.480684e+00 4.746896e-02 -1.063429e-22)
0.0042       	(7.461471e+00 1.688124e+01 -1.089731e-19)	(5.990023e+00 1.683368e+01 -1.088711e-19)	(1.471448e+00 4.755672e-02 -1.020341e-22)
0.0043       	(5.460932e+00 3.415469e+01 -1.029376e-19)	(3.999135e+00 3.410870e+01 -1.028424e-19)	(1.461797e+00 4.598568e-02 -9.521193e-23)
0.0044       	(9.601397e+00 1.631911e+01 -1.100348e-19)	(8.151416e+00 1.627240e+01 -1.099417e-19)	(1.449981e+00 4.670935e-02 -9.317527e-23)
0.0045       	(9.498755e+00 1.672298e+01 -9.829784e-20)	(8.059349e+00 1.667570e+01 -9.821023e-20)	(1.439406e+00 4.727831e-02 -8.760932e-23)
0.0046       	(1.047662e+01 1.437480e+01 -1.123935e-19)	(9.048196e+00 1.432766e+01 -1.123074e-19)	(1.428423e+00 4.713903e-02 -8.616801e-23)
0.0047       	(9.442834e+00 1.954876e+01 -1.187012e-19)	(8.025465e+00 1.950219e+01 -1.186090e-19)	(1.417369e+00 4.657638e-02 -9.222144e-23)
0.0048       	(9.172077e+00 2.527989e+01 -1.031982e-19)	(7.762880e+00 2.523193e+01 -1.031077e-19)	(1.409197e+00 4.796194e-02 -9.050055e-23)
0.0049       	(8.370738e+00 2.143010e+01 -1.063625e-19)	(6.967092e+00 2.137965e+01 -1.062703e-19)	(1.403646e+00 5.044804e-02 -9.226637e-23)
0.005        	(7.844015e+00 1.974272e+01 -1.166474e-19)	(6.443677e+00 1.969008e+01 -1.165603e-19)	(1.400338e+00 5.264037e-02 -8.712645e-23)
0.0051       	(7.788539e+00 2.364088e+01 -1.305628e-19)	(6.390940e+00 2.358714e+01 -1.305008e-19)	(1.397599e+00 5.373981e-02 -6.205240e-23)
0.0052       	(8.262049e+00 3.089747e+01 -1.355394e-19)	(6.867836e+00 3.084071e+01 -1.355037e-19)	(1.394213e+00 5.676309e-02 -3.567817e-23)
0.0053       	(2.321789e+00 7.622082e+01 -1.648752e-19)	(9.299326e-01 7.616074e+01 -1.648927e-19)	(1.391856e+00 6.007481e-02 1.747267e-23)
0.0054       	(4.131863e+00 6.096516e+01 -1.424174e-19)	(2.740616e+00 6.090089e+01 -1.424796e-19)	(1.391247e+00 6.426656e-02 6.222686e-23)
0.0055       	(8.009626e+00 4.643130e+01 -1.206264e-19)	(6.616282e+00 4.636309e+01 -1.207176e-19)	(1.393344e+00 6.820219e-02 9.123296e-23)
0.0056       	(-2.719049e-01 8.091766e+01 -1.470523e-19)	(-1.666817e+00 8.084354e+01 -1.471573e-19)	(1.394912e+00 7.411532e-02 1.050022e-22)
0.0057       	(-9.493389e-01 7.734023e+01 -1.946721e-19)	(-2.350805e+00 7.726202e+01 -1.947609e-19)	(1.401466e+00 7.820883e-02 8.886042e-23)
0.0058       	(3.768710e+00 5.515416e+01 -1.456896e-19)	(2.359971e+00 5.506547e+01 -1.457889e-19)	(1.408739e+00 8.869229e-02 9.936513e-23)
0.0059       	(3.558421e+00 7.068121e+01 -1.264181e-19)	(2.139430e+00 7.058288e+01 -1.265246e-19)	(1.418990e+00 9.833490e-02 1.064967e-22)
0.006        	(-7.009424e+00 1.294396e+02 -1.999747e-19)	(-8.435397e+00 1.293384e+02 -1.999993e-19)	(1.425974e+00 1.012062e-01 2.460909e-23)
0.0061       	(-5.799694e+00 1.247906e+02 -2.575080e-19)	(-7.234389e+00 1.246832e+02 -2.573803e-19)	(1.434695e+00 1.073599e-01 -1.277145e-22)
0.0062       	(-1.923638e+00 8.516524e+01 -2.173612e-19)	(-3.361887e+00 8.505404e+01 -2.171957e-19)	(1.438249e+00 1.112014e-01 -1.654899e-22)
0.0063       	(-3.349843e+01 2.822278e+02 -5.547496e-19)	(-3.493000e+01 2.821373e+02 -5.546890e-19)	(1.431576e+00 9.054552e-02 -6.057226e-23)
0.0064       	(-1.075317e+01 1.537484e+02 -2.837071e-19)	(-1.216998e+01 1.536696e+02 -2.836487e-19)	(1.416805e+00 7.886091e-02 -5.841747e-23)
0.0065       	(2.360282e+00 9.697913e+01 -2.166807e-19)	(9.560968e-01 9.690614e+01 -2.166087e-19)	(1.404186e+00 7.299238e-02 -7.202371e-23)
0.0066       	(-3.495953e+00 1.163838e+02 -2.379411e-19)	(-4.893602e+00 1.163154e+02 -2.378588e-19)	(1.397649e+00 6.840950e-02 -8.232712e-23)
0.0067       	(-6.949954e+00 1.246743e+02 -2.379240e-19)	(-8.343802e+00 1.246095e+02 -2.378359e-19)	(1.393848e+00 6.477751e-02 -8.818586e-23)
0.0068       	(-1.861395e+00 1.022405e+02 -2.087614e-19)	(-3.253745e+00 1.021782e+02 -2.086729e-19)	(1.392350e+00 6.232650e-02 -8.840920e-23)
0.0069       	(-7.043963e-01 1.126281e+02 -2.129542e-19)	(-2.095366e+00 1.125673e+02 -2.128679e-19)	(1.390970e+00 6.075532e-02 -8.624543e-23)
0.007        	(-3.341297e+00 1.126445e+02 -2.063307e-19)	(-4.730972e+00 1.125848e+02 -2.062491e-19)	(1.389675e+00 5.971256e-02 -8.162637e-23)
0.0071       	(-1.634273e-01 9.312848e+01 -1.838341e-19)	(-1.552215e+00 9.306941e+01 -1.837616e-19)	(1.388787e+00 5.906909e-02 -7.254400e-23)
0.0072       	(-1.237528e+00 9.402589e+01 -2.003571e-19)	(-2.621834e+00 9.396690e+01 -2.002981e-19)	(1.384306e+00 5.899201e-02 -5.893758e-23)
0.0073       	(-2.132832e+00 9.314629e+01 -1.978881e-19)	(-3.513219e+00 9.308719e+01 -1.978401e-19)	(1.380387e+00 5.910359e-02 -4.796178e-23)
0.0074       	(1.803379e+00 9.824908e+01 -2.000746e-19)	(4.232102e-01 9.819127e+01 -2.000348e-19)	(1.380169e+00 5.780915e-02 -3.984608e-23)
0.0075       	(-2.559515e+00 9.600047e+01 -1.920001e-19)	(-3.938822e+00 9.594446e+01 -1.919526e-19)	(1.379307e+00 5.601163e-02 -4.756597e-23)
0.0076       	(-6.202558e-01 1.075879e+02 -2.002413e-19)	(-1.996848e+00 1.075343e+02 -2.001718e-19)	(1.376592e+00 5.362313e-02 -6.942940e-23)
0.0077       	(4.848428e+00 8.443063e+01 -2.006501e-19)	(3.473373e+00 8.437844e+01 -2.005715e-19)	(1.375055e+00 5.219329e-02 -7.864278e-23)
