# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001        	(2.721026e+02 4.184164e+03 4.660993e-19)	(2.687070e+02 4.184046e+03 4.662583e-19)	(3.395538e+00 1.179956e-01 -1.590027e-22)
0.002        	(-9.068965e+01 -1.843222e+03 -1.546853e-19)	(-9.345940e+01 -1.843371e+03 -1.545824e-19)	(2.769749e+00 1.485759e-01 -1.028351e-22)
0.003        	(1.342086e+00 -3.882552e-02 -1.189870e-19)	(-2.792913e-02 -1.312469e-01 -1.189666e-19)	(1.370015e+00 9.242143e-02 -2.033174e-23)
0.004        	(8.339259e-01 3.129604e-01 -1.183632e-19)	(-1.477291e-01 2.475586e-01 -1.183992e-19)	(9.816550e-01 6.540181e-02 3.599553e-23)
0.005        	(5.391672e-01 1.366088e+00 -1.189713e-19)	(-3.838589e-01 1.286629e+00 -1.190083e-19)	(9.230261e-01 7.945975e-02 3.706418e-23)
0.006        	(7.426706e-01 2.131601e+00 -1.229527e-19)	(-1.447162e-01 2.055871e+00 -1.229853e-19)	(8.873868e-01 7.573067e-02 3.266878e-23)
0.007        	(1.197173e+00 1.618829e+00 -1.257403e-19)	(2.969053e-01 1.535421e+00 -1.257592e-19)	(9.002676e-01 8.340729e-02 1.892924e-23)
0.008        	(1.484711e+00 2.202188e+00 -1.231002e-19)	(5.746068e-01 2.108513e+00 -1.231344e-19)	(9.101039e-01 9.367483e-02 3.413272e-23)
0.009        	(2.313026e+00 3.558453e+00 -1.195285e-19)	(1.408269e+00 3.458375e+00 -1.194443e-19)	(9.047575e-01 1.000776e-01 -8.421463e-23)
0.01         	(3.106196e+00 3.865414e+00 -1.084111e-19)	(2.210333e+00 3.779069e+00 -1.083075e-19)	(8.958625e-01 8.634462e-02 -1.036287e-22)
0.011        	(3.642444e+00 3.519738e+00 -1.080545e-19)	(2.734816e+00 3.446979e+00 -1.079787e-19)	(9.076287e-01 7.275919e-02 -7.579797e-23)
0.012        	(4.737302e+00 3.997877e+00 -1.066455e-19)	(3.812056e+00 3.917015e+00 -1.065912e-19)	(9.252463e-01 8.086215e-02 -5.433359e-23)
0.013        	(5.828045e+00 4.994892e+00 -1.004703e-19)	(4.909234e+00 4.902921e+00 -1.004324e-19)	(9.188108e-01 9.197065e-02 -3.783165e-23)
0.014        	(6.241443e+00 7.242767e+00 -9.989477e-20)	(5.317777e+00 7.175412e+00 -9.982228e-20)	(9.236661e-01 6.735592e-02 -7.249233e-23)
0.015        	(4.897423e+00 7.300423e+00 -1.024330e-19)	(3.958649e+00 7.247631e+00 -1.023187e-19)	(9.387735e-01 5.279119e-02 -1.142768e-22)
0.016        	(5.214493e+00 5.153157e+00 -1.016333e-19)	(4.248022e+00 5.099343e+00 -1.015012e-19)	(9.664710e-01 5.381400e-02 -1.320728e-22)
0.017        	(5.864444e+00 5.258121e+00 -9.647660e-20)	(4.871545e+00 5.199293e+00 -9.644960e-20)	(9.928987e-01 5.882760e-02 -2.699313e-23)
0.018        	(5.989874e+00 5.928808e+00 -9.816990e-20)	(4.972097e+00 5.866848e+00 -9.830371e-20)	(1.017776e+00 6.195953e-02 1.338108e-22)
0.019        	(6.445665e+00 8.048293e+00 -9.975478e-20)	(5.396163e+00 7.983533e+00 -9.997617e-20)	(1.049503e+00 6.475983e-02 2.213904e-22)
0.02         	(6.748539e+00 9.243334e+00 -1.041726e-19)	(5.676331e+00 9.178814e+00 -1.043324e-19)	(1.072208e+00 6.452070e-02 1.597462e-22)
0.021        	(6.970011e+00 7.130538e+00 -9.659861e-20)	(5.872244e+00 7.064284e+00 -9.668213e-20)	(1.097767e+00 6.625417e-02 8.352598e-23)
0.022        	(7.525470e+00 6.432322e+00 -1.017248e-19)	(6.392339e+00 6.361678e+00 -1.018628e-19)	(1.133131e+00 7.064423e-02 1.380163e-22)
0.023        	(7.524918e+00 8.115454e+00 -9.856477e-20)	(6.359058e+00 8.041036e+00 -9.871840e-20)	(1.165860e+00 7.441812e-02 1.536285e-22)
