# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001        	(4.357121e+02 1.016424e+03 -1.207241e-19)	(4.322068e+02 1.016394e+03 -1.205853e-19)	(3.505277e+00 2.977700e-02 -1.387722e-22)
0.002        	(-5.981114e+01 -1.635798e+02 -9.953281e-20)	(-6.276129e+01 -1.636398e+02 -9.942102e-20)	(2.950147e+00 6.003551e-02 -1.117935e-22)
0.003        	(2.000929e+00 -1.165382e-01 -1.178450e-19)	(-1.824039e-02 -1.772904e-01 -1.177252e-19)	(2.019169e+00 6.075224e-02 -1.198270e-22)
0.004        	(1.805447e+00 8.606940e-01 -1.183777e-19)	(3.319058e-02 8.046444e-01 -1.182272e-19)	(1.772256e+00 5.604961e-02 -1.505344e-22)
0.005        	(2.288350e+00 4.157703e-01 -1.162074e-19)	(7.100255e-01 3.630402e-01 -1.160742e-19)	(1.578325e+00 5.273016e-02 -1.331580e-22)
0.006        	(2.634147e+00 6.769006e-01 -1.123208e-19)	(1.110273e+00 6.213587e-01 -1.122302e-19)	(1.523874e+00 5.554188e-02 -9.053711e-23)
0.007        	(3.943362e+00 1.678996e+00 -1.119361e-19)	(2.450471e+00 1.624607e+00 -1.119295e-19)	(1.492891e+00 5.438920e-02 -6.562742e-24)
0.008        	(4.373850e+00 2.814422e-01 -1.212594e-19)	(2.895533e+00 2.275133e-01 -1.212972e-19)	(1.478317e+00 5.392889e-02 3.783773e-23)
0.009        	(5.113818e+00 1.870889e-01 -1.381267e-19)	(3.661543e+00 1.392868e-01 -1.381660e-19)	(1.452274e+00 4.780206e-02 3.930320e-23)
0.01         	(6.516626e+00 8.819922e-01 -1.336730e-19)	(5.084913e+00 8.402897e-01 -1.337208e-19)	(1.431713e+00 4.170244e-02 4.787947e-23)
0.011        	(5.717159e+00 6.658372e-01 -1.235455e-19)	(4.311107e+00 6.243163e-01 -1.235932e-19)	(1.406053e+00 4.152094e-02 4.773641e-23)
0.012        	(5.351679e+00 1.306157e+00 -1.251834e-19)	(3.959219e+00 1.275677e+00 -1.251945e-19)	(1.392460e+00 3.048009e-02 1.106691e-23)
0.013        	(5.749646e+00 7.663532e-01 -1.285488e-19)	(4.349528e+00 7.361938e-01 -1.285636e-19)	(1.400117e+00 3.015941e-02 1.486377e-23)
0.014        	(7.188106e+00 1.208114e+00 -1.303414e-19)	(5.780534e+00 1.171931e+00 -1.303918e-19)	(1.407572e+00 3.618281e-02 5.043497e-23)
0.015        	(7.618940e+00 2.242028e+00 -1.262875e-19)	(6.204256e+00 2.213168e+00 -1.263298e-19)	(1.414685e+00 2.885966e-02 4.223854e-23)
0.016        	(7.364392e+00 2.356307e+00 -1.253023e-19)	(5.944611e+00 2.339703e+00 -1.253374e-19)	(1.419780e+00 1.660413e-02 3.513543e-23)
0.017        	(7.021122e+00 1.760700e+00 -1.264704e-19)	(5.607692e+00 1.748804e+00 -1.265042e-19)	(1.413430e+00 1.189632e-02 3.379497e-23)
0.018        	(7.314723e+00 1.496614e+00 -1.297024e-19)	(5.892079e+00 1.486476e+00 -1.297572e-19)	(1.422644e+00 1.013794e-02 5.482186e-23)
0.019        	(7.650294e+00 2.120526e+00 -1.285757e-19)	(6.218826e+00 2.111347e+00 -1.286857e-19)	(1.431468e+00 9.179326e-03 1.099502e-22)
