# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001        	(2.986324e+02 -3.857782e+03 -1.835614e-18)	(2.951963e+02 -3.857667e+03 -1.835516e-18)	(3.436158e+00 -1.149037e-01 -9.834354e-23)
0.002        	(-1.070080e+02 1.533120e+03 4.153205e-19)	(-1.098355e+02 1.533267e+03 4.154093e-19)	(2.827534e+00 -1.470666e-01 -8.882017e-23)
0.003        	(1.511323e+00 5.457725e-01 -1.200492e-19)	(3.319193e-02 6.353795e-01 -1.199578e-19)	(1.478131e+00 -8.960702e-02 -9.147833e-23)
0.004        	(7.453013e-01 -1.372065e+00 -1.208529e-19)	(-3.098373e-01 -1.314029e+00 -1.208333e-19)	(1.055139e+00 -5.803646e-02 -1.957514e-23)
0.005        	(4.547993e-01 -1.743085e+00 -1.206847e-19)	(-5.308734e-01 -1.678089e+00 -1.206975e-19)	(9.856727e-01 -6.499624e-02 1.276128e-23)
0.006        	(5.097970e-01 -1.542583e+00 -1.246618e-19)	(-4.444893e-01 -1.484386e+00 -1.246360e-19)	(9.542863e-01 -5.819700e-02 -2.572969e-23)
0.007        	(1.155436e+00 -2.087227e+00 -1.389841e-19)	(1.769550e-01 -2.026456e+00 -1.388134e-19)	(9.784806e-01 -6.077114e-02 -1.706623e-22)
0.008        	(1.212337e+00 -2.082700e+00 -1.411429e-19)	(2.119344e-01 -2.000170e+00 -1.407356e-19)	(1.000403e+00 -8.253017e-02 -4.072900e-22)
0.009        	(1.893500e+00 -2.406607e+00 -1.519172e-19)	(8.935468e-01 -2.320615e+00 -1.510608e-19)	(9.999529e-01 -8.599209e-02 -8.563962e-22)
0.01         	(2.772945e+00 -2.771716e+00 -1.497114e-19)	(1.796400e+00 -2.695117e+00 -1.486869e-19)	(9.765450e-01 -7.659907e-02 -1.024498e-21)
0.011        	(4.471164e+00 -3.228834e+00 -1.494234e-19)	(3.509189e+00 -3.160307e+00 -1.488640e-19)	(9.619757e-01 -6.852778e-02 -5.593758e-22)
0.012        	(4.408706e+00 -3.719449e+00 -1.495168e-19)	(3.456145e+00 -3.651189e+00 -1.491877e-19)	(9.525612e-01 -6.825991e-02 -3.291361e-22)
0.013        	(4.892726e+00 -3.314657e+00 -1.509041e-19)	(3.952719e+00 -3.254323e+00 -1.506342e-19)	(9.400070e-01 -6.033483e-02 -2.699170e-22)
0.014        	(5.314343e+00 -4.333457e+00 -1.542477e-19)	(4.374040e+00 -4.284141e+00 -1.539829e-19)	(9.403024e-01 -4.931653e-02 -2.648076e-22)
0.015        	(5.568388e+00 -5.194565e+00 -1.541280e-19)	(4.611437e+00 -5.151353e+00 -1.539423e-19)	(9.569507e-01 -4.321230e-02 -1.856730e-22)
0.016        	(6.125106e+00 -5.735440e+00 -1.602130e-19)	(5.156450e+00 -5.699756e+00 -1.602007e-19)	(9.686556e-01 -3.568374e-02 -1.237866e-23)
0.017        	(6.330155e+00 -6.257832e+00 -1.798977e-19)	(5.362430e+00 -6.224641e+00 -1.800303e-19)	(9.677256e-01 -3.319071e-02 1.325610e-22)
0.018        	(6.220291e+00 -6.970818e+00 -1.726825e-19)	(5.234073e+00 -6.936351e+00 -1.728357e-19)	(9.862183e-01 -3.446791e-02 1.531992e-22)
0.019        	(6.218334e+00 -7.274699e+00 -1.585898e-19)	(5.219101e+00 -7.245618e+00 -1.586814e-19)	(9.992336e-01 -2.908147e-02 9.154557e-23)
0.02         	(7.085873e+00 -8.485025e+00 -1.582639e-19)	(6.075077e+00 -8.459316e+00 -1.583635e-19)	(1.010796e+00 -2.570855e-02 9.953887e-23)
0.021        	(7.676896e+00 -7.763271e+00 -1.657826e-19)	(6.640470e+00 -7.743499e+00 -1.659206e-19)	(1.036426e+00 -1.977154e-02 1.379717e-22)
0.022        	(8.289726e+00 -8.056229e+00 -1.741992e-19)	(7.222038e+00 -8.034967e+00 -1.743171e-19)	(1.067688e+00 -2.126250e-02 1.179035e-22)
