# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.483184e+03 -2.323632e+04 -1.070567e-17)	(2.479586e+03 -2.323587e+04 -1.070551e-17)	(3.598222e+00 -4.573059e-01 -1.584250e-22)
0.0002       	(-2.626321e+02 3.312404e+03 1.055777e-18)	(-2.659534e+02 3.312806e+03 1.055896e-18)	(3.321285e+00 -4.025437e-01 -1.199286e-22)
0.0003       	(3.423917e+00 2.303700e+00 -1.237322e-19)	(5.286834e-01 2.656141e+00 -1.235905e-19)	(2.895234e+00 -3.524408e-01 -1.417100e-22)
0.0004       	(3.135829e+00 1.503217e+00 -1.221532e-19)	(4.015433e-01 1.833603e+00 -1.219946e-19)	(2.734286e+00 -3.303855e-01 -1.585894e-22)
0.0005       	(2.657348e+00 -1.089659e+00 -1.208874e-19)	(3.866089e-02 -7.771084e-01 -1.207224e-19)	(2.618687e+00 -3.125507e-01 -1.649899e-22)
0.0006       	(2.764105e+00 -3.199433e-01 -1.152248e-19)	(2.677736e-01 -2.581231e-02 -1.150505e-19)	(2.496331e+00 -2.941309e-01 -1.743040e-22)
0.0007       	(2.778241e+00 3.536771e-01 -1.154521e-19)	(3.934972e-01 6.305397e-01 -1.152740e-19)	(2.384744e+00 -2.768626e-01 -1.781078e-22)
0.0008       	(2.791389e+00 -4.605308e-01 -1.223216e-19)	(4.894913e-01 -1.992549e-01 -1.221404e-19)	(2.301897e+00 -2.612759e-01 -1.812842e-22)
0.0009       	(2.917406e+00 -2.288935e+00 -1.375305e-19)	(6.842681e-01 -2.043347e+00 -1.373492e-19)	(2.233138e+00 -2.455883e-01 -1.813689e-22)
0.001        	(3.249545e+00 -2.672254e+00 -1.485608e-19)	(1.086044e+00 -2.441726e+00 -1.483722e-19)	(2.163501e+00 -2.305283e-01 -1.886373e-22)
0.0011       	(3.412423e+00 -3.638584e+00 -1.510070e-19)	(1.319580e+00 -3.424089e+00 -1.508087e-19)	(2.092844e+00 -2.144952e-01 -1.982824e-22)
0.0012       	(3.327101e+00 -3.392171e+00 -1.421996e-19)	(1.293720e+00 -3.191340e+00 -1.419977e-19)	(2.033381e+00 -2.008308e-01 -2.018952e-22)
0.0013       	(3.574929e+00 -2.556246e+00 -1.398423e-19)	(1.593129e+00 -2.367077e+00 -1.396431e-19)	(1.981801e+00 -1.891689e-01 -1.991696e-22)
0.0014       	(3.816135e+00 -2.708140e+00 -1.484708e-19)	(1.880313e+00 -2.530059e+00 -1.482679e-19)	(1.935822e+00 -1.780810e-01 -2.028959e-22)
0.0015       	(4.679388e+00 -3.517004e+00 -1.728151e-19)	(2.785217e+00 -3.347983e+00 -1.725965e-19)	(1.894171e+00 -1.690209e-01 -2.185476e-22)
0.0016       	(7.549456e+00 -5.017798e+00 -1.853007e-19)	(5.693685e+00 -4.857306e+00 -1.850899e-19)	(1.855772e+00 -1.604919e-01 -2.108311e-22)
0.0017       	(9.098661e+00 -5.656256e+00 -1.877360e-19)	(7.277427e+00 -5.502978e+00 -1.875447e-19)	(1.821234e+00 -1.532781e-01 -1.913691e-22)
0.0018       	(7.510715e+00 -4.480668e+00 -1.792147e-19)	(5.719858e+00 -4.334495e+00 -1.790390e-19)	(1.790857e+00 -1.461737e-01 -1.756902e-22)
0.0019       	(6.039210e+00 -4.138290e+00 -1.756071e-19)	(4.276953e+00 -3.997390e+00 -1.754444e-19)	(1.762257e+00 -1.408998e-01 -1.626588e-22)
0.002        	(5.667020e+00 -4.327686e+00 -1.729206e-19)	(3.931413e+00 -4.191446e+00 -1.727687e-19)	(1.735607e+00 -1.362398e-01 -1.519514e-22)
0.0021       	(5.996003e+00 -4.691383e+00 -1.707520e-19)	(4.285183e+00 -4.559456e+00 -1.706124e-19)	(1.710820e+00 -1.319268e-01 -1.396385e-22)
0.0022       	(7.821661e+00 -5.891443e+00 -1.876200e-19)	(6.133185e+00 -5.763727e+00 -1.874914e-19)	(1.688476e+00 -1.277163e-01 -1.286697e-22)
0.0023       	(7.078016e+00 -4.945573e+00 -1.735527e-19)	(5.411568e+00 -4.822392e+00 -1.734281e-19)	(1.666448e+00 -1.231805e-01 -1.246654e-22)
0.0024       	(7.713616e+00 -5.090026e+00 -1.878178e-19)	(6.069012e+00 -4.970389e+00 -1.877009e-19)	(1.644603e+00 -1.196368e-01 -1.169631e-22)
0.0025       	(8.645636e+00 -6.032088e+00 -2.026648e-19)	(7.021935e+00 -5.913616e+00 -2.025606e-19)	(1.623701e+00 -1.184726e-01 -1.041976e-22)
0.0026       	(5.948041e+00 -4.722826e+00 -1.643122e-19)	(4.343898e+00 -4.605160e+00 -1.642175e-19)	(1.604143e+00 -1.176656e-01 -9.476269e-23)
0.0027       	(7.847522e+00 -7.235763e+00 -1.907875e-19)	(6.262554e+00 -7.119434e+00 -1.906790e-19)	(1.584968e+00 -1.163290e-01 -1.084094e-22)
0.0028       	(9.660203e+00 -9.020065e+00 -2.057184e-19)	(8.093953e+00 -8.904957e+00 -2.055878e-19)	(1.566250e+00 -1.151079e-01 -1.306170e-22)
0.0029       	(7.288137e+00 -4.974046e+00 -1.854166e-19)	(5.737849e+00 -4.859258e+00 -1.852862e-19)	(1.550288e+00 -1.147879e-01 -1.304013e-22)
0.003        	(9.793538e+00 -7.307723e+00 -2.150545e-19)	(8.258161e+00 -7.193284e+00 -2.149281e-19)	(1.535377e+00 -1.144391e-01 -1.263891e-22)
0.0031       	(9.526754e+00 -7.787176e+00 -2.095489e-19)	(8.005944e+00 -7.673501e+00 -2.094296e-19)	(1.520810e+00 -1.136756e-01 -1.193392e-22)
0.0032       	(1.048141e+01 -8.409100e+00 -2.067122e-19)	(8.973481e+00 -8.296926e+00 -2.065946e-19)	(1.507933e+00 -1.121747e-01 -1.175761e-22)
0.0033       	(1.126678e+01 -8.505379e+00 -2.197955e-19)	(9.770625e+00 -8.394228e+00 -2.196805e-19)	(1.496155e+00 -1.111515e-01 -1.149715e-22)
0.0034       	(9.701676e+00 -6.669078e+00 -1.830514e-19)	(8.218179e+00 -6.557605e+00 -1.829341e-19)	(1.483497e+00 -1.114728e-01 -1.172678e-22)
0.0035       	(1.288031e+01 -1.052710e+01 -2.020022e-19)	(1.140843e+01 -1.041458e+01 -2.018748e-19)	(1.471886e+00 -1.125140e-01 -1.273757e-22)
0.0036       	(8.890165e+00 -7.450783e+00 -1.889526e-19)	(7.429278e+00 -7.338125e+00 -1.888174e-19)	(1.460886e+00 -1.126580e-01 -1.351948e-22)
0.0037       	(7.552146e+00 -5.823865e+00 -1.814923e-19)	(6.102020e+00 -5.711660e+00 -1.813549e-19)	(1.450126e+00 -1.122043e-01 -1.373410e-22)
0.0038       	(1.001393e+01 -8.392735e+00 -1.945375e-19)	(8.572918e+00 -8.280821e+00 -1.944004e-19)	(1.441010e+00 -1.119141e-01 -1.370987e-22)
0.0039       	(1.239275e+01 -7.943520e+00 -1.948820e-19)	(1.096061e+01 -7.832229e+00 -1.947490e-19)	(1.432138e+00 -1.112912e-01 -1.329177e-22)
0.004        	(1.030256e+01 -8.992640e+00 -1.896251e-19)	(8.879447e+00 -8.882483e+00 -1.895061e-19)	(1.423112e+00 -1.101574e-01 -1.189169e-22)
