# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001        	(4.805642e+02 -4.450423e+02 -3.223988e-19)	(4.770462e+02 -4.450226e+02 -3.222730e-19)	(3.518064e+00 -1.974690e-02 -1.257271e-22)
0.002        	(5.650102e+00 -3.035541e-01 -1.666277e-19)	(2.678160e+00 -2.721315e-01 -1.664958e-19)	(2.971942e+00 -3.142259e-02 -1.319374e-22)
0.003        	(1.734564e+01 -6.032935e+00 -1.906157e-19)	(1.499607e+01 -6.004699e+00 -1.904504e-19)	(2.349565e+00 -2.823578e-02 -1.653205e-22)
0.004        	(1.715855e+01 -7.011167e+00 -1.905798e-19)	(1.507466e+01 -6.992288e+00 -1.904338e-19)	(2.083895e+00 -1.887905e-02 -1.459753e-22)
0.005        	(1.794614e+01 -9.914176e+00 -1.967392e-19)	(1.603276e+01 -9.901086e+00 -1.966568e-19)	(1.913379e+00 -1.308993e-02 -8.244401e-23)
0.006        	(1.910203e+01 -9.929418e+00 -2.071385e-19)	(1.724905e+01 -9.914367e+00 -2.070658e-19)	(1.852973e+00 -1.505086e-02 -7.277152e-23)
0.007        	(2.134866e+01 -1.670639e+01 -2.112809e-19)	(1.951202e+01 -1.669241e+01 -2.112241e-19)	(1.836638e+00 -1.397723e-02 -5.676342e-23)
0.008        	(2.360687e+01 -2.493171e+01 -1.983091e-19)	(2.177258e+01 -2.491950e+01 -1.982309e-19)	(1.834292e+00 -1.221702e-02 -7.820076e-23)
0.009        	(2.661292e+01 -2.441201e+01 -1.909911e-19)	(2.473771e+01 -2.438489e+01 -1.909118e-19)	(1.875219e+00 -2.712144e-02 -7.930155e-23)
0.01         	(2.913790e+01 -3.186438e+01 -1.943660e-19)	(2.719640e+01 -3.181600e+01 -1.943390e-19)	(1.941502e+00 -4.838042e-02 -2.706100e-23)
0.011        	(3.239438e+01 -5.685885e+01 -2.166149e-19)	(3.036759e+01 -5.678990e+01 -2.167444e-19)	(2.026791e+00 -6.895105e-02 1.295006e-22)
0.012        	(4.585563e+01 -6.353546e+01 -2.273767e-19)	(4.373127e+01 -6.344392e+01 -2.274721e-19)	(2.124361e+00 -9.153821e-02 9.532186e-23)
0.013        	(3.767701e+01 -1.889987e+02 -4.827887e-19)	(3.549389e+01 -1.889192e+02 -4.827241e-19)	(2.183119e+00 -7.951628e-02 -6.455812e-23)
0.014        	(3.805222e+01 -1.531627e+02 -4.236337e-19)	(3.579153e+01 -1.530678e+02 -4.236160e-19)	(2.260692e+00 -9.498351e-02 -1.775198e-23)
0.015        	(4.381423e+01 -1.444540e+02 -4.548620e-19)	(4.144765e+01 -1.442621e+02 -4.551194e-19)	(2.366579e+00 -1.918871e-01 2.574001e-22)
0.016        	(4.454000e+01 -1.908152e+02 -4.476727e-19)	(4.193495e+01 -1.904228e+02 -4.484697e-19)	(2.605051e+00 -3.924546e-01 7.970379e-22)
0.017        	(2.387403e+01 -4.059113e+02 -6.061144e-19)	(2.104100e+01 -4.053949e+02 -6.080465e-19)	(2.833022e+00 -5.163755e-01 1.932123e-21)
0.018        	(-2.106346e+01 -7.784681e+02 -7.481846e-19)	(-2.400074e+01 -7.780214e+02 -7.492126e-19)	(2.937280e+00 -4.466165e-01 1.027969e-21)
0.019        	(-3.918889e+01 -1.006244e+03 -8.010982e-19)	(-4.220353e+01 -1.005939e+03 -8.015390e-19)	(3.014632e+00 -3.041506e-01 4.408463e-22)
0.02         	(3.235710e+01 -6.259776e+02 -6.725554e-19)	(2.921335e+01 -6.259160e+02 -6.726867e-19)	(3.143752e+00 -6.160998e-02 1.313544e-22)
0.021        	(5.239545e+01 -4.520073e+02 -7.173559e-19)	(4.913111e+01 -4.519024e+02 -7.166849e-19)	(3.264338e+00 -1.049122e-01 -6.710180e-22)
0.022        	(6.285470e+01 -5.486799e+02 -7.408790e-19)	(5.936856e+01 -5.486889e+02 -7.404191e-19)	(3.486145e+00 8.988632e-03 -4.598150e-22)
0.023        	(8.205422e+01 -4.830567e+02 -7.649153e-19)	(7.832365e+01 -4.833622e+02 -7.654491e-19)	(3.730573e+00 3.055584e-01 5.338428e-22)
0.024        	(6.327838e+01 -4.115536e+02 -6.949272e-19)	(5.929378e+01 -4.118794e+02 -6.954096e-19)	(3.984600e+00 3.257108e-01 4.823406e-22)
0.025        	(1.351080e+02 -8.954180e+02 -7.772952e-19)	(1.304063e+02 -8.955799e+02 -7.814892e-19)	(4.701711e+00 1.618370e-01 4.194027e-21)
