# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001        	(3.946454e+02 2.559370e+03 2.269697e-19)	(3.911614e+02 2.559307e+03 2.271137e-19)	(3.483992e+00 6.298598e-02 -1.440162e-22)
0.002        	(-1.503866e+02 -7.719852e+02 -1.611753e-19)	(-1.533237e+02 -7.720875e+02 -1.610710e-19)	(2.937072e+00 1.023016e-01 -1.042598e-22)
0.003        	(2.250320e+00 -3.207314e+00 -1.099704e-19)	(4.961017e-01 -3.290232e+00 -1.099005e-19)	(1.754219e+00 8.291727e-02 -6.989015e-23)
0.004        	(1.427437e+00 1.679931e-01 -1.196091e-19)	(4.159072e-02 9.943170e-02 -1.195624e-19)	(1.385846e+00 6.856137e-02 -4.677340e-23)
0.005        	(1.075282e+00 3.632548e-01 -1.222401e-19)	(-1.860438e-01 2.911930e-01 -1.221127e-19)	(1.261326e+00 7.206183e-02 -1.274446e-22)
0.006        	(1.172277e+00 2.532729e-01 -1.169494e-19)	(-4.635571e-02 1.828310e-01 -1.166692e-19)	(1.218633e+00 7.044189e-02 -2.802548e-22)
0.007        	(1.788259e+00 1.653557e+00 -1.085347e-19)	(5.642333e-01 1.589236e+00 -1.081655e-19)	(1.224026e+00 6.432040e-02 -3.692591e-22)
0.008        	(3.036857e+00 2.308669e+00 -1.163815e-19)	(1.848974e+00 2.252725e+00 -1.163191e-19)	(1.187883e+00 5.594390e-02 -6.243740e-23)
0.009        	(3.153116e+00 2.190634e+00 -1.159893e-19)	(1.992173e+00 2.134858e+00 -1.159457e-19)	(1.160943e+00 5.577615e-02 -4.361581e-23)
0.01         	(4.835427e+00 2.166597e+00 -1.153675e-19)	(3.690438e+00 2.104456e+00 -1.153478e-19)	(1.144989e+00 6.214159e-02 -1.969661e-23)
0.011        	(5.365946e+00 2.080614e+00 -1.180856e-19)	(4.194137e+00 2.021288e+00 -1.181643e-19)	(1.171809e+00 5.932651e-02 7.877802e-23)
0.012        	(5.866953e+00 1.500111e+00 -1.350535e-19)	(4.683506e+00 1.442505e+00 -1.351302e-19)	(1.183447e+00 5.760604e-02 7.668569e-23)
0.013        	(5.223626e+00 1.910068e+00 -1.178595e-19)	(4.051713e+00 1.852244e+00 -1.179151e-19)	(1.171912e+00 5.782399e-02 5.554114e-23)
0.014        	(5.648901e+00 3.694595e+00 -1.118941e-19)	(4.480442e+00 3.645232e+00 -1.119415e-19)	(1.168459e+00 4.936302e-02 4.739287e-23)
0.015        	(5.652749e+00 3.275251e+00 -1.140257e-19)	(4.471026e+00 3.237343e+00 -1.140348e-19)	(1.181724e+00 3.790751e-02 9.013609e-24)
