# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(2.830668e+03 1.649451e+04 2.226774e-18)	(2.827053e+03 1.649417e+04 2.227158e-18)	(3.615372e+00 3.348504e-01 -3.830866e-22)
0.0002       	(-3.826370e+02 -2.490074e+03 -2.549393e-19)	(-3.859792e+02 -2.490373e+03 -2.546227e-19)	(3.342257e+00 2.989034e-01 -3.166384e-22)
0.0003       	(2.402774e+00 5.572193e+00 -1.231851e-19)	(-5.443461e-01 5.309740e+00 -1.228962e-19)	(2.947120e+00 2.624532e-01 -2.888608e-22)
0.0004       	(2.701769e+00 1.554177e+00 -1.177541e-19)	(-9.420237e-02 1.306043e+00 -1.174849e-19)	(2.795972e+00 2.481344e-01 -2.692352e-22)
0.0005       	(2.718862e+00 5.014460e-01 -1.198011e-19)	(2.926600e-02 2.610367e-01 -1.195451e-19)	(2.689596e+00 2.404093e-01 -2.559464e-22)
0.0006       	(2.518857e+00 1.797288e+00 -1.233647e-19)	(-6.116089e-02 1.565973e+00 -1.231221e-19)	(2.580018e+00 2.313146e-01 -2.426430e-22)
0.0007       	(2.373847e+00 2.195870e+00 -1.303838e-19)	(-1.115788e-01 1.972437e+00 -1.301507e-19)	(2.485426e+00 2.234330e-01 -2.330023e-22)
0.0008       	(2.766244e+00 1.366306e+00 -1.208930e-19)	(3.525028e-01 1.150609e+00 -1.206739e-19)	(2.413741e+00 2.156969e-01 -2.190746e-22)
0.0009       	(3.518224e+00 1.349380e+00 -1.126592e-19)	(1.166899e+00 1.142858e+00 -1.124680e-19)	(2.351325e+00 2.065218e-01 -1.911723e-22)
0.001        	(3.536939e+00 2.665431e+00 -1.100587e-19)	(1.248016e+00 2.469194e+00 -1.098929e-19)	(2.288924e+00 1.962369e-01 -1.658364e-22)
0.0011       	(3.452941e+00 2.809429e+00 -1.127913e-19)	(1.223585e+00 2.623202e+00 -1.126379e-19)	(2.229356e+00 1.862266e-01 -1.533378e-22)
0.0012       	(3.773002e+00 8.231979e-01 -1.129785e-19)	(1.596020e+00 6.463265e-01 -1.128291e-19)	(2.176982e+00 1.768714e-01 -1.494027e-22)
