# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001        	(3.194498e+02 -3.817525e+03 -1.824840e-18)	(3.160010e+02 -3.817417e+03 -1.824741e-18)	(3.448765e+00 -1.081334e-01 -9.879388e-23)
0.002        	(-1.143048e+02 1.371924e+03 3.415648e-19)	(-1.171546e+02 1.372068e+03 3.416615e-19)	(2.849862e+00 -1.439615e-01 -9.672821e-23)
0.003        	(1.517251e+00 3.151054e-01 -1.200135e-19)	(-3.796753e-03 4.028302e-01 -1.199085e-19)	(1.521047e+00 -8.772479e-02 -1.050082e-22)
0.004        	(7.333007e-01 -1.269332e+00 -1.190399e-19)	(-3.629598e-01 -1.211731e+00 -1.190015e-19)	(1.096261e+00 -5.760175e-02 -3.846468e-23)
0.005        	(5.658114e-01 -2.159242e+00 -1.192807e-19)	(-4.763922e-01 -2.093319e+00 -1.192963e-19)	(1.042204e+00 -6.592293e-02 1.557955e-23)
0.006        	(5.627388e-01 -1.808837e+00 -1.267103e-19)	(-4.257073e-01 -1.751848e+00 -1.266912e-19)	(9.884461e-01 -5.698899e-02 -1.905521e-23)
0.007        	(1.185332e+00 -2.154187e+00 -1.387184e-19)	(1.550203e-01 -2.094483e+00 -1.385413e-19)	(1.030312e+00 -5.970320e-02 -1.770898e-22)
0.008        	(1.366643e+00 -2.203911e+00 -1.432114e-19)	(3.142920e-01 -2.123726e+00 -1.426859e-19)	(1.052351e+00 -8.018515e-02 -5.255699e-22)
0.009        	(2.030241e+00 -2.899692e+00 -1.561822e-19)	(9.835729e-01 -2.818463e+00 -1.551920e-19)	(1.046668e+00 -8.122864e-02 -9.902493e-22)
0.01         	(2.889396e+00 -3.130972e+00 -1.579032e-19)	(1.856115e+00 -3.060037e+00 -1.569730e-19)	(1.033281e+00 -7.093548e-02 -9.301313e-22)
0.011        	(4.834538e+00 -3.842825e+00 -1.605260e-19)	(3.814116e+00 -3.776572e+00 -1.600010e-19)	(1.020422e+00 -6.625302e-02 -5.249735e-22)
0.012        	(4.519139e+00 -3.976633e+00 -1.504827e-19)	(3.509932e+00 -3.914155e+00 -1.501258e-19)	(1.009207e+00 -6.247740e-02 -3.569079e-22)
0.013        	(5.288290e+00 -3.579626e+00 -1.521025e-19)	(4.264014e+00 -3.519479e+00 -1.517785e-19)	(1.024275e+00 -6.014723e-02 -3.239703e-22)
0.014        	(6.037743e+00 -5.189872e+00 -1.605369e-19)	(4.997174e+00 -5.138986e+00 -1.602509e-19)	(1.040568e+00 -5.088544e-02 -2.860465e-22)
0.015        	(5.503447e+00 -5.157023e+00 -1.589778e-19)	(4.459337e+00 -5.113711e+00 -1.588549e-19)	(1.044110e+00 -4.331169e-02 -1.228880e-22)
0.016        	(5.906672e+00 -5.882694e+00 -1.652057e-19)	(4.864126e+00 -5.850696e+00 -1.652474e-19)	(1.042546e+00 -3.199785e-02 4.172637e-23)
0.017        	(6.964355e+00 -6.143275e+00 -1.815246e-19)	(5.894489e+00 -6.120973e+00 -1.816424e-19)	(1.069866e+00 -2.230169e-02 1.177337e-22)
0.018        	(5.944344e+00 -5.572069e+00 -1.678578e-19)	(4.866404e+00 -5.543805e+00 -1.679760e-19)	(1.077940e+00 -2.826392e-02 1.181293e-22)
0.019        	(6.619135e+00 -6.743702e+00 -1.591398e-19)	(5.513204e+00 -6.717087e+00 -1.592302e-19)	(1.105931e+00 -2.661445e-02 9.036541e-23)
