# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.001        	(3.808085e+02 -2.884856e+03 -1.436204e-18)	(3.773211e+02 -2.884775e+03 -1.436110e-18)	(3.487368e+00 -8.027717e-02 -9.393862e-23)
0.002        	(-1.411023e+02 8.182038e+02 1.175857e-19)	(-1.440374e+02 8.183234e+02 1.176956e-19)	(2.935096e+00 -1.195765e-01 -1.098673e-22)
0.003        	(1.931591e+00 1.519723e+00 -1.192738e-19)	(1.894186e-01 1.602531e+00 -1.191460e-19)	(1.742172e+00 -8.280851e-02 -1.277811e-22)
0.004        	(1.331201e+00 -1.735762e-01 -1.205847e-19)	(-2.800423e-02 -1.152760e-01 -1.204550e-19)	(1.359205e+00 -5.830016e-02 -1.297237e-22)
0.005        	(1.107042e+00 -7.291321e-01 -1.217303e-19)	(-1.482058e-01 -6.685346e-01 -1.215564e-19)	(1.255248e+00 -6.059751e-02 -1.738999e-22)
0.006        	(8.116411e-01 -1.473714e+00 -1.302525e-19)	(-3.744922e-01 -1.419353e+00 -1.299198e-19)	(1.186133e+00 -5.436085e-02 -3.326103e-22)
0.007        	(1.403628e+00 -1.463848e+00 -1.503394e-19)	(1.963307e-01 -1.418029e+00 -1.496966e-19)	(1.207297e+00 -4.581856e-02 -6.427400e-22)
0.008        	(1.853121e+00 -1.104328e+00 -1.509132e-19)	(6.373794e-01 -1.045429e+00 -1.501185e-19)	(1.215742e+00 -5.889974e-02 -7.946961e-22)
0.009        	(3.271114e+00 -2.444697e+00 -1.537623e-19)	(2.081821e+00 -2.394937e+00 -1.531986e-19)	(1.189293e+00 -4.975957e-02 -5.637122e-22)
0.01         	(3.587214e+00 -2.575590e+00 -1.554121e-19)	(2.411813e+00 -2.536632e+00 -1.550407e-19)	(1.175401e+00 -3.895786e-02 -3.714001e-22)
0.011        	(4.839731e+00 -1.779436e+00 -1.531113e-19)	(3.688206e+00 -1.730745e+00 -1.527954e-19)	(1.151525e+00 -4.869163e-02 -3.158746e-22)
0.012        	(5.593897e+00 -2.794280e+00 -1.574738e-19)	(4.457564e+00 -2.743113e+00 -1.572084e-19)	(1.136333e+00 -5.116641e-02 -2.654810e-22)
0.013        	(5.816692e+00 -3.399343e+00 -1.561276e-19)	(4.693764e+00 -3.363011e+00 -1.559750e-19)	(1.122928e+00 -3.633125e-02 -1.525927e-22)
0.014        	(5.430343e+00 -3.834302e+00 -1.526339e-19)	(4.295720e+00 -3.804782e+00 -1.525374e-19)	(1.134623e+00 -2.952044e-02 -9.652761e-23)
0.015        	(5.978154e+00 -3.418396e+00 -1.526774e-19)	(4.827766e+00 -3.382272e+00 -1.526076e-19)	(1.150388e+00 -3.612356e-02 -6.984004e-23)
0.016        	(6.499626e+00 -4.927063e+00 -1.584976e-19)	(5.336269e+00 -4.892402e+00 -1.584745e-19)	(1.163357e+00 -3.466123e-02 -2.316388e-23)
0.017        	(7.076060e+00 -6.398459e+00 -1.591585e-19)	(5.909437e+00 -6.378380e+00 -1.592339e-19)	(1.166623e+00 -2.007806e-02 7.547067e-23)
0.018        	(6.649565e+00 -3.925139e+00 -1.562326e-19)	(5.469699e+00 -3.910706e+00 -1.564083e-19)	(1.179866e+00 -1.443298e-02 1.756994e-22)
0.019        	(6.823809e+00 -4.107749e+00 -1.620486e-19)	(5.651870e+00 -4.097486e+00 -1.623002e-19)	(1.171939e+00 -1.026232e-02 2.515941e-22)
0.02         	(7.425454e+00 -6.229203e+00 -1.577432e-19)	(6.255616e+00 -6.222117e+00 -1.580098e-19)	(1.169838e+00 -7.085242e-03 2.665674e-22)
0.021        	(7.411990e+00 -6.022462e+00 -1.601063e-19)	(6.226316e+00 -6.016227e+00 -1.603010e-19)	(1.185673e+00 -6.235260e-03 1.947299e-22)
0.022        	(7.431148e+00 -5.918664e+00 -1.616442e-19)	(6.223470e+00 -5.917894e+00 -1.617312e-19)	(1.207678e+00 -7.700049e-04 8.701563e-23)
0.023        	(6.946786e+00 -3.867506e+00 -1.595029e-19)	(5.723449e+00 -3.856361e+00 -1.595660e-19)	(1.223337e+00 -1.114525e-02 6.307855e-23)
0.024        	(7.620338e+00 -4.062325e+00 -1.595243e-19)	(6.370818e+00 -4.053024e+00 -1.596347e-19)	(1.249520e+00 -9.301357e-03 1.103778e-22)
0.025        	(7.356855e+00 -4.090775e+00 -1.599910e-19)	(6.102825e+00 -4.084823e+00 -1.601129e-19)	(1.254030e+00 -5.951874e-03 1.218941e-22)
0.026        	(7.091183e+00 -3.343592e+00 -1.602740e-19)	(5.814412e+00 -3.345706e+00 -1.604528e-19)	(1.276772e+00 2.114466e-03 1.788570e-22)
0.027        	(7.364288e+00 -4.308474e+00 -1.655698e-19)	(6.068138e+00 -4.317323e+00 -1.658288e-19)	(1.296151e+00 8.848690e-03 2.590183e-22)
0.028        	(7.491106e+00 -4.119127e+00 -1.750278e-19)	(6.191919e+00 -4.131609e+00 -1.752419e-19)	(1.299187e+00 1.248191e-02 2.140560e-22)
0.029        	(8.453684e+00 -4.131420e+00 -1.798822e-19)	(7.152047e+00 -4.148670e+00 -1.798917e-19)	(1.301638e+00 1.724983e-02 9.447112e-24)
0.03         	(6.834862e+00 -3.670104e+00 -1.817834e-19)	(5.527459e+00 -3.687503e+00 -1.816193e-19)	(1.307403e+00 1.739892e-02 -1.640573e-22)
0.031        	(6.857954e+00 -6.077539e+00 -1.802712e-19)	(5.544160e+00 -6.101490e+00 -1.801593e-19)	(1.313794e+00 2.395111e-02 -1.118600e-22)
0.032        	(6.115878e+00 -3.324463e+00 -1.783804e-19)	(4.777694e+00 -3.362518e+00 -1.784448e-19)	(1.338184e+00 3.805557e-02 6.443141e-23)
0.033        	(6.805914e+00 -4.503826e+00 -1.712857e-19)	(5.436889e+00 -4.541643e+00 -1.713525e-19)	(1.369025e+00 3.781722e-02 6.672261e-23)
0.034        	(5.890338e+00 -1.545776e+00 -1.767369e-19)	(4.531265e+00 -1.559987e+00 -1.766444e-19)	(1.359073e+00 1.421025e-02 -9.247155e-23)
0.035        	(4.690849e+00 6.303049e+00 -2.068561e-19)	(3.327477e+00 6.315957e+00 -2.062063e-19)	(1.363372e+00 -1.290820e-02 -6.498267e-22)
