# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.044232e+03 -1.248382e+04 -5.620592e-18)	(3.040596e+03 -1.248355e+04 -5.620376e-18)	(3.635699e+00 -2.644060e-01 -2.157830e-22)
0.0002       	(-4.327376e+02 1.866380e+03 3.322416e-19)	(-4.361025e+02 1.866622e+03 3.324138e-19)	(3.364853e+00 -2.418805e-01 -1.721856e-22)
0.0003       	(2.894149e+00 -2.403290e+00 -1.235350e-19)	(-9.495877e-02 -2.188496e+00 -1.233693e-19)	(2.989108e+00 -2.147939e-01 -1.656772e-22)
0.0004       	(2.650705e+00 -1.817676e+00 -1.224362e-19)	(-1.928715e-01 -1.615609e+00 -1.222332e-19)	(2.843576e+00 -2.020678e-01 -2.029995e-22)
0.0005       	(2.489543e+00 -1.914237e+00 -1.211208e-19)	(-2.494734e-01 -1.720451e+00 -1.208805e-19)	(2.739017e+00 -1.937864e-01 -2.403209e-22)
0.0006       	(2.290981e+00 -2.846756e+00 -1.228411e-19)	(-3.355817e-01 -2.662227e+00 -1.225581e-19)	(2.626563e+00 -1.845290e-01 -2.829879e-22)
0.0007       	(2.306444e+00 -1.860150e+00 -1.260263e-19)	(-2.239916e-01 -1.682673e+00 -1.257169e-19)	(2.530436e+00 -1.774774e-01 -3.094053e-22)
0.0008       	(2.573136e+00 -1.525880e+00 -1.256216e-19)	(1.138708e-01 -1.355687e+00 -1.252926e-19)	(2.459265e+00 -1.701938e-01 -3.289621e-22)
0.0009       	(2.899992e+00 -3.351944e+00 -1.296866e-19)	(5.029204e-01 -3.188472e+00 -1.293584e-19)	(2.397071e+00 -1.634718e-01 -3.282166e-22)
0.001        	(3.766297e+00 -2.651129e+00 -1.317284e-19)	(1.428315e+00 -2.494438e+00 -1.314250e-19)	(2.337981e+00 -1.566909e-01 -3.034921e-22)
0.0011       	(4.141658e+00 -1.700672e+00 -1.272313e-19)	(1.864274e+00 -1.550634e+00 -1.269664e-19)	(2.277384e+00 -1.500380e-01 -2.649469e-22)
0.0012       	(3.923670e+00 -6.657702e-01 -1.240699e-19)	(1.700923e+00 -5.218037e-01 -1.238345e-19)	(2.222747e+00 -1.439665e-01 -2.354670e-22)
0.0013       	(3.958123e+00 2.009322e-01 -1.335468e-19)	(1.782199e+00 3.380562e-01 -1.333255e-19)	(2.175924e+00 -1.371240e-01 -2.212658e-22)
0.0014       	(4.500673e+00 -3.097365e+00 -1.358520e-19)	(2.366587e+00 -2.966344e+00 -1.356455e-19)	(2.134086e+00 -1.310210e-01 -2.065081e-22)
0.0015       	(5.909013e+00 -4.332403e+00 -1.632411e-19)	(3.814415e+00 -4.207151e+00 -1.630426e-19)	(2.094597e+00 -1.252522e-01 -1.985291e-22)
0.0016       	(4.633298e+00 -3.225338e+00 -1.528622e-19)	(2.576483e+00 -3.104900e+00 -1.526619e-19)	(2.056815e+00 -1.204373e-01 -2.002423e-22)
0.0017       	(6.440950e+00 -3.829826e+00 -1.677309e-19)	(4.419903e+00 -3.713801e+00 -1.675366e-19)	(2.021047e+00 -1.160250e-01 -1.943122e-22)
0.0018       	(8.604141e+00 -4.508887e+00 -2.060355e-19)	(6.615182e+00 -4.396517e+00 -2.058427e-19)	(1.988959e+00 -1.123701e-01 -1.928377e-22)
0.0019       	(4.932915e+00 -3.440119e+00 -1.575435e-19)	(2.975878e+00 -3.332057e+00 -1.573501e-19)	(1.957038e+00 -1.080619e-01 -1.934611e-22)
