# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.0001       	(3.423748e+03 5.795518e+03 -5.995704e-19)	(3.420099e+03 5.795389e+03 -5.992401e-19)	(3.648796e+00 1.296342e-01 -3.302833e-22)
0.0002       	(2.189392e+01 -4.527400e+00 -1.133311e-19)	(1.853123e+01 -4.644167e+00 -1.130511e-19)	(3.362694e+00 1.167673e-01 -2.800103e-22)
0.0003       	(2.129745e+01 1.720751e+00 -1.290502e-19)	(1.814724e+01 1.610395e+00 -1.287892e-19)	(3.150204e+00 1.103558e-01 -2.610213e-22)
0.0004       	(2.130355e+01 1.904576e+00 -1.298412e-19)	(1.829282e+01 1.800567e+00 -1.295822e-19)	(3.010724e+00 1.040090e-01 -2.589840e-22)
0.0005       	(2.200733e+01 -7.464293e-01 -1.314938e-19)	(1.910798e+01 -8.459986e-01 -1.312504e-19)	(2.899351e+00 9.956927e-02 -2.433644e-22)
0.0006       	(2.226590e+01 -2.487063e+00 -1.298053e-19)	(1.945681e+01 -2.583413e+00 -1.295651e-19)	(2.809092e+00 9.635003e-02 -2.402087e-22)
0.0007       	(2.219973e+01 -6.174830e+00 -1.303362e-19)	(1.946654e+01 -6.267794e+00 -1.300967e-19)	(2.733185e+00 9.296409e-02 -2.394576e-22)
0.0008       	(2.128417e+01 5.052907e+00 -1.277160e-19)	(1.861650e+01 4.963653e+00 -1.274754e-19)	(2.667670e+00 8.925425e-02 -2.406137e-22)
0.0009       	(2.306987e+01 4.350526e+00 -1.278589e-19)	(2.045778e+01 4.263383e+00 -1.276127e-19)	(2.612087e+00 8.714292e-02 -2.462789e-22)
0.001        	(2.201993e+01 5.137251e+00 -1.280780e-19)	(1.945639e+01 5.051902e+00 -1.278268e-19)	(2.563538e+00 8.534893e-02 -2.511826e-22)
0.0011       	(2.230095e+01 4.512412e+00 -1.279471e-19)	(1.978098e+01 4.428178e+00 -1.276946e-19)	(2.519970e+00 8.423363e-02 -2.525193e-22)
0.0012       	(2.149152e+01 1.085826e+01 -1.255271e-19)	(1.901114e+01 1.077521e+01 -1.252791e-19)	(2.480377e+00 8.304869e-02 -2.479951e-22)
0.0013       	(2.051545e+01 1.651198e+01 -1.234962e-19)	(1.807165e+01 1.643088e+01 -1.232490e-19)	(2.443796e+00 8.109747e-02 -2.471320e-22)
0.0014       	(2.195512e+01 9.047240e+00 -1.254922e-19)	(1.954484e+01 8.967623e+00 -1.252472e-19)	(2.410281e+00 7.961668e-02 -2.450192e-22)
0.0015       	(2.240477e+01 2.068048e+01 -1.201852e-19)	(2.002297e+01 2.060228e+01 -1.199437e-19)	(2.381801e+00 7.820454e-02 -2.415496e-22)
0.0016       	(2.135496e+01 2.570518e+01 -9.072049e-20)	(1.900020e+01 2.562756e+01 -9.049452e-20)	(2.354761e+00 7.762131e-02 -2.259676e-22)
0.0017       	(2.361307e+01 1.115391e+01 -1.156981e-19)	(2.128232e+01 1.107619e+01 -1.154909e-19)	(2.330746e+00 7.771599e-02 -2.072616e-22)
0.0018       	(2.295971e+01 1.001399e+01 -1.191846e-19)	(2.065058e+01 9.936196e+00 -1.190027e-19)	(2.309124e+00 7.779648e-02 -1.818842e-22)
0.0019       	(2.365274e+01 1.469249e+01 -1.090392e-19)	(2.136385e+01 1.461494e+01 -1.088747e-19)	(2.288892e+00 7.754818e-02 -1.644283e-22)
0.002        	(2.691510e+01 2.156837e+01 -1.181388e-19)	(2.464469e+01 2.149108e+01 -1.179827e-19)	(2.270417e+00 7.728436e-02 -1.561514e-22)
0.0021       	(2.792717e+01 4.008333e+01 -1.322425e-19)	(2.567371e+01 4.000601e+01 -1.321027e-19)	(2.253453e+00 7.732734e-02 -1.398267e-22)
0.0022       	(2.766672e+01 9.894728e+00 -1.213504e-19)	(2.542938e+01 9.815548e+00 -1.212333e-19)	(2.237342e+00 7.918014e-02 -1.170734e-22)
